StudyID	SampleID	Plate	Row	Column	Type	Method	Kit	SeqName	Robots	Batch	Residual
SC284734.PC04925.E12	SC284734	PC04925	E	12	ZymoS	0	0	D6305	0	0	0
SC284728.PC04924.E12	SC284728	PC04924	E	12	ZymoS	0	0	D6305	0	0	0
SC284735.PC04925.F12	SC284735	PC04925	F	12	ZymoS	0	0	D6306	0	0	0
SC284729.PC04924.F12	SC284729	PC04924	F	12	ZymoS	0	0	D6306	0	0	0
SC249446.PC04924.F09	SC249446	PC04924	F	9	AC	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	2	Original
SC249439.PC04924.H08	SC249439	PC04924	H	8	AC	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
SC249434.PC04924.C08	SC249434	PC04924	C	8	AC	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
SC249443.PC04924.D09	SC249443	PC04924	D	9	AC	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	2	Original
SC249438.PC04924.G08	SC249438	PC04924	G	8	EB	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
SC249450.PC04924.B10	SC249450	PC04924	B	10	EB	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	2	Original
SC249444.PC04925.A05	SC249444	PC04925	A	5	EB	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	2	Original
SC261529.PC04925.F10	SC261529	PC04925	F	10	EB	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Residual
SC249447.PC04924.G09	SC249447	PC04924	G	9	RG	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	2	Original
SC249436.PC04924.E08	SC249436	PC04924	E	8	RG	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
SC249433.PC04924.B08	SC249433	PC04924	B	8	RG	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
SC249452.PC04924.D10	SC249452	PC04924	D	10	RG	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	2	Original
SC249447.PC04925.C05	SC249447	PC04925	C	5	RG	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	2	Original
SC249436.PC04925.E04	SC249436	PC04925	E	4	RG	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
SC249433.PC04925.C04	SC249433	PC04925	C	4	RG	Qiagen	MagAttract.PowerMag.Microbiome	0	KingFisher	1	Original
