StudyID	SampleName	TreatmentGroup	VialID	AssayPlate	ExtractionBatch	OriginalDNA	Row	Column	SeqRunID	ReadCount	LibDate	SeqID	ExtDate	QIAsymph	Lot_Reag	Lot_Enz	Lot_ATL	Lot_MGB	Lot_MM	Lot_Primer
SC240992.PC03166.C05	SC240992	Study	SP2015.OMNI.V03	PC03166	MB0000601	PC03166	C	5	0	0	SP2015	OMNI	0	0	0	0	0	0	0	0
SC240994.PC03166.D09	SC240994	Extraction.Blank	Blank	PC03166	MB0000601	PC03166	D	9	0	0	0	0	0	0	0	0	0	0	0	0
SC240998.PC03166.H10	SC240998	Extraction.Blank	Blank	PC03166	MB0000601	PC03166	H	10	0	0	0	0	0	0	0	0	0	0	0	0
SC241001.PC03166.H09	SC241001	artificial.colony	DZ35316.0015	PC03166	MB0000601	PC03166	H	9	0	0	0	0	0	0	0	0	0	0	0	0
SC241016.PC03166.G06	SC241016	Study	SP2030.OMNI.V03	PC03166	MB0000602	PC03166	G	6	0	0	SP2030	OMNI	0	0	0	0	0	0	0	0
SC241017.PC03166.A06	SC241017	Extraction.Blank	Blank	PC03166	MB0000602	PC03166	A	6	0	0	0	OMNI	0	0	0	0	0	0	0	0
SC241023.PC03166.B07	SC241023	Extraction.Blank	Blank	PC03166	MB0000602	PC03166	B	7	0	0	0	0	0	0	0	0	0	0	0	0
SC241025.PC03166.E09	SC241025	robogut	DZ35298.0005	PC03166	MB0000602	PC03166	E	9	0	0	0	0	0	0	0	0	0	0	0	0
SC241040.PC03170.B04	SC241040	Study	SP2015.OMNI.V01	PC03170	MB0000603	PC03170	B	4	0	0	SP2015	OMNI	0	0	0	0	0	0	0	0
SC241049.PC03170.D02	SC241049	robogut	DZ35298.0016	PC03170	MB0000603	PC03170	D	2	0	0	0	0	0	0	0	0	0	0	0	0
SC241064.PC03170.C03	SC241064	Study	SP2030.OMNI.V01	PC03170	MB0000604	PC03170	C	3	0	0	SP2030	OMNI	0	0	0	0	0	0	0	0
SC241072.PC03170.G04	SC241072	Extraction.Blank	EB.0000604	PC03170	MB0000604	PC03170	G	4	0	0	0	0	0	0	0	0	0	0	0	0
SC241073.PC03170.C02	SC241073	artificial.colony	DZ35316.0019	PC03170	MB0000604	PC03170	C	2	0	0	0	0	0	0	0	0	0	0	0	0
SC241088.PC03170.F10	SC241088	Study	SP2015.ScopeCell.V03	PC03170	MB0000605	PC03170	F	10	0	0	SP2015	Scope	0	0	0	0	0	0	0	0
SC241091.PC03170.B06	SC241091	Extraction.Blank	Blank	PC03170	MB0000605	PC03170	B	6	0	0	0	0	0	0	0	0	0	0	0	0
SC241097.PC03170.C10	SC241097	artificial.colony	DZ35316.0022	PC03170	MB0000605	PC03170	C	10	0	0	0	0	0	0	0	0	0	0	0	0
SC241112.PC03170.G07	SC241112	Study	SP2030.ScopeCell.V03	PC03170	MB0000606	PC03170	G	7	0	0	SP2030	Scope	0	0	0	0	0	0	0	0
SC241121.PC03170.F08	SC241121	robogut	DZ35298.0019	PC03170	MB0000606	PC03170	F	8	0	0	0	0	0	0	0	0	0	0	0	0
SC241136.PC03170.G11	SC241136	Study	SP2015.ScopeCell.V01	PC03170	MB0000607	PC03170	G	11	0	0	SP2015	Scope	0	0	0	0	0	0	0	0
SC241140.PC03171.C02	SC241140	Extraction.Blank	Blank	PC03171	MB0000607	PC03171	C	2	0	0	0	0	0	0	0	0	0	0	0	0
SC241145.PC03170.H11	SC241145	robogut	DZ35298.0022	PC03170	MB0000607	PC03170	H	11	0	0	0	0	0	0	0	0	0	0	0	0
SC241160.PC03171.D02	SC241160	Study	SP2030.ScopeCell.V01	PC03171	MB0000608	PC03171	D	2	0	0	SP2030	Scope	0	0	0	0	0	0	0	0
SC241164.PC03170.G10	SC241164	Extraction.Blank	Blank	PC03170	MB0000608	PC03170	G	10	0	0	0	0	0	0	0	0	0	0	0	0
SC241169.PC03170.E11	SC241169	artificial.colony	DZ35316.0076	PC03170	MB0000608	PC03170	E	11	0	0	0	0	0	0	0	0	0	0	0	0
SC241284.PC03165.G04	SC241284	artificial.colony	DZ35316.0089	PC03165	PC01032	PC03165	G	4	0	0	0	0	0	0	0	0	0	0	0	0
SC241285.PC03165.H04	SC241285	Extraction.Blank	Blank	PC03165	PC01032	PC03165	H	4	0	0	0	0	0	0	0	0	0	0	0	0
SC241316.PC03165.G08	SC241316	robogut	DZ35298.0023	PC03165	PC01032	PC03165	G	8	0	0	0	0	0	0	0	0	0	0	0	0
SC241348.PC03166.A01	SC241348	robogut	DZ35298.0025	PC03166	PC01034	PC03166	A	1	0	0	0	0	0	0	0	0	0	0	0	0
SC241349.PC03166.B01	SC241349	Extraction.Blank	Blank	PC03166	PC01034	PC03166	B	1	0	0	0	0	0	0	0	0	0	0	0	0
SC241380.PC03166.A05	SC241380	artificial.colony	DZ35316.0109	PC03166	PC01034	PC03166	A	5	0	0	0	0	0	0	0	0	0	0	0	0
SC241381.PC03166.B05	SC241381	Extraction.Blank	Blank	PC03166	PC01034	PC03166	B	5	0	0	0	0	0	0	0	0	0	0	0	0
SC253789.PC03171.E08	SC253789	artificial.colony	DZ35316.0117	PC03171	PC02199	PC03171	E	8	0	0	0	0	0	0	0	0	0	0	0	0
SC253790.PC03171.F08	SC253790	Extraction.Blank	Blank	PC03171	PC02199	PC03171	F	8	0	0	0	0	0	0	0	0	0	0	0	0
SC253821.PC03171.E12	SC253821	robogut	DZ35298.0035	PC03171	PC02199	PC03171	E	12	0	0	0	0	0	0	0	0	0	0	0	0
