"","Art.Col","Zymo.Ext","Zymo MagBead DNone Kit_OB","MagAttract PowerMag Soil_OB","MagAttract PowerMag Microbiome_OB","Qiagen QIAamp  Modified_OB","Qiagen DSP Virus_OB_AC","Qiagen DSP Virus_OB_ZE","Zymo MagBead DNone Kit_OB_AC","Zymo MagBead DNone Kit_OB_ZE","MagAttract PowerMag Soil_OB_AC","MagAttract PowerMag Soil_OB_ZE","MagAttract PowerMag Microbiome_OB_AC","MagAttract PowerMag Microbiome_OB_ZE","Qiagen QIAamp  Modified_OB_AC","Qiagen QIAamp  Modified_OB_ZE","Qiagen DSP-AC_Diff","Qiagen DSP-ZE_Diff","Zymo MagBead-AC_Diff","Zymo MagBead-ZE_Diff","MagAttract PS-AC_Diff","MagAttract PS-ZE_Diff","MagAttract MB-AC_Diff","MagAttract MB-ZE_Diff","Qiagen QIAmp-AC_Diff","Qiagen QIAMmp-ZE_Diff"
"Alistipes",0.04,NA,0.00371472718746088,0.00279858105877093,0.00336928475155253,0.00400639655866387,0.00438098612651273,6.65248357169182e-05,0.00952128696187717,0.000628382276186029,0.00705386516394088,0.000285821842365768,0.00741743863669737,7.85582820834065e-05,0.00947733246844346,0.000171815855695828,"-89.0475346837182","NA","-76.1967825953071","NA","-82.3653370901478","NA","-81.4564034082566","NA","-76.3066688288913","NA"
"Anaerostipes",0.06,NA,0.00419639737603719,0.00645989357940782,0.00422412750044318,0.00628621958099122,0.0165834432407486,1.33049671433836e-05,0.0118512728247633,0.000127622265564193,0.0173680523855247,1.85900385278548e-05,0.00937910641828079,3.36678351786028e-05,0.0151889998076626,4.62581149950306e-05,"-72.3609279320856","NA","-80.2478786253945","NA","-71.0532460241255","NA","-84.368155969532","NA","-74.6850003205624","NA"
"Bacillus",NA,0.157,0.0977693326681875,0.0466349820440819,0.115493813786098,0.0825779250346946,5.46803061222258e-05,0.140089329549401,0.00412162009386699,0.147545646421083,6.88661870956571e-05,0.0741324261394532,0.00411787075583825,0.206030827494174,0.000182909122451058,0.140328617648925,"NA","-10.771127675541","NA","-6.021881260457","NA","-52.7818941786922","NA","31.2298264294105","NA","-10.6187148732964"
"Bacteroides",0.06,NA,0.0329437746276772,0.0323454899817957,0.0238568096188099,0.0391789218162124,0.0820598290037467,0.000294039773868778,0.0914745558868213,0.00183306778745342,0.0857639818035858,0.00080169541151374,0.0528859609599245,0.000259140307132276,0.0942283686391938,0.00059474719279325,"36.7663816729112","NA","52.4575931447021","NA","42.939969672643","NA","-11.8567317334592","NA","57.0472810653231","NA"
"Bifidobacterium",0.06,NA,0.00424534911746736,0.00201036154365377,0.0100932223182052,0.00602591258968936,0.0166687445182993,7.98298028603018e-06,0.0122184286377227,7.43986301495298e-06,0.00540501188433629,5.80938703995464e-06,0.0225096043907221,0,0.0146157588465788,5.28664171371778e-06,"-72.2187591361678","NA","-79.6359522704621","NA","-90.9916468594395","NA","-62.4839926821299","NA","-75.6404019223686","NA"
"Bilophila",0.02,NA,0.0091894750019151,0.0136108489394466,0.0157180763505699,0.01333160313363,0.021701519893789,1.33049671433836e-05,0.0264158378743293,3.31932349897902e-05,0.0366230382974704,2.20756707518276e-05,0.0350426910617982,9.18213686689166e-06,0.0323183448421513,2.378988771173e-05,"8.50759946894486","NA","32.0791893716467","NA","83.1151914873522","NA","75.2134553089909","NA","61.5917242107566","NA"
"Lachnoclostridium",0.06,NA,0.0380257874784435,0.0302102113509454,0.0226941334376328,0.0405791403186779,0.0900672130322854,4.25758948588276e-05,0.109226162597267,0.000180845900978857,0.0812699711942577,5.92557478075373e-05,0.0505728747657734,3.16273603192935e-05,0.0983994508955004,5.28664171371778e-05,"50.1120217204758","NA","82.0436043287778","NA","35.4499519904296","NA","-15.7118753903777","NA","63.9990848258341","NA"
"Collinsella",0.06,NA,0.000338178061025259,0.00039812755860876,0.00773129011472001,0.00132173788717751,0.000409008689794249,0,0.000936731839515225,2.00304004248734e-05,0.0010644744919643,4.64750963196371e-06,0.0172345630049286,6.12142457792778e-06,0.00319430982919682,9.25162299900611e-06,"-99.3183188503429","NA","-98.4387802674746","NA","-98.2258758467262","NA","-71.2757283251189","NA","-94.676150284672","NA"
"Coprobacillus",0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA"
"Cryptococcus",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA
"Enterococcus",0.06,0.104,0.041644105892706,0.0235399310983645,0.0826659388216226,0.057003345916133,0.0145821440366752,0.0652608638382968,0.0202280242172098,0.0530273374904999,0.00564702734184388,0.0341057494341657,0.0694089016794035,0.0934425259446378,0.0294898532578566,0.076287561589376,"-75.6964266055414","-37.2491693862531","-66.2866263046503","-49.012175489904","-90.5882877635935","-67.2060101594561","15.6815027990058","-10.1514173609252","-50.850244570239","-26.6465753948308"
"Escherichia-Shigella",0.06,0.1,0.129598427565436,0.141113938993709,0.0747404941655153,0.110432327175584,0.0808371773588537,0.160662800243215,0.0960710021200287,0.147419168749828,0.104505422720332,0.162731387885801,0.0669364221338377,0.0810843899592313,0.0991782289117096,0.118320328194718,"34.7286289314229","60.6628002432148","60.1183368667146","47.4191687498283","74.1757045338874","62.7313878858014","11.5607035563962","-18.9156100407687","65.2970481861826","18.3203281947176"
"Fusobacterium",0.12,NA,0.0879083593506234,0.0975996926016942,0.0737798512607383,0.0827123522272177,0.301135381876322,8.91432798606704e-05,0.253038187434658,0.000137351317199132,0.262761888271498,7.08745218874466e-05,0.164456286687141,6.93761452165148e-05,0.200660735634091,4.22931337097422e-05,"150.946151563602","NA","110.865156195548","NA","118.968240226248","NA","37.0469055726175","NA","67.217279695076","NA"
"Lactobacillus",0.04,0.188,0.123658825046102,0.137072761646509,0.0520272266571371,0.113050160768706,0.0598224421099599,0.189042295160052,0.0283991252862685,0.174291953959838,0.0245970344252231,0.203490047358123,0.035107954481275,0.0657808285144119,0.0176384735196618,0.179924242424242,"49.5561052748998","0.554412319176654","-29.0021867843288","-7.29151385114974","-38.5074139369422","8.2393868926187","-12.2301137968124","-65.0101975987171","-55.9038162008455","-4.29561573178594"
"Listeria",NA,0.159,0.0520196330114102,0.0308114204899087,0.0827255921010054,0.0731936637393138,4.37442448977806e-05,0.0673244642422356,0.00176794675917701,0.0787297750185424,4.91901336397551e-05,0.0489766183790416,0.00264818875184965,0.1478201607078,0.000118796646540378,0.124411861109349,"NA","-57.6575696589714","NA","-50.4844182273318","NA","-69.1970953590933","NA","-7.03134546679251","NA","-21.7535464721076"
"Paenibacillus",0.04,NA,0.020817568817367,0.0215354136289656,0.0111861154178403,0.0215876084547711,0.0472197251549093,1.59659605720604e-05,0.0599196133343239,3.37655321447866e-05,0.0579813943238521,1.39425288958911e-05,0.024924350911366,1.83642737337833e-05,0.0523685788526884,1.32166042842944e-05,"18.0493128872733","NA","49.7990333358097","NA","44.9534858096302","NA","-37.689122721585","NA","30.921447131721","NA"
"Parabacteroides",0.06,NA,0.0394177358511718,0.0527676074652205,0.0359315337927386,0.049442787631455,0.127752880011723,5.32198685735346e-05,0.113175510168924,0.000213466838813651,0.141998142580554,7.66839089274013e-05,0.0800807258296298,4.28499720454944e-05,0.119894101275084,6.34397005646133e-05,"112.921466686206","NA","88.62585028154","NA","136.66357096759","NA","33.4678763827164","NA","99.82350212514","NA"
"Pediococcus",0.04,NA,0.00763236121153692,0.0024625467891195,0.0288389839808434,0.0110222527510952,0.0180969941142118,5.32198685735346e-06,0.0219658232850001,1.37351317199132e-05,0.00661902438256544,8.1331418559365e-06,0.0642945087107839,1.73440363041287e-05,0.0267424450989783,3.96498128528833e-06,"-54.7575147144704","NA","-45.0854417874997","NA","-83.4524390435864","NA","60.7362717769598","NA","-33.1438872525541","NA"
"Propionibacterium",0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA"
"Pseudomonas",NA,0.046,0.0307921400692424,0.0898847840760665,0.035946165729191,0.0468288392173074,2.84337591835574e-05,0.0361456042384303,0.00117252985428975,0.0465357708613759,9.24774512427395e-05,0.14290743555066,0.000940044253618668,0.0644024877469485,7.91977643602518e-05,0.0795956776417349,"NA","-21.4225994816732","NA","1.16471926386064","NA","210.668338153609","NA","40.0054081455402","NA","73.0340818298584"
"Pyramidobacter",0.02,NA,0.00273494500402637,0.00262837239609966,0.00484091989858943,0.0020676922503112,0.0126945798693359,2.66099342867673e-06,0.00787823778130219,1.14459430999277e-06,0.00707550882274237,2.32375481598186e-06,0.0107910553973475,4.08094971861852e-06,0.00501020142631402,5.28664171371778e-06,"-36.5271006533203","NA","-60.6088110934891","NA","-64.6224558862882","NA","-46.0447230132623","NA","-74.9489928684299","NA"
"Ralstonia",0.06,NA,0.0115757789772823,0.0345874229677962,0.0284731855695341,0.0391773677446225,0.0385430541794345,1.06439737147069e-05,0.033330426234521,1.25905374099204e-05,0.0931484046655858,6.97126444794557e-06,0.063484991296119,1.22428491558556e-05,0.0950618308260327,7.92996257057667e-06,"-35.7615763676091","NA","-44.4492896091316","NA","55.2473411093097","NA","5.80831882686493","NA","58.4363847100545","NA"
"Saccharomyces",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA
"Salmonella",NA,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA
"Staphylococcus",NA,0.133,0.0581408427546752,0.0249132885482443,0.108335420260167,0.0525734648492317,6.12419428568929e-05,0.066472946345059,0.00217063377984218,0.0878905355785695,6.68985817500669e-05,0.0395851632902509,0.00342883965405367,0.193613517737848,0.000209308377237808,0.0892755186195521,"NA","-50.0203410939406","NA","-33.9168905424289","NA","-70.2367193306384","NA","45.5740734871037","NA","-32.8755499101112"
"Subdoligranulum",0.02,NA,0.00309031222616452,0.00365546844638208,0.0112649027679684,0.0039318011223505,0.00444004085712473,3.85844047158126e-05,0.00771134877541154,0.000634105247735992,0.00964323379873758,0.000119673373023066,0.0248942293331459,0.000185683212197143,0.0092416248364189,0.000210144008120282,"-77.7997957143763","NA","-61.4432561229423","NA","-51.7838310063121","NA","24.4711466657296","NA","-53.7918758179055","NA"
