"","SC249358.PC04924.A01","SC249363.PC04924.F01","SC249383.PC04924.E02","SC249388.PC04924.A03","SC249397.PC04924.B04","SC249400.PC04924.E04","SC249409.PC04924.D05","SC249413.PC04924.H05","SC249427.PC04924.E07","SC249428.PC04924.F07","SC249434.PC04924.C08","SC249439.PC04924.H08","SC249443.PC04924.D09","SC249446.PC04924.F09","SC253848.PC04924.C11","SC253851.PC04924.E11","SC253185.PC04925.C06","SC253192.PC04925.B07","SC253195.PC04925.E07","SC253204.PC04925.A09","SC249439.PC07578.G07","SC249443.PC07578.E05","SC253195.PC07578.E07","SC304093.PC07578.A04","SC304926.PC07578.E06","SC304936.PC07578.B11","SC284724.PC04924.A12","SC284730.PC04925.A12","SC284725.PC04924.B12","SC284731.PC04925.B12","SC326764.PC07578.B12","SC284726.PC04924.C12","SC284732.PC04925.C12","SC326765.PC07578.C12","SC284727.PC04924.D12","SC284733.PC04925.D12","SC326766.PC07578.D12","SC249362.PC04924.E01","SC284728.PC04924.E12","SC284734.PC04925.E12","SC326767.PC07578.E12","SC284729.PC04924.F12","SC284735.PC04925.F12","SC326768.PC07578.F12","SC249368.PC04924.B02","SC249390.PC04924.C03","SC249391.PC04924.D03","SC249395.PC04924.H03","SC249404.PC04924.H04","SC249408.PC04924.C05","SC249412.PC04924.G05","SC249420.PC04924.G06","SC249425.PC04924.C07","SC249432.PC04924.A08","SC249437.PC04924.F08","SC249442.PC04924.C09","SC249451.PC04924.C10","SC253844.PC04924.G10","SC253854.PC04924.H11","SC249391.PC04925.H01","SC249408.PC04925.E02","SC249432.PC04925.B04","SC249437.PC04925.F04","SC253181.PC04925.G05","SC253189.PC04925.F06","SC253194.PC04925.D07","SC253196.PC04925.F07","SC261522.PC04925.F11","SC249362.PC07578.H08","SC249368.PC07578.C10","SC249408.PC07578.E02","SC249420.PC07578.H07","SC249437.PC07578.F04","SC249451.PC07578.F06","SC253181.PC07578.G05","SC253196.PC07578.F07","SC304092.PC07578.A03","SC304097.PC07578.A09","SC304924.PC07578.A.11.PC07578.A11","SC304924.PC07578.B.07.PC07578.B07","SC304927.PC07578.B02","SC304934.PC07578.C.05.PC07578.C05","SC304934.PC07578.D.02.PC07578.D02","SC304937.PC07578.D04"
"Candidatus Stoquefichus",0.0232931261114977,0.0192984238081607,0.0158448277260158,0.021738939914464,0.0116007755759309,0.0145064357917521,0.0128064343800083,0.016346742739258,0.0158119658119658,0.0168098653676499,0.00889188584845012,0.00683297414569804,0.00732977950084807,0.00417355012607599,0.0192619909934398,0.0201800522255017,0.0207725091446022,0.0150912775421182,0.0140109794656197,0.0139321236048895,0.00851446767271217,0.00667916840301894,0.0140829982789034,0.0242430874735537,0.014879968466292,0.0150961226728104,7.17735973644735e-06,6.78090226685563e-06,4.23678546613114e-06,4.499964000288e-06,0,0,0,3.24447789861655e-06,4.02488991926071e-06,7.36566861856885e-06,0,9.52036405872161e-06,4.02035909847468e-06,0,3.56206542801778e-06,8.26952020243785e-06,0,3.49125440770869e-06,4.9190811156476e-06,2.09419698016795e-05,4.50101722989396e-06,8.15594160345812e-06,4.46444515875567e-06,4.36578274118767e-06,7.08933268111473e-06,1.05386663669002e-05,8.28116201265362e-06,0,6.26739201283562e-06,8.39658762678847e-06,0,3.51032386247955e-06,0,2.6794422473018e-05,1.19029197862236e-05,0,0,3.71769324569491e-06,0,3.91383305153735e-06,9.28212077895558e-06,1.5199762883699e-05,4.00824094337959e-06,3.71691941718704e-06,4.58614616965072e-06,6.7129412080609e-06,0,4.7378096158584e-06,0,7.44962193168697e-06,1.62248109809521e-05,7.60144123325783e-06,6.90469450179177e-06,0,0,2.55528542538202e-05,0,0
"Carnobacterium",0,0,0,0,0,0,0,0,0,0,0,0,1.06900041334683e-05,0,0,0,0,0,0,0,0,1.92928030127641e-05,0,0,1.58940060524375e-05,0,0,0,0,0,0,0,0,3.24447789861655e-06,0,0,0,0.000233248919438679,0.000474402373620012,0.000559373501678121,0.000370454804513849,0.00038453268941336,0.000465342466901993,0.000541144433194847,0.000177086920163313,0.000188477728215116,0.000148533568586501,5.70915912242068e-05,6.6966677381335e-05,0.000100413003047316,5.31699951083605e-05,9.83608860910681e-05,0.000115936268177151,0.00062732959072468,0.000636140289302815,0.00057516625243501,0.000507625416583902,8.42477726995093e-05,0.000160596581387554,0.000128613227870486,3.57087593586707e-05,0.000454841427914815,0.000517520323977772,0.000130119263599322,0.000287272502276082,0.000309192811071451,0.0001670781740212,0.000239396265418259,0.000140288433018286,5.57537912578055e-05,5.96199002054593e-05,0.000117476471141066,0.000619414211131758,0.000521159057744424,0.000129237927023651,0.000145267627667896,8.92364603952364e-05,3.04057649330313e-05,0.000165712668043002,5.10960094016657e-05,0.000417152635297924,0.000131414679019646,0.000210481061182814,0.000308791373871242
"Faecalibacterium",0.00167530090981726,1.38505434029862e-05,0.00364495909050365,0.00250648531164552,0.00415721844293273,0.00476640033157568,1.11295779664035e-05,3.22341488572994e-05,1.37854976564654e-05,0.00011986498408193,0.000412276043268021,0.0212665508616899,0.00363816474009037,0.0183723154508304,2.57120398463155e-05,1.47947596961156e-05,0.000117453605825699,7.298768654794e-05,0.00253639553872346,0.00240427201174297,0.0207977602412048,0.00417496257196216,0.00261735236775765,0.00109433136353688,0.000689799862675788,0.0016692993771168,7.17735973644735e-06,3.05140602008503e-05,4.23678546613114e-06,4.0499676002592e-05,2.50732497080757e-05,7.03749577750253e-06,3.14737587536392e-05,1.62223894930828e-05,2.01244495963035e-05,4.78768460206975e-05,1.68823100402474e-05,2.85610921761648e-05,1.2061077295424e-05,2.21973611777032e-05,1.06861962840533e-05,1.65390404048757e-05,0.000272497840978645,2.44387808539608e-05,4.9190811156476e-06,0.000403132918682331,0.000445600705759502,0.000383329255362532,8.48244580163577e-05,8.73156548237534e-06,0.000287117973585146,2.81031103117338e-05,2.0702905031634e-05,0.000279321934556244,2.19358720449247e-05,9.65607577080674e-05,9.56395712404452e-05,8.77580965619888e-05,1.04736900904927e-05,0.000557323987438775,7.14175187173414e-05,0.000263329247740156,6.02936299779928e-05,3.34592392112542e-05,6.62936543714036e-05,0.000144811822906882,0.000714723299979579,0.00269795791185658,7.21483369808326e-05,5.57537912578055e-05,1.83445846786029e-05,6.37729414765786e-05,3.40337478643823e-05,0.000440616294274831,0.000233346257126036,0.000201139792155548,0.00135882791965474,0.000543503048177934,0.000731897617189927,0.000797097746665985,0.000153239743578829,0.000850545005877156,0.000774749437970783,0.00014604997412829
"Tyzzerella 3",0,0,2.02722975000203e-05,1.31459019841548e-05,6.98346971638897e-05,6.90782656750098e-05,0,0,0,0,3.49386477345781e-06,0.000104512790203187,0.000142533388446244,0.000421702460655595,0,0,0,0,2.17157152287968e-05,3.79621896590995e-05,9.22977525497254e-05,0.000200645151332747,5.71318388596485e-05,2.55343984825272e-05,3.1788012104875e-06,1.7244828276e-05,0,0,0,0,0,0,0,0,0,0,3.37646200804949e-06,0,0,0,3.56206542801778e-06,0,0,0,0,1.04709849008398e-05,0,4.07797080172906e-06,0,0,3.54466634055736e-06,0,0,9.15809621495883e-06,0,0,0,3.51032386247955e-06,0,0,0,0,0,0,0,0,9.28212077895558e-06,3.0399525767398e-05,8.01648188675918e-06,0,0,0,0,9.47561923171679e-06,0,1.11744328975304e-05,1.62248109809521e-05,0,6.90469450179177e-06,2.81028051709162e-05,0,2.55528542538202e-05,1.34349613520945e-05,0
"Serratia",0.00541251063171731,0.00572950812103528,0.00645469952400645,0.00794888873308561,0.00556212823293569,0.00597910766231474,0.0067630735442512,0.00655964929246043,0.00598979873173422,0.00566721644739366,0.00485996589987981,0.00397508991703847,0.00464658846334754,0.00394748282758021,0.00456939679554521,0.00704230561535104,0.00608661364475318,0.00504473715846056,0.00374378930544456,0.00431503555791765,0.00324580429799868,0.0043100121930515,0.00416705349682561,0.00534763259648355,0.00525455840093584,0.00463196087493361,0.00437460075936466,0.00346843150949665,0.00498245970817022,0.00439646482828137,0.00485704665773581,0.00241737979957212,0.00175859627035959,0.00202130973083811,0.00854886618850974,0.00672853828306265,0.00745522811377326,0.0148612882956644,0.00560036022417522,0.00511427201534282,0.00460931266385501,0.00471362651538958,0.00412100581049242,0.00455957825646755,0.0174184662305081,0.0165650981131285,0.0156770430117207,0.0165361716010113,0.0162193292617593,0.0163280274520419,0.0137143140716164,0.0162787266480718,0.0155106164497002,0.00742721603033161,0.0059289528441425,0.0080103445959562,0.00796015508324321,0.0170426223523382,0.0138113059993297,0.0137776920356259,0.0133788818397153,0.00597518002144936,0.00690864510164501,0.00904514766677572,0.0089363846092652,0.00654784269522199,0.00646499712254256,0.0108830302247285,0.0105817560905221,0.0138678263455248,0.0139877458174347,0.0130197494730341,0.00753507177717425,0.0058417192563534,0.00944513849997846,0.00767311058963758,0.0131542655028069,0.0121547045319793,0.0126597573690352,0.0100735782535384,0.0119782399564118,0.0102320929247797,0.0114331521106324,0.0109328837776034
"Ruminococcaceae UCG-003",6.4434650377587e-05,0,0.000267594327000268,0.000166514758465961,0.000854448059417003,0.00107455079938904,1.4839437288538e-05,0,6.8927488282327e-06,4.7945993632772e-06,1.04815943203734e-05,2.5227225221459e-05,7.12666942231218e-06,6.08642726719416e-05,3.67314854947364e-06,0,1.25843149098963e-05,0,1.30294291372781e-05,7.59243793181991e-05,4.99946159644346e-05,3.85856060255282e-06,0.000203532175937498,0.000138615306048005,4.4503216946825e-05,7.58772444144001e-05,0,3.39045113342781e-06,4.23678546613114e-06,0,3.58189281543939e-06,3.51874788875127e-06,2.36053190652294e-05,3.24447789861655e-06,0,3.68283430928443e-06,1.01293860241485e-05,0,0,4.43947223554064e-06,0,8.26952020243785e-06,1.25768234297836e-05,0,0,2.09419698016795e-05,3.60081378391517e-05,6.11695620259359e-05,1.78577806350227e-05,0,1.06339990216721e-05,3.51288878896672e-06,4.14058100632681e-06,0,0,0,3.67844504770943e-06,0,6.98246006032845e-06,2.14355379784144e-05,5.95145989311178e-06,4.78780450436648e-06,1.50734074944982e-05,0,4.41957695809357e-06,1.56553322061494e-05,4.64106038947779e-06,8.73986365812693e-05,0,0,4.58614616965072e-06,6.7129412080609e-06,1.02101243593147e-05,0,1.07698272519709e-05,1.11744328975304e-05,0.000166304312554759,1.90036030831446e-05,2.76187780071671e-05,4.08768075213326e-05,2.55399572631382e-05,1.82520387527287e-05,3.13482431548872e-05,1.25185692109963e-05
"Lachnospira",0.000277068996623624,9.23369560199079e-06,0.000377064733500377,0.000306737712963612,0.000673699431463407,0.000717646426734824,7.41971864426901e-06,4.02926860716243e-06,1.0339123242349e-05,4.7945993632772e-06,2.79509181876625e-05,0.000663115634392637,8.195669835659e-05,0.000299973915311712,7.34629709894728e-06,0,4.1947716366321e-06,2.14669666317471e-05,0.000156353149647337,0.000278389390833397,0.000673004445675081,0.000189069469525088,0.000332078813371707,0.000248048442401693,0.000104900439946088,0.0001621013857944,0,1.01713534002834e-05,0,8.999928000576e-06,0,0,1.18026595326147e-05,6.48895579723311e-06,8.04977983852142e-06,2.20970058557066e-05,6.75292401609897e-06,4.7601820293608e-06,0,1.33184167066219e-05,7.12413085603556e-06,0,1.25768234297836e-05,0,0,4.7119432053779e-05,4.50101722989396e-06,6.11695620259359e-05,2.23222257937783e-05,0,0.000219769313114557,7.02577757793344e-06,0,0,6.26739201283562e-06,0,7.35689009541886e-06,1.05309715874387e-05,1.04736900904927e-05,5.3588844946036e-05,1.19029197862236e-05,1.43634135130994e-05,2.00978766593309e-05,0,0,1.56553322061494e-05,5.10516642842557e-05,0.000273595731906582,4.00824094337959e-06,1.85845970859352e-05,3.2103023187555e-05,6.7129412080609e-06,0,4.7378096158584e-06,2.15396545039418e-05,1.86240548292174e-05,0.000275821786676185,6.08115298660626e-05,0.000103570417526877,0.000104746819273415,3.40532763508509e-05,0.000120463455768009,7.61314476618689e-05,5.00742768439852e-05
"Akkermansia",0.000457486017680868,8.77201082189124e-05,0.00336925584450337,0.000429432798149057,0.00462141378290447,0.00227574508584893,0.000100166201697632,8.86439093575734e-05,3.10173697270471e-05,7.67135898124353e-05,0.000202644156860553,0.00669242246232134,0.00108681708690261,0.00810364316146422,2.93851883957891e-05,1.84934496201445e-05,0.000104869290915803,0.000811451338680039,0.000629755741635106,0.00127806038518968,0.00587629024566585,0.00141223318053433,0.0130189177801424,0.000638359962063179,0.000352846934364113,0.000758772444144001,4.30641584186841e-05,4.06854136011338e-05,1.69471418645245e-05,5.3999568003456e-05,2.50732497080757e-05,5.98187141087715e-05,8.65528365725077e-05,2.59558231889324e-05,5.23235689503892e-05,9.20708577321106e-05,5.40233921287918e-05,4.7601820293608e-05,4.42239500832214e-05,4.8834194590947e-05,2.49344579961245e-05,4.13476010121893e-05,0.000159306430110592,2.44387808539608e-05,2.95144866938856e-05,0.000209419698016795,0.000180040689195758,0.000481200554604029,3.57155612700454e-05,3.9292044670689e-05,0.000354466634055736,3.86417766786339e-05,3.31246480506145e-05,0.000100739058364547,5.32728321091028e-05,7.55692886410963e-05,7.35689009541886e-05,4.91445340747137e-05,7.33158306334488e-05,0.00032689195417082,7.73689786104531e-05,0.000110119503600429,6.02936299779928e-05,6.32007851768135e-05,7.51328082875907e-05,0.000164380988164569,0.000445541797389868,0.00113998221627743,4.00824094337959e-05,7.06214689265537e-05,0.000110067508071617,0.000614234120537572,7.48742453016411e-05,0.000175298955786761,8.6158618015767e-05,0.000338957797891757,0.000190641529026187,0.000216641075147848,0.000165712668043002,0.000214603239486996,2.55399572631382e-05,0.00024822772703711,0.000255264265689796,6.25928460549816e-05
"Adlercreutzia",6.4434650377587e-06,0,4.05445950000405e-06,0,0,0,0,4.02926860716243e-06,0,0,6.98772954691562e-06,2.5227225221459e-05,0.000192420074402429,0.000712981479871316,0,0,4.1947716366321e-06,0,1.73725721830374e-05,3.79621896590995e-05,3.07659175165751e-05,0.00015048386349956,1.42829597149121e-05,3.6477712117896e-06,9.5364036314625e-06,2.75917252416e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.54466634055736e-06,0,0,0,0,4.19829381339424e-06,0,0,0,0,0,4.78780450436648e-06,0,3.71769324569491e-06,0,0,1.39231811684334e-05,1.5199762883699e-05,0,0,0,0,0,9.47561923171679e-06,0,0,0,0,3.45234725089588e-06,5.10960094016657e-06,0,1.09512232516372e-05,0,0
"Ruminococcaceae UCG-014",0.000122425835717415,4.15516302089585e-05,0.00027975770550028,6.5729509920774e-05,0.000377928949357521,0.000452846408313953,1.11295779664035e-05,4.02926860716243e-05,1.37854976564654e-05,1.91783974531088e-05,2.44570534142047e-05,0.000612661183949719,0.000299320115737111,0.00107816711590297,7.34629709894728e-06,2.58908294682024e-05,2.51686298197926e-05,0.000103041439832386,0.00013463743441854,0.000215119074734897,0.000607626870952359,0.000297109166396567,0.000396352132088811,0.000116728678777267,6.9933626630725e-05,9.31220726904001e-05,7.17735973644735e-06,1.35618045337113e-05,4.23678546613114e-06,4.499964000288e-06,0,1.75937394437563e-05,1.57368793768196e-05,3.24447789861655e-06,4.02488991926071e-06,2.20970058557066e-05,0,0,1.2061077295424e-05,1.33184167066219e-05,0,4.13476010121893e-06,2.93459213361617e-05,3.49125440770869e-06,9.83816223129519e-06,1.04709849008398e-05,3.60081378391517e-05,2.85457956121034e-05,4.46444515875567e-06,4.36578274118767e-06,9.57059911950488e-05,3.51288878896672e-06,0,0,6.26739201283562e-06,8.39658762678847e-06,7.35689009541886e-06,0,1.39649201206569e-05,3.75121914622252e-05,2.97572994655589e-05,9.57560900873296e-06,5.02446916483274e-06,3.71769324569491e-06,1.32587308742807e-05,1.95691652576868e-05,2.32053019473889e-05,0.000163397450999764,0,1.48676776687481e-05,9.17229233930144e-06,2.68517648322436e-05,1.36134991457529e-05,2.3689048079292e-05,1.79497120866181e-05,7.44962193168697e-06,1.21686082357141e-05,7.60144123325783e-06,4.48805142616465e-05,3.06576056409994e-05,4.25665954385636e-06,3.65040775054574e-05,1.79132818027927e-05,8.34571280733087e-06
