"","Art.Col","Zymo.Ext","Qiagen DSP Virus_OB","Zymo MagBead DNone Kit_OB","MagAttract PowerMag Soil_OB","MagAttract PowerMag Microbiome_OB","Qiagen QIAamp  Modified_OB","Qiagen DSP Virus_OB_AC","Qiagen DSP Virus_OB_ZE","Zymo MagBead DNone Kit_OB_AC","Zymo MagBead DNone Kit_OB_ZE","MagAttract PowerMag Soil_OB_AC","MagAttract PowerMag Soil_OB_ZE","MagAttract PowerMag Microbiome_OB_AC","MagAttract PowerMag Microbiome_OB_ZE","Qiagen QIAamp  Modified_OB_AC","Qiagen QIAamp  Modified_OB_ZE","Qiagen DSP-AC_Diff","Qiagen DSP-ZE_Diff","Zymo MagBead-AC_Diff","Zymo MagBead-ZE_Diff","MagAttract PS-AC_Diff","MagAttract PS-ZE_Diff","MagAttract MB-AC_Diff","MagAttract MB-ZE_Diff","Qiagen QIAmp-AC_Diff","Qiagen QIAMmp-ZE_Diff"
"Actinomycetales",0.06,NA,8.26787928896238e-07,1.12034231686044e-06,2.19046214370308e-06,6.74537393823598e-06,7.76578395589035e-07,0,1.32929935289707e-06,0,1.71543162260962e-06,0,3.48296944042613e-06,1.5046380467792e-05,0,1.88529133406985e-06,0,"-100","NA","-100","NA","-100","NA","-99.9749226992203","NA","-99.9968578477766","NA"
"Bacillales",0.04,0.449,0.18815708970649,0.228646928973658,0.12386698345617,0.317431114273942,0.229849343791256,0.0473968995503298,0.273709383258272,0.0679906386112074,0.313982311612729,0.0581792066740123,0.162626809112377,0.0351195058768654,0.546836712132806,0.0528880777946616,0.353798737055612,"18.4922488758245","-39.0402264458191","69.9765965280185","-30.0707546519535","45.4480166850307","-63.7802206876666","-12.2012353078364","21.7899136153242","32.220194486654","-21.2029538851643"
"Bacteroidales",0.16,NA,0.0812277800744109,0.0760641478134839,0.0878725793567927,0.0630962278182594,0.0925821231653335,0.214188231588893,0.000416070697456784,0.21419559446326,0.0026932276474971,0.234814260979065,0.00116795575235623,0.140267374180913,0.000387177101938637,0.223571043433342,0.000833247499597242,"33.8676447430581","NA","33.8722465395372","NA","46.7589131119156","NA","-12.3328911369296","NA","39.7319021458386","NA"
"Bifidobacteriales",0.06,NA,0.00630591153369161,0.0042427363539505,0.00200938393982362,0.0100815234651885,0.00602236545779296,0.0166679789337393,7.97579611738245e-06,0.0122163109496815,7.43353703130834e-06,0.00540492680623328,5.80494906737688e-06,0.0224880694741541,0,0.0146128931303754,5.28207606717744e-06,"-72.2200351104346","NA","-79.6394817505309","NA","-90.9917886562779","NA","-62.5198842097432","NA","-75.6451781160409","NA"
"Burkholderiales",0.06,NA,0.014582058701943,0.0116041322706015,0.0345757147843052,0.0284750339657684,0.0391830395278403,0.0385478452574668,1.59515922347649e-05,0.0334129237976924,2.00133689304455e-05,0.0931489060286479,1.39318777617045e-05,0.0634994871691991,1.42644195451077e-05,0.0951110625124901,9.24363311756053e-06,"-35.7535912375553","NA","-44.3117936705127","NA","55.2481767144131","NA","5.83247861533176","NA","58.5184375208168","NA"
"Clostridiales",0.14,NA,0.0444076064489458,0.0603599361106121,0.0416173204222627,0.105428508311144,0.0621153995495845,0.116056899900268,0.000860056681324408,0.156800032726106,0.00913410157985534,0.109070517865575,0.00181578806827549,0.232499178718399,0.00217124843218746,0.146490907239896,0.00301606543435832,"-17.1022143569516","NA","12.0000233757901","NA","-22.0924872388748","NA","66.0708419417139","NA","4.63636231421126","NA"
"Coriobacteriales",0.06,NA,0.000163704009921455,0.00040556391870348,0.000405965650632971,0.00839855266759865,0.00136211850586317,0.00042648679859325,3.98789805869123e-06,0.00105175676752192,6.23273489548161e-05,0.00106642531087675,1.62538573886553e-05,0.0187076663816213,2.13966293176615e-05,0.00327286575594527,2.37693423022985e-05,"-99.2891886690113","NA","-98.2470720541301","NA","-98.2226244818721","NA","-68.8205560306311","NA","-94.5452237400912","NA"
"Desulfovibrionales",0.02,NA,0.00821165770979744,0.009183819418744,0.0136042302204919,0.0156998578412443,0.0133237555331211,0.0217005231571396,1.32929935289707e-05,0.0264112595029507,3.31650113704526e-05,0.0366224618290571,2.20588064560322e-05,0.035009165753435,9.1699839932835e-06,0.0323120081746232,2.37693423022985e-05,"8.50261578569803","NA","32.0562975147537","NA","83.1123091452857","NA","75.0458287671748","NA","61.5600408731161","NA"
"Enterobacteriales",0.06,0.203,0.306535758577925,0.300720417454485,0.33066048274865,0.160199258346135,0.225516036343869,0.0978120133676273,0.433395455923092,0.116954921941778,0.398330656306984,0.124006374940973,0.452599107895427,0.0811062600465936,0.224470000397366,0.11201458461376,0.305016123537195,"63.0200222793788","113.495298484282","94.9248699029628","96.2219981807805","106.677291568288","122.95522556425","35.1771000776561","10.5763548755497","86.6909743562673","50.2542480478793"
"Erysipelotrichales",0.04,NA,0.015307151715585,0.0117960842542236,0.0114115776146451,0.00740079943923458,0.013100877533587,0.0404768778541809,9.30509547027953e-06,0.0338026228251672,0.000106928571142666,0.0307020305367543,2.90247453368844e-05,0.0164745327471932,2.75099519798505e-05,0.0317615031050748,3.03719373862703e-05,"1.1921946354522","NA","-15.4934429370819","NA","-23.2449236581143","NA","-58.8136681320169","NA","-20.5962422373129","NA"
