"","Genus","value","Plate","Type","BINF","Expected"
"433","Acinetobacter",0,"PC04924","Seq200","Nephele",NA
"434","Actinomyces",0,"PC04924","Seq200","Nephele",NA
"435","Alistipes",4.82e-05,"PC04924","Seq200","Nephele",NA
"436","Anaerostipes",0,"PC04924","Seq200","Nephele",NA
"437","Bacteroides",0.000240989,"PC04924","Seq200","Nephele",NA
"438","Bifidobacterium",8.03e-06,"PC04924","Seq200","Nephele",NA
"439","Bilophila",8.03e-06,"PC04924","Seq200","Nephele",NA
"440","Clostridium",NA,"PC04924","Seq200","Nephele",NA
"441","Lachnoclostridium",5.62e-05,"PC04924","Seq200","Nephele",NA
"442","Collinsella",8.03e-06,"PC04924","Seq200","Nephele",NA
"443","Coprobacillus",NA,"PC04924","Seq200","Nephele",NA
"445","Deinococcus",0,"PC04924","Seq200","Nephele",NA
"447","Fusobacterium",0.000104429,"PC04924","Seq200","Nephele",NA
"448","Helicobacter",0,"PC04924","Seq200","Nephele",NA
"450","Neisseria",0,"PC04924","Seq200","Nephele",NA
"451","Paenibacillus",4.02e-05,"PC04924","Seq200","Nephele",NA
"452","Parabacteroides",4.82e-05,"PC04924","Seq200","Nephele",NA
"453","Pediococcus",1.61e-05,"PC04924","Seq200","Nephele",NA
"454","Porphyromonadaceae",NA,"PC04924","Seq200","Nephele",NA
"455","Propionibacterium",NA,"PC04924","Seq200","Nephele",NA
"457","Pyramidobacter",0,"PC04924","Seq200","Nephele",NA
"458","Ralstonia",1.61e-05,"PC04924","Seq200","Nephele",NA
"459","Rhodobacter",0,"PC04924","Seq200","Nephele",NA
"462","Streptococcus",0,"PC04924","Seq200","Nephele",NA
"463","Subdoligranulum",8.03e-06,"PC04924","Seq200","Nephele",NA
"464","[Clostridium] innocuum group",0,"PC04924","Seq200","Nephele",NA
"465","[Eubacterium] coprostanoligenes group",0,"PC04924","Seq200","Nephele",NA
"466","[Eubacterium] eligens group",0,"PC04924","Seq200","Nephele",NA
"467","[Eubacterium] hallii group",1.61e-05,"PC04924","Seq200","Nephele",NA
"468","[Eubacterium] rectale group",4.02e-05,"PC04924","Seq200","Nephele",NA
"469","[Eubacterium] ventriosum group",0,"PC04924","Seq200","Nephele",NA
"470","[Eubacterium] xylanophilum group",0,"PC04924","Seq200","Nephele",NA
"471","[Ruminococcus] gauvreauii group",0,"PC04924","Seq200","Nephele",NA
"472","[Ruminococcus] torques group",8.03e-06,"PC04924","Seq200","Nephele",NA
"473","Adlercreutzia",0,"PC04924","Seq200","Nephele",NA
"474","Akkermansia",8.84e-05,"PC04924","Seq200","Nephele",NA
"475","Ambiguous_taxa",6.43e-05,"PC04924","Seq200","Nephele",NA
"476","Anaerofilum",0,"PC04924","Seq200","Nephele",NA
"477","Anaerotruncus",0,"PC04924","Seq200","Nephele",NA
"478","Blautia",1.61e-05,"PC04924","Seq200","Nephele",NA
"479","Butyricicoccus",8.03e-06,"PC04924","Seq200","Nephele",NA
"480","Candidatus Stoquefichus",8.03e-06,"PC04924","Seq200","Nephele",NA
"481","Carnobacterium",0.00094789,"PC04924","Seq200","Nephele",NA
"482","Christensenellaceae R-7 group",8.03e-06,"PC04924","Seq200","Nephele",NA
"483","Clostridium sensu stricto 1",8.03e-06,"PC04924","Seq200","Nephele",NA
"484","Coprococcus 1",0,"PC04924","Seq200","Nephele",NA
"485","Coprococcus 2",1.61e-05,"PC04924","Seq200","Nephele",NA
"486","Coprococcus 3",0,"PC04924","Seq200","Nephele",NA
