"","Genus","value","Control","BINF"
"1","Acinetobacter",NA,"Zymo.200","QIIME2"
"2","Actinomyces",NA,"Zymo.200","QIIME2"
"3","Alistipes",8.75e-05,"Zymo.200","QIIME2"
"4","Anaerostipes",NA,"Zymo.200","QIIME2"
"5","Bacteroides",0.000349918,"Zymo.200","QIIME2"
"6","Bifidobacterium",NA,"Zymo.200","QIIME2"
"7","Bilophila",NA,"Zymo.200","QIIME2"
"8","Clostridium",NA,"Zymo.200","QIIME2"
"9","Lachnoclostridium",NA,"Zymo.200","QIIME2"
"10","Collinsella",NA,"Zymo.200","QIIME2"
"11","Coprobacillus",NA,"Zymo.200","QIIME2"
"12","Deinococcus",NA,"Zymo.200","QIIME2"
"13","Fusobacterium",NA,"Zymo.200","QIIME2"
"14","Helicobacter",NA,"Zymo.200","QIIME2"
"15","Neisseria",NA,"Zymo.200","QIIME2"
"16","Paenibacillus",NA,"Zymo.200","QIIME2"
"17","Parabacteroides",NA,"Zymo.200","QIIME2"
"18","Pediococcus",NA,"Zymo.200","QIIME2"
"19","Porphyromonadaceae",NA,"Zymo.200","QIIME2"
"20","Propionibacterium",NA,"Zymo.200","QIIME2"
"21","Pyramidobacter",NA,"Zymo.200","QIIME2"
"22","Ralstonia",NA,"Zymo.200","QIIME2"
"23","Rhodobacter",NA,"Zymo.200","QIIME2"
"24","Streptococcus",NA,"Zymo.200","QIIME2"
"25","Subdoligranulum",0.000481137,"Zymo.200","QIIME2"
"26","Clostridium innocuum group",NA,"Zymo.200","QIIME2"
"27","Eubacterium coprostanoligenes group",NA,"Zymo.200","QIIME2"
"28","Eubacterium eligens group",NA,"Zymo.200","QIIME2"
"29","Eubacterium hallii group",NA,"Zymo.200","QIIME2"
"30","Eubacterium rectale group",NA,"Zymo.200","QIIME2"
"31","Eubacterium ventriosum group",NA,"Zymo.200","QIIME2"
"32","Eubacterium xylanophilum group",NA,"Zymo.200","QIIME2"
"33","Ruminococcus gauvreauii group",NA,"Zymo.200","QIIME2"
"34","Ruminococcus torques group",NA,"Zymo.200","QIIME2"
"35","Adlercreutzia",NA,"Zymo.200","QIIME2"
"36","Akkermansia",0.000251504,"Zymo.200","QIIME2"
"37","Ambiguous_taxa",NA,"Zymo.200","QIIME2"
"38","Anaerofilum",NA,"Zymo.200","QIIME2"
"39","Anaerotruncus",NA,"Zymo.200","QIIME2"
"40","Blautia",NA,"Zymo.200","QIIME2"
"41","Butyricicoccus",NA,"Zymo.200","QIIME2"
"42","Candidatus Stoquefichus",NA,"Zymo.200","QIIME2"
"43","Carnobacterium",NA,"Zymo.200","QIIME2"
"44","Christensenellaceae R-7 group",NA,"Zymo.200","QIIME2"
"45","Clostridium sensu stricto 1",NA,"Zymo.200","QIIME2"
"46","Coprococcus 1",NA,"Zymo.200","QIIME2"
"47","Coprococcus 2",NA,"Zymo.200","QIIME2"
"48","Coprococcus 3",NA,"Zymo.200","QIIME2"
"49","Defluviitaleaceae UCG-011",NA,"Zymo.200","QIIME2"
"50","Dialister",3.28e-05,"Zymo.200","QIIME2"
"51","Dorea",0.000109349,"Zymo.200","QIIME2"
"52","Eisenbergiella",NA,"Zymo.200","QIIME2"
"53","Enterobacter",NA,"Zymo.200","QIIME2"
"54","Erwinia",NA,"Zymo.200","QIIME2"
"55","Erysipelatoclostridium",NA,"Zymo.200","QIIME2"
"56","Erysipelotrichaceae UCG-003",NA,"Zymo.200","QIIME2"
"57","Faecalibacterium",0.000721706,"Zymo.200","QIIME2"
"58","Family XIII AD3011 group",NA,"Zymo.200","QIIME2"
"59","Flavonifractor",NA,"Zymo.200","QIIME2"
"60","Fusicatenibacter",NA,"Zymo.200","QIIME2"
"61","Gordonibacter",NA,"Zymo.200","QIIME2"
"62","Gossypium arboreum",NA,"Zymo.200","QIIME2"
"63","Holdemania",NA,"Zymo.200","QIIME2"
"64","Hungatella",NA,"Zymo.200","QIIME2"
"65","Intestinibacter",NA,"Zymo.200","QIIME2"
"66","Intestinimonas",NA,"Zymo.200","QIIME2"
"67","Kluyvera",NA,"Zymo.200","QIIME2"
"68","Lachnospira",NA,"Zymo.200","QIIME2"
"69","Lachnospiraceae FCS020 group",NA,"Zymo.200","QIIME2"
"70","Lachnospiraceae ND3007 group",NA,"Zymo.200","QIIME2"
"71","Lachnospiraceae NK4A136 group",NA,"Zymo.200","QIIME2"
"72","Lachnospiraceae UCG-001",NA,"Zymo.200","QIIME2"
"73","Lachnospiraceae UCG-004",NA,"Zymo.200","QIIME2"
"74","Lachnospiraceae UCG-008",NA,"Zymo.200","QIIME2"
"75","Lactonifactor",NA,"Zymo.200","QIIME2"
"76","Marvinbryantia",NA,"Zymo.200","QIIME2"
