"","Art.Col","Zymo.Ext","Qiagen DSP Virus_OB_AC","Qiagen DSP Virus_OB_ZE","Zymo MagBead DNone Kit_OB_AC","Zymo MagBead DNone Kit_OB_ZE","MagAttract PowerMag Soil_OB_AC","MagAttract PowerMag Soil_OB_ZE","MagAttract PowerMag Microbiome_OB_AC","MagAttract PowerMag Microbiome_OB_ZE","Qiagen QIAamp  Modified_OB_AC","Qiagen QIAamp  Modified_OB_ZE"
"Acinetobacter",NA,NA,0,2.65858456957516e-06,5.38223560844021e-06,2.8590330864463e-06,0,0,0,0,7.54106581653718e-06,0
"Actinomyces",NA,NA,0,1.32929228478758e-06,0,1.71541985186778e-06,0,3.48294922208329e-06,1.50454183566642e-05,0,1.8852664541343e-06,0
"Alistipes",0.04,NA,0.00438076574822954,6.6464614239379e-05,0.00951902189708735,0.000627843665783607,0.00705375413190619,0.00028560183621083,0.00740986854065711,7.84541476262526e-05,0.00947534919847897,0.000171667245493405
"Anaerostipes",0.06,NA,0.0165826090379812,1.32929228478758e-05,0.0118484534684203,0.000127512875655505,0.0173677790020463,1.85757291844442e-05,0.00936953428161262,3.36232061255368e-05,0.0151858212880517,4.62181045559166e-05
"Bacillus",NA,0.157,5.46775555195899e-05,0.139962513957569,0.00412063958182182,0.147419179423196,6.88651031008972e-05,0.0740753640552674,0.0041136681356846,0.20575771932774,0.000182870846051027,0.140207241980829
"Bacteroides",0.06,NA,0.0820557011193589,0.000293773594938055,0.0914527945643726,0.0018314965951775,0.0857626318274831,0.000801078321079157,0.0528319865594263,0.000258796798663223,0.0942086499795449,0.000594232772861785
"Bifidobacterium",0.06,NA,0.0166679060245918,7.97575370872547e-06,0.0122155219369159,7.43348602476037e-06,0.00540492680623328,5.80491537013882e-06,0.0224866315188977,0,0.0146127002859949,5.28206909210476e-06
"Bilophila",0.02,NA,0.0217004282346148,1.32929228478758e-05,0.0264095536834944,3.3164783802777e-05,0.0366224618290571,2.20586784065275e-05,0.0350069271613684,9.16996530696459e-06,0.0323115817574077,2.37693109144714e-05
"Clostridium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lachnoclostridium",0.06,NA,0.0900626823496477,4.25373531132025e-05,0.109200178259643,0.000180690891063406,0.081268691956556,5.92101367754159e-05,0.0505212610568153,3.15854360573225e-05,0.0983788593760899,5.28206909210476e-05
"Collinsella",0.06,NA,0.000408988115286532,0,0.000936508995868596,2.00132316051241e-05,0.00106445773650244,4.64393229611106e-06,0.017216973739476,6.11331020464306e-06,0.0031936413733035,9.24362091118333e-06
"Coprobacillus",0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cryptococcus",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deinococcus",NA,NA,2.1871022207836e-06,0,1.07644712168804e-06,5.71806617289259e-07,0,0,0,1.01888503410718e-06,0,0
"Fusobacterium",0.12,NA,0.301120233757485,8.90625830807678e-05,0.25297799096215,0.000137233588149422,0.262757752243035,7.08199675156936e-05,0.164288445745595,6.9284182319288e-05,0.200618744450247,4.22565527368381e-05
"Helicobacter",NA,NA,0,1.32929228478758e-06,0,0,0,2.32196614805553e-06,0,1.01888503410718e-06,0,0
"Listeria",NA,0.159,4.37420444156719e-05,0.0672635189025363,0.00176752617381176,0.0786622927272488,4.91893593577837e-05,0.0489389195194923,0.00264548606104679,0.147624214821721,0.000118771786610461,0.124304252461774
"Neisseria",NA,NA,0,1.32929228478758e-06,1.07644712168804e-06,5.71806617289259e-07,0,2.32196614805553e-06,0,0,0,0
"Paenibacillus",0.04,NA,0.047217349844497,1.59515074174509e-05,0.0599053587690612,3.37365904200663e-05,0.0579804816622068,1.39317968883332e-05,0.0248989135954162,1.83399306139292e-05,0.0523576199642176,1.32051727302619e-05
"Parabacteroides",0.06,NA,0.127746453613749,5.31716913915032e-05,0.113148586301995,0.000213283868248894,0.141995907445301,7.66248828858324e-05,0.0799989969721096,4.27931714325014e-05,0.119869011686767,6.33848291052571e-05
"Pediococcus",0.04,NA,0.0180960837747635,5.31716913915032e-06,0.0219605977295577,1.37233588149422e-05,0.00661892019518338,8.12688151819435e-06,0.0642288909645994,1.7321045579822e-05,0.0267368488525326,3.96155181907857e-06
"Porphyromonadaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Propionibacterium",0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pseudomonas",NA,0.046,2.84323288701867e-05,0.0361128835008242,0.00117225091551828,0.0464958832782588,9.24759955926334e-05,0.142797435156193,0.000939084862428456,0.0643171177780155,7.91811910736404e-05,0.0795268322507293
"Pyramidobacter",0.02,NA,0.012693941289428,2.65858456957516e-06,0.0078763635893914,1.14361323457852e-06,0.00707539745002361,2.32196614805553e-06,0.0107800422525499,4.07554013642871e-06,0.00500915296863482,5.28206909210476e-06
"Ralstonia",0.06,NA,0.0385411153346485,1.06343382783006e-05,0.033322497098975,1.25797455803637e-05,0.0931469384542736,6.96589844416658e-06,0.0634201997279287,1.22266204092861e-05,0.0950419377522722,7.92310363815714e-06
"Rhodobacter",NA,NA,0,1.32929228478758e-06,0,4.00264632102481e-06,1.96757437431135e-06,3.48294922208329e-06,0,2.03777006821435e-06,3.77053290826859e-06,0
"Saccharomyces",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmonella",NA,0.103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Staphylococcus",NA,0.133,6.12388621819407e-05,0.0664127718402722,0.00217011739732309,0.087815201250198,6.68975287265859e-05,0.0395546933321259,0.00342534024586721,0.193356869577621,0.000209264576408907,0.0891983007583731
"Streptococcus",NA,NA,7.43614755066422e-05,1.46222151326634e-05,0.00026372954481357,9.14890587662815e-05,2.75460412403589e-05,4.52783398870828e-05,0.00155469323018863,2.95476659891081e-05,0.000179100313142758,3.69744836447333e-05
"Subdoligranulum",0.02,NA,0.0044398175081907,3.85494762588398e-05,0.00770951428552975,0.000633561731956499,0.00964308200849992,0.00011958125662486,0.0248688227587028,0.000185437076207506,0.00923969089171218,0.000209962246411164
"Clostridium innocuum group",NA,NA,4.37420444156719e-06,0,4.30578848675217e-06,5.71806617289259e-07,0,1.16098307402776e-06,1.75529880827749e-05,2.03777006821435e-06,9.42633227067147e-06,0
"Eubacterium coprostanoligenes group",NA,NA,3.28065333117539e-05,9.30504599351305e-06,0.000376756492590814,0.000129228295507373,5.90272312293405e-06,2.78635937766663e-05,0.00414752032698709,4.78875966030373e-05,0.000265822570032936,2.90513800065762e-05
"Eubacterium eligens group",NA,NA,3.06194310909703e-05,2.65858456957516e-06,0.000152855491279702,3.60238168892233e-05,3.9351487486227e-06,2.08976953324997e-05,0.000122870916579424,2.03777006821435e-06,6.4099059440566e-05,2.64103454605238e-06
"Eubacterium hallii group",NA,NA,0.000120290622143098,1.59515074174509e-05,0.000585587234198294,0.000214427481483472,1.37730206201794e-05,2.67026107026386e-05,0.00594043268115624,6.52086421828593e-05,0.000290331033936681,3.69744836447333e-05
"Eubacterium rectale group",NA,NA,0.000728305039520937,5.71595682458659e-05,0.00222501620052918,0.000819970689192798,7.08326774752086e-05,0.000103327493588471,0.0158541095933349,0.000157927180286612,0.00119525893192114,0.000240334143690767
"Eubacterium ventriosum group",NA,NA,4.37420444156719e-06,1.32929228478758e-06,6.88926157880346e-05,9.14890587662815e-06,3.9351487486227e-06,6.96589844416658e-06,0.000262041036378568,1.01888503410718e-06,2.07379309954772e-05,1.32051727302619e-06
"Eubacterium xylanophilum group",NA,NA,1.31226133247016e-05,3.98787685436274e-06,0.000240047708136433,5.08907889387441e-05,1.96757437431135e-06,1.16098307402776e-05,0.000354821116244664,9.16996530696459e-06,0.000118771786610461,2.1128276368419e-05
"Ruminococcus gauvreauii group",NA,NA,8.0922782168993e-05,6.6464614239379e-06,0.00036276268000887,0.000120079389630744,5.90272312293405e-06,1.39317968883332e-05,0.00314700000626892,3.05665510232153e-05,9.42633227067148e-05,2.50898281874976e-05
"Ruminococcus torques group",NA,NA,5.90517599611571e-05,7.97575370872547e-06,0.000185148904930343,4.23136896794052e-05,7.8702974972454e-06,1.62537630363887e-05,0.0010556868546926,1.12077353751789e-05,0.000107460187885655,2.90513800065762e-05
"Adlercreutzia",NA,NA,2.1871022207836e-06,0,1.39938125819445e-05,5.71806617289259e-06,1.96757437431135e-06,1.16098307402776e-06,0.000343537052477165,4.07554013642871e-06,2.26231974496115e-05,5.28206909210476e-06
"Akkermansia",NA,NA,0.00022527152874071,0.000106343382783006,0.00339403777468239,0.000542644479807507,0.00014560050369904,0.000404022109761662,0.00749512591134487,0.000174229340832327,0.00774090406067542,0.000378988457358516
