"","EB"
"Clostridium innocuum group",9.59553538929407e-05
"Eubacterium coprostanoligenes group",0.0102224437013946
"Eubacterium eligens group",0.00244814092898856
"Eubacterium hallii group",0.0165139164049751
"Eubacterium rectale group",0.0611523470359711
"Eubacterium ventriosum group",0.00139710995268122
"Eubacterium xylanophilum group",0.00373394267115397
"Ruminococcus gauvreauii group",0.00952324902269472
"Ruminococcus torques group",0.00407298492157569
"Acinetobacter",1.66322613414431e-05
"Actinomyces",3.39042250421724e-05
"Adlercreutzia",0.000548224921908334
"Akkermansia",0.0508185951240607
"Alistipes",0.0508716904198814
"Ambiguous_taxa",1.47131542635842e-05
"Anaerofilum",3.19851179643136e-05
"Anaerostipes",0.00851443840210027
"Anaerotruncus",0.000834811578868584
"Bacillus",0.00680067578157235
"Bacteroides",0.154950624573398
"Bifidobacterium",0.00045802688924897
"Bilophila",0.0023764942647485
"Blautia",0.0500055334254078
"Butyricicoccus",0.00625884788325688
"Candidatus Stoquefichus",0.000926928718605807
"Carnobacterium",0
"Christensenellaceae R-7 group",0.00228949474388557
"Clostridium sensu stricto 1",0.000915414076138654
"Collinsella",0.00208478998891396
"Coprococcus 1",0.00239568533552709
"Coprococcus 2",0.0194111283901826
"Coprococcus 3",0.00166194672942573
"Defluviitaleaceae UCG-011",0.00014585213791727
"Deinococcus",0
"Dialister",0.00547585219549048
"Dorea",0.00956035175953333
"Eisenbergiella",0.000338402548062438
"Enterobacter",0.00070687110701133
"Enterococcus",0.00363798731726102
"Erwinia",3.45439274014587e-05
"Erysipelatoclostridium",0.000367828856589606
"Erysipelotrichaceae UCG-003",0.00624797294314901
"Escherichia-Shigella",0.0173244192941908
"Faecalibacterium",0.084152845364109
"Family XIII AD3011 group",0.000838649793024302
"Flavonifractor",0.000549504326626907
"Fusicatenibacter",0.00931726486300454
"Fusobacterium",0.0063509650229941
"Gordonibacter",9.21171397372231e-05
"Gossypium arboreum",0.000507923673273299
"Helicobacter",6.39702359286271e-07
"Holdemania",0.000845686518976451
"Hungatella",0.000374225880182469
"Intestinibacter",0.00383309653684334
"Intestinimonas",0.000149050649713701
"Kluyvera",6.39702359286271e-07
"Lachnoclostridium",0.0118332142420774
"Lachnospira",0.0146594192654042
"Lachnospiraceae FCS020 group",0.000897502410078639
"Lachnospiraceae ND3007 group",0.00458154829720827
"Lachnospiraceae NK4A136 group",0.00681666834055451
"Lachnospiraceae UCG-001",0.00873769452549118
"Lachnospiraceae UCG-004",0.00290424871115967
"Lachnospiraceae UCG-008",2.04704754971607e-05
"Lactobacillus",0.00847285774874666
"Lactonifactor",9.6595056252227e-05
"Listeria",0.00376592778911828
"Marvinbryantia",0.00178988720128299
"Neisseria",0
"Odoribacter",0.000436916711392523
"Oryza sativa Indica Group (long-grained rice)",6.46099382879134e-05
"Other",0.0027212938364038
"Oxalobacter",0.000784914794844255
"Paenibacillus",0.00132994120495616
"Parabacteroides",0.0116784062711302
"Parasutterella",0.000207263564408752
"Pediococcus",0.000991538656893721
"Phascolarctobacterium",0.00512401589788303
"Porphyromonas",5.75732123357644e-06
"Pseudomonas",0.00317100459498205
"Pyramidobacter",0.000216859099798046
"Ralstonia",0.00114762603255957
"Raoultella",0.00902747969424786
"Rhodobacter",1.91910707785881e-06
"Roseburia",0.041226258246563
"Ruminiclostridium",0.000585967361106225
"Ruminiclostridium 5",0.00434038050775735
"Ruminiclostridium 9",0.00039981397455392
"Ruminococcaceae NK4A214 group",0.0160283823142768
"Ruminococcaceae UCG-002",0.0261663853042456
"Ruminococcaceae UCG-003",0.00647762609013278
"Ruminococcaceae UCG-004",0.00178093136825298
"Ruminococcaceae UCG-005",0.00759646551652447
"Ruminococcaceae UCG-013",0.00365270047152461
"Ruminococcaceae UCG-014",0.00644947918632419
"Ruminococcus 1",0.0472221884601533
"Ruminococcus 2",0.0424839130849198
"Sellimonas",7.48451760364937e-05
"Serratia",0.00189607779292451
"Staphylococcus",0.00413695515750432
"Streptococcus",0.00709301975976618
"Subdoligranulum",0.0413861838363846
"Succiniclasticum",0.00119048609063175
"Tyzzerella",0.000745892950927792
"Tyzzerella 3",0.00133122060967473
"uncultured",0.0140158786919622
