"","SC249360.PC04924.C01","SC249365.PC04924.H01","SC249382.PC04924.D02","SC249385.PC04924.G02","SC249394.PC04924.G03","SC249398.PC04924.C04","SC249410.PC04924.E05","SC249417.PC04924.D06","SC249421.PC04924.H06","SC249426.PC04924.D07","SC249433.PC04924.B08","SC249436.PC04924.E08","SC249447.PC04924.G09","SC249452.PC04924.D10","SC253845.PC04924.H10","SC253846.PC04924.A11","SC249410.PC04925.F02","SC249426.PC04925.F03","SC249433.PC04925.C04","SC249436.PC04925.E04","SC249447.PC04925.C05","SC253182.PC04925.H05","SC253186.PC04925.D06","SC253193.PC04925.C07","SC253200.PC04925.C08","SC253846.PC04925.D09","SC249360.PC07578.B09","SC249365.PC07578.E09","SC249382.PC07578.H05","SC249385.PC07578.C07","SC249410.PC07578.B01","SC249421.PC07578.F02","SC249426.PC07578.F03","SC249433.PC07578.G08","SC249436.PC07578.E04","SC253182.PC07578.A01","SC253186.PC07578.D06","SC253200.PC07578.C08","SC253845.PC07578.C09","SC253846.PC07578.D09","SC304090.PC07578.G04","SC249396.PC04924.A04","SC249399.PC04924.D04","SC249401.PC04924.F04","SC249405.PC04924.A05","SC249407.PC04924.B05","SC249411.PC04924.F05","SC249414.PC04924.A06","SC249418.PC04924.E06","SC249419.PC04924.F06","SC249424.PC04924.B07","SC249429.PC04924.G07","SC249430.PC04924.H07","SC249435.PC04924.D08","SC249440.PC04924.A09","SC249441.PC04924.B09","SC249445.PC04924.E09","SC249448.PC04924.H09","SC249449.PC04924.A10","SC249453.PC04924.E10","SC249396.PC04925.A02","SC249405.PC04925.C02","SC249411.PC04925.G02","SC249414.PC04925.H02","SC249418.PC04925.B03","SC249419.PC04925.C03","SC249424.PC04925.E03","SC249429.PC04925.G03","SC249430.PC04925.H03","SC249435.PC04925.D04","SC249440.PC04925.G04","SC249441.PC04925.H04","SC249445.PC04925.B05","SC249448.PC04925.A11","SC249448.PC04925.D05","SC249449.PC04925.E05","SC249453.PC04925.F05","SC253183.PC04925.A06","SC253184.PC04925.B06","SC253188.PC04925.E06","SC253190.PC04925.G06","SC253190.PC04925.H06","SC253197.PC04925.G07","SC253197.PC04925.H07","SC253199.PC04925.A08","SC253199.PC04925.B08","SC253199.PC04925.E11","SC253201.PC04925.D08","SC253201.PC04925.E08","SC253203.PC04925.G08","SC253203.PC04925.H08","SC249411.PC07578.G02","SC249414.PC07578.H02","SC249424.PC07578.E03","SC249429.PC07578.G03","SC249430.PC07578.H03","SC249441.PC07578.H04","SC249448.PC07578.D05","SC249453.PC07578.F05","SC253183.PC07578.D08","SC253184.PC07578.G06","SC253201.PC07578.E08","SC304095.PC07578.A06","SC304096.PC07578.A07","SC304098.PC07578.A08","SC304929.PC07578.B04","SC304931.PC07578.B06"
"Clostridium innocuum group",3.7760428958473e-05,0.000103615310889106,3.96526428486459e-05,8.81904207564974e-05,2.65835487708432e-05,3.3997994118347e-05,4.58526296483103e-05,2.79472077246082e-05,0,2.9140076347e-05,0.000355118486648911,0.000562768296513454,0.000379485305485671,0.000350528296217871,0.000161473871989666,0.000171853518310211,9.95034776465437e-06,4.55492672261635e-05,0.00033107101473266,0.000531836312601566,0.00037778277490443,2.68261930949379e-05,9.91137578155328e-05,0.000277722329743194,0.000229507918023172,9.40488764776525e-05,6.83018120470736e-05,0.000174599068804966,5.19249313849121e-05,0.00013996626076451,7.98970925448023e-05,0,0.000115658191491412,0.000423904912309866,0.000639440702532185,0.000129335989032308,0.000155200632089847,0.000472711963305734,9.23965351299326e-05,9.05047579644187e-05,0.000111214381608319,2.88919921028555e-05,0.000106524633821571,2.20274020881977e-05,4.46282467049478e-05,8.53067631201802e-06,4.0515027023523e-05,1.36680175223985e-05,6.38832498118993e-05,9.66765574221568e-05,3.08768246273553e-05,7.85576809772575e-05,6.01268676908276e-05,7.73508868279175e-06,6.43157720649038e-05,1.54033363626562e-05,3.12114733375989e-05,4.27339469928121e-05,4.96074808081059e-05,9.62209232397585e-05,3.74440679235392e-05,6.18078805047644e-05,9.06519689607658e-05,4.57482701435352e-05,3.31501785965872e-05,8.04788491524571e-05,1.62666428089239e-05,8.65685032305791e-05,4.01203610832497e-05,2.44682239331854e-05,5.82556591211718e-05,4.52787814574334e-05,2.58917552020851e-05,0,7.84602951676304e-06,4.13404218376644e-05,8.53082185937793e-06,1.51626574073372e-05,1.92694935013633e-05,6.80584622190462e-05,7.9921531587169e-05,6.4749465816907e-05,9.79999836666694e-05,9.02671212426311e-05,6.62763724732133e-05,7.93741786977343e-05,7.74053719328121e-05,4.018872625851e-05,2.06235176846664e-05,7.81150830460977e-05,5.03180821622399e-05,5.92926388188906e-05,2.05765550731497e-05,1.44282447318871e-05,7.13724930411819e-05,2.37518407676595e-05,2.09944364743343e-05,2.7832669988032e-05,4.71426820414667e-05,3.83388541283278e-05,4.19762414473408e-05,2.70738574832142e-05,2.91736561884618e-05,0.000102215347293678,0.00020860348424198,6.97323054274978e-05,5.75134078131965e-05
"Eubacterium coprostanoligenes group",9.44010723961824e-06,0,9.91316071216147e-06,9.70094628321472e-05,0,3.3997994118347e-05,7.64210494138506e-06,2.09604057934562e-05,2.31799848557432e-05,7.28501908675001e-06,0.000102438024994878,6.54381740131923e-06,0.0122559698660557,0.00025753099313966,1.53784639990158e-05,1.56230471191101e-05,9.95034776465437e-06,1.13873168065409e-05,5.51785024554434e-05,2.21598463583986e-05,0.0139419833595682,8.9420643649793e-06,3.30379192718443e-05,8.6788228044748e-06,4.25014663005874e-05,2.89381158392777e-05,6.83018120470736e-06,0,2.22535420221052e-05,0.00013996626076451,0,6.73298658452423e-05,3.21272754142812e-05,0.000224420247693459,0,0,7.05457418590214e-05,3.69306221332605e-05,7.69971126082772e-06,0.00010989863467108,0.0013742920013028,0.00541243318726826,0.00423815864561537,0.00536000117479478,0.00694713040373687,0.0109363270320071,0.00820024146956106,0.0119321792970539,0.00908561775102568,0.011392960459288,0.00605185762696164,0.011084488785891,0.02015753239335,0.018718914612356,0.0175030779690917,0.0173287534079882,0.0188439270275753,0.0140423749818381,0.0111120757010157,0.0163014280788691,0.0054200288319323,0.00652073139325264,0.00938247878743926,0.0110482072396637,0.00856932116721779,0.0129872742819778,0.00511585916340656,0.0100812956943974,0.0213941825476429,0.014819587628866,0.0149966711051931,0.0168437067021652,0.0182968403428068,0.0132855500903075,0.0132990200309134,0.0111288415586993,0.0134957601815359,0.0277855696989454,0.0234220693509071,0.0163340309325711,0.0192174955498238,0.0179356020312832,0.0110413314931114,0.00921418999145934,0.00687065061305645,0.00710839867004154,0.00737931212426142,0.00770015995113051,0.00736259581342591,0.00937380996553172,0.00982640261654027,0.00908165584576008,0.0104940430873063,0.00588672385060995,0.00918326077129874,0.0206007632258167,0.0168585324888904,0.0133318489242673,0.0150008014255947,0.0279413568887253,0.0233877625264101,0.0074385423435131,0.0044343957406462,0.00412268567417836,0.00532220781417376,0.00582652152016426,0.00605328617233893
"Eubacterium eligens group",0.000358724075105493,0.000448999680519458,0.000376700107062136,0.00034394264095034,0.000372169682791804,0.000263484454417189,0.000473810506365873,0.000524010144836404,0.000301339803124662,0.00041524608794475,0.00015707163832548,0.000202858339440896,0.000281100226285682,0.000171687328759774,0.000276812351982284,0.000218722659667542,0.000437815301644792,0.000501041939487798,0.000110357004910887,0.000132959078150391,0.00026984483921745,0.000295088124044317,0.000363417111990287,0.000138861164871597,0.000178506158462467,0.000274912100473138,0.000642037033242492,0.000543197102948784,0.000378310214375788,0.000338865683956183,0.000599228194086017,0.00044606036122473,0.000520461861711356,0.000224420247693459,0.00020604200414926,0.000336273571484001,0.00039505615441052,0.000295444977066084,0.000377285851780558,0.000420200661977658,0.00115186323808616,0.00161795155775991,0.00238919535856953,0.00180624697123221,0.00212727975960251,0.00245683477786119,0.00305483303757364,0.00550821106152658,0.000915659913970557,0.00113037205601291,0.00353539641983218,0.00132762480851565,0.00126266422150738,0.00141552122895089,0.001525202594682,0.00159424531353491,0.00100657001513756,0.00129911198858149,0.00115337392878846,0.00128294564319678,0.00219047797352704,0.00171001802729848,0.00261077670607006,0.0048035683650712,0.000969642723950175,0.0014787988531764,0.00373319452464803,0.00121982890915816,0.00110330992978937,0.00143546913741355,0.0012150466045273,0.00154853432584422,0.000897580847005619,0.00134211897741956,0.0012318266341318,0.00126501690823253,0.0013905239630786,0.00335852861572519,0.00151265523985702,0.00426216119646777,0.00201983507102118,0.00208123282982915,0.00209066631822228,0.00240249414999618,0.00178209801539085,0.00201081252700927,0.00206414325154166,0.00253188975428613,0.00243357508679064,0.001601359202445,0.00209179455845883,0.00232229502040655,0.0045371303936295,0.00332571041069999,0.00115782044266806,0.00114800563710354,0.00179152524580986,0.00128726098694648,0.00156513704377669,0.00299043062200957,0.00164406945668751,0.0024704894953433,0.00234847932317118,0.00163544555669885,0.00181541410610588,0.00241738658815326,0.00107837639649743
"Eubacterium hallii group",2.83203217188547e-05,1.72692184815176e-05,3.96526428486459e-05,0.000299847430572091,1.99376615781324e-05,1.69989970591735e-05,4.58526296483103e-05,2.79472077246082e-05,5.40866313300675e-05,3.642509543375e-05,0.000143413234992829,0.000150507800230342,0.0134506458277699,0.000429218321899434,4.61353919970473e-05,4.68691413573303e-05,4.97517388232719e-05,1.13873168065409e-05,0.000137946256138608,0.000110799231791993,0.0136991230042725,2.68261930949379e-05,5.78163587257275e-05,0.000130182342067122,0.000229507918023172,8.68143475178331e-05,8.87923556611957e-05,2.58665287118469e-05,3.70892367035086e-05,0.000243099295012044,1.59794185089605e-05,0.000134659731690485,3.21272754142812e-05,0.000232732108719142,0.000184727314064854,0,8.46548902308257e-05,0.00017726698623965,3.84985563041386e-05,7.11108812577576e-05,0.00512380543838326,0.00719410603361102,0.00757846680616321,0.00685052204942949,0.00733390854184642,0.0167115948952433,0.0183695132524653,0.0140370539955032,0.0232606010703993,0.0278725951706341,0.0149829791504242,0.0286342747162104,0.0187069717103088,0.0159188125091854,0.0118065381576288,0.0109055621447606,0.0112517361382044,0.00566652137124689,0.00694504731313482,0.00982255258072534,0.00805983562054182,0.00770538243626062,0.0177405903256219,0.0165151255218162,0.0231636872943653,0.0291333433931895,0.0146399785280315,0.0277334004895055,0.0189468405215647,0.015129518465353,0.0110685752330226,0.0125331667074176,0.0125661318580787,0.00625370332031668,0.00601790463935725,0.00787121631789131,0.00972513691969084,0.00247151315739597,0.00545326666088582,0.00134415462882616,0.00806480909652341,0.00824168200612345,0.00989799835033361,0.00958220210114084,0.00755550646194632,0.00697610837221198,0.00718149839598868,0.00417962753088504,0.00386347231292751,0.00975462099538145,0.00963231858534306,0.0177186169003785,0.015874812238935,0.0138799714320754,0.0266695215663883,0.0194448403084572,0.012225760173554,0.00581006986000167,0.00938139372625187,0.00293675622622991,0.00535197078453595,0.00410845787307776,0.00529501859820582,0.0151074283300057,0.025235383661273,0.0251423701235811,0.0286416770909718
"Eubacterium rectale group",0.00727832268174566,0.00642414927512455,0.00226020064237281,0.00265453166477057,0.00114309259714626,0.00178489469121322,0.00258303147018815,0.00299733802846423,0.00217891857643986,0.00225107089780575,0.0115686676227549,0.0144029421003036,0.0493541722301086,0.0117462747426478,0.00758158275151478,0.00915510561179853,0.00252738833222221,0.00227746336130817,0.0126082878110688,0.0146254985965431,0.0442005846638183,0.00279886614623852,0.0058972685900242,0.0102757262004982,0.0114668956078985,0.00941212217672507,0.00661844558736143,0.00636963269529229,0.00208441510273719,0.0045378535068915,0.00409073113829388,0.00287835176488411,0.00296856024827958,0.0115784224087773,0.0167959757865121,0.00466902920406632,0.0066101360121903,0.0123939167879222,0.00990182868142445,0.0106924906909392,0.0199709253830938,0.0393027399239178,0.0384782195168347,0.0400678443984316,0.0288149712891613,0.0315379103255306,0.0524588569900576,0.0375733801690734,0.0373220141678852,0.0500189634785713,0.0247786517634526,0.0465925605876115,0.0675074406998767,0.0434402580425585,0.0316157959536191,0.050353506569523,0.0339580829913076,0.0149996153944771,0.0242890627906688,0.0266531957374131,0.0281485780615206,0.0389595673448365,0.0365690042787729,0.0373534625721965,0.0594797079469266,0.042965645591268,0.0218379679709803,0.0460780533104583,0.064062186559679,0.0541644917134282,0.0330975366178429,0.0561275774946345,0.0331328160736016,0.0180472168878545,0.0177163346488509,0.0233077298320752,0.029840814864104,0.0363069831618689,0.0446859554296615,0.0316386776240791,0.0390017074145385,0.0482198521862195,0.0430464928255845,0.0511675704951499,0.0511727235907066,0.0435323273391129,0.044671500202114,0.0511200598008247,0.0679476162650809,0.0493687324851337,0.0417783847895626,0.0364748549800876,0.0349595670692813,0.022623487739599,0.0475816620274546,0.062776115148924,0.0580356205605515,0.0175693729299452,0.0301618879701304,0.034481965403018,0.0315591375281591,0.0677523283517436,0.0314637881992561,0.0772611738410483,0.0751592715791848,0.0588850579165537,0.0772692633970294
"Eubacterium ventriosum group",4.72005361980912e-05,2.59038277222764e-05,9.91316071216147e-06,3.5276168302599e-05,6.64588719271079e-06,2.54984955887603e-05,2.29263148241552e-05,1.39736038623041e-05,0,2.9140076347e-05,2.04876049989756e-05,3.92629044079154e-05,0.00047787038468566,6.43827482849151e-05,3.07569279980316e-05,0,9.95034776465437e-06,4.55492672261635e-05,2.75892512277217e-05,4.43196927167972e-05,0.000422756914774005,8.9420643649793e-06,8.25947981796106e-06,2.60364684134244e-05,8.50029326011747e-06,2.89381158392777e-05,1.36603624094147e-05,4.5266425245732e-05,7.41784734070173e-06,3.68332265169764e-05,7.98970925448023e-06,2.52486996919659e-05,5.14036406628499e-05,3.32474441027346e-05,3.55244834740103e-05,0,2.82182967436086e-05,1.47722488533042e-05,7.69971126082772e-05,5.81816301199835e-05,0.000119158266008913,0.00121346366831993,0.000875023777820049,0.00102794543078256,0.00105620183868376,0.0013734388862349,0.00149905599987035,0.0017563402516282,0.00124217430189804,0.00155426157701775,0.00126594980972157,0.00102910562080207,0.00181883774764754,0.00160116335733789,0.00149763869236847,0.00182529535897475,0.00129527614351035,0.000606822047297933,0.00122158421489961,0.0012348351815769,0.00102035085091644,0.00108163790883338,0.00125099717165857,0.00147538171212901,0.00176524701026827,0.00125748201800714,0.00126879813909606,0.00129065768452863,0.00191574724172518,0.00136206446561399,0.00120672436750999,0.00188359730862923,0.0013291101003737,0.000806699172597928,0.000698296626991911,0.00114099564271954,0.00127109245704731,0.00070506356944118,0.000934570434816121,0.000612526159971415,0.00128601009917536,0.00109149099519929,0.00151899974683338,0.00203448204031468,0.00187783055340771,0.00205490929295245,0.00239956652991718,0.00143071865480295,0.00197985769772798,0.00294884438499019,0.00288250727815117,0.00112656013755892,0.00148151196526677,0.000945050029938608,0.00108644794962688,0.00174180165629503,0.0020784492109591,0.000751482089676863,0.00146142314328547,0.000736105999263894,0.000930473352082721,0.00184102230885857,0.000583473123769236,0.000674621292138277,0.00092462084907256,0.00131716576918607,0.0016391321226761
"Eubacterium xylanophilum group",0.00085904975880526,0.000733941785464499,0.000842618660533725,0.000776075702657177,0.000863965335052403,0.000535468407363966,0.00064957892001773,0.00115980912057124,0.000455873035496283,0.001253023282921,0.00123608550160486,0.00113208041042823,0.00112440090514273,0.000987202140368699,0.000576692399963092,0.000734283214598175,0.000666673300231843,0.00149173850165685,0.00103919512957752,0.00138129708967351,0.00128626040026984,0.000670654827373447,0.000892023820339795,0.00129314459786675,0.000986034018173627,0.00062940401950429,0.000867433012997835,0.000659596482152095,0.000897559528224909,0.00090609737231762,0.000838919471720424,0.000648049958760457,0.00177342560286832,0.00108885379436456,0.00154176258277205,0.000853617527613234,0.000910040069981376,0.00134427464565068,0.000793070259865255,0.000588280926768722,0.0017873739901337,0.005065729282034,0.00334030816054784,0.00400898718005198,0.00406117045015025,0.00425680747969699,0.00273071282138545,0.00438059961592871,0.00294572763021536,0.00324981966103712,0.00233891946552217,0.00252955732746769,0.00248774915070799,0.00226638098405798,0.00248993917565556,0.00336562899524037,0.00227063468531032,0.0019572147722708,0.00246177123510225,0.0015555715923761,0.00599105086776627,0.00415142930723667,0.00233882079918776,0.00504374678332476,0.00247797585009489,0.00327951310296263,0.00237492985010289,0.00356504836031385,0.00262788365095286,0.00220214015398669,0.00188082556591212,0.00362230251659467,0.00183831461934805,0.00227731890317468,0.00233811679599539,0.00270366358818325,0.00180000341232874,0.0037679203657233,0.00308311896021813,0.00386231773093087,0.0044102154248556,0.00390346779639068,0.0036749993875001,0.00439531444204504,0.00613424647446519,0.00603243758102781,0.00523776350078695,0.0056585726571982,0.00486715017358127,0.00287072930194409,0.00304064982208964,0.00181830759044598,0.00494866149509249,0.00191895654934099,0.00294213276869761,0.00238310135702184,0.00346408201826516,0.00195524506665924,0.0016971365534928,0.00425561280824439,0.00311323790734444,0.00488006281134936,0.00212967690175771,0.00153323020940517,0.00488244911766364,0.00366482005191183,0.00455793756919582
"Ruminococcus gauvreauii group",9.44010723961824e-06,0,1.98263214243229e-05,0.000220476051891244,0,0,7.64210494138506e-06,0,7.72666161858108e-06,7.28501908675001e-06,2.73168066653008e-05,6.54381740131923e-06,0.0104990934517702,0.000264684631837984,0,1.56230471191101e-05,0,2.27746336130817e-05,3.67856683036289e-05,1.47732309055991e-05,0.0113694625590286,0,1.65189596359221e-05,8.6788228044748e-06,8.50029326011747e-06,2.89381158392777e-05,0,0,5.19249313849121e-05,0.000169432841978092,0,1.68324664613106e-05,5.14036406628499e-05,7.48067492311529e-05,7.10489669480206e-06,0,1.41091483718043e-05,0,2.30991337824832e-05,1.93938767066612e-05,0.00207335382855509,0.00521018924254827,0.00485447974129732,0.0047799462531389,0.00484960280860433,0.00490513887941036,0.00670118546969071,0.00599342568357173,0.00726849420082054,0.00925863953773732,0.00377469181069419,0.00838210456027338,0.00867330066440189,0.00576264106867985,0.00347305169150481,0.00392785077247732,0.0029416813620687,0.000794851414066306,0.00216412635025362,0.00209280508046475,0.00418437459045551,0.00520216327581767,0.00698020160997897,0.00556985188997541,0.00879308487274475,0.00970776117901514,0.00358679473936772,0.00942022712427302,0.00824473420260782,0.00548903823567793,0.0030875499334221,0.00533384045568566,0.00278767897675783,0.00128500753157192,0.00125536472268209,0.0017859062233871,0.00238863012062582,0.00229714259721159,0.00375755123276585,0.00151430078437378,0.0033712355142224,0.00379246871213312,0.00365866605688899,0.00432587819493532,0.00309289738208329,0.00276927690123206,0.00264898383947846,0.00297396574312974,0.00285291994637885,0.00535088318865769,0.0049599252417065,0.006146670224225,0.00554538159221383,0.00373691538555877,0.00900879467719807,0.00785394201383941,0.00520662024563491,0.000946310779593086,0.00200827825496648,0.00218531468531469,0.00242762596370454,0.0030525774312324,0.00459485084968274,0.00921300996940354,0.010148277611772,0.00956107387750358,0.0103236567024688
"Ruminococcus torques group",0.000141601608594274,6.90768739260705e-05,3.96526428486459e-05,7.0552336605198e-05,8.63965335052403e-05,8.49949852958675e-05,6.11368395310804e-05,5.58944154492164e-05,7.72666161858108e-06,1.45700381735e-05,0.00015707163832548,0.000104701078421108,0.00197472908965692,0.000143072773966478,0.000115338479992618,7.81152355955506e-05,2.98510432939631e-05,4.55492672261635e-05,9.19641707590723e-05,0.00015511892450879,0.00218574319766134,1.78841287299586e-05,9.91137578155328e-05,8.6788228044748e-05,0.00013600469216188,6.51107606383748e-05,0.000109282899275318,5.17330574236937e-05,5.93427787256138e-05,0.00013996626076451,7.98970925448023e-05,5.8913632614587e-05,3.85527304971375e-05,0.000224420247693459,0.000134993037201239,9.05351923226157e-05,0.000126982335346239,0.000103405741973129,6.92974013474495e-05,0.000155151013653289,0.000730837364854667,0.00345740838830837,0.00236636865132205,0.00240832929497628,0.00448513879384725,0.00353169999317546,0.0035167043456418,0.0106405516411872,0.00549395948382334,0.00554031040611591,0.0108917998872996,0.00473702816292863,0.00601268676908276,0.00568529018185193,0.00590786306253331,0.00555290275873754,0.00614085737917258,0.00294009555310548,0.0061389257500031,0.00624634160031432,0.00267725085653305,0.00372907545712078,0.00444194647907753,0.00913821696117116,0.00544491683448945,0.00582465670740908,0.0101015851843417,0.0044700827122699,0.00561685055165497,0.00524435599634608,0.00563415446071904,0.00578662827025999,0.00477271354225103,0.0041191630317611,0.00364840372529481,0.00593648457588861,0.00528910955281432,0.00210760937961987,0.00263028586293609,0.00201623194323924,0.00243397391651833,0.00244197985366621,0.00240916626513896,0.00327044723886763,0.00189255863617954,0.00195789640787745,0.00215014922035589,0.00194513435091188,0.00205547726257175,0.00310507455108238,0.00244402113359451,0.00448647633729606,0.00780880265026029,0.00933507434153098,0.0041554651503977,0.00546292337656168,0.00532558871898947,0.00367391243842022,0.00458226869443056,0.00208563366458103,0.00181197442247688,0.00194254927442062,0.00150244329370578,0.00162181684372636,0.0020014658623217,0.00316894587998295,0.00304102143812276
"Acinetobacter",0,0,0,8.81904207564974e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.46663217796172e-06,0,0,1.59794185089605e-05,0,0,0,0,0,0,0,0,0,0,0,7.60890241582652e-06,0,0,8.53067631201802e-06,0,0,0,0,0,0,0,0,0,0,1.56057366687995e-05,0,6.20093510101323e-06,0,0,0,0,0,0,0,0,0,0,0,0,9.05575629148668e-06,0,0,0,0,0,7.5813287036686e-06,0,0,0,0,0,6.94362471097162e-06,7.36404138591259e-06,0,0,8.03774525170199e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.81435648624522e-06,0,0,0
