"","Art.Col","Zymo.Ext","Zymo MagBead DNone Kit_OB","MagAttract PowerMag Soil_OB","MagAttract PowerMag Microbiome_OB","Qiagen QIAamp  Modified_OB","Qiagen DSP Virus_OB_AC","Qiagen DSP Virus_OB_ZE","Zymo MagBead DNone Kit_OB_AC","Zymo MagBead DNone Kit_OB_ZE","MagAttract PowerMag Soil_OB_AC","MagAttract PowerMag Soil_OB_ZE","MagAttract PowerMag Microbiome_OB_AC","MagAttract PowerMag Microbiome_OB_ZE","Qiagen QIAamp  Modified_OB_AC","Qiagen QIAamp  Modified_OB_ZE","Qiagen DSP-AC_Diff","Qiagen DSP-ZE_Diff","Zymo MagBead-AC_Diff","Zymo MagBead-ZE_Diff","MagAttract PS-AC_Diff","MagAttract PS-ZE_Diff","MagAttract MB-AC_Diff","MagAttract MB-ZE_Diff","Qiagen QIAmp-AC_Diff","Qiagen QIAMmp-ZE_Diff"
"Alistipes",0.04,NA,0.00371234117240671,0.00279720994553801,0.00336527922205672,0.00400401333221507,0.00438076574822954,6.6464614239379e-05,0.00951902189708735,0.000627843665783607,0.00705375413190619,0.00028560183621083,0.00740986854065711,7.84541476262526e-05,0.00947534919847897,0.000171667245493405,"-89.0480856294261","NA","-76.2024452572816","NA","-82.3656146702345","NA","-81.4753286483572","NA","-76.3116270038026","NA"
"Anaerostipes",0.06,NA,0.00419370197828461,0.00645672867355589,0.00421910570248166,0.0062824801896082,0.0165826090379812,1.32929228478758e-05,0.0118484534684203,0.000127512875655505,0.0173677790020463,1.85757291844442e-05,0.00936953428161262,3.36232061255368e-05,0.0151858212880517,4.62181045559166e-05,"-72.3623182700313","NA","-80.2525775526329","NA","-71.0537016632562","NA","-84.3841095306456","NA","-74.6902978532471","NA"
"Bacillus",NA,0.157,0.0977065342208695,0.0466121340937617,0.115356510497175,0.0825288031137494,5.46775555195899e-05,0.139962513957569,0.00412063958182182,0.147419179423196,6.88651031008972e-05,0.0740753640552674,0.0041136681356846,0.20575771932774,0.000182870846051027,0.140207241980829,"NA","-10.8519019378542","NA","-6.10243348841032","NA","-52.8182394552437","NA","31.0558721832737","NA","-10.6960242160327"
"Bacteroides",0.06,NA,0.0329226144352226,0.0323296429048635,0.0238284477670667,0.039155616024751,0.0820557011193589,0.000293773594938055,0.0914527945643726,0.0018314965951775,0.0857626318274831,0.000801078321079157,0.0528319865594263,0.000258796798663223,0.0942086499795449,0.000594232772861785,"36.7595018655982","NA","52.4213242739543","NA","42.9377197124718","NA","-11.9466890676229","NA","57.0144166325748","NA"
"Bifidobacterium",0.06,NA,0.00424262227740797,0.00200937660405132,0.0100812231247014,0.00602232804331417,0.0166679060245918,7.97575370872547e-06,0.0122155219369159,7.43348602476037e-06,0.00540492680623328,5.80491537013882e-06,0.0224866315188977,0,0.0146127002859949,5.28206909210476e-06,"-72.2201566256804","NA","-79.6407967718068","NA","-90.9917886562779","NA","-62.5222808018372","NA","-75.6454995233418","NA"
"Bilophila",0.02,NA,0.0091835724888669,0.0136041805547544,0.0156993901239426,0.0133236727581098,0.0217004282346148,1.32929228478758e-05,0.0264095536834944,3.3164783802777e-05,0.0366224618290571,2.20586784065275e-05,0.0350069271613684,9.16996530696459e-06,0.0323115817574077,2.37693109144714e-05,"8.50214117307414","NA","32.047768417472","NA","83.1123091452857","NA","75.0346358068419","NA","61.5579087870384","NA"
"Lachnoclostridium",0.06,NA,0.0380013630465023,0.0301954104144412,0.022667153818049,0.0405550015997416,0.0900626823496477,4.25373531132025e-05,0.109200178259643,0.000180690891063406,0.081268691956556,5.92101367754159e-05,0.0505212610568153,3.15854360573225e-05,0.0983788593760899,5.28206909210476e-05,"50.1044705827461","NA","82.0002970994056","NA","35.4478199275933","NA","-15.7978982386412","NA","63.9647656268165","NA"
"Collinsella",0.06,NA,0.000337960845088831,0.000397932503345919,0.00772209887299401,0.00132095164431688,0.000408988115286532,0,0.000936508995868596,2.00132316051241e-05,0.00106445773650244,4.64393229611106e-06,0.017216973739476,6.11331020464306e-06,0.0031936413733035,9.24362091118333e-06,"-99.3183531411891","NA","-98.4391516735523","NA","-98.2259037724959","NA","-71.3050437675399","NA","-94.6772643778275","NA"
"Coprobacillus",0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA"
"Cryptococcus",NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA
"Enterococcus",0.06,0.104,0.0416173573702538,0.0235283981427869,0.0825676625165116,0.0569694371705387,0.0145814105059642,0.0652017865688308,0.0202232120751532,0.0529818857381709,0.00564693845427357,0.034079497155011,0.0693380642815499,0.0933186613888422,0.0294836820762062,0.0762215775163447,"-75.6976491567263","-37.3059744530473","-66.2946465414113","-49.0558790979126","-90.588435909544","-67.2312527355664","15.5634404692499","-10.270517895344","-50.8605298729896","-26.7100216188993"
"Escherichia-Shigella",0.06,0.1,0.129515184898192,0.141044802818968,0.0746516399201821,0.110366635914353,0.0808331109779409,0.160517360557239,0.0960481473268589,0.147292810160775,0.104503777742799,0.162606128365255,0.0668681081013309,0.080976906970702,0.0991574744216474,0.118217988350397,"34.7218516299015","60.5173605572393","60.0802455447648","47.2928101607749","74.1729629046645","62.6061283652546","11.4468468355515","-19.023093029298","65.2624573694123","18.2179883503966"
"Fusobacterium",0.12,NA,0.0878518947279975,0.097551875430333,0.0736921390629831,0.0826631503415371,0.301120233757485,8.90625830807678e-05,0.25297799096215,0.000137233588149422,0.262757752243035,7.08199675156936e-05,0.164288445745595,6.9284182319288e-05,0.200618744450247,4.22565527368381e-05,"150.933528131238","NA","110.814992468458","NA","118.964793535862","NA","36.9070381213288","NA","67.1822870418724","NA"
"Lactobacillus",0.04,0.188,0.123579397458759,0.137005605372162,0.051965374778674,0.112982912275143,0.0598194328406521,0.188871164991758,0.0283923692816438,0.174142561682209,0.0245966472532662,0.203333414602149,0.0350721239742473,0.0656936314590943,0.0176347824119722,0.17976861896342,"49.5485821016303","0.463385633914031","-29.0190767958906","-7.37097782861206","-38.5083818668346","8.15607159688751","-12.3196900643819","-65.05657901112","-55.9130439700695","-4.37839416839342"
"Listeria",NA,0.159,0.0519862201600179,0.0307963250020627,0.0826272448778843,0.0731501240964566,4.37420444156719e-05,0.0672635189025363,0.00176752617381176,0.0786622927272488,4.91893593577837e-05,0.0489389195194923,0.00264548606104679,0.147624214821721,0.000118771786610461,0.124304252461774,"NA","-57.6959000612979","NA","-50.5268599199693","NA","-69.2208053336526","NA","-7.15458187313171","NA","-21.8212248668086"
"Paenibacillus",0.04,NA,0.0208041974363523,0.0215248627497939,0.0111728169528681,0.0215747669502713,0.047217349844497,1.59515074174509e-05,0.0599053587690612,3.37365904200663e-05,0.0579804816622068,1.39317968883332e-05,0.0248989135954162,1.83399306139292e-05,0.0523576199642176,1.32051727302619e-05,"18.0433746112426","NA","49.763396922653","NA","44.9512041555171","NA","-37.7527160114596","NA","30.8940499105441","NA"
"Parabacteroides",0.06,NA,0.0393924173536359,0.0527417549480534,0.0358888170652877,0.0494133763244462,0.127746453613749,5.31716913915032e-05,0.113148586301995,0.000213283868248894,0.141995907445301,7.66248828858324e-05,0.0799989969721096,4.27931714325014e-05,0.119869011686767,6.33848291052571e-05,"112.910756022915","NA","88.5809771699918","NA","136.659845742169","NA","33.3316616201826","NA","99.7816861446113","NA"
"Pediococcus",0.04,NA,0.00762745885186672,0.00246134030968641,0.02880469913718,0.0110156961050176,0.0180960837747635,5.31716913915032e-06,0.0219605977295577,1.37233588149422e-05,0.00661892019518338,8.12688151819435e-06,0.0642288909645994,1.7321045579822e-05,0.0267368488525326,3.96155181907857e-06,"-54.7597905630913","NA","-45.0985056761057","NA","-83.4526995120416","NA","60.5722274114985","NA","-33.1578778686686","NA"
"Propionibacterium",0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA",NA,"NA",NA,"NA",NA,"NA",NA,"NA"
"Pseudomonas",NA,0.046,0.0307723618981823,0.0898407466820096,0.0359034316067564,0.0468009828315115,2.84323288701867e-05,0.0361128835008242,0.00117225091551828,0.0464958832782588,9.24759955926334e-05,0.142797435156193,0.000939084862428456,0.0643171177780155,7.91811910736404e-05,0.0795268322507293,"NA","-21.4937315199475","NA","1.07800712664963","NA","210.429206861289","NA","39.8198212565555","NA","72.884417936368"
"Pyramidobacter",0.02,NA,0.00273318831514382,0.00262708467346535,0.00483516483516484,0.00206646227250277,0.012693941289428,2.65858456957516e-06,0.0078763635893914,1.14361323457852e-06,0.00707539745002361,2.32196614805553e-06,0.0107800422525499,4.07554013642871e-06,0.00500915296863482,5.28206909210476e-06,"-36.5302935528601","NA","-60.618182053043","NA","-64.623012749882","NA","-46.0997887372506","NA","-74.9542351568259","NA"
"Ralstonia",0.06,NA,0.011568343711781,0.0345704774970995,0.0284393356004609,0.0391540628776089,0.0385411153346485,1.06343382783006e-05,0.033322497098975,1.25797455803637e-05,0.0931469384542736,6.96589844416658e-06,0.0634201997279287,1.22266204092861e-05,0.0950419377522722,7.92310363815714e-06,"-35.7648077755858","NA","-44.4625048350416","NA","55.2448974237893","NA","5.70033287988115","NA","58.4032295871204","NA"
