,Genus,value,Plate,Type
1,Acinetobacter,NA,PC04924,MSA1000
2,Actinomyces,NA,PC04924,MSA1000
3,Alistipes,NA,PC04924,MSA1000
4,Anaerostipes,NA,PC04924,MSA1000
5,Bacillus,-99.87857837,PC04924,MSA1000
6,Bacteroides,NA,PC04924,MSA1000
7,Bifidobacterium,-33.90377693,PC04924,MSA1000
8,Bilophila,NA,PC04924,MSA1000
9,Clostridium,NA,PC04924,MSA1000
10,Lachnoclostridium,NA,PC04924,MSA1000
11,Collinsella,NA,PC04924,MSA1000
12,Coprobacillus,NA,PC04924,MSA1000
13,Cryptococcus,NA,PC04924,MSA1000
14,Deinococcus,-83.02954117,PC04924,MSA1000
15,Enterococcus,-60.02371293,PC04924,MSA1000
16,Escherichia-Shigella,-29.96114508,PC04924,MSA1000
17,Fusobacterium,NA,PC04924,MSA1000
18,Helicobacter,NA,PC04924,MSA1000
19,Lactobacillus,-42.48900063,PC04924,MSA1000
20,Listeria,NA,PC04924,MSA1000
21,Neisseria,NA,PC04924,MSA1000
22,Paenibacillus,NA,PC04924,MSA1000
23,Parabacteroides,NA,PC04924,MSA1000
24,Pediococcus,NA,PC04924,MSA1000
25,Porphyromonadaceae,NA,PC04924,MSA1000
26,Propionibacterium,NA,PC04924,MSA1000
27,Pseudomonas,NA,PC04924,MSA1000
28,Pyramidobacter,NA,PC04924,MSA1000
29,Ralstonia,NA,PC04924,MSA1000
30,Rhodobacter,-95.61453631,PC04924,MSA1000
31,Saccharomyces,NA,PC04924,MSA1000
32,Salmonella,NA,PC04924,MSA1000
33,Staphylococcus,-12.06931033,PC04924,MSA1000
34,Streptococcus,-14.7762985,PC04924,MSA1000
35,Subdoligranulum,NA,PC04924,MSA1000
36,Clostridium innocuum group,NA,PC04924,MSA1000
37,Eubacterium coprostanoligenes group,NA,PC04924,MSA1000
38,Eubacterium eligens group,NA,PC04924,MSA1000
39,Eubacterium hallii group,NA,PC04924,MSA1000
40,Eubacterium rectale group,NA,PC04924,MSA1000
41,Eubacterium ventriosum group,NA,PC04924,MSA1000
42,Eubacterium xylanophilum group,NA,PC04924,MSA1000
43,Ruminococcus gauvreauii group,NA,PC04924,MSA1000
44,Ruminococcus torques group,NA,PC04924,MSA1000
45,Adlercreutzia,NA,PC04924,MSA1000
46,Akkermansia,NA,PC04924,MSA1000
47,Ambiguous_taxa,NA,PC04924,MSA1000
48,Anaerofilum,NA,PC04924,MSA1000
49,Anaerotruncus,NA,PC04924,MSA1000
50,Blautia,NA,PC04924,MSA1000
51,Butyricicoccus,NA,PC04924,MSA1000
52,Candidatus Stoquefichus,NA,PC04924,MSA1000
53,Carnobacterium,NA,PC04924,MSA1000
54,Christensenellaceae R-7 group,NA,PC04924,MSA1000
55,Clostridium sensu stricto 1,NA,PC04924,MSA1000
56,Coprococcus 1,NA,PC04924,MSA1000
57,Coprococcus 2,NA,PC04924,MSA1000
58,Coprococcus 3,NA,PC04924,MSA1000
59,Defluviitaleaceae UCG-011,NA,PC04924,MSA1000
60,Dialister,NA,PC04924,MSA1000
61,Dorea,NA,PC04924,MSA1000
62,Eisenbergiella,NA,PC04924,MSA1000
63,Enterobacter,NA,PC04924,MSA1000
64,Erwinia,NA,PC04924,MSA1000
65,Erysipelatoclostridium,NA,PC04924,MSA1000
66,Erysipelotrichaceae UCG-003,NA,PC04924,MSA1000
67,Faecalibacterium,NA,PC04924,MSA1000
68,Family XIII AD3011 group,NA,PC04924,MSA1000
69,Flavonifractor,NA,PC04924,MSA1000
70,Fusicatenibacter,NA,PC04924,MSA1000
71,Gordonibacter,NA,PC04924,MSA1000
72,Gossypium arboreum,NA,PC04924,MSA1000
73,Holdemania,NA,PC04924,MSA1000
74,Hungatella,NA,PC04924,MSA1000
75,Intestinibacter,NA,PC04924,MSA1000
76,Intestinimonas,NA,PC04924,MSA1000
77,Kluyvera,NA,PC04924,MSA1000
78,Lachnospira,NA,PC04924,MSA1000
79,Lachnospiraceae FCS020 group,NA,PC04924,MSA1000
80,Lachnospiraceae ND3007 group,NA,PC04924,MSA1000
81,Lachnospiraceae NK4A136 group,NA,PC04924,MSA1000
82,Lachnospiraceae UCG-001,NA,PC04924,MSA1000
83,Lachnospiraceae UCG-004,NA,PC04924,MSA1000
84,Lachnospiraceae UCG-008,NA,PC04924,MSA1000
85,Lactonifactor,NA,PC04924,MSA1000
86,Marvinbryantia,NA,PC04924,MSA1000
87,Odoribacter,NA,PC04924,MSA1000
88,Oryza sativa Indica Group (long-grained rice),NA,PC04924,MSA1000
89,Other,NA,PC04924,MSA1000
90,Oxalobacter,NA,PC04924,MSA1000
91,Parasutterella,NA,PC04924,MSA1000
92,Phascolarctobacterium,NA,PC04924,MSA1000
93,Porphyromonas,NA,PC04924,MSA1000
94,Raoultella,NA,PC04924,MSA1000
95,Roseburia,NA,PC04924,MSA1000
96,Ruminiclostridium,NA,PC04924,MSA1000
97,Ruminiclostridium 5,NA,PC04924,MSA1000
98,Ruminiclostridium 9,NA,PC04924,MSA1000
99,Ruminococcaceae NK4A214 group,NA,PC04924,MSA1000
100,Ruminococcaceae UCG-002,NA,PC04924,MSA1000
101,Ruminococcaceae UCG-003,NA,PC04924,MSA1000
102,Ruminococcaceae UCG-004,NA,PC04924,MSA1000
103,Ruminococcaceae UCG-005,NA,PC04924,MSA1000
104,Ruminococcaceae UCG-013,NA,PC04924,MSA1000
105,Ruminococcaceae UCG-014,NA,PC04924,MSA1000
106,Ruminococcus 1,NA,PC04924,MSA1000
107,Ruminococcus 2,NA,PC04924,MSA1000
108,Sellimonas,NA,PC04924,MSA1000
109,Serratia,NA,PC04924,MSA1000
