,Genus,value,Plate,Type
1,Acinetobacter,0,PC04924,MSA1000
2,Actinomyces,0,PC04924,MSA1000
3,Alistipes,5.00E-05,PC04924,MSA1000
4,Anaerostipes,0,PC04924,MSA1000
5,Bacteroides,0.000207131,PC04924,MSA1000
6,Bifidobacterium,0.066096223,PC04924,MSA1000
7,Bilophila,2.86E-05,PC04924,MSA1000
8,Clostridium,NA,PC04924,MSA1000
9,Lachnoclostridium,4.29E-05,PC04924,MSA1000
10,Collinsella,7.14E-06,PC04924,MSA1000
11,Coprobacillus,NA,PC04924,MSA1000
12,Cryptococcus,NA,PC04924,MSA1000
13,Deinococcus,0.016970459,PC04924,MSA1000
14,Enterococcus,0.039976287,PC04924,MSA1000
15,Fusobacterium,0.000135707,PC04924,MSA1000
16,Helicobacter,7.14E-06,PC04924,MSA1000
17,Listeria,0.000128564,PC04924,MSA1000
18,Neisseria,0,PC04924,MSA1000
19,Paenibacillus,1.43E-05,PC04924,MSA1000
20,Parabacteroides,7.14E-06,PC04924,MSA1000
21,Pediococcus,1.43E-05,PC04924,MSA1000
22,Porphyromonadaceae,NA,PC04924,MSA1000
23,Propionibacterium,NA,PC04924,MSA1000
24,Pseudomonas,4.29E-05,PC04924,MSA1000
25,Pyramidobacter,0,PC04924,MSA1000
26,Ralstonia,7.14E-06,PC04924,MSA1000
27,Rhodobacter,0.004385464,PC04924,MSA1000
28,Saccharomyces,NA,PC04924,MSA1000
29,Salmonella,NA,PC04924,MSA1000
30,Streptococcus,0.085223702,PC04924,MSA1000
31,Subdoligranulum,1.43E-05,PC04924,MSA1000
32,Clostridium innocuum group,0,PC04924,MSA1000
33,Eubacterium coprostanoligenes group,7.14E-06,PC04924,MSA1000
34,Eubacterium eligens group,0,PC04924,MSA1000
35,Eubacterium hallii group,7.14E-06,PC04924,MSA1000
36,Eubacterium rectale group,7.14E-06,PC04924,MSA1000
37,Eubacterium ventriosum group,0,PC04924,MSA1000
38,Eubacterium xylanophilum group,0,PC04924,MSA1000
39,Ruminococcus gauvreauii group,7.14E-06,PC04924,MSA1000
40,Ruminococcus torques group,7.14E-06,PC04924,MSA1000
41,Adlercreutzia,0,PC04924,MSA1000
42,Akkermansia,8.57E-05,PC04924,MSA1000
43,Ambiguous_taxa,0.346315925,PC04924,MSA1000
44,Anaerofilum,0,PC04924,MSA1000
45,Anaerotruncus,7.14E-06,PC04924,MSA1000
46,Blautia,2.14E-05,PC04924,MSA1000
47,Butyricicoccus,0,PC04924,MSA1000
48,Candidatus Stoquefichus,1.43E-05,PC04924,MSA1000
49,Carnobacterium,0,PC04924,MSA1000
50,Christensenellaceae R-7 group,1.43E-05,PC04924,MSA1000
51,Clostridium sensu stricto 1,0.205995372,PC04924,MSA1000
52,Coprococcus 1,0,PC04924,MSA1000
53,Coprococcus 2,1.43E-05,PC04924,MSA1000
54,Coprococcus 3,0,PC04924,MSA1000
55,Defluviitaleaceae UCG-011,0,PC04924,MSA1000
56,Dialister,7.14E-06,PC04924,MSA1000
57,Dorea,0,PC04924,MSA1000
58,Eisenbergiella,0,PC04924,MSA1000
59,Enterobacter,0.004535455,PC04924,MSA1000
60,Erwinia,3.57E-05,PC04924,MSA1000
61,Erysipelatoclostridium,0,PC04924,MSA1000
62,Erysipelotrichaceae UCG-003,7.14E-06,PC04924,MSA1000
63,Faecalibacterium,1.43E-05,PC04924,MSA1000
64,Family XIII AD3011 group,0,PC04924,MSA1000
65,Flavonifractor,0,PC04924,MSA1000
66,Fusicatenibacter,2.14E-05,PC04924,MSA1000
67,Gordonibacter,0,PC04924,MSA1000
68,Gossypium arboreum,0,PC04924,MSA1000
69,Holdemania,0,PC04924,MSA1000
70,Hungatella,0,PC04924,MSA1000
71,Intestinibacter,1.43E-05,PC04924,MSA1000
72,Intestinimonas,0,PC04924,MSA1000
73,Kluyvera,0,PC04924,MSA1000
74,Lachnospira,0,PC04924,MSA1000
75,Lachnospiraceae FCS020 group,0,PC04924,MSA1000
76,Lachnospiraceae ND3007 group,0,PC04924,MSA1000
77,Lachnospiraceae NK4A136 group,7.14E-06,PC04924,MSA1000
78,Lachnospiraceae UCG-001,7.14E-06,PC04924,MSA1000
79,Lachnospiraceae UCG-004,0,PC04924,MSA1000
80,Lachnospiraceae UCG-008,0,PC04924,MSA1000
81,Lactonifactor,0,PC04924,MSA1000
82,Marvinbryantia,0,PC04924,MSA1000
83,Odoribacter,0,PC04924,MSA1000
84,Oryza sativa Indica Group (long-grained rice),0,PC04924,MSA1000
85,Other,0.004864008,PC04924,MSA1000
86,Oxalobacter,0,PC04924,MSA1000
87,Parasutterella,0,PC04924,MSA1000
88,Phascolarctobacterium,0,PC04924,MSA1000
89,Porphyromonas,0,PC04924,MSA1000
90,Raoultella,0.000121422,PC04924,MSA1000
91,Roseburia,7.14E-06,PC04924,MSA1000
92,Ruminiclostridium,0,PC04924,MSA1000
93,Ruminiclostridium 5,0,PC04924,MSA1000
94,Ruminiclostridium 9,0,PC04924,MSA1000
95,Ruminococcaceae NK4A214 group,7.14E-06,PC04924,MSA1000
96,Ruminococcaceae UCG-002,2.86E-05,PC04924,MSA1000
97,Ruminococcaceae UCG-003,0,PC04924,MSA1000
98,Ruminococcaceae UCG-004,0,PC04924,MSA1000
99,Ruminococcaceae UCG-005,3.57E-05,PC04924,MSA1000
100,Ruminococcaceae UCG-013,7.14E-06,PC04924,MSA1000
101,Ruminococcaceae UCG-014,1.43E-05,PC04924,MSA1000
102,Ruminococcus 1,4.29E-05,PC04924,MSA1000
103,Ruminococcus 2,4.29E-05,PC04924,MSA1000
104,Sellimonas,0,PC04924,MSA1000
105,Serratia,0.008706645,PC04924,MSA1000
106,Succiniclasticum,7.14E-06,PC04924,MSA1000
107,Tyzzerella,0,PC04924,MSA1000
108,Tyzzerella 3,0,PC04924,MSA1000
109,Acinetobacter,0,PC04924,MSA1001
110,Actinomyces,0,PC04924,MSA1001
111,Alistipes,4.24E-05,PC04924,MSA1001
112,Anaerostipes,0,PC04924,MSA1001
113,Bacteroides,0.000228711,PC04924,MSA1001
114,Bifidobacterium,0.00066072,PC04924,MSA1001
115,Bilophila,1.69E-05,PC04924,MSA1001
116,Clostridium,NA,PC04924,MSA1001
117,Lachnoclostridium,5.08E-05,PC04924,MSA1001
118,Collinsella,0,PC04924,MSA1001
119,Coprobacillus,NA,PC04924,MSA1001
120,Cryptococcus,NA,PC04924,MSA1001
121,Deinococcus,0.000152474,PC04924,MSA1001
122,Enterococcus,0.000381185,PC04924,MSA1001
123,Fusobacterium,6.78E-05,PC04924,MSA1001
124,Helicobacter,0,PC04924,MSA1001
125,Listeria,0.000127062,PC04924,MSA1001
126,Neisseria,0,PC04924,MSA1001
127,Paenibacillus,0,PC04924,MSA1001
128,Parabacteroides,3.39E-05,PC04924,MSA1001
129,Pediococcus,8.47E-06,PC04924,MSA1001
130,Porphyromonadaceae,NA,PC04924,MSA1001
131,Propionibacterium,NA,PC04924,MSA1001
132,Pseudomonas,1.69E-05,PC04924,MSA1001
133,Pyramidobacter,8.47E-06,PC04924,MSA1001
134,Ralstonia,0,PC04924,MSA1001
135,Rhodobacter,0.06553836,PC04924,MSA1001
136,Saccharomyces,NA,PC04924,MSA1001
137,Salmonella,NA,PC04924,MSA1001
138,Streptococcus,0.008114999,PC04924,MSA1001
139,Subdoligranulum,8.47E-06,PC04924,MSA1001
140,Clostridium innocuum group,0,PC04924,MSA1001
141,Eubacterium coprostanoligenes group,0,PC04924,MSA1001
142,Eubacterium eligens group,0,PC04924,MSA1001
143,Eubacterium hallii group,1.69E-05,PC04924,MSA1001
144,Eubacterium rectale group,0,PC04924,MSA1001
145,Eubacterium ventriosum group,0,PC04924,MSA1001
146,Eubacterium xylanophilum group,0,PC04924,MSA1001
147,Ruminococcus gauvreauii group,0,PC04924,MSA1001
148,Ruminococcus torques group,0,PC04924,MSA1001
149,Adlercreutzia,0,PC04924,MSA1001
150,Akkermansia,3.39E-05,PC04924,MSA1001
151,Ambiguous_taxa,0.260332224,PC04924,MSA1001
152,Anaerofilum,0,PC04924,MSA1001
153,Anaerotruncus,0,PC04924,MSA1001
154,Blautia,8.47E-06,PC04924,MSA1001
