"","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Naming","Gram","Art.Col","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Ext","Zymo.Seq","Qiagen DSP Virus_OB","Zymo MagBead DNone Kit_OB","MagAttract PowerMag Soil_OB","MagAttract PowerMag Microbiome_OB","Qiagen QIAamp  Modified_OB","Qiagen DSP Virus_OB_Study","Qiagen DSP Virus_OB_RG","Zymo MagBead DNone Kit_OB_Study","Zymo MagBead DNone Kit_OB_RG","MagAttract PowerMag Soil_OB_Study","MagAttract PowerMag Soil_OB_RG","MagAttract PowerMag Microbiome_OB_Study","MagAttract PowerMag Microbiome_OB_RG","Qiagen QIAamp  Modified_OB_Study","Qiagen QIAamp  Modified_OB_RG"
"Acinetobacter","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter","N",NA,NA,NA,0.05,0.0018,NA,NA,8.30806297511735e-07,1.33364985289842e-06,9.43784424536885e-07,1.04622318660751e-06,1.34064611098673e-06,NA,8.30806297511735e-07,1.45917661581923e-06,1.13787649488525e-06,4.87782273504399e-07,1.77211174582247e-06,1.52346594596571e-06,0,1.84893549849843e-06,0
"Actinomyces","Bacteria","Eubacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces odontolyticus","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Actinomyces","P",NA,NA,NA,0.05,2e-04,NA,NA,8.30806297511735e-07,9.33554897028895e-06,2.95719119688224e-05,4.96956013638565e-05,5.26203598562291e-05,NA,8.30806297511735e-07,1.53213544661019e-05,0,4.34126223418915e-05,4.43027936455617e-06,7.00794335144226e-05,5.00966866051479e-06,7.11840166921897e-05,3.6575151573524e-06
"Alistipes","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__Alistipes","N",0.04,NA,NA,NA,NA,NA,NA,0.0692369044157355,0.0758095476882069,0.0833559841595222,0.0250839855663049,0.0477239850973778,NA,0.0692369044157355,0.0728121835410714,0.0804842802362232,0.0859979659479195,0.0785568276364371,0.0173362807321168,0.042068692576673,0.0430196444774377,0.0601319875303117
"Anaerostipes","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Anaerostipes","P",0.06,NA,NA,NA,NA,NA,NA,1.41237070576995e-05,0.00472512142881911,0.00655584120764138,0.00277510700247641,0.0030707499172151,NA,1.41237070576995e-05,0.00752862174931929,0.000352741713414426,0.010150261329353,2.6581676187337e-05,0.0034300835773418,0.00133925142191095,0.0042243553801943,2.80409495397017e-05
"Bacillus","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus; Bacillus subtilis","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Bacillaceae;D_5__Bacillus","P",NA,0.1,0.0448,0.05,0.018,0.157,0.135,5.6494828230798e-05,0.000219163125826307,5.28519277740656e-05,5.98962774332797e-05,9.55210354078044e-05,NA,5.6494828230798e-05,9.99535981836169e-05,0.000405084032179147,4.73148805299267e-05,6.29099669766976e-05,4.26570464870399e-05,9.76885388800385e-05,2.49606292297288e-05,0.000281628667116135
"Bacteroides","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae; Bacteroides vulgatus","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides","N",0.06,NA,NA,0.05,2e-04,NA,NA,0.448077929630707,0.330391301757839,0.249231444883619,0.104230246521569,0.127451538994703,NA,0.448077929630707,0.226580944904409,0.492295438253132,0.177435192027687,0.379649245922149,0.0396645785026767,0.245772674595302,0.0909186297354127,0.223809448336989
"Bifidobacterium","Bacteria","Eubacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis; Bifidobacterium angulatum","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium","P",0.06,0.1,4e-04,0.05,2e-04,NA,NA,3.32322519004694e-06,9.78009892125509e-06,5.66270654722131e-06,4.96956013638566e-06,5.36258444394692e-06,NA,3.32322519004694e-06,5.10711815536729e-06,1.70681474232787e-05,6.82895182906158e-06,3.54422349164494e-06,4.57039783789713e-06,5.84461343726726e-06,4.62233874624608e-06,7.3150303147048e-06
"Bilophila","Bacteria","Eubacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila","Bilophila wadsworthia","D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfovibrionales;D_4__Desulfovibrionaceae;D_5__Bilophila","N",0.02,NA,NA,NA,NA,NA,NA,0.00238524488015619,0.00176575240523751,0.00265297801737318,0.00183952191785265,0.00311230994665569,NA,0.00238524488015619,0.00178019547129946,0.0017432267901642,0.00192820332716289,0.00396953031064233,0.00168114467137316,0.00218672037031471,0.00348801681791729,0.00212135879126439
"Clostridium","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium beijerinckii","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae;D_5__Clostridium","P",NA,0.1,0.0045,0.05,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lachnoclostridium","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","Clostridium bolteae","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Lachnoclostridium","P",0.06,NA,NA,NA,NA,NA,NA,0.0105695177169443,0.00775606299450625,0.0058841812921793,0.00642668747953326,0.00696901364643676,NA,0.0105695177169443,0.00782994172048596,0.00764084066315442,0.00498757374658248,0.00751286774641435,0.00347997708707217,0.0128865376843976,0.00761068074569418,0.00527657520034039
