"","NephID","Type","O.R","Instrument","Kit","Batch","Seq.Plate","Subject","VialID"
"SC249360.PC04924.C01","SC249360.PC04924.C01","RG","Original","QIASymphony","Qiagen DSP Virus",2,"PC04924","DZ35298","DZ35298 0093"
"SC249365.PC04924.H01","SC249365.PC04924.H01","RG","Original","QIASymphony","Qiagen DSP Virus",2,"PC04924","DZ35298","DZ35298 0092"
"SC249382.PC04924.D02","SC249382.PC04924.D02","RG","Original","Manual","Zymo MagBead DNone Kit",1,"PC04924","DZ35298","DZ35298 0014"
"SC249385.PC04924.G02","SC249385.PC04924.G02","RG","Original","Manual","Zymo MagBead DNone Kit",1,"PC04924","DZ35298","DZ35298 0098"
"SC249394.PC04924.G03","SC249394.PC04924.G03","RG","Original","Manual","Zymo MagBead DNone Kit",2,"PC04924","DZ35298","DZ35298 0098"
"SC249398.PC04924.C04","SC249398.PC04924.C04","RG","Original","Manual","Zymo MagBead DNone Kit",2,"PC04924","DZ35298","DZ35298 0092"
"SC249410.PC04924.E05","SC249410.PC04924.E05","RG","Original","KingFisher","MagAttract PowerMag Soil",1,"PC04924","DZ35298","DZ35298 0013"
"SC249417.PC04924.D06","SC249417.PC04924.D06","RG","Original","KingFisher","MagAttract PowerMag Soil",1,"PC04924","DZ35298","DZ35298 0047"
"SC249421.PC04924.H06","SC249421.PC04924.H06","RG","Original","KingFisher","MagAttract PowerMag Soil",2,"PC04924","DZ35298","DZ35298 0010"
"SC249426.PC04924.D07","SC249426.PC04924.D07","RG","Original","KingFisher","MagAttract PowerMag Soil",2,"PC04924","DZ35298","DZ35298 0047"
"SC249433.PC04924.B08","SC249433.PC04924.B08","RG","Original","KingFisher","MagAttract PowerMag Microbiome",1,"PC04924","DZ35298","DZ35298 0046"
"SC249436.PC04924.E08","SC249436.PC04924.E08","RG","Original","KingFisher","MagAttract PowerMag Microbiome",1,"PC04924","DZ35298","DZ35298 0080"
"SC249447.PC04924.G09","SC249447.PC04924.G09","RG","Original","KingFisher","MagAttract PowerMag Microbiome",2,"PC04924","DZ35298","DZ35298 0036"
