"","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Naming","Gram","Art.Col","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Ext","Zymo.Seq","Qiagen DSP Virus_OB","Zymo MagBead DNone Kit_OB","MagAttract PowerMag Soil_OB","MagAttract PowerMag Microbiome_OB","Qiagen QIAamp  Modified_OB","Qiagen DSP Virus_OB_AC","Qiagen DSP Virus_OB_ZE","Zymo MagBead DNone Kit_OB_AC","Zymo MagBead DNone Kit_OB_ZE","MagAttract PowerMag Soil_OB_AC","MagAttract PowerMag Soil_OB_ZE","MagAttract PowerMag Microbiome_OB_AC","MagAttract PowerMag Microbiome_OB_ZE","Qiagen QIAamp  Modified_OB_AC","Qiagen QIAamp  Modified_OB_ZE"
"Actinobacteria","Bacteria","Eubacteria","Actinobacteria","Actinobacteria","Actinomycetales, Bifidobacteriales, Actinomycetales","Actinomycetaceae, Bifidobacteriaceae, Propionibacteriaceae","Actinomyces, Bifidobacterium, Propionibacterium","Actinomyces odontolyticus, Bifidobacterium adolescentis; Bifidobacterium angulatum, Propionibacterium acnes","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria","P",0.12,0.1,4e-04,0.15,0.0022,NA,NA,0.0063067383216205,0.00424385669626736,0.00201157440196733,0.0100882688391268,0.00602314203618855,0.0166679789337393,9.30509547027953e-06,0.0122163109496815,9.14896865391796e-06,0.00540492680623328,9.28791850780301e-06,0.0225031158546219,0,0.0146147784217095,5.28207606717744e-06
"Alphaproteobacteria","Bacteria","Eubacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodbacteraceae","Rhodobacter","Rhodobacter sphaeroides","D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria","N",NA,0.1,0.4478,0.05,0.18,NA,NA,8.26787928896238e-07,8.58929109593006e-06,2.9206161916041e-06,1.124228989706e-06,1.55315679117807e-06,0,1.32929935289707e-06,1.18416831553134e-05,6.86172649043847e-06,1.96757437431135e-06,3.48296944042613e-06,0,2.03777422072967e-06,3.77058266813971e-06,0
"Bacilli","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales, Lactobacillales","Bacillaceae, Enterococcaceae; Streptococcaceae, Lactobacillaceae , Listeriaceae, Paenibacillaceae, Staphylococcaceae","Bacillus, Enterococcus, Lactobacillus, Listeria, Paenibacillus, Pediococcus, Staphylococcus, Streptococcus","Bacillus cereus; Bacillus subtilis, Enterococcus faecalis; Enterococcus gallinarum, Lactobacillus fermentum; Lactobacillus gasseri; Lactobacillus iners, Listeria monocytogenes, Paenibacillus barengoltzii, Pediococcus acidilactici, Staphylococcus aureus; Staphylococcus epidermidis, Streptococcus agalactiae; Streptococcus mutans","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli","P",0.18,0.5,0.4971,0.35,0.416,0.741,0.624,0.381907399751964,0.402333598356532,0.287469680353161,0.48286028588019,0.411624602003572,0.139997025527969,0.528937517613216,0.138871724428962,0.542275954623403,0.0950712261923501,0.400996593655887,0.205424470931647,0.708303828060762,0.126923468483585,0.611038482565187
"Bacteroidia","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae, Bacteroidaceae, Porphyromonadaceae","Alistipes, Bacteroides, Parabacteroides, Porphyromonadaceae","Alistipes shahii, Bacteroides caccae; Bacteroides vulgatus, Parabacteroides merdae, Porphyromonas gingivalis","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia","N",0.16,0,0,0.1,0.1802,NA,NA,0.0812277800744109,0.0760641478134839,0.0878725793567927,0.0630962278182594,0.0925821231653335,0.214188231588893,0.000416070697456784,0.21419559446326,0.0026932276474971,0.234814260979065,0.00116795575235623,0.140267374180913,0.000387177101938637,0.223571043433342,0.000833247499597242
"Betaproteobacteria","Bacteria","Eubacteria","Proteobacteria","Betaproteobacteria","Neisseriales, Burkholderiales","Neisseriaceae, Bukerholderiaceae","Neisseria, Ralstonia","Neisseria meningitidis, Ralstonia pickettii","D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria","N",0.06,0,0,0.05,0.0018,NA,NA,0.0145828854898718,0.0116048791654794,0.034577175092401,0.0284750339657684,0.0391830395278403,0.0385478452574668,1.7280891587662e-05,0.0334140003143429,2.05851794713154e-05,0.0931489060286479,1.62538573886553e-05,0.0634994871691991,1.42644195451077e-05,0.0951110625124901,9.24363311756053e-06
"Clostridia","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae, Clostridiaceae, Ruminococcaceae","Anaerostipes, Clostridium, Lachnoclostridium, Subdoligranulum","Anaerostipes hadrus, Clostridium beijerinckii, Clostridium bolteae, Subdoligranulum variabile","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia","P",0.14,0.1,0.0045,0.05,0.018,NA,NA,0.0444076064489458,0.0603599361106121,0.0416173204222627,0.105428508311144,0.0621153995495845,0.116056899900268,0.000860056681324408,0.156800032726106,0.00913410157985534,0.109070517865575,0.00181578806827549,0.232499178718399,0.00217124843218746,0.146490907239896,0.00301606543435832
"Coriobacteriia","Bacteria","Eubacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia","P",0.06,NA,NA,NA,NA,NA,NA,0.000163704009921455,0.00040556391870348,0.000405965650632971,0.00839855266759865,0.00136211850586317,0.00042648679859325,3.98789805869123e-06,0.00105175676752192,6.23273489548161e-05,0.00106642531087675,1.62538573886553e-05,0.0187076663816213,2.13966293176615e-05,0.00327286575594527,2.37693423022985e-05
"Deinococci","Bacteria","Eubacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans","D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci","P",NA,0.1,4e-04,0.05,2e-04,NA,NA,8.26787928896238e-07,7.46894877906962e-07,0,5.62114494852999e-07,0,2.18711178765769e-06,0,1.07651665048303e-06,5.71810540869873e-07,0,0,0,1.01888711036483e-06,0,0
"Deltaproteobacteria","Bacteria","Eubacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila","Bilophila wadsworthia","D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria","N",0.02,NA,NA,NA,NA,NA,NA,0.00821165770979744,0.009183819418744,0.0136042302204919,0.0156998578412443,0.0133237555331211,0.0217005231571396,1.32929935289707e-05,0.0264112595029507,3.31650113704526e-05,0.0366224618290571,2.20588064560322e-05,0.035009165753435,9.1699839932835e-06,0.0323120081746232,2.37693423022985e-05
"Epsilonproteobacteria","Bacteria","Eubacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori","D_0__Bacteria;D_1__Proteobacteria;D_2__Epsilonproteobacteria","N",NA,NA,NA,0.05,0.0018,NA,NA,8.26787928896238e-07,0,1.46030809580205e-06,5.62114494852999e-07,0,0,1.32929935289707e-06,0,0,0,2.32197962695075e-06,0,1.01888711036483e-06,0,0
"Erysipelotrichia","Bacteria","Eubacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichidae","Coprobacillus","Coprobacillus cateniformis","D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichi","P",0.04,NA,NA,NA,NA,NA,NA,0.015307151715585,0.0117960842542236,0.0114115776146451,0.00740079943923458,0.013100877533587,0.0404768778541809,9.30509547027953e-06,0.0338026228251672,0.000106928571142666,0.0307020305367543,2.90247453368844e-05,0.0164745327471932,2.75099519798505e-05,0.0317615031050748,3.03719373862703e-05
"Fusobacteriia","Bacteria","Eubacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Fusobacterium","Fusobacterium gonidiaformans; Fusobacterium varium","D_0__Bacteria;D_1__Fusobacteria;D_2__Fusobacteriia","N",0.12,NA,NA,NA,NA,NA,NA,0.11388755684167,0.0878542569086843,0.0975522315698166,0.0736943345042178,0.0826636638968704,0.301121550924711,8.9063056644104e-05,0.252994331063319,0.000137234529808769,0.262757752243035,7.0820378621998e-05,0.164298951518054,6.92843235048086e-05,0.200621392023709,4.22566085374195e-05
"Gammaproteobacteria","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales, Enterobacterales","Moraxellaceae, Enterobacteriaceae, Pseudomonadaceae","Acinetobacter, Escherichia-Shigella, Pseudomonas, Salmonella","Acinetobacter baumannii, Escherichia coli, Pseudomonas aeruginosa, Salmonella enterica","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria","N",0.06,0.1,0.0448,0.15,0.1998,0.249,0.339,0.329009508061182,0.331497341240958,0.420501557418584,0.196103759590376,0.27232041624602,0.0978404458208668,0.469511190041953,0.118132631157406,0.444829717679982,0.124098850936565,0.595397371983458,0.0820454049607916,0.288787249239146,0.112101308015128,0.384543060804619
"Saccharomycetes","Eukaryota","Fungi","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Saccharomyces","Saccharomyces cerevisiae","D_0__Eukaryota;D_1__Ascomycota;D_2__Saccharomycetes","Y",NA,NA,NA,NA,NA,NA,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Synergistia","Bacteria","Eubacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Pyramidobacter","Pyramidobacter piscolens","D_0__Bacteria;D_1__Synergistetes;D_2__Synergistia","N",0.02,NA,NA,NA,NA,NA,NA,0.00480033071517156,0.00273326180570053,0.00262709426434789,0.00483530888472549,0.00206647511066242,0.0126939968155652,2.65859870579415e-06,0.00787687233158435,1.14362108173975e-06,0.00707539745002361,2.32197962695075e-06,0.0107807316051729,4.07554844145933e-06,0.0050092190746236,5.28207606717744e-06
"Tremellomycetes","Bacteria","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Tremellaceae","Cryptococcus","Cryptococcus neoformans","D_0__Bacteria;D_1__Basidiomycota;D_2__Tremellomycetes","Y",NA,NA,NA,NA,NA,NA,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Verrucomicrobiae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000151302190988012,0.00153188139458718,0.000308125008214233,0.00345644202885109,0.00341150889182263,0.000225272514128742,0.000106343948231766,0.003394256998973,0.000542648203285509,0.00014560050369904,0.000404024455089431,0.00749560520303837,0.000174229695872386,0.00774100621769082,0.000378988957819982
"Chloroplast",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.48036378668871e-06,4.25730080406968e-05,0,1.686343484559e-06,7.76578395589035e-07,0,3.98789805869123e-06,7.64326821842953e-05,2.45878532574045e-05,0,0,2.50773007796533e-06,1.01888711036483e-06,1.88529133406985e-06,0
"Negativicutes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1417941298057e-05,0.000339463722008714,3.65077023950513e-05,0.000458685427800047,0.000220548264347286,5.46777946914423e-05,1.7280891587662e-05,0.000749255588736191,0.000121795645205283,1.96757437431135e-05,4.64395925390151e-05,0.000991807245835287,2.54721777591208e-05,0.000463781668181184,5.01797226381857e-05
