"","AC","MSA-1000","MSA-1001","MSA-1002","MSA-1003","Zymo.Ext","Zymo.Seq.200","Zymo.Seq.2000"
"Candidatus Stoquefichus",0.0144998036497857,6.97350069735007e-06,2.71210711738271e-06,1.18121211262149e-06,3.67578588302179e-06,6.08271670610295e-06,2.64998237761719e-06,3.91228143387723e-06
"Carnobacterium",2.01782828902131e-06,0,0,1.18121211262149e-06,0,0.000224275651454054,0.000461096933705391,0.000468169678253975
"Faecalibacterium",0.00377923716777621,1.91771269177127e-05,2.3052910497753e-05,1.77181816893223e-05,2.81810251031671e-05,0.000333764552163907,1.45749030768945e-05,9.91111296582231e-05
"Tyzzerella 3",5.01352721041448e-05,0,0,0,1.22526196100726e-06,5.00352503243952e-06,1.32499118880859e-06,0
"Serratia",0.00528407141870403,0.00390864714086471,0.00475839193744796,0.00207538968187595,0.00754638841784373,0.0115267481580651,0.00508664117383619,0.00447173767892167
"Ruminococcaceae UCG-003",0.0001230875256303,1.74337517433752e-06,2.71210711738271e-06,9.4496969009719e-06,4.90104784402905e-06,1.76595001144924e-05,1.32499118880859e-06,6.52046905646205e-06
"Lachnospira",0.00021435545131834,5.23012552301255e-06,2.71210711738271e-06,5.90606056310744e-06,1.22526196100726e-05,4.54241586278333e-05,6.62495594404297e-06,3.91228143387723e-06
"Akkermansia",0.0020820883591486,4.18410041841004e-05,3.11892318499011e-05,5.55169692932099e-05,6.61641458943922e-05,0.000180028792833853,3.84247444754492e-05,7.17251596210825e-05
"Adlercreutzia",4.67204857688779e-05,0,0,0,0,1.86405834541865e-06,0,0
"Ruminococcaceae UCG-014",0.000212027187907931,1.04602510460251e-05,2.71210711738271e-06,1.18121211262149e-05,8.57683372705084e-06,2.04065334656357e-05,7.94994713285157e-06,1.17368443016317e-05
"Escherichia-Shigella",0.044272394401613,0.0366858437935844,0.0372711320606319,0.0176520338110155,0.0632467971652339,0.067440159312237,0.0336508012221719,0.0252642094061678
"Erysipelotrichaceae UCG-003",0.000263869853179709,3.48675034867503e-06,5.42421423476542e-06,2.36242422524298e-06,1.22526196100726e-06,1.76595001144924e-05,1.32499118880859e-06,6.52046905646205e-06
"Lachnospiraceae FCS020 group",5.35500584394116e-05,0,0,2.36242422524298e-06,0,3.72811669083729e-06,0,0
"Ruminococcaceae UCG-013",0.00017539584358416,1.74337517433752e-06,0,1.18121211262149e-06,6.12630980503632e-06,1.08900250706037e-05,0,5.21637524516964e-06
"Parabacteroides",0.0563560815016368,1.04602510460251e-05,1.08484284695308e-05,2.00806059145653e-05,4.04336447132397e-05,5.58236420285899e-05,1.32499118880859e-05,1.69532195468013e-05
"Listeria",0.000599139784278634,5.23012552301255e-05,4.6105820995506e-05,4.13424239417521e-05,5.14610023623051e-05,0.0460464597902012,0.080044042707116,0.0779743771647957
"Lachnospiraceae UCG-001",0.000159563652393377,1.74337517433752e-06,0,3.54363633786446e-06,8.57683372705084e-06,3.20814252079946e-05,0,1.30409381129241e-05
"Subdoligranulum",0.00602694266418525,5.23012552301255e-06,1.22044820282222e-05,2.00806059145653e-05,3.06315490251816e-05,0.000155109276005625,1.32499118880859e-05,5.86842215081584e-05
"Ruminococcus 2",0.00382735461159134,3.66108786610879e-05,2.84771247325184e-05,5.31545450679669e-05,6.73894078553995e-05,0.000159818476036156,4.37247092306836e-05,6.52046905646205e-05
"Fusicatenibacter",0.000427313944590435,8.71687587168759e-06,5.42421423476542e-06,7.08727267572893e-06,7.35157176604358e-06,3.55152168969237e-05,9.27493832166016e-06,1.04327504903393e-05
"Ruminococcaceae UCG-004",0.000116568388081154,0,1.35605355869135e-06,0,2.45052392201453e-06,6.08271670610295e-06,1.32499118880859e-06,1.30409381129241e-06
"Clostridium sensu stricto 1",2.80943784856043e-05,0.101668410041841,0.0120729448330291,0.0835861127254343,0.0378054578068791,7.55434171564398e-06,5.29996475523438e-06,6.52046905646205e-06
"Gossypium arboreum",1.14860994913521e-05,0,0,1.18121211262149e-06,0,4.61109169656191e-06,0,0
"Anaerostipes",0.00666566292644085,1.74337517433752e-06,1.35605355869135e-06,8.26848478835041e-06,1.47031435320872e-05,3.11003418683006e-05,1.32499118880859e-06,6.52046905646205e-06
"Enterococcus",0.0154078263798453,0.0192799860529986,0.00021018830159716,0.0116207647639702,0.000132328291788784,0.0314310650621114,0.0449211762741778,0.0509900680215332
"Sellimonas",2.79391609249104e-06,0,0,0,0,9.81083339694024e-08,1.32499118880859e-06,1.30409381129241e-06
"Lachnospiraceae UCG-008",1.39695804624552e-06,0,0,0,0,5.88650003816414e-07,1.32499118880859e-06,0
"Ambiguous_taxa",1.02443590058005e-05,0.168755230125523,0.129226479929051,0.0992714283689351,0.0389143198815907,1.98178834618193e-05,2.25248502097461e-05,3.91228143387723e-05
"Intestinimonas",4.96696194220629e-06,0,0,0,0,4.90541669847012e-07,0,0
"Paenibacillus",0.023956123099943,8.71687587168759e-06,4.06816067607406e-06,5.90606056310744e-06,7.35157176604358e-06,1.08900250706037e-05,7.94994713285157e-06,6.52046905646205e-06
"Butyricicoccus",0.00026231767757277,0,0,3.54363633786446e-06,4.90104784402905e-06,2.27611334809013e-05,1.32499118880859e-06,1.69532195468013e-05
"Hungatella",1.33487102196794e-05,0,0,2.36242422524298e-06,0,1.47162500954104e-06,0,1.30409381129241e-06
"Porphyromonas",7.76087803469733e-07,0,2.71210711738271e-06,0.0262406270818863,0.0879162214881542,1.96216667938805e-06,0,0
"Marvinbryantia",9.51483647053893e-05,0,0,0,0,4.61109169656191e-06,0,0
"Collinsella",0.00264242375325375,1.74337517433752e-06,1.35605355869135e-06,0,0,5.10163336640892e-06,1.32499118880859e-06,3.91228143387723e-06
"Pediococcus",0.0151257960720644,8.71687587168759e-06,2.71210711738271e-06,5.90606056310744e-06,9.80209568805811e-06,5.39595836831713e-06,3.97497356642578e-06,5.21637524516964e-06
"Eisenbergiella",3.38374282312804e-05,3.48675034867503e-06,0,1.18121211262149e-06,2.45052392201453e-06,1.76595001144924e-06,0,0
"Erysipelatoclostridium",3.36822106705864e-05,0,0,0,1.22526196100726e-06,6.86758337785817e-07,1.32499118880859e-06,0
"Ruminococcaceae NK4A214 group",0.000443922223584687,8.71687587168759e-06,1.08484284695308e-05,9.4496969009719e-06,2.20547152981307e-05,5.47444503549265e-05,1.32499118880859e-05,2.2169594791971e-05
"Family XIII AD3011 group",5.60335394105147e-05,1.74337517433752e-06,0,1.18121211262149e-06,2.45052392201453e-06,2.06027501335745e-06,1.32499118880859e-06,0
"Ralstonia",0.0305646659640485,1.74337517433752e-06,1.35605355869135e-06,3.54363633786446e-06,6.12630980503632e-06,5.29785003434773e-06,5.29996475523438e-06,2.60818762258482e-06
"Alistipes",0.00393740386212334,2.44072524407252e-05,3.11892318499011e-05,3.77987876038876e-05,4.53346925572687e-05,0.000157071442685013,2.91498061537891e-05,5.0859658640404e-05
"Helicobacter",0,1.74337517433752e-06,0,0.0156321610984328,0.000464374283221753,3.92433335877609e-07,0,0
"Neisseria",1.55217560693947e-07,0,0,0.0141863574725841,0.000383506993795273,3.92433335877609e-07,1.32499118880859e-06,0
"Ruminococcaceae UCG-002",0.000729056882579467,2.44072524407252e-05,8.13632135214812e-06,3.42551512660231e-05,3.18568109861888e-05,7.82904505075831e-05,1.98748678321289e-05,4.17310019613571e-05
"Lachnospiraceae NK4A136 group",0.000312452949676915,3.48675034867503e-06,8.13632135214812e-06,1.53557574640793e-05,2.20547152981307e-05,2.64892501717386e-05,9.27493832166016e-06,1.43450319242165e-05
"[Eubacterium] coprostanoligenes group",0.000592465429168794,5.23012552301255e-06,0,5.90606056310744e-06,1.22526196100726e-05,3.19833168740252e-05,5.29996475523438e-06,6.52046905646205e-06
"Actinomyces",2.01782828902131e-06,0,0,0.00679787570813666,2.57305011811525e-05,6.86758337785817e-07,0,0
"Ruminococcus 1",0.00203102178168029,3.48675034867503e-05,2.3052910497753e-05,4.3704848166995e-05,6.12630980503632e-05,0.000216328876402532,4.37247092306836e-05,3.65146267161875e-05
"Roseburia",0.0011309151472161,1.39470013947001e-05,9.49237491083948e-06,2.00806059145653e-05,3.30820729471961e-05,0.00014117789258197,1.19249206992773e-05,3.65146267161875e-05
"Anaerofilum",3.10435121387893e-07,0,0,0,0,2.94325001908207e-07,0,0
"Lachnoclostridium",0.042903065081171,1.91771269177127e-05,1.08484284695308e-05,2.12618180271868e-05,2.57305011811525e-05,4.61109169656191e-05,1.58998942657031e-05,1.82573133580937e-05
"[Clostridium] innocuum group",3.88043901734867e-06,0,0,0,1.22526196100726e-06,3.92433335877609e-07,0,0
"[Eubacterium] xylanophilum group",8.94053149597133e-05,0,0,1.18121211262149e-06,1.22526196100726e-06,1.24597584141141e-05,0,1.30409381129241e-06
"[Eubacterium] hallii group",0.000853386148695319,8.71687587168759e-06,5.42421423476542e-06,3.54363633786446e-06,6.12630980503632e-06,4.925038365264e-05,5.29996475523438e-06,7.82456286775446e-06
"Holdemania",2.15752409364586e-05,0,0,0,0,1.56973334351044e-06,0,1.30409381129241e-06
"Tyzzerella",2.15752409364586e-05,0,0,0,1.22526196100726e-06,2.45270834923506e-06,0,2.60818762258482e-06
"Ruminiclostridium 5",0.000269457685364691,1.74337517433752e-06,2.71210711738271e-06,4.72484845048595e-06,8.57683372705084e-06,1.67765251087678e-05,2.64998237761719e-06,1.04327504903393e-05
"Dialister",0.000137833193896225,5.23012552301255e-06,2.71210711738271e-06,1.18121211262149e-06,4.90104784402905e-06,1.48143584293798e-05,2.64998237761719e-06,5.21637524516964e-06
"Streptococcus",0.000252694188809745,0.0513702928870293,0.00437869694101438,0.047749318440611,0.0788823650496476,2.61949251698304e-05,6.62495594404297e-06,6.52046905646205e-06
"Rhodobacter",4.6565268208184e-07,0.00220885634588563,0.0320381213776419,0.00160054241260212,0.00539115262843196,1.27540834160223e-06,0,1.30409381129241e-06
"Intestinibacter",0.000160650175318235,3.48675034867503e-06,1.35605355869135e-06,2.36242422524298e-06,6.12630980503632e-06,1.11843500725119e-05,0,0
"[Ruminococcus] gauvreauii group",0.000455873975758121,1.74337517433752e-06,2.71210711738271e-06,1.18121211262149e-06,2.45052392201453e-06,2.70779001755551e-05,1.32499118880859e-06,5.21637524516964e-06
"Lactobacillus",0.0160735544976616,0.0282217573221757,0.00380508628568794,0.0191320925881302,0.0735132671365138,0.0806825279064251,0.0390117155720914,0.0560995075741769
"Lachnospiraceae ND3007 group",0.000157856259225744,1.74337517433752e-06,4.06816067607406e-06,0,3.67578588302179e-06,1.90330167900641e-05,3.97497356642578e-06,2.60818762258482e-06
"Succiniclasticum",3.7717867248629e-05,1.74337517433752e-06,1.35605355869135e-06,1.18121211262149e-06,3.67578588302179e-06,4.61109169656191e-06,0,3.91228143387723e-06
"[Ruminococcus] torques group",0.000171049751884729,3.48675034867503e-06,1.35605355869135e-06,1.18121211262149e-06,3.67578588302179e-06,1.24597584141141e-05,1.32499118880859e-06,1.30409381129241e-06
"Ruminiclostridium",1.13308819306581e-05,0,0,1.18121211262149e-06,0,1.76595001144924e-06,1.32499118880859e-06,1.30409381129241e-06
