,Abundance,Genus,SampleID
1567,0.056771796,Akkermansia,01_MagAttract PowerMag Microbiome
1568,0.022345874,Alistipes,01_MagAttract PowerMag Microbiome
1569,0.001084107,Anaerosporobacter,01_MagAttract PowerMag Microbiome
1570,0.002466896,Anaerostipes,01_MagAttract PowerMag Microbiome
1571,0.044824496,Bacteroides,01_MagAttract PowerMag Microbiome
1572,0.002433709,Bilophila,01_MagAttract PowerMag Microbiome
1573,0.018042634,Blautia,01_MagAttract PowerMag Microbiome
1574,0.00028762,Christensenella,01_MagAttract PowerMag Microbiome
1575,0.001161543,Clostridium sensu stricto 1,01_MagAttract PowerMag Microbiome
1576,0.000353994,Collinsella,01_MagAttract PowerMag Microbiome
1577,0.065267653,Coprococcus,01_MagAttract PowerMag Microbiome
1578,0.004292178,Dialister,01_MagAttract PowerMag Microbiome
1579,0.005486908,Dorea,01_MagAttract PowerMag Microbiome
1580,0.004767857,Escherichia-Shigella,01_MagAttract PowerMag Microbiome
1581,0.188866887,Faecalibacterium,01_MagAttract PowerMag Microbiome
1582,0.000132748,Gordonibacter,01_MagAttract PowerMag Microbiome
1583,8.85E-05,Haemophilus,01_MagAttract PowerMag Microbiome
1584,0.000309745,Holdemania,01_MagAttract PowerMag Microbiome
1585,0.03465823,Incertae Sedis,01_MagAttract PowerMag Microbiome
1586,0.001592973,Intestinimonas,01_MagAttract PowerMag Microbiome
1587,0.010299014,Lachnospira,01_MagAttract PowerMag Microbiome
1588,0.000188059,Lactobacillus,01_MagAttract PowerMag Microbiome
1589,0.000663739,Marvinbryantia,01_MagAttract PowerMag Microbiome
1590,0.000110623,Odoribacter,01_MagAttract PowerMag Microbiome
1591,0.002123964,Oscillibacter,01_MagAttract PowerMag Microbiome
1592,0.090390168,other,01_MagAttract PowerMag Microbiome
1593,0.004856356,Parabacteroides,01_MagAttract PowerMag Microbiome
1594,0.002544332,Phascolarctobacterium,01_MagAttract PowerMag Microbiome
1595,0.044160758,Pseudobutyrivibrio,01_MagAttract PowerMag Microbiome
1596,0.010619821,Roseburia,01_MagAttract PowerMag Microbiome
1597,0.288394526,Ruminococcus,01_MagAttract PowerMag Microbiome
1598,0.002555395,Streptococcus,01_MagAttract PowerMag Microbiome
1599,0.037058752,Subdoligranulum,01_MagAttract PowerMag Microbiome
1600,0.050798146,uncultured,01_MagAttract PowerMag Microbiome
1601,0.078232135,Akkermansia,01_MagAttract PowerMag Microbiome
1602,0.020394465,Alistipes,01_MagAttract PowerMag Microbiome
1603,0.001228831,Anaerosporobacter,01_MagAttract PowerMag Microbiome
1604,0.002426683,Anaerostipes,01_MagAttract PowerMag Microbiome
1605,0.000423379,Anaerotruncus,01_MagAttract PowerMag Microbiome
1606,0.043814539,Bacteroides,01_MagAttract PowerMag Microbiome
1607,4.13E-05,Bifidobacterium,01_MagAttract PowerMag Microbiome
1608,0.00193102,Bilophila,01_MagAttract PowerMag Microbiome
1609,0.016398183,Blautia,01_MagAttract PowerMag Microbiome
1610,0.000485337,Christensenella,01_MagAttract PowerMag Microbiome
1611,0.001011979,Clostridium sensu stricto 1,01_MagAttract PowerMag Microbiome
