,Abundance,Genus,SampleID
1,0.056771796,Akkermansia,MagAttract PowerMag Microbiome_01
2,0.022345874,Alistipes,MagAttract PowerMag Microbiome_01
3,0.001084107,Anaerosporobacter,MagAttract PowerMag Microbiome_01
4,0.002466896,Anaerostipes,MagAttract PowerMag Microbiome_01
5,0.044824496,Bacteroides,MagAttract PowerMag Microbiome_01
6,0.002433709,Bilophila,MagAttract PowerMag Microbiome_01
7,0.018042634,Blautia,MagAttract PowerMag Microbiome_01
8,0.00028762,Christensenella,MagAttract PowerMag Microbiome_01
9,0.001161543,Clostridium sensu stricto 1,MagAttract PowerMag Microbiome_01
10,0.000353994,Collinsella,MagAttract PowerMag Microbiome_01
11,0.065267653,Coprococcus,MagAttract PowerMag Microbiome_01
12,0.004292178,Dialister,MagAttract PowerMag Microbiome_01
13,0.005486908,Dorea,MagAttract PowerMag Microbiome_01
14,0.004767857,Escherichia-Shigella,MagAttract PowerMag Microbiome_01
15,0.188866887,Faecalibacterium,MagAttract PowerMag Microbiome_01
16,0.000132748,Gordonibacter,MagAttract PowerMag Microbiome_01
17,8.85E-05,Haemophilus,MagAttract PowerMag Microbiome_01
18,0.000309745,Holdemania,MagAttract PowerMag Microbiome_01
19,0.03465823,Incertae Sedis,MagAttract PowerMag Microbiome_01
20,0.001592973,Intestinimonas,MagAttract PowerMag Microbiome_01
21,0.010299014,Lachnospira,MagAttract PowerMag Microbiome_01
22,0.000188059,Lactobacillus,MagAttract PowerMag Microbiome_01
23,0.000663739,Marvinbryantia,MagAttract PowerMag Microbiome_01
24,0.000110623,Odoribacter,MagAttract PowerMag Microbiome_01
25,0.002123964,Oscillibacter,MagAttract PowerMag Microbiome_01
26,0.090390168,other,MagAttract PowerMag Microbiome_01
27,0.004856356,Parabacteroides,MagAttract PowerMag Microbiome_01
28,0.002544332,Phascolarctobacterium,MagAttract PowerMag Microbiome_01
29,0.044160758,Pseudobutyrivibrio,MagAttract PowerMag Microbiome_01
30,0.010619821,Roseburia,MagAttract PowerMag Microbiome_01
31,0.288394526,Ruminococcus,MagAttract PowerMag Microbiome_01
32,0.002555395,Streptococcus,MagAttract PowerMag Microbiome_01
33,0.037058752,Subdoligranulum,MagAttract PowerMag Microbiome_01
34,0.050798146,uncultured,MagAttract PowerMag Microbiome_01
35,0.078232135,Akkermansia,MagAttract PowerMag Microbiome_01
36,0.020394465,Alistipes,MagAttract PowerMag Microbiome_01
37,0.001228831,Anaerosporobacter,MagAttract PowerMag Microbiome_01
38,0.002426683,Anaerostipes,MagAttract PowerMag Microbiome_01
39,0.000423379,Anaerotruncus,MagAttract PowerMag Microbiome_01
40,0.043814539,Bacteroides,MagAttract PowerMag Microbiome_01
41,4.13E-05,Bifidobacterium,MagAttract PowerMag Microbiome_01
42,0.00193102,Bilophila,MagAttract PowerMag Microbiome_01
43,0.016398183,Blautia,MagAttract PowerMag Microbiome_01
44,0.000485337,Christensenella,MagAttract PowerMag Microbiome_01
45,0.001011979,Clostridium sensu stricto 1,MagAttract PowerMag Microbiome_01
46,0.000857084,Collinsella,MagAttract PowerMag Microbiome_01
47,0.06394052,Coprococcus,MagAttract PowerMag Microbiome_01
48,0.005059893,Dialister,MagAttract PowerMag Microbiome_01
49,0.003913672,Dorea,MagAttract PowerMag Microbiome_01
50,0.004636514,Escherichia-Shigella,MagAttract PowerMag Microbiome_01
51,0.170993391,Faecalibacterium,MagAttract PowerMag Microbiome_01
52,0.000495663,Flavonifractor,MagAttract PowerMag Microbiome_01
53,3.10E-05,Gemella,MagAttract PowerMag Microbiome_01
54,9.29E-05,Gordonibacter,MagAttract PowerMag Microbiome_01
55,0.000609252,Holdemania,MagAttract PowerMag Microbiome_01
56,0.031557208,Incertae Sedis,MagAttract PowerMag Microbiome_01
57,0.00232342,Intestinimonas,MagAttract PowerMag Microbiome_01
58,0.012525816,Lachnospira,MagAttract PowerMag Microbiome_01
59,0.000113589,Lactobacillus,MagAttract PowerMag Microbiome_01
60,0.000629905,Marvinbryantia,MagAttract PowerMag Microbiome_01
61,0.000144568,Odoribacter,MagAttract PowerMag Microbiome_01
62,0.002137546,Oscillibacter,MagAttract PowerMag Microbiome_01
63,0.087567121,other,MagAttract PowerMag Microbiome_01
64,0.000134242,Papillibacter,MagAttract PowerMag Microbiome_01
65,0.005225114,Parabacteroides,MagAttract PowerMag Microbiome_01
66,0.003273441,Phascolarctobacterium,MagAttract PowerMag Microbiome_01
67,0.049545642,Pseudobutyrivibrio,MagAttract PowerMag Microbiome_01
68,0.011916563,Roseburia,MagAttract PowerMag Microbiome_01
69,0.290035109,Ruminococcus,MagAttract PowerMag Microbiome_01
70,0.003283767,Streptococcus,MagAttract PowerMag Microbiome_01
71,0.034696406,Subdoligranulum,MagAttract PowerMag Microbiome_01
72,0.04787278,uncultured,MagAttract PowerMag Microbiome_01
73,0.061262206,Akkermansia,MagAttract PowerMag Microbiome_01
74,0.022202243,Alistipes,MagAttract PowerMag Microbiome_01
75,0.001186284,Anaerosporobacter,MagAttract PowerMag Microbiome_01
76,0.002447491,Anaerostipes,MagAttract PowerMag Microbiome_01
77,0.000474514,Anaerotruncus,MagAttract PowerMag Microbiome_01
78,0.045353513,Bacteroides,MagAttract PowerMag Microbiome_01
79,9.99E-05,Bifidobacterium,MagAttract PowerMag Microbiome_01
80,0.002597338,Bilophila,MagAttract PowerMag Microbiome_01
81,0.013124048,Blautia,MagAttract PowerMag Microbiome_01
82,0.000524462,Christensenella,MagAttract PowerMag Microbiome_01
83,0.00102395,Clostridium sensu stricto 1,MagAttract PowerMag Microbiome_01
84,0.000599386,Collinsella,MagAttract PowerMag Microbiome_01
85,0.067530781,Coprococcus,MagAttract PowerMag Microbiome_01
86,0.005381983,Dialister,MagAttract PowerMag Microbiome_01
87,0.004570315,Dorea,MagAttract PowerMag Microbiome_01
88,0.003496416,Escherichia-Shigella,MagAttract PowerMag Microbiome_01
89,0.170962264,Faecalibacterium,MagAttract PowerMag Microbiome_01
90,0.000474514,Flavonifractor,MagAttract PowerMag Microbiome_01
91,0.000137359,Gordonibacter,MagAttract PowerMag Microbiome_01
92,0.00039959,Holdemania,MagAttract PowerMag Microbiome_01
93,0.032142054,Incertae Sedis,MagAttract PowerMag Microbiome_01
94,0.001548413,Intestinimonas,MagAttract PowerMag Microbiome_01
