"","SC249358.PC04924.A01","SC249363.PC04924.F01","SC249383.PC04924.E02","SC249388.PC04924.A03","SC249397.PC04924.B04","SC249400.PC04924.E04","SC249409.PC04924.D05","SC249413.PC04924.H05","SC249427.PC04924.E07","SC249428.PC04924.F07","SC249434.PC04924.C08","SC249439.PC04924.H08","SC249439.PC07578.G07","SC249443.PC04924.D09","SC249443.PC07578.E05","SC249446.PC04924.F09","SC253185.PC04925.C06","SC253192.PC04925.B07","SC253195.PC04925.E07","SC253195.PC07578.E07","SC253204.PC04925.A09","SC253848.PC04924.C11","SC253851.PC04924.E11","SC304093.PC07578.A04","SC304926.PC07578.E06","SC304936.PC07578.B11","SC249362.PC04924.E01","SC249362.PC07578.H08","SC249368.PC04924.B02","SC249368.PC07578.C10","SC249390.PC04924.C03","SC249391.PC04924.D03","SC249391.PC04925.H01","SC249395.PC04924.H03","SC249404.PC04924.H04","SC249408.PC04924.C05","SC249408.PC04925.E02","SC249408.PC07578.E02","SC249412.PC04924.G05","SC249420.PC04924.G06","SC249420.PC07578.H07","SC249425.PC04924.C07","SC249432.PC04924.A08","SC249432.PC04925.B04","SC249437.PC04924.F08","SC249437.PC04925.F04","SC249437.PC07578.F04","SC249442.PC04924.C09","SC249451.PC04924.C10","SC249451.PC07578.F06","SC253181.PC04925.G05","SC253181.PC07578.G05","SC253189.PC04925.F06","SC253194.PC04925.D07","SC253196.PC04925.F07","SC253196.PC07578.F07","SC253844.PC04924.G10","SC253854.PC04924.H11","SC261522.PC04925.F11","SC304092.PC07578.A03","SC304097.PC07578.A09","SC304924.PC07578.B.07.PC07578.B07","SC304927.PC07578.B02","SC304934.PC07578.C.05.PC07578.C05","SC304934.PC07578.D.02.PC07578.D02","SC304937.PC07578.D04"
"Pyramidobacter",0.00049097442754471,0,0,NA,0,0,0,0,0,0.000304997603590258,0.00556112596553773,3.33144551420861e-05,0,0,0,0,0,0,0,0,0,0.000280318441749828,0.000394799178817708,0,0,0,0.000130679095700658,0.000161433529744128,0.0230315040239414,0.0261678685000224,NA,0.000380892338810302,0,0,0.000374023624375902,0,NA,0,0,0,0,0,0.000451659849948561,0.000504492593526838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00020058256152652,0.0069611902270349,NA,0,0,NA,0,0,0
"Bilophila",0.00376065518970416,0.001413577853113,0,NA,0.00184867291694177,0.00162059497512335,0,0.00262327491160704,0,0.00176898610082349,0.0292260843731432,0.000358130392777426,0.00227178652907598,0,0,0.00163854522073693,0.00151714739950034,0.00132728787614563,0.00233905845736708,0.00122894527578978,0,0.00278716622082686,0.00459721710445509,0,0.0010866271719483,6.72577878913563e-05,0.00238707148146535,0.00205251202103248,0.0539187932219841,0.02873202848569,NA,0.00283699121320777,0.000102061645233721,0.00170416179890891,0.000652366786702155,0.00237444704657819,NA,0,0.0017579841781424,0,0,0,0.0042656763606253,0.00568858889942331,0,0.00352021778414025,0,0,0.00288534794378434,0.00254996677860183,0.00448130045581855,0,0.0017211204687636,0.00207849212496773,0,0.00247232398454547,0,0.00338374060314304,0.03831839483143,NA,0.00231712245722754,0.00552350919115847,NA,0,0,0
"Alistipes",0.000867039946515126,0.000537910156494327,0,NA,0,0,0,0,0,0.00047056773125354,0,2.49858413565646e-05,0,0,0,0,0,0,0,0,0,0.000977109996956543,0.00077205172746574,0,0,0,0.000435596985668859,0.000599610253335332,0,0,NA,0.000709247803301943,0,6.43079924116569e-05,0.000408816519666684,0,NA,0,0,0,0,0,0.000777858630466966,0.000721946297633234,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000715120436746725,0,NA,0,0,NA,0,0,0
"Coprobacillus",0,0,0,NA,0,0,0,0,0,0,0.0263851752822341,0.000299830096278775,0.000673834987437791,0,0,0,0,6.78176287081711e-05,3.8188709508034e-05,3.61454492879346e-05,0,0,0,0,0,0,0,0,0.0150038419541392,0.033457249070632,NA,0,0,3.21539962058285e-05,0,0,NA,0,4.18567661462475e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0154602120205651,NA,0,0,NA,0,0,0
"Lactobacillus",0.000135801437405984,0,0.321895424836601,NA,0.000765878779875875,0.000154833914820702,0,0.000202765210558998,0.0850738108255878,0,0.0230707813428402,0.00168237998467535,0.000885611697775382,0.15991467136038,0,0.00118224148837981,0.000208948444242562,0.00039721753957643,0.000276868143933246,0.000373502975975325,0.0529053208030051,0,0,0,0.000334346822137939,0.168548016455739,0,0,0.076171796012456,0.148967617682626,NA,0.00065671092898328,0.220496894409938,0.000182205978499695,0.00376633091522711,0.000412004510365166,NA,0,0.000324389937633418,0,0.0449971283741604,0.165785284064974,0,0,0.205154118241536,0.000645373260425712,0.00840336134453781,0.0394358283848844,8.10490995445041e-05,9.87663188895074e-05,0.000252622329617222,0,0.000183715106216339,0.000464756003098373,0,0.000270254038796469,0,0,0.0234132581100141,NA,0.000413130360590956,0.000186075664241154,NA,0.0650699923149508,0.0952877575344798,0.0888888888888889
"Paenibacillus",0,0,0,NA,0,0,0,0,0,0,0.0439319667260844,0,0.00100112626705043,0,0,0.000103705393717527,0,0,0,0,0,0,0,0,0,0,0,0,0.0208173251910867,0.0251937116495723,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019646025751854,NA,0,0,NA,0,0,0
"Pediococcus",0,0,0,NA,0,0,0,0,0,0,0.0304422905525847,0,0.000413927206568928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0692764993731548,0.0134030545975724,NA,2.62684371593312e-05,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607124982938259,NA,0,0,NA,0,0,0
"Anaerostipes",0,0,0,NA,0.00163739601214842,0.00122834905757757,0,0.00205299775690986,0,0,0,0.00163240830196222,0.00103963112347545,0,0,0.00125483526398208,0.00193504428798546,0.00220891704935186,0.00153709555769837,0.00253018145015543,0,0,8.77331508483796e-05,0,0.00193294256548496,0,0,0,0,0,NA,0,0,0.00128615984823314,0,0.00201665365599792,NA,0,0.00220794441421456,0,0,0,0,0,0,0.00211213067048415,0,0,0.000972589194534049,0.000915833138793614,0.00124114448898896,0,0.00165343595594705,0.00185902401239349,0,0.00239224871379096,0,0,0.000336685017516721,NA,0.00188602990704567,0.000920584865193078,NA,0,0,0
"Bacteroides",0.396038776533512,0.468457198613943,0,NA,0.226607685197412,0.275914036210492,1,0.0488283972677388,0.000349917987971569,0.21619101564202,0.0726102941176471,0.00941133357763934,0.16701481474351,0.000908769143939466,0,0.233471952876269,0.0432250738133091,0.135092716386677,0.217675644195794,0.020482421263163,0.00015135462388376,0.400006407278669,0.498561176326087,0.18,0.286451639866679,0.00465199699581881,0.279958182689376,0.556461377028009,0.075787600598536,0.0684485152505935,NA,0.470205025152029,0.00154550491353921,0.173470809530444,0.612694187846842,0.175687396998872,NA,0,0.106546398225273,0,0.000224735935276051,0.000155865554825709,0.278736857952977,0.501770073151426,0.0576048509348156,0.177231231372181,0.189915966386555,0.073534112814949,0.0659658621192719,0.0612081814427066,0.0924707562194519,0.1,0.033291111089624,0.183191324554609,0.114285714285714,0.213070286068905,0,0.491837161843964,0.0555803266754629,NA,0.189590911132067,0.0784259957496401,NA,0,0,0
"Bifidobacterium",0,0,0,NA,0,0,0,0,0,0,0.023107917409388,0.000158243661924909,0.000346543707825149,0.000143489864832547,0,0,0,0,2.86415321310255e-05,0.000120484830959782,0,0,0,0,0,0,0,0,0.020291584098354,0.0187665158776369,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0.0378762193527138,1.62098199089008e-05,0,0,0,6.7684512816546e-05,0,0.0571428571428571,0,0,0,0.020565084853724,NA,0,0,NA,0,0,0
