"","Art.Col","Zymo.Ext","Qiagen DSP Virus","Zymo MagBead DNone Kit","MagAttract PowerMag Soil","MagAttract PowerMag Microbiome","Qiagen QIAamp  Modified","Qiagen DSP Virus - Art.Col","Qiagen DSP Virus - Zymo.Ext","Zymo MagBead DNone Kit - Art.Col","Zymo MagBead DNone Kit - Zymo.Ext","MagAttract PowerMag Soil - Art.Col","MagAttract PowerMag Soil - Zymo.Ext","MagAttract PowerMag Microbiome - Art.Col","MagAttract PowerMag Microbiome - Zymo.Ext","Qiagen QIAamp  Modified - Art.Col","Qiagen QIAamp  Modified - Zymo.Ext","Gram","Zymo_Exp","AC_Exp","Qiagen DSP Virus - Art.Col - Df","Qiagen DSP Virus - Zymo.Ext - Df","Zymo MagBead DNone Kit - Art.Col - Df","Zymo MagBead DNone Kit - Zymo.Ext - Df","MagAttract PowerMag Soil - Art.Col - Df","MagAttract PowerMag Soil - Zymo.Ext - Df","MagAttract PowerMag Microbiome - Art.Col - Df","MagAttract PowerMag Microbiome - Zymo.Ext - Df","Qiagen QIAamp  Modified - Art.Col - Df","Qiagen QIAamp  Modified - Zymo.Ext - Df"
"Pseudomonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"N",0.046,NA,"NA","-1","NA","-1","NA","-1","NA","-1","NA","-1"
"Escherichia-Shigella",0.111610675003113,0.180285016272218,0.174944568178655,0.169505943230672,0.187368238245038,0.0961625601122583,0.136915384340546,0.106319062425257,0.218770429537063,0.122637292883234,0.198159692676866,0.13543266482069,0.22088018604853,0.0824933175525619,0.109217775096448,0.118152082450224,0.152010994511228,"N",0.1,0.06,"0.771984373754285","1.18770429537063","1.04395488138724","0.981596926768657","1.25721108034483","1.2088018604853","0.374888625876032","0.0921777509644847","0.969201374170405","0.520109945112278"
"Salmonella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",0.113,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Enterococcus",0.0337770770456854,0.0682647750619029,0.0501769841112017,0.0447696311103918,0.0243167074454872,0.0865892617297064,0.0594238981836508,0.0174790719923463,0.0710586395175727,0.0230494517893462,0.0580485408203591,0.00690559734538076,0.0355514002466662,0.0724430495897443,0.10010002063918,0.0312604786820112,0.0820821703979572,"P; N",0.104,0.06,"-0.708682133460894","-0.31674385079257","-0.615842470177564","-0.441840953650393","-0.884906710910321","-0.658159613012825","0.207384159829071","-0.0374998015463508","-0.478992021966481","-0.210748361558104"
"Staphylococcus",0.00168433270544194,0.0990101436360598,0.043112534054527,0.0570283901879109,0.0246332654052711,0.101189171104539,0.0512146917622104,0,0.0706452118765745,0.00251138860135309,0.0903580570854858,3.64337522280641e-05,0.0405046168535953,0.00378007101347128,0.194222617365488,0.000181366873551438,0.0922724534896545,"P",0.133,NA,"NA","-0.468832993409214","NA","-0.320616112139204","NA","-0.695454008619584","NA","0.460320431319459","NA","-0.306222154213124"
"Bacillus",0.00204150330598588,0.123316308181817,0.0728083301847396,0.0801351540202355,0.0367591939203285,0.0890960707980699,0.0712633584125796,0,0.119305441563123,0.00385953112010843,0.126767232632077,1.68155779514142e-05,0.0604675807542488,0.00371191669880447,0.17064473621541,0.000162386619342566,0.128466112982176,"P",0.157,NA,"NA","-0.240092728897305","NA","-0.192565397247915","NA","-0.614856173539816","NA","0.0869091478688506","NA","-0.18174450329824"
"Listeria",0.00135552202599988,0.102550406672584,0.0455609799749438,0.053815803210267,0.031934982512371,0.0865770809276249,0.0760247169417486,0,0.0746572929246849,0.00206006659183457,0.0854573354172823,0,0.0525413491411893,0.00306361955929093,0.16633908584311,8.43566853727617e-05,0.13712089720641,"P",0.159,NA,"NA","-0.53045727720324","NA","-0.462532481652313","NA","-0.669551263262961","NA","0.0461577725981792","NA","-0.137604420085471"
"Lactobacillus",0.0330590367244538,0.137387008327147,0.125612732913079,0.102518312463854,0.120000747428516,0.0450048154770895,0.0888232185805811,0.0653017619389301,0.16412873688691,0.0294305626529581,0.147201444048462,0.0269161351075636,0.18006452382933,0.0358957139247576,0.0537047327226253,0.0180164790784876,0.145789254901295,"P",0.188,0.04,"0.632544048473252","-0.126974803793031","-0.264235933676047","-0.217013595486902","-0.327096622310909","-0.0422099796312227","-0.102607151881059","-0.714336528071142","-0.549588023037811","-0.224525239886727"
"Alistipes",0.00848126046285857,0.000295858512310017,0.00172261220593792,0.00442393554056913,0.00336123000353929,0.00396688121119399,0.00404207747174119,0.00441999521645539,0,0.010547832125683,0.000680012959409279,0.00815275271011065,0.00026945208997168,0.00808709124034204,3.17525838665121e-05,0.00892071947816954,0.000117071184370149,"N",NA,0.04,"-0.889500119588615","NA","-0.736304196857925","NA","-0.796181182247234","NA","-0.797822718991449","NA","-0.776982013045761","NA"
"Anaerostipes",0.0168527803614534,7.29311901602537e-05,0.00873859049058405,0.00591091699583347,0.0091296194929357,0.0057712640261936,0.00762061826202892,0.0224125009965718,6.10976809356906e-06,0.0153027278775782,0.000169113170533721,0.0232307209398787,3.07428559028092e-05,0.0117857095362847,2.69896962865353e-05,0.0170505950309694,3.39336766290286e-05,"P",NA,0.06,"-0.626458316723803","NA","-0.744954535373697","NA","-0.612821317668688","NA","-0.803571507728589","NA","-0.715823416150509","NA"
