,Qiagen DSP Virus,Zymo MagBead DNone Kit,MagAttract PowerMag Soil,MagAttract PowerMag Microbiome,Qiagen QIAamp  Modified,Qiagen DSP Virus - Art.Col,Qiagen DSP Virus - Zymo.Ext,Zymo MagBead DNone Kit - Art.Col,Zymo MagBead DNone Kit - Zymo.Ext,MagAttract PowerMag Soil - Art.Col,MagAttract PowerMag Soil - Zymo.Ext,MagAttract PowerMag Microbiome - Art.Col,MagAttract PowerMag Microbiome - Zymo.Ext,Qiagen QIAamp  Modified - Art.Col,Qiagen QIAamp  Modified - Zymo.Ext
Abiotrophia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acetanaerobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acidaminococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acinetobacter,0,2.21E-06,0,0,6.58E-06,0,0,0,3.56E-06,0,0,0,0,1.48E-05,0
Actinobacillus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomyces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adlercreutzia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akkermansia,8.33E-05,0.00170793,0.00028798,0.003880804,0.003384852,0.000159451,3.46E-05,0.003533415,0.000591896,0.000103696,0.000406891,0.007854369,8.57E-05,0.007172427,0.00033764
Alcaligenes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alkanindiges,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alloprevotella,0,0,0,0,4.70E-06,0,0,0,0,0,0,0,0,1.05E-05,0
Anaerococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerofilum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerofustis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaeromyxobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anaerosporobacter,0,6.13E-05,0,0.000135613,4.14E-05,0,0,0.000110647,3.12E-05,0,0,0.000277604,0,9.28E-05,0
Anaerotruncus,0,1.77E-05,0,5.68E-06,6.02E-05,0,0,3.35E-05,8.01E-06,0,0,1.16E-05,0,0.000134971,0
Arthrobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atopobium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azospirillum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basidiomycota,5.22E-05,0.000236415,0.000111015,5.60E-05,0,0,8.55E-05,0,0.00038095,0,0.000182649,9.97E-06,0.000100021,0,0
Bergeyella,0,0,0,0,7.52E-06,0,0,0,0,0,0,0,0,1.69E-05,0
Blautia,0.000109372,0.000704825,4.95E-05,0.00561535,0.001026738,0.000264689,1.02E-05,0.001113746,0.000454825,0,8.14E-05,0.011411692,7.94E-05,0.002117353,0.000149308
Bradyrhizobium,0,0,0,0,6.58E-06,0,0,0,0,0,0,0,0,1.48E-05,0
Brevundimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butyricimonas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Campylobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candidatus Planktophila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capnocytophaga,0,1.66E-06,0,0,0,0,0,0,2.67E-06,0,0,0,0,0,0
Christensenella,0,2.32E-05,0,1.87E-05,6.58E-06,0,0,3.35E-05,1.69E-05,0,0,3.82E-05,0,1.48E-05,0
Clostridium sensu stricto 1,0,8.84E-06,0,0.000120996,0,0,0,1.31E-05,6.23E-06,0,0,0.000241034,6.35E-06,0,0
Coprococcus,0.000149144,0.000693225,4.62E-05,0.00446061,0.000546278,0.000347604,2.24E-05,0.001056967,0.000470847,1.68E-05,6.51E-05,0.009047901,7.94E-05,0.000995409,0.000184939
Corynebacterium,0,0,0,0,1.13E-05,0,0,0,0,0,0,0,0,2.53E-05,0
Deinococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desulfovibrio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Devosia,0,2.21E-06,0,0,0,0,0,2.91E-06,1.78E-06,0,0,0,0,0,0
Dialister,1.12E-05,0.000105503,0,0.000289091,6.77E-05,2.87E-05,0,0.000209646,4.18E-05,0,0,0.000591779,0,0.000139189,1.02E-05
Dolosigranulum,0,0,0,0,1.03E-05,0,0,0,0,0,0,0,0,2.32E-05,0
Dorea,5.84E-05,0.00030767,0,0.002007396,0.000192749,0.000133939,1.02E-05,0.000548866,0.000160212,0,0,0.004026091,7.94E-05,0.000404912,2.21E-05
Eggerthella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eggerthia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Enterorhabdus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faecalibacterium,0.000385288,0.003755567,0.000168171,0.012990419,0.001701828,0.000784501,0.000130342,0.006493213,0.002081872,9.25E-05,0.000217008,0.026182893,0.000390557,0.003203445,0.000493735
Finegoldia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flavonifractor,0,3.87E-06,0,8.93E-06,1.60E-05,0,0,0,6.23E-06,0,0,1.83E-05,0,3.59E-05,0
Gemella,0,0,0,3.25E-06,1.22E-05,0,0,0,0,0,0,6.65E-06,0,2.74E-05,0
Gordonibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granulicatella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haemophilus,0,1.10E-06,4.40E-06,1.79E-05,0,0,0,0,1.78E-06,0,7.23E-06,3.66E-05,0,0,0
Helicobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holdemania,0,3.31E-06,0,3.57E-05,1.03E-05,0,0,8.74E-06,0,0,0,7.31E-05,0,2.32E-05,0
Incertae Sedis,0.000104401,0.000754538,8.79E-06,0.00577776,0.000514309,0.000216854,3.26E-05,0.001385995,0.000368489,0,1.45E-05,0.01177906,4.60E-05,0.001046023,8.65E-05
Intestinimonas,0,2.10E-05,0,0.000203013,5.36E-05,0,0,4.66E-05,5.34E-06,0,0,0.000415575,0,0.000120208,0
Lachnoanaerobaculum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lachnospira,4.47E-05,0.000486638,7.14E-05,0.000423892,0.000144796,0.000114805,0,0.000831306,0.000275921,0,0.000117546,0.000867721,0,0.000276268,3.90E-05
Lactococcus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lautropia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leptotrichia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leuconostoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lysobacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marvinbryantia,1.49E-05,0,0,0.000346747,3.20E-05,3.83E-05,0,0,0,0,0,0.000709802,0,7.17E-05,0
Massilia,0,1.66E-06,0,0,2.82E-06,0,0,4.37E-06,0,0,0,0,0,6.33E-06,0
Megasphaera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Methylobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mogibacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moraxella,0,0,0,0,2.82E-06,0,0,0,0,0,0,0,0,6.33E-06,0
Mycobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neisseria,6.21E-06,1.10E-06,0,1.62E-06,1.60E-05,1.59E-05,0,2.91E-06,0,0,0,3.32E-06,0,3.59E-05,0
Nevskia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nocardioides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nosocomiicoccus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odoribacter,0,2.15E-05,0,0,0,0,0,4.66E-05,6.23E-06,0,0,0,0,0,0
Oribacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscillibacter,0,0.00043803,0,5.77E-05,6.21E-05,0,0,0.000950688,0.00012461,0,0,0.000118023,0,0.000139189,0
Oscillospira,0,0,0,0,9.40E-06,0,0,0,0,0,0,0,0,2.11E-05,0
other,0.312426671,0.305407873,0.370272789,0.214451141,0.275037092,0.362056924,0.280731624,0.346383819,0.280356704,0.313756264,0.406740642,0.225853425,0.203561052,0.295486706,0.258584796
