Genus,Obs_Per,Sample,Kit,Type
Lactobacillus,0.131972429,SC249362.PC04924.E01,Qiagen DSP Virus,Zymo.Ext
Lactobacillus,0.169105581,SC249390.PC04924.C03,Zymo MagBead DNone Kit,Zymo.Ext
Lactobacillus,0.179780907,SC249408.PC04924.C05,MagAttract PowerMag Soil,Zymo.Ext
Lactobacillus,0.058550827,SC249432.PC04924.A08,MagAttract PowerMag Microbiome,Zymo.Ext
Lactobacillus,0.170127758,SC253181.PC04925.G05,Qiagen QIAamp  Modified,Zymo.Ext
Enterococcus,0.096233138,SC249362.PC04924.E01,Qiagen DSP Virus,Zymo.Ext
Enterococcus,0.052765137,SC249390.PC04924.C03,Zymo MagBead DNone Kit,Zymo.Ext
Enterococcus,0.035337137,SC249408.PC04924.C05,MagAttract PowerMag Soil,Zymo.Ext
Enterococcus,0.096357261,SC249432.PC04924.A08,MagAttract PowerMag Microbiome,Zymo.Ext
Enterococcus,0.070506614,SC253181.PC04925.G05,Qiagen QIAamp  Modified,Zymo.Ext
Escherichia-Shigella,0.210623765,SC249362.PC04924.E01,Qiagen DSP Virus,Zymo.Ext
Escherichia-Shigella,0.236368865,SC249390.PC04924.C03,Zymo MagBead DNone Kit,Zymo.Ext
Escherichia-Shigella,0.2233568,SC249408.PC04924.C05,MagAttract PowerMag Soil,Zymo.Ext
Escherichia-Shigella,0.10678814,SC249432.PC04924.A08,MagAttract PowerMag Microbiome,Zymo.Ext
Escherichia-Shigella,0.171754111,SC253181.PC04925.G05,Qiagen QIAamp  Modified,Zymo.Ext
Bacillus,0.150767842,SC249362.PC04924.E01,Qiagen DSP Virus,Zymo.Ext
Bacillus,0.071002013,SC249390.PC04924.C03,Zymo MagBead DNone Kit,Zymo.Ext
Bacillus,0.060614796,SC249408.PC04924.C05,MagAttract PowerMag Soil,Zymo.Ext
Bacillus,0.124715755,SC249432.PC04924.A08,MagAttract PowerMag Microbiome,Zymo.Ext
Bacillus,0.114803569,SC253181.PC04925.G05,Qiagen QIAamp  Modified,Zymo.Ext
Listeria,0.077297693,SC249362.PC04924.E01,Qiagen DSP Virus,Zymo.Ext
Listeria,0.073404273,SC249390.PC04924.C03,Zymo MagBead DNone Kit,Zymo.Ext
