Genus,Obs_Per,Sample,Kit,Type,Exp_Per
Lactobacillus,0.06092747,SC249432.PC04925.B04,MagAttract PowerMag Microbiome,Zymo.Ext,0.188
Lactobacillus,0.152418015,SC249408.PC04925.E02,MagAttract PowerMag Soil,Zymo.Ext,0.188
Lactobacillus,0.131972429,SC249362.PC04924.E01,Qiagen DSP Virus,Zymo.Ext,0.188
Lactobacillus,0.16605398,SC253189.PC04925.F06,Qiagen QIAamp  Modified,Zymo.Ext,0.188
Lactobacillus,0.169105581,SC249390.PC04924.C03,Zymo MagBead DNone Kit,Zymo.Ext,0.188
Enterococcus,0.082102635,SC249432.PC04925.B04,MagAttract PowerMag Microbiome,Zymo.Ext,0.104
Enterococcus,0.032963145,SC249408.PC04925.E02,MagAttract PowerMag Soil,Zymo.Ext,0.104
Enterococcus,0.096233138,SC249362.PC04924.E01,Qiagen DSP Virus,Zymo.Ext,0.104
Enterococcus,0.067107011,SC253189.PC04925.F06,Qiagen QIAamp  Modified,Zymo.Ext,0.104
Enterococcus,0.052765137,SC249390.PC04924.C03,Zymo MagBead DNone Kit,Zymo.Ext,0.104
Escherichia-Shigella,0.107313566,SC249432.PC04925.B04,MagAttract PowerMag Microbiome,Zymo.Ext,0.1
Escherichia-Shigella,0.233187719,SC249408.PC04925.E02,MagAttract PowerMag Soil,Zymo.Ext,0.1
Escherichia-Shigella,0.210623765,SC249362.PC04924.E01,Qiagen DSP Virus,Zymo.Ext,0.1
Escherichia-Shigella,0.159164216,SC253189.PC04925.F06,Qiagen QIAamp  Modified,Zymo.Ext,0.1
Escherichia-Shigella,0.236368865,SC249390.PC04924.C03,Zymo MagBead DNone Kit,Zymo.Ext,0.1
Bacillus,0.183539115,SC249432.PC04925.B04,MagAttract PowerMag Microbiome,Zymo.Ext,0.157
Bacillus,0.058635329,SC249408.PC04925.E02,MagAttract PowerMag Soil,Zymo.Ext,0.157
Bacillus,0.150767842,SC249362.PC04924.E01,Qiagen DSP Virus,Zymo.Ext,0.157
Bacillus,0.137024476,SC253189.PC04925.F06,Qiagen QIAamp  Modified,Zymo.Ext,0.157
Bacillus,0.071002013,SC249390.PC04924.C03,Zymo MagBead DNone Kit,Zymo.Ext,0.157
Listeria,0.189794554,SC249432.PC04925.B04,MagAttract PowerMag Microbiome,Zymo.Ext,0.159
Listeria,0.043145881,SC249408.PC04925.E02,MagAttract PowerMag Soil,Zymo.Ext,0.159
Listeria,0.077297693,SC249362.PC04924.E01,Qiagen DSP Virus,Zymo.Ext,0.159
Listeria,0.118240679,SC253189.PC04925.F06,Qiagen QIAamp  Modified,Zymo.Ext,0.159
Listeria,0.073404273,SC249390.PC04924.C03,Zymo MagBead DNone Kit,Zymo.Ext,0.159
Pseudomonas,0,SC249432.PC04925.B04,MagAttract PowerMag Microbiome,Zymo.Ext,0.046
Pseudomonas,0,SC249408.PC04925.E02,MagAttract PowerMag Soil,Zymo.Ext,0.046
Pseudomonas,0,SC249362.PC04924.E01,Qiagen DSP Virus,Zymo.Ext,0.046
Pseudomonas,0,SC253189.PC04925.F06,Qiagen QIAamp  Modified,Zymo.Ext,0.046
Pseudomonas,0,SC249390.PC04924.C03,Zymo MagBead DNone Kit,Zymo.Ext,0.046
Salmonella,0,SC249432.PC04925.B04,MagAttract PowerMag Microbiome,Zymo.Ext,0.113
Salmonella,0,SC249408.PC04925.E02,MagAttract PowerMag Soil,Zymo.Ext,0.113
Salmonella,0,SC249362.PC04924.E01,Qiagen DSP Virus,Zymo.Ext,0.113
Salmonella,0,SC253189.PC04925.F06,Qiagen QIAamp  Modified,Zymo.Ext,0.113
Salmonella,0,SC249390.PC04924.C03,Zymo MagBead DNone Kit,Zymo.Ext,0.113
Staphylococcus,0.1779521,SC249432.PC04925.B04,MagAttract PowerMag Microbiome,Zymo.Ext,0.133
Staphylococcus,0.04236141,SC249408.PC04925.E02,MagAttract PowerMag Soil,Zymo.Ext,0.133
Staphylococcus,0.058657871,SC249362.PC04924.E01,Qiagen DSP Virus,Zymo.Ext,0.133
Staphylococcus,0.072051987,SC253189.PC04925.F06,Qiagen QIAamp  Modified,Zymo.Ext,0.133
Staphylococcus,0.088003925,SC249390.PC04924.C03,Zymo MagBead DNone Kit,Zymo.Ext,0.133
Lactobacillus,0.050158468,SC249437.PC04924.F08,MagAttract PowerMag Microbiome,Zymo.Ext,0.188
Lactobacillus,0.201089178,SC249412.PC04924.G05,MagAttract PowerMag Soil,Zymo.Ext,0.188
Lactobacillus,0.184932161,SC249368.PC04924.B02,Qiagen DSP Virus,Zymo.Ext,0.188
Lactobacillus,0.115459736,SC253194.PC04925.D07,Qiagen QIAamp  Modified,Zymo.Ext,0.188
Lactobacillus,0.220496894,SC249391.PC04924.D03,Zymo MagBead DNone Kit,Zymo.Ext,0.188
Enterococcus,0.107334033,SC249437.PC04924.F08,MagAttract PowerMag Microbiome,Zymo.Ext,0.104
Enterococcus,0.036606477,SC249412.PC04924.G05,MagAttract PowerMag Soil,Zymo.Ext,0.104
Enterococcus,0.065879992,SC249368.PC04924.B02,Qiagen DSP Virus,Zymo.Ext,0.104
Enterococcus,0.102154072,SC253194.PC04925.D07,Qiagen QIAamp  Modified,Zymo.Ext,0.104
Enterococcus,0.050578835,SC249391.PC04924.D03,Zymo MagBead DNone Kit,Zymo.Ext,0.104
Escherichia-Shigella,0.092769846,SC249437.PC04924.F08,MagAttract PowerMag Microbiome,Zymo.Ext,0.1
Escherichia-Shigella,0.207749273,SC249412.PC04924.G05,MagAttract PowerMag Soil,Zymo.Ext,0.1
Escherichia-Shigella,0.245700363,SC249368.PC04924.B02,Qiagen DSP Virus,Zymo.Ext,0.1
Escherichia-Shigella,0.139911358,SC253194.PC04925.D07,Qiagen QIAamp  Modified,Zymo.Ext,0.1
Escherichia-Shigella,0.227889074,SC249391.PC04924.D03,Zymo MagBead DNone Kit,Zymo.Ext,0.1
Bacillus,0.17947658,SC249437.PC04924.F08,MagAttract PowerMag Microbiome,Zymo.Ext,0.157
Bacillus,0.052174749,SC249412.PC04924.G05,MagAttract PowerMag Soil,Zymo.Ext,0.157
Bacillus,0.085037264,SC249368.PC04924.B02,Qiagen DSP Virus,Zymo.Ext,0.157
Bacillus,0.110586313,SC253194.PC04925.D07,Qiagen QIAamp  Modified,Zymo.Ext,0.157
