"","SC284724.PC04924.A12","SC284730.PC04925.A12","SC284725.PC04924.B12","SC284731.PC04925.B12","SC326764.PC07578.B12","SC284726.PC04924.C12","SC284732.PC04925.C12","SC326765.PC07578.C12","SC284727.PC04924.D12","SC284733.PC04925.D12","SC326766.PC07578.D12","SC284728.PC04924.E12","SC284734.PC04925.E12","SC326767.PC07578.E12","SC284729.PC04924.F12","SC284735.PC04925.F12","SC326768.PC07578.F12"
"Lactobacillus",NA,0.000345206061464382,0.000433590512019384,NA,0.160508999667153,NA,0.000135096014667567,0.0604892142593357,4.37924239106635e-05,0.00091210953513159,0.193306182121972,0,0,0.118658708968117,0.000242613070459943,0.00038507663024942,0.156294920624928
"Bacteroides",NA,0.095745999150262,0.193241089077345,NA,0.000128018024937911,NA,0.0464826787609766,0,0.0661002846507554,0.153357382963024,6.265664160401e-05,0,0.157088122605364,0.00150188471807759,0.22038205174043,0.124269729676206,0.0014269675889494
"Bifidobacterium",NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0
"Enterococcus",NA,0,0,NA,0.0354609929078014,NA,0,0.0886212065257533,0,0,0.068703007518797,0,0,0.087266373488299,0,0,0.0432077392006883
"Propionibacterium",NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter",NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0
"Bacillus",NA,0,0.000140279283300389,NA,0.0572752643572215,NA,0,0.135783025221037,0,0,0.107758980785297,0,0,0.149216664049003,0,0,0.148541030564387
"Clostridium",NA,0.00239873955530378,0.000930944334629854,NA,0,NA,0.00157290359934382,0,0.000394131815195971,0.00213167172255473,0,0,0,2.94487199623056e-05,0.00103429782669765,0.00122124302736245,0
"Deinococcus",NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0
"Helicobacter",NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0
"Neisseria",NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0
"Pseudomonas",NA,0,0,NA,0.17430934275546,NA,0,0.0659744096626333,0,0,0.0351817042606516,0,0,0.0791287105387152,0,0,0.0449494790519059
"Rhodobacter",NA,0,0,NA,0,NA,0,0,0,0,0,0,0,0,0,0,0
"Staphylococcus",NA,0,0,NA,0.0466881736948562,NA,0,0.246258119175374,9.63433326034596e-05,0,0.0692982456140351,0,0,0.104788361865871,0,0,0.0909586913867817
"Streptococcus",NA,0.00870096303639711,0.00795766116176752,NA,0,NA,0.00212293737334749,0,0.000648127873877819,0.00971550381241289,0,0,0,0,0.0066399366652195,0.00674434212408269,0.000188863357360949
