"","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Seq.200","Zymo.Seq.2000"
"Abiotrophia",0,0,0,0,0,0
"Acidaminococcus",0,0,0,0,0,0
"Actinobacillus",0,0,0,0,0,0
"Adlercreutzia",0,0,0,0,0,0
"Aggregatibacter",0,0,0,0,0,0
"Agrobacterium",0,0,0,0,0,0
"Akkermansia",0.143260515507718,0.0394112273125108,0.0288355408388521,0.0414977025212106,0.000783277035296421,0.0551506169852407
"Alcaligenes",0,0,0,0,0,0
"Alistipes",0,0,0,0,0,0
"Alkanindiges",0,0,0,0,0,0
"Alloiococcus",0,0,0,0,0,0
"Anaerococcus",0,0,0,0,0,0
"Anaerofilum",0,0,0,0,0,0
"Anaerofustis",0,0,0,0,0,0
"Anaerostipes",0.00129230987112307,0.000785796881089127,0.000909574033194342,0.000900780785077607,0,0.00090355068957174
"Anaerotruncus",0,0,0,0,0,0
"Arthrobacter",0,0,0,0,0,0
"Atopobium",0,0,0,0,0,0
"Azospirillum",0,0,0,0,0,0
"Bilophila",0.00485058773544824,0.00128410709836516,0.000781824871228845,0.00175603474347259,0,0.00120221388821679
"Blautia",0.0196324883161025,0.02695347188061,0.0210581718583926,0.0249324414411192,0.000411220443530621,0.0383536474715703
"Bradyrhizobium",0,0,0,0,0,0
"Bulleidia",0,0,0,0,0,0
"Butyricimonas",0,0,0,0,0,0
"Campylobacter",0,0,0,0,0,0
"Capnocytophaga",0,0,0,0,0,0
"cc_115",0,0,0,0,0,0
"Christensenella",0,0,0,0,0,0
"Collinsella",0.0011241325591276,0.00058775051268455,0.000240168424495135,0.000156091977197564,0,0.000332688120009678
"Coprobacillus",0,0,0,0,0,4.53665618195016e-05
"Coprococcus",0.0306525279705424,0.0265446019587425,0.041232319515984,0.0516599406200103,0.000254565036471337,0.0396503750302444
"Corynebacterium",0,0,0,0,0,0
"DA101",0,0,0,0,0,0
"Dehalobacterium",0,0,0,0,0,0
"Desulfovibrio",0,0,0,0,0,0
"Devosia",0,0,0,0,0,0
"Dialister",0.0199157343152528,0.00254904841914278,0.00212574605510588,0.00323240469446621,0,0.00263126058553109
"Dorea",0.003177666052967,0.00305374722894799,0.00193156732891832,0.00275437301429868,0,0.00334578393418824
"Eggerthella",0,0,0,0,0,0
"Eikenella",0,0,0,0,0,0
"Escherichia",0.0198360713779918,0.114579407010841,0.0552847273321887,0.0762119078667105,0.14061780976159,0.071361601742076
"Eubacterium",0,0,0,0,0,3.7805468182918e-05
"Faecalibacterium",0.165999858377,0.0581425806080662,0.0946008094186902,0.149448312418092,0.0012924071082391,0.0899694531817082
"Finegoldia",0,0,0,0,0,0
"Fusobacterium",0,0,0,0,3.91638517648211e-05,1.8902734091459e-05
"Gemmiger",0,0,0,0,0,0
"Granulicatella",0,0,0,0,0,0
"Haemophilus",0,6.3885925291799e-05,0,8.12979047903977e-05,0,3.40249213646262e-05
"Holdemania",0.00161096162016712,0.000319429626458995,0.000270828223366855,0.000256901379137657,0,0.0002306133559158
"Janthinobacterium",0,0,0,0,0,0
"Jeotgalicoccus",0,0,0,0,0,0
"Lachnobacterium",0,0.000166103405758677,0.000107309296051018,8.78017371736296e-05,0,0.000200368981369465
"Lachnospira",0.00824068828777793,0.00686134837633921,0.00527348540593574,0.00952161060905138,0,0.00625302443745463
"Lactococcus",0.000115068687154794,0,0,0,0,0
"Lautropia",0,0,0,0,0,0
"Leptotrichia",0,0,0,0,0,0
"Leuconostoc",0,0,0,0,0,0
"Lysobacter",0,0,0,0,0,0
"Massilia",0,0,0,0,0,0
"Megasphaera",0,0,0,0,0,0
"Methylobacterium",0,0,0,0,0,0
