"","SC249360.PC04924.C01","SC249360.PC07578.B09","SC249365.PC04924.H01","SC249365.PC07578.E09","SC249382.PC04924.D02","SC249382.PC07578.H05","SC249385.PC04924.G02","SC249385.PC07578.C07","SC249394.PC04924.G03","SC249398.PC04924.C04","SC249410.PC04924.E05","SC249410.PC04925.F02","SC249410.PC07578.B01","SC249417.PC04924.D06","SC249421.PC04924.H06","SC249421.PC07578.F02","SC249426.PC04924.D07","SC249426.PC04925.F03","SC249426.PC07578.F03","SC249433.PC04924.B08","SC249433.PC04925.C04","SC249433.PC07578.G08","SC249436.PC04924.E08","SC249436.PC04925.E04","SC249436.PC07578.E04","SC249447.PC04924.G09","SC249447.PC04925.C05","SC249452.PC04924.D10","SC253182.PC04925.H05","SC253182.PC07578.A01","SC253186.PC04925.D06","SC253186.PC07578.D06","SC253193.PC04925.C07","SC253200.PC04925.C08","SC253200.PC07578.C08","SC253845.PC04924.H10","SC253845.PC07578.C09","SC253846.PC04924.A11","SC253846.PC04925.D09","SC253846.PC07578.D09","SC261516.PC04925.H10","SC261516.PC07578.H10","SC261528.PC04925.E10","SC261528.PC07578.E11","SC304090.PC07578.G04","SC304940.PC07578.C03","SC249364.PC04925.C01","SC249369.PC07578.E01","SC249396.PC04924.A04","SC249396.PC04925.A02","SC249399.PC04924.D04","SC249401.PC04924.F04","SC249405.PC04924.A05","SC249405.PC04925.C02","SC249407.PC04924.B05","SC249411.PC04924.F05","SC249411.PC04925.G02","SC249411.PC07578.G02","SC249414.PC04924.A06","SC249414.PC04925.H02","SC249414.PC07578.H02","SC249418.PC04924.E06","SC249418.PC04925.B03","SC249419.PC04924.F06","SC249419.PC04925.C03","SC249424.PC04924.B07","SC249424.PC04925.E03","SC249424.PC07578.E03","SC249429.PC04924.G07","SC249429.PC04925.G03","SC249429.PC07578.G03","SC249430.PC04924.H07","SC249430.PC04925.H03","SC249430.PC07578.H03","SC249435.PC04924.D08","SC249435.PC04925.D04","SC249440.PC04924.A09","SC249440.PC04925.G04","SC249441.PC04924.B09","SC249441.PC04925.H04","SC249441.PC07578.H04","SC249445.PC04924.E09","SC249445.PC04925.B05","SC249448.PC04924.H09","SC249448.PC04925.A11","SC249448.PC04925.D05","SC249448.PC07578.D05","SC249449.PC04924.A10","SC249449.PC04925.E05","SC249453.PC04924.E10","SC249453.PC04925.F05","SC249453.PC07578.F05","SC253183.PC04925.A06","SC253183.PC07578.D08","SC253184.PC04925.B06","SC253184.PC07578.G06","SC253188.PC04925.E06","SC253190.PC04925.G06","SC253190.PC04925.H06","SC253197.PC04925.G07","SC253197.PC04925.H07","SC253199.PC04925.A08","SC253199.PC04925.B08","SC253199.PC04925.E11","SC253201.PC04925.D08","SC253201.PC04925.E08","SC253201.PC07578.E08","SC253203.PC04925.G08","SC253203.PC04925.H08","SC253849.PC04924.D11","SC253849.PC07578.F09","SC261515.PC07578.H11","SC261517.PC07578.F01","SC261523.PC04925.G10","SC261523.PC07578.G10","SC261526.PC04925.C11","SC261526.PC07578.C11","SC261527.PC04925.B10","SC261531.PC04925.G11","SC261531.PC07578.G11","SC261532.PC04925.D11","SC261532.PC07578.D11","SC304095.PC07578.A06","SC304096.PC07578.A07","SC304098.PC07578.A08","SC304925.PC07578.D.07.PC07578.D07","SC304929.PC07578.B04","SC304931.PC07578.B06","SC304935.PC07578.B.10.PC07578.B10","SC304941.PC07578.C04"
"Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Acetanaerobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.04616140121133e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68595342066958e-05,3.38051975491232e-05,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Acidaminococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38363804724681e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.17578779385961e-05,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Acinetobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Actinobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Actinomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,6.45494448747741e-05,7.89338665754542e-05,0,0.000106570559398555,0,0,0,0,0,0,8.33487682904241e-05,0,0.00015724330031224,0.000216872695727608,0,0.000137885682162896,0.000154707457866391,0,0.000146628999305956,0,0,0,0,0.000193719193267182,0,0,0,0,0,0,0,0,0,0.000150791656195024,0,0,0,0,0,0,0.000136892539356605,0,0.000133545819570695,0,0.000163895803243088,0.000146891770143758,0.00018404651357343,0,0,4.2256496936404e-05,0,NA,NA,0,0,0,0.000147548391261447,0,0.000120112906131764,0,0,0.000105937304377137,0,0,0,0,0,0,0,0,NA
"Adlercreutzia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000155412230942575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000243664717348928,0,0,0,NA,NA,0,0,0,0.000248987910253691,0,0,0.000199863729275494,0,0,0,0,0,0,0,0,0.000133597788442764,0,NA
"Akkermansia",0.224583745105643,0.193122183120331,0.178637731628288,0.127642650487784,0.254370411232384,0.188827271547007,0.253469330223857,0.261411559799998,0.0943583320285998,0.18360347715851,0.355496824335618,0.360873282917458,0.290370543132853,0.253040798384682,0.398543162464518,0.350657880569374,0.429943797553077,0.481670137756254,0.426871398095966,0.225020763369805,0.247715819232187,0.225561069783546,0.19540880777105,0.2082969467954,0.175839941569282,0.120541611624835,0.144743609930195,0.202533083432726,0.370380550684802,0.320579564699241,0.317206221951113,0.262612726506532,0.286609353111627,0.301067481777569,0.23507659335254,0.236702800635634,0.212425232662577,0.274239858646838,0.267941216167936,0.206762882634673,0.224733087566429,0.178502879078695,0.25948315603608,0.225096945131687,0.204771468211233,0.172787757159946,0,NA,0.0958933051630794,0.113049249691476,0.0640186626478664,0.0655128162942977,0.09446065797453,0.076837552672248,0.0632523734363589,0.0824117442969902,0.0874252864021252,0.0784416246891539,0.0857161239326844,0.0927704621740253,0.0807230342178312,0.122111889611086,0.114049875021799,0.081662550751329,0.0851004914968733,0.143014765536265,0.176765989135312,0.152432442579713,0.0767098881520341,0.0807001296536396,0.0733515969677966,0.0361210324145832,0.0391696185450252,0.0388838665578903,0.0387246635059026,0.0454066388837857,0.0609436185986389,0.0683095631433347,0.0231375123071874,0.0283036888054922,0.0259446042315118,0.0613344905160502,0.0628726403926042,0.0803404122423485,0.103645588497512,0.0897606263580369,0.0760236479089118,0.0564364736544735,0.058888525126862,0.0567717955241877,0.0782321354812061,0.0612622062386054,0.188673871156907,0.159104486382199,0.144829479927508,0.143260515507718,0.126200873362445,0.141279684133784,0.147304472020119,0.11418663016199,0.112412042911524,0.0970343925000668,0.0833342104986158,0.0781270807084396,0.0799287085275569,0.0772995357008408,0.0689758584495427,0.135030021834061,0.134105218677372,0,NA,NA,0.100671655131905,0.0849591958060855,0.0766015395963761,0.0742352843534153,0.063559207867439,0.0807959481912998,0.0624119918237565,0.054453343626363,0.0298261665141812,0.0272304718028876,0.0442016774168555,0.0400643055487894,0.0335342330145143,0,0.041741821759449,0.0229068823414554,0.0314077046045826,NA
"Alcaligenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Alistipes",0.0629354883098363,0.0673846126707768,0.0605952284860994,0.0705122706323645,0.0700053850296177,0.0742251979895024,0.0702707551159006,0.0727110832787014,0.103743715533288,0.0805790736632408,0.078869296339629,0.0787775815926531,0.0772377870421659,0.0762349167705224,0.0885060110202037,0.090175937291384,0.0694705552329301,0.0664692745840966,0.073160441939695,0.0426822662766764,0.0430614168066538,0.0497329738010052,0.0459903297469181,0.0460878010560938,0.0496574151363383,0.0299071411920118,0.0266729648874193,0.0434012987258855,0.0740912752950097,0.0681176691965126,0.061949370397804,0.0655794353139486,0.0554585404233271,0.0474582647542911,0.0529829246012227,0.0714480915798743,0.0700758661545224,0.0646080710131362,0.0707486125777076,0.0720818850213843,0.0633567929014858,0.0648647227407777,0.0773526316247271,0.0760383218402906,0.0689718737569248,0.0656035906003776,0,NA,0.0874554337778952,0.0851421282420899,0.0824026094675778,0.0935364636460356,0.0888890994542147,0.0880668868060883,0.164880209192207,0.0963982132014919,0.0855470695666611,0.0909519862271249,0.0987582834716593,0.0995481538858766,0.10557404654467,0.096824174860406,0.0815264779398942,0.0792034657402369,0.0760089530885848,0.0962734598950727,0.0847121048661963,0.0885872778982345,0.0708700386023953,0.0600111131691054,0.0658371015832151,0.00959184131904666,0.0090725077712716,0.012138116552378,0.0149234734463996,0.0139913557207917,0.0204159221381591,0.0210168232338537,0.0146045290449623,0.0185395341520691,0.0187935857531224,0.013703479541847,0.015960309089735,0.0340969929508343,0.0284077093903487,0.0262538833120836,0.026862272826801,0.0188546849654619,0.0184870682599443,0.0223458743099882,0.0203944650970673,0.0222022427012312,0.0424394739046662,0.0503971246413147,0.0446043165467626,0.0484527687296417,0.0665179419024112,0.0399092376123266,0.0419361849663124,0.0366963267168606,0.0307005256826459,0.0550831990455925,0.052924644484911,0.0516988824354916,0.0531356496533354,0.0504956707240557,0.0532875993402309,0.0403134097525473,0.0374392562856539,0,NA,NA,0.0801772352325255,0.0701597939072943,0.0772918991507632,0.0968931841865012,0.101558219947012,0.0934878786058895,0.0194776288893936,0.0205249445141368,0.0189242548273703,0.0200732178849081,0.0952021229201774,0.0761923320504701,0.0650813061390866,0,0.0505862097237025,0.0642913664998407,0.0629721342820424,NA
