"","RG","Study","Qiagen DSP Virus","Zymo MagBead DNone Kit","MagAttract PowerMag Soil","MagAttract PowerMag Microbiome","Qiagen QIAamp  Modified","Qiagen DSP Virus - RG","Qiagen DSP Virus - Study","Zymo MagBead DNone Kit - RG","Zymo MagBead DNone Kit - Study","MagAttract PowerMag Soil - RG","MagAttract PowerMag Soil - Study","MagAttract PowerMag Microbiome - RG","MagAttract PowerMag Microbiome - Study","Qiagen QIAamp  Modified - RG","Qiagen QIAamp  Modified - Study"
"Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetanaerobacterium",0,1.44645924528753e-06,0,0,0,5.90662220949017e-07,3.53340104376667e-06,0,0,0,0,0,0,0,8.24354056769966e-07,0,4.94493539716622e-06
"Acidaminococcus",1.88579341719806e-06,0,4.17696113546512e-06,0,1.643466939526e-06,0,0,4.17700911527814e-06,0,0,0,4.47720164152121e-06,0,0,0,0,0
"Acinetobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0,3.55039996570577e-05,0,0,1.93929098864069e-05,3.10097665998234e-05,4.16156122932519e-05,0,0,0,0,0,3.06401188213421e-05,0,4.32785879804232e-05,0,5.82403502332911e-05
"Adlercreutzia",3.35252163057433e-06,1.15716739623003e-05,0,5.31877897200277e-06,8.87472147344042e-06,1.12225821980313e-05,1.02076030153259e-05,0,0,0,9.07187718073971e-06,0,1.40217492911227e-05,1.66686113379894e-05,9.06789462446963e-06,0,1.42853689251469e-05
"Akkermansia",0.249349244121615,0.0828306997036205,0.211945273455203,0.120021520597994,0.186872051825744,0.0949031756954309,0.170286766902711,0.211947708022886,0,0.198196149015497,0.0648590369853454,0.344337996488083,0.0955473156139968,0.194166402746987,0.055630296990036,0.296703100221847,0.119785565623688
"Alcaligenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes",0.0650944457726483,0.0548386888925211,0.0683089781691126,0.0753478686016112,0.086015772680912,0.025904673024161,0.0505350943280669,0.0683097628189799,0,0.0735593421482046,0.0766099092812282,0.0774072346205885,0.0910084234360556,0.0422070074842065,0.0194547557397712,0.060391127762259,0.0465977745592964
"Alkanindiges",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alloprevotella",0,5.25985180104558e-07,0,0,0,1.18132444189803e-06,0,0,0,0,0,0,0,0,1.64870811353993e-06,0,0
"Anaerococcus",0,2.89291849057507e-06,0,8.18273688000426e-07,9.86080163715603e-07,3.5439733256941e-06,1.96300057987037e-06,0,0,0,1.39567341242149e-06,0,1.55797214345808e-06,0,4.9461243406198e-06,0,2.74718633175901e-06
"Anaerofilum",0.000244315013828104,0,0.000351908975662936,0.000111285221568058,0.000100908870086897,4.28230110188037e-05,4.12230121772778e-05,0.000351913017962183,0,0.000268995322250462,0,0.000274900180789402,0,0.000151059290250529,0,0.000144413865381521,0
"Anaerofustis",0.00014269170190132,2.62992590052279e-07,0.00021615773876032,2.04568422000106e-05,2.43233107049849e-05,8.5941353148082e-05,2.39486070744185e-05,0.000216160221715644,0,4.9447669531335e-05,0,6.44717036379054e-05,1.03864809563872e-06,0.000303160368709683,0,8.38975789359311e-05,0
"Anaeromyxobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anaerosporobacter",0.00109543644279016,0.00231985763685115,0.000815551661699564,0.00167050573405287,0.00203231121741786,0.00164026898757542,0.00246121012704147,0.000815561029758057,0,0.000978074903329806,0.00215910676901605,0.00121869428682207,0.00250418055858495,0.00137099328254963,0.00174680624629556,0.00107416408440922,0.00301531171773869
"Anaerostipes",0.000417808008210325,0.00675575365326294,0,0.00510971004471866,0.0067878471536303,0.00338538051936929,0.00344192521674471,0,0,0.000499421462266483,0.00836287508722959,5.82036213397757e-05,0.0106908048484093,0.00147100495057757,0.00414279131229747,1.65044417578881e-05,0.00481032326691003
"Anaerotruncus",0.00308536756313794,0.000431833832865842,0.00597931986541831,0.00162059103908484,0.000827978644133201,0.000892490615853965,0.0010918209225239,0.00597938854852066,0,0.00309245725248969,0.000581995812979763,0.00182938459072557,0.000247198246762015,0.00236485923357725,0.000309957125345507,0.00214420205837896,0.000671412339481903
"Arthrobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Atopobium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Azospirillum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bacillus",9.88993881019426e-05,2.55102812350711e-05,1.77520848257267e-05,0.000137469979584071,1.77494429468808e-05,2.45124821693842e-05,6.90976204114371e-05,1.77522887399321e-05,0,0.000229437186625394,7.25750174459177e-05,1.52224855811721e-05,1.92149897693163e-05,5.00058340139683e-05,1.44261959934744e-05,0.000217308483145527,9.88987079433244e-06
"Bacteroides",0.366822230654745,0.117130061801944,0.446303076123028,0.318370653432454,0.255265257207506,0.0983617983301979,0.128069298631671,0.446308202706075,0,0.474653124598238,0.208092812281926,0.400760587014862,0.170883058610912,0.241791750704249,0.0416146293168331,0.225105456505982,0.0893049838355556
"Basidiomycota",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bergeyella",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bifidobacterium",2.93345642675254e-06,1.0388207307065e-05,0,2.04568422000106e-06,1.97216032743121e-06,2.12638399541646e-05,3.92600115974074e-06,0,0,4.9447669531335e-06,0,0,3.11594428691615e-06,9.37609387761906e-06,2.59671527882539e-05,0,5.49437266351802e-06
"Bilophila",0.00277253538848497,0.00249435322035084,0.00251244212298227,0.0021213745361411,0.0030082018861084,0.00201150019344188,0.00339481320282782,0.0025124709828398,0,0.00210251490847236,0.00213468248429867,0.00436168983916996,0.00222322624871467,0.00236381744536863,0.00187210806292459,0.00214557742852545,0.00389386190663522
"Blautia",0.044634425326457,0.0237575671186676,0.0151874306885512,0.0176084314920812,0.0239650349121682,0.0450982418938993,0.0433799572144394,0.0151813396294784,0.545454545454545,0.0162307030469654,0.0185806001395673,0.0094773404347721,0.0323673906043893,0.0938130281866218,0.0258245395364327,0.112003267879468,0.015966097522917
"Bradyrhizobium",4.19065203821791e-07,0,0,0,0,0,7.85200231948148e-07,0,0,0,0,0,0,0,0,2.75074029298135e-06,0
"Brevundimonas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bryobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Butyricimonas",0.000148139549551003,0,0.000179609328825,7.40537687640385e-05,7.23125453391442e-05,1.97871844017921e-05,2.6304207770263e-05,0.00017961139195696,0,0.000179000563703433,0,0.000196996872226933,0,6.97998099778308e-05,0,9.21497998148752e-05,0
"Campylobacter",8.59083667834671e-06,2.62992590052279e-07,2.08848056773256e-06,5.31877897200277e-06,6.57386775810402e-06,1.47665555237254e-06,1.17780034792222e-06,2.08850455763907e-06,0,1.08784872968937e-05,1.39567341242149e-06,1.79088065660848e-05,0,5.2089410431217e-06,0,4.12611043947202e-06,0
"Candidatus Planktophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Capnocytophaga",4.19065203821791e-07,0,0,0,6.57386775810402e-07,0,0,0,0,0,0,1.79088065660848e-06,0,0,0,0,0
"Christensenella",7.58508018917441e-05,0.000651169652969443,7.41410601545058e-05,0.000598567202772311,0.000252765215299099,0.000347309385918022,0.000720421212812426,7.4141911796187e-05,0,9.29616187189098e-05,0.000955338450802512,3.76084937887782e-05,0.000377548582764673,0.000104178820862434,0.000443502482542242,7.56453580569871e-05,0.000977998334106209
"Clostridium sensu stricto 1",2.45153144235748e-05,0.00119832573657321,0,0.000537196676172279,0.00122273940300735,0.000803595951601138,0.000579477771177734,0,0,2.9668601718801e-05,0.000895324494068388,4.47720164152121e-06,0.00192928883764892,8.54266331071958e-05,0.00108773517790797,0,0.00081096940513526
"Collinsella",0.000106233029168824,0.000874976347103932,0,9.49197478080494e-05,0.000587046390798689,0.000668924965224762,0.00112990313377339,0,0,9.889533906267e-06,0.000154919748778786,0,0.000927512749405374,0.000517768739686297,0.00072872898618465,0,0.00158128045256049
"Coprobacillus",1.67626081528716e-06,1.18346665523526e-06,0,3.2730947520017e-06,0,0,3.53340104376667e-06,0,0,7.9116271250136e-06,0,0,0,0,0,0,4.94493539716622e-06
