"","Genus","Obs_Per","Sample","Kit","Type"
"1","Subdoligranulum",NA,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"2","Pyramidobacter",0.00049097442754471,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"3","Bilophila",0.00376065518970416,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"4","Alistipes",0.000867039946515126,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"5","Coprobacillus",0,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"6","Lactobacillus",0.000135801437405984,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"7","Paenibacillus",0,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"8","Pediococcus",0,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"9","Anaerostipes",0,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"10","Bacteroides",0.396038776533512,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"11","Bifidobacterium",0,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"12","Collinsella",0,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"13","Enterococcus",0,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"14","Escherichia-Shigella",NA,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"15","Lachnoclostridium",NA,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"16","Parabacteroides",0.00459635634297175,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"17","Propionibacterium",0,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"18","Ralstonia",0,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"19","Fusobacterium",6.26775864950694e-05,"SC249358.PC04924.A01","Qiagen DSP Virus","Art.Col"
"20","Subdoligranulum",NA,"SC249363.PC04924.F01","Qiagen DSP Virus","Art.Col"
"21","Pyramidobacter",0,"SC249363.PC04924.F01","Qiagen DSP Virus","Art.Col"
"22","Bilophila",0.001413577853113,"SC249363.PC04924.F01","Qiagen DSP Virus","Art.Col"
"23","Alistipes",0.000537910156494327,"SC249363.PC04924.F01","Qiagen DSP Virus","Art.Col"
