,Genus,Obs_Per,Sample,Kit,Type
1,Subdoligranulum,0.005781454,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
2,Pyramidobacter,0.003360906,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
3,Bilophila,0.015498476,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
4,Alistipes,0.000766217,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
5,Coprobacillus,0.039721376,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
6,Lactobacillus,0.018371789,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
7,Paenibacillus,0.032337832,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
8,Pediococcus,0.027653461,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
9,Anaerostipes,0.026451894,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
10,Bacteroides,0.109899869,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
11,Bifidobacterium,0.009003047,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
12,Collinsella,0.000226382,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
13,Enterococcus,0.023770135,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
14,Escherichia-Shigella,0.105563779,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
15,Lachnoclostridium,NA,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
16,Parabacteroides,0.126808881,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
17,Propionibacterium,0,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
18,Ralstonia,0.02474532,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
19,Fusobacterium,0,SC249358.PC04924.A01,Qiagen DSP Virus,Art.Col
20,Subdoligranulum,0.00745365,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
21,Pyramidobacter,0.006686758,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
22,Bilophila,0.021809326,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
23,Alistipes,0.006821301,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
24,Coprobacillus,0.034940667,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
25,Lactobacillus,0.040524177,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
26,Paenibacillus,0.034631219,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
27,Pediococcus,0.021890052,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
28,Anaerostipes,0.023195113,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
29,Bacteroides,0.100166833,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
30,Bifidobacterium,0.014396039,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
31,Collinsella,0.000147997,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
32,Enterococcus,0.015754918,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
33,Escherichia-Shigella,0.112786912,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
34,Lachnoclostridium,NA,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
35,Parabacteroides,0.175658585,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
36,Propionibacterium,4.04E-05,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
37,Ralstonia,0.042004144,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
38,Fusobacterium,0,SC249363.PC04924.F01,Qiagen DSP Virus,Art.Col
39,Subdoligranulum,0.004747615,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
40,Pyramidobacter,0.026167869,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
41,Bilophila,0.028732028,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
42,Alistipes,0.00484839,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
43,Coprobacillus,0.033457249,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
44,Lactobacillus,0.148967618,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
45,Paenibacillus,0.025193712,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
46,Pediococcus,0.013403055,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
47,Anaerostipes,0.019595109,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
48,Bacteroides,0.068448515,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
49,Bifidobacterium,0.018766516,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
50,Collinsella,0,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
51,Enterococcus,0.010111076,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
52,Escherichia-Shigella,0.083979039,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
53,Lachnoclostridium,NA,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
54,Parabacteroides,0.125554262,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
55,Propionibacterium,0.000111972,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
56,Ralstonia,0.025596811,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
57,Fusobacterium,0,SC253848.PC04924.C11,Qiagen DSP Virus,Art.Col
58,Subdoligranulum,0.006355657,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
59,Pyramidobacter,0.006323231,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
60,Bilophila,0.029043625,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
61,Alistipes,0.004345194,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
62,Coprobacillus,0.036588266,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
63,Lactobacillus,0.033572571,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
64,Paenibacillus,0.032740283,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
65,Pediococcus,0.025703662,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
66,Anaerostipes,0.021996195,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
67,Bacteroides,0.09993947,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
68,Bifidobacterium,0.014375892,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
69,Collinsella,0,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
70,Enterococcus,0.022071858,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
71,Escherichia-Shigella,0.123157076,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
72,Lachnoclostridium,NA,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
73,Parabacteroides,0.147596091,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
74,Propionibacterium,7.57E-05,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
75,Ralstonia,0.043224956,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
76,Fusobacterium,0,SC253851.PC04924.E11,Qiagen DSP Virus,Art.Col
77,Subdoligranulum,0.009922872,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
78,Pyramidobacter,0.005368843,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
79,Bilophila,0.025571765,SC249383.PC04924.E02,Zymo MagBead DNone Kit,Art.Col
