"","SC284728.PC04924.E12","SC284729.PC04924.F12","SC249421.PC04924.H06","SC249410.PC04924.E05","SC253845.PC04924.H10","SC249452.PC04924.D10","SC253846.PC04924.A11","SC249447.PC04924.G09","SC249433.PC04924.B08","SC249426.PC04924.D07","SC249417.PC04924.D06","SC249436.PC04924.E08","SC249365.PC04924.H01","SC249360.PC04924.C01","SC249428.PC04924.F07","SC249358.PC04924.A01","SC249446.PC04924.F09","SC253851.PC04924.E11","SC249409.PC04924.D05","SC249427.PC04924.E07","SC249413.PC04924.H05","SC249434.PC04924.C08","SC253848.PC04924.C11","SC249443.PC04924.D09","SC249439.PC04924.H08","SC249363.PC04924.F01","SC253853.PC04924.G11","SC249415.PC04924.B06","SC249438.PC04924.G08","SC249367.PC04924.A02","SC249423.PC04924.A07","SC249450.PC04924.B10","SC284724.PC04924.A12","SC284725.PC04924.B12","SC284726.PC04924.C12","SC284727.PC04924.D12","NTC.PC04924.H12","SC249388.PC04924.A03","SC249389.PC04924.B03","SC249390.PC04924.C03","SC249382.PC04924.D02","SC249391.PC04924.D03","SC249383.PC04924.E02","SC249392.PC04924.E03","SC249384.PC04924.F02","SC249393.PC04924.F03","SC249385.PC04924.G02","SC249386.PC04924.H02","SC249396.PC04924.A04","SC249405.PC04924.A05","SC249397.PC04924.B04","SC249398.PC04924.C04","SC249399.PC04924.D04","SC249400.PC04924.E04","SC249401.PC04924.F04","SC249394.PC04924.G03","SC249403.PC04924.G04","SC249395.PC04924.H03","SC249404.PC04924.H04","SC249453.PC04924.E10","SC249369.PC04924.C02","SC249411.PC04924.F05","SC253852.PC04924.F11","SC253843.PC04924.F10","SC249359.PC04924.B01","SC249448.PC04924.H09","SC249361.PC04924.D01","SC249445.PC04924.E09","SC253849.PC04924.D11","SC249449.PC04924.A10","SC249419.PC04924.F06","SC249440.PC04924.A09","SC249429.PC04924.G07","SC249407.PC04924.B05","SC249364.PC04924.G01","SC249435.PC04924.D08","SC249418.PC04924.E06","SC249414.PC04924.A06","SC249424.PC04924.B07","SC249430.PC04924.H07","SC249416.PC04924.C06","SC253847.PC04924.B11","SC249441.PC04924.B09","Water.PC04924.G12","SC249451.PC04924.C10","SC249420.PC04924.G06","SC253854.PC04924.H11","SC249425.PC04924.C07","SC249432.PC04924.A08","SC249362.PC04924.E01","SC249408.PC04924.C05","SC249437.PC04924.F08","SC249368.PC04924.B02","SC253844.PC04924.G10","SC249412.PC04924.G05","SC249442.PC04924.C09","SC284734.PC04925.E12","SC284735.PC04925.F12","SC253186.PC04925.D06","SC249410.PC04925.F02","SC253845.PC04925.C09","SC253193.PC04925.C07","SC253846.PC04925.D09","SC253200.PC04925.C08","SC249447.PC04925.C05","SC249433.PC04925.C04","SC249426.PC04925.F03","SC261528.PC04925.E10","SC253182.PC04925.H05","SC249436.PC04925.E04","SC261516.PC04925.H10","SC253195.PC04925.E07","SC253204.PC04925.A09","SC253192.PC04925.B07","SC253185.PC04925.C06","SC253191.PC04925.A07","SC253202.PC04925.F08","SC249431.PC04925.A04","SC249406.PC04925.D02","SC261525.PC04925.D10","SC261529.PC04925.F10","SC249444.PC04925.A05","SC261518.PC04925.C10","SC249366.PC04925.D01","SC249422.PC04925.D03","SC261524.PC04925.H09","SC284730.PC04925.A12","SC284731.PC04925.B12","SC284732.PC04925.C12","SC284733.PC04925.D12","NTC.PC04925.H12","SC249382.PC04925.F01","SC249387.PC04925.G01","SC249391.PC04925.H01","SC249396.PC04925.A02","SC249399.PC04925.B02","SC249405.PC04925.C02","SC249453.PC04925.F05","SC261523.PC04925.G10","SC249369.PC04925.E01","SC249411.PC04925.G02","SC253852.PC04925.G09","SC253843.PC04925.B09","SC249359.PC04925.A01","SC249448.PC04925.A11","SC249448.PC04925.D05","SC249361.PC04925.A10","SC249361.PC04925.B01","SC249445.PC04925.B05","SC261517.PC04925.B11","SC253184.PC04925.B06","SC253849.PC04925.F09","SC253199.PC04925.A08","SC253199.PC04925.B08","SC253199.PC04925.E11","SC249449.PC04925.E05","SC249419.PC04925.C03","SC249440.PC04925.G04","SC261531.PC04925.G11","SC253188.PC04925.E06","SC249429.PC04925.G03","SC261515.PC04925.H11","SC249435.PC04925.D04","SC253190.PC04925.G06","SC253190.PC04925.H06","SC253203.PC04925.G08","SC253203.PC04925.H08","SC249418.PC04925.B03","SC261526.PC04925.C11","SC249414.PC04925.H02","SC249424.PC04925.E03","SC249430.PC04925.H03","SC249416.PC04925.A03","SC261527.PC04925.B10","SC253197.PC04925.G07","SC253197.PC04925.H07","SC253183.PC04925.A06","SC253201.PC04925.D08","SC253201.PC04925.E08","SC253847.PC04925.E09","SC261532.PC04925.D11","SC249441.PC04925.H04","Water.PC04925.G12","SC261522.PC04925.F11","SC253181.PC04925.G05","SC253194.PC04925.D07","SC249432.PC04925.B04","SC249408.PC04925.E02","SC249437.PC04925.F04","SC253196.PC04925.F07","SC253189.PC04925.F06","SC326763.PC07578.A12","SC326764.PC07578.B12","SC326765.PC07578.C12","SC326766.PC07578.D12","SC253186.PC07578.D06","SC249421.PC07578.F02","SC249410.PC07578.B01","SC253845.PC07578.C09","SC304090.PC07578.G04","SC253846.PC07578.D09","SC253200.PC07578.C08","SC249433.PC07578.G08","SC249426.PC07578.F03","SC261528.PC07578.E11","SC253182.PC07578.A01","SC249436.PC07578.E04","SC249365.PC07578.E09","SC249360.PC07578.B09","SC304930.PC07578.B05","SC304940.PC07578.C03","SC261516.PC07578.H10","SC253195.PC07578.E07","SC304093.PC07578.A04","SC304936.PC07578.B11","SC304926.PC07578.E06","SC249443.PC07578.E05","SC249439.PC07578.G07","SC304094.PC07578.A05","SC304099.PC07578.A10","SC304928.PC07578.B03","SC304938.PC07578.E10","SC253202.PC07578.F08","SC261525.PC07578.D10","SC261529.PC07578.F10","SC249366.PC07578.D01","SC249422.PC07578.D03","SC261524.PC07578.H09","NTC.PC07578.H12","SC249385.PC07578.C07","SC249387.PC07578.G01","SC249391.PC07578.H01","SC249382.PC07578.H05","SC249453.PC07578.F05","SC261523.PC07578.G10","SC304096.PC07578.A07","SC249369.PC07578.E01","SC249411.PC07578.G02","SC253852.PC07578.G09","SC249448.PC07578.D05","SC304091.PC07578.A02","SC261517.PC07578.F01","SC253184.PC07578.G06","SC253849.PC07578.F09","SC261531.PC07578.G11","SC304929.PC07578.B04","SC304939.PC07578.C02","SC249429.PC07578.G03","SC304098.PC07578.A08","SC249364.PC07578.C01","SC261515.PC07578.H11","SC253190.PC07578.H06","SC304931.PC07578.B06","SC304941.PC07578.C04","SC304095.PC07578.A06","SC261526.PC07578.C11","SC249414.PC07578.H02","SC249424.PC07578.E03","SC249430.PC07578.H03","SC253183.PC07578.D08","SC253201.PC07578.E08","SC304925.PC07578.B.08.PC07578.B08","SC304935.PC07578.B.10.PC07578.B10","SC304935.PC07578.C.06.PC07578.C06","SC304925.PC07578.D.07.PC07578.D07","SC261532.PC07578.D11","SC249441.PC07578.H04","Water.PC07578.G12","SC326767.PC07578.E12","SC326768.PC07578.F12","SC249451.PC07578.F06","SC249420.PC07578.H07","SC304092.PC07578.A03","SC261522.PC07578.F11","SC304097.PC07578.A09","SC253181.PC07578.G05","SC304927.PC07578.B02","SC304937.PC07578.D04","SC249362.PC07578.H08","SC249408.PC07578.E02","SC249437.PC07578.F04","SC249368.PC07578.C10","SC253196.PC07578.F07","SC304924.PC07578.A11.PC07578.A11","SC304924.PC07578.B.07.PC07578.B07","SC304934.PC07578.C.05.PC07578.C05","SC304934.PC07578.D.02.PC07578.D02"
"Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetanaerobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,26,0,0,0,0,9102,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,9552,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10359,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,9,8,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,790,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,15,0,16,0,0,15,0,0,9,0,16,0,0,0,5,11,16,5,0,18,0,12,15,0,18,15,22,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,14,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adlercreutzia",0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akkermansia",0,0,38190,34031,23386,21396,26075,12410,24926,43681,26192,22430,15492,17953,9,50,1421,0,15,0,13,25,0,239,1395,0,0,4404,1100,0,25,0,3,0,0,0,0,79,0,9,19367,30,641,0,0,5458,19781,0,7262,9969,861,16221,6202,447,5973,10848,75,78,0,5132,0,7601,0,0,0,7203,0,5371,0,6193,7804,4809,7750,5370,0,3651,12531,9326,13221,3216,0,0,1974,0,0,0,9,0,6,0,2,0,0,0,73,0,0,23,36401,32497,0,29871,33748,32011,13789,24184,38392,29832,39077,25522,28164,133,96,172,20,854,231,111,61,10037,458,2877,5816,17,215,255,0,0,0,0,0,0,3415,54,10901,0,6911,7576,9432,0,8425,0,0,0,12788,9997,0,0,5842,0,13186,0,10899,7917,7627,5756,7376,6988,6870,13294,8714,141,4696,17247,14233,11874,15868,11772,8050,7186,18515,3251,0,8072,12512,13643,22522,8162,9240,0,3097,2519,0,279,7,16,15,0,5,89,5,0,0,0,0,31159,32567,29880,22232,21106,25816,26763,21498,53627,25657,20444,20223,16368,21896,19960,17478,20367,2980,142,181,76,295,1350,1360,2652,2750,2859,2362,9146,1228,0,113,12956,0,26716,2416,4,20362,4906,8100,4112,0,6151,0,8680,2,7884,16185,0,5643,4073,10,6667,4607,0,0,17,2229,0,2282,7077,6136,16240,3527,16246,7360,13,3006,0,0,2648,2634,0,0,0,28,132,21,0,46,14,5,12,0,18,0,8,68,37,68,31,32
"Alcaligenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes",0,0,8481,7550,7059,4585,6143,3079,4728,7058,7891,5279,5255,5031,574,44,721,402,587,834,914,833,433,720,880,507,0,4402,334,0,0,0,0,0,0,0,0,532,0,0,5330,23,932,0,0,5484,5484,0,6623,9381,1683,7119,7983,1364,8528,11927,39,103,8,2020,0,8891,0,0,0,3057,0,1200,0,2069,7569,1611,7160,13998,0,1407,9936,10745,8900,854,0,0,1246,0,7,0,0,0,0,0,0,0,0,0,85,0,0,8,7109,7094,0,5780,8911,5046,2541,4204,5298,8893,7817,5647,7940,634,304,917,502,901,79,26,22,6939,114,441,7664,14,225,579,0,0,0,0,0,0,6810,42,8210,0,7921,1975,7789,0,8244,0,0,0,3505,2924,0,0,1483,0,4061,7,6187,5028,5047,1807,6588,2150,2144,7007,6480,178,1447,4872,4052,3545,4430,8415,10507,7711,8873,753,0,9340,4021,3726,5066,5426,6036,0,1965,1650,0,311,0,0,9,14,0,31,0,0,0,0,0,7781,8375,7948,7334,7109,9000,6032,4740,9191,8667,4344,5711,9042,7640,7811,6636,7401,1873,746,983,1005,740,971,3908,3483,2329,3203,5055,8151,600,0,49,7976,0,7431,5798,0,8004,1778,8173,7820,0,7132,0,3067,0,6279,5474,0,2127,4936,16,5984,8941,0,0,72,6256,0,4915,11308,8025,9438,1101,5146,5686,44,6027,0,0,1952,1908,0,0,0,4,50,125,0,45,16,0,0,0,0,0,0,22,29,52,31,24
