"","NephID","Type","O.R","Instrument","Kit","Batch","Seq.Plate","Subject","VialID","CGRID","AliquotNumber","SampleName","GenusObs","GenusAbs","GenusExp"
"SC249358.PC04924.A01","SC249358.PC04924.A01","Art.Col","Original","QIASymphony","Qiagen DSP Virus",2,"PC04924","DZ35322","DZ35322 0006","SC249358","None","DZ35322_0006_01_PC04924_A_01",16,3,19
"SC249363.PC04924.F01","SC249363.PC04924.F01","Art.Col","Original","QIASymphony","Qiagen DSP Virus",2,"PC04924","DZ35322","DZ35322 0025","SC249363","None","DZ35322_0025_02_PC04924_F_01",17,2,19
"SC249383.PC04924.E02","SC249383.PC04924.E02","Art.Col","Original","Manual","Zymo MagBead DNone Kit",1,"PC04924","DZ35322","DZ35322 0021","SC249383","None","sFEMB_001_R_003_PC04924_E_02",16,3,19
"SC249388.PC04924.A03","SC249388.PC04924.A03","Art.Col","Original","Manual","Zymo MagBead DNone Kit",1,"PC04924","DZ35322","DZ35322 0008","SC249388","None","sFEMB_001_R_003_PC04924_A_03",15,4,19
"SC249397.PC04924.B04","SC249397.PC04924.B04","Art.Col","Original","Manual","Zymo MagBead DNone Kit",2,"PC04924","DZ35322","DZ35322 0008","SC249397","None","sFEMB_001_R_004_PC04924_B_04",16,3,19
"SC249400.PC04924.E04","SC249400.PC04924.E04","Art.Col","Original","Manual","Zymo MagBead DNone Kit",2,"PC04924","DZ35322","DZ35322 0017","SC249400","None","sFEMB_001_R_004_PC04924_E_04",16,3,19
"SC249409.PC04924.D05","SC249409.PC04924.D05","Art.Col","Original","KingFisher","MagAttract PowerMag Soil",1,"PC04924","DZ35322","DZ35322 0017","SC249409","None","DZ35322_0017_02_PC04924_D_05",16,3,19
"SC249413.PC04924.H05","SC249413.PC04924.H05","Art.Col","Original","KingFisher","MagAttract PowerMag Soil",1,"PC04924","DZ35322","DZ35322 0021","SC249413","None","DZ35322_0021_02_PC04924_H_05",16,3,19
"SC249427.PC04924.E07","SC249427.PC04924.E07","Art.Col","Original","KingFisher","MagAttract PowerMag Soil",2,"PC04924","DZ35322","DZ35322 0019","SC249427","None","DZ35322_0019_02_PC04924_E_07",16,3,19
"SC249428.PC04924.F07","SC249428.PC04924.F07","Art.Col","Original","KingFisher","MagAttract PowerMag Soil",2,"PC04924","DZ35322","DZ35322 0005","SC249428","None","DZ35322_0005_02_PC04924_F_07",16,3,19
"SC249434.PC04924.C08","SC249434.PC04924.C08","Art.Col","Original","KingFisher","MagAttract PowerMag Microbiome",1,"PC04924","DZ35322","DZ35322 0023","SC249434","None","DZ35322_0023_01_PC04924_C_08",17,2,19
"SC249439.PC04924.H08","SC249439.PC04924.H08","Art.Col","Original","KingFisher","MagAttract PowerMag Microbiome",1,"PC04924","DZ35322","DZ35322 0025","SC249439","None","DZ35322_0025_01_PC04924_H_08",17,2,19
"SC249439.PC07578.G07","SC249439.PC07578.G07","Art.Col","Original","KingFisher","MagAttract PowerMag Microbiome",1,"PC07578","DZ35322","DZ35322 0025","SC249439","None","DZ35322_0025_01_PC07578_G_07",17,2,19
"SC249443.PC04924.D09","SC249443.PC04924.D09","Art.Col","Original","KingFisher","MagAttract PowerMag Microbiome",2,"PC04924","DZ35322","DZ35322 0024","SC249443","None","DZ35322_0024_02_PC04924_D_09",17,2,19
"SC249443.PC07578.E05","SC249443.PC07578.E05","Art.Col","Original","KingFisher","MagAttract PowerMag Microbiome",2,"PC07578","DZ35322","DZ35322 0024","SC249443","None","DZ35322_0024_02_PC07578_E_05",17,2,19
