"","Genus","Obs_Per","Sample","Exp_Per","Type"
"1","Lactobacillus",NA,"SC284724.PC04924.A12",0.1,"MSA1000"
"2","Lactobacillus",0.000345206061464382,"SC284730.PC04925.A12",0.1,"MSA1000"
"3","Bifidobacterium",NA,"SC284724.PC04924.A12",0.1,"MSA1000"
"4","Bifidobacterium",0,"SC284730.PC04925.A12",0.1,"MSA1000"
"5","Enterococcus",NA,"SC284724.PC04924.A12",0.1,"MSA1000"
"6","Enterococcus",0,"SC284730.PC04925.A12",0.1,"MSA1000"
"7","Escherichia-Shigella",NA,"SC284724.PC04924.A12",0.1,"MSA1000"
"8","Escherichia-Shigella",NA,"SC284730.PC04925.A12",0.1,"MSA1000"
"9","Bacillus",NA,"SC284724.PC04924.A12",0.1,"MSA1000"
"10","Bacillus",0,"SC284730.PC04925.A12",0.1,"MSA1000"
"11","Clostridium",NA,"SC284724.PC04924.A12",0.1,"MSA1000"
"12","Clostridium",0.00239873955530378,"SC284730.PC04925.A12",0.1,"MSA1000"
"13","Deinococcus",NA,"SC284724.PC04924.A12",0.1,"MSA1000"
"14","Deinococcus",0,"SC284730.PC04925.A12",0.1,"MSA1000"
"15","Rhodobacter",NA,"SC284724.PC04924.A12",0.1,"MSA1000"
"16","Rhodobacter",0,"SC284730.PC04925.A12",0.1,"MSA1000"
"17","Staphylococcus",NA,"SC284724.PC04924.A12",0.1,"MSA1000"
"18","Staphylococcus",0,"SC284730.PC04925.A12",0.1,"MSA1000"
"19","Streptococcus",NA,"SC284724.PC04924.A12",0.1,"MSA1000"
"20","Streptococcus",0.00870096303639711,"SC284730.PC04925.A12",0.1,"MSA1000"
"21","Lactobacillus",0.000433590512019384,"SC284725.PC04924.B12",0.0045,"MSA1001"
"22","Lactobacillus",NA,"SC284731.PC04925.B12",0.0045,"MSA1001"
"23","Lactobacillus",0.160508999667153,"SC326764.PC07578.B12",0.0045,"MSA1001"
"24","Bifidobacterium",0,"SC284725.PC04924.B12",4e-04,"MSA1001"
"25","Bifidobacterium",NA,"SC284731.PC04925.B12",4e-04,"MSA1001"
"26","Bifidobacterium",0,"SC326764.PC07578.B12",4e-04,"MSA1001"
"27","Escherichia-Shigella",NA,"SC284725.PC04924.B12",0.0448,"MSA1001"
"28","Escherichia-Shigella",NA,"SC284731.PC04925.B12",0.0448,"MSA1001"
"29","Escherichia-Shigella",NA,"SC326764.PC07578.B12",0.0448,"MSA1001"
"30","Bacillus",0.000140279283300389,"SC284725.PC04924.B12",0.0448,"MSA1001"
"31","Bacillus",NA,"SC284731.PC04925.B12",0.0448,"MSA1001"
"32","Bacillus",0.0572752643572215,"SC326764.PC07578.B12",0.0448,"MSA1001"
"33","Clostridium",0.000930944334629854,"SC284725.PC04924.B12",0.0045,"MSA1001"
"34","Clostridium",NA,"SC284731.PC04925.B12",0.0045,"MSA1001"
"35","Clostridium",0,"SC326764.PC07578.B12",0.0045,"MSA1001"
