"","Abundance","Genus"
"Acetanaerobacterium",3.38051975491232e-05,"Acetanaerobacterium"
"Actinomyces",4.2256496936404e-05,"Actinomyces"
"Akkermansia",0.134105218677372,"Akkermansia"
"Alistipes",0.0374392562856539,"Alistipes"
"Anaerosporobacter",0.00197760405662371,"Anaerosporobacter"
"Anaerostipes",0.00872174096767378,"Anaerostipes"
"Anaerotruncus",0.000735263046693429,"Anaerotruncus"
"Bacteroides",0.0795943376294105,"Bacteroides"
"Bilophila",0.00332981195858863,"Bilophila"
"Blautia",0.0152545953940418,"Blautia"
"Christensenella",0.000608493555884217,"Christensenella"
"Clostridium sensu stricto 1",0.00032114937671667,"Clostridium sensu stricto 1"
"Collinsella",0.00282273399535179,"Collinsella"
"Coprococcus",0.0298837946334249,"Coprococcus"
"Dialister",0.0125755334882738,"Dialister"
"Dorea",0.0142150855694063,"Dorea"
"Escherichia-Shigella",0.00680329600676104,"Escherichia-Shigella"
"Faecalibacterium",0.163557997042045,"Faecalibacterium"
"Flavonifractor",0.000701457849144306,"Flavonifractor"
"Gemella",0.00010141559264737,"Gemella"
"Gordonibacter",0.000236636382843862,"Gordonibacter"
"Granulicatella",0.000143672089583773,"Granulicatella"
"Haemophilus",0.000118318191421931,"Haemophilus"
"Holdemania",0.000904289034439045,"Holdemania"
"Incertae Sedis",0.041233889710543,"Incertae Sedis"
"Intestinimonas",0.0027297697020917,"Intestinimonas"
"Lachnospira",0.00980350728924572,"Lachnospira"
"Lactobacillus",0.000388759771814917,"Lactobacillus"
"Lactococcus",0.00021128248468202,"Lactococcus"
"Marvinbryantia",0.000600042256496936,"Marvinbryantia"
"Odoribacter",0.000219733784069301,"Odoribacter"
"Oscillibacter",0.00294105218677372,"Oscillibacter"
"other",0.0952630466934291,"other"
"Parabacteroides",0.00982040988802028,"Parabacteroides"
"Phascolarctobacterium",0.00665117261778999,"Phascolarctobacterium"
"Pseudobutyrivibrio",0.0648806253961547,"Pseudobutyrivibrio"
"Roseburia",0.0156771603634059,"Roseburia"
"Ruminococcus",0.0685146841326854,"Ruminococcus"
"Streptococcus",0.0158715402493133,"Streptococcus"
"Subdoligranulum",0.0741939573209381,"Subdoligranulum"
"uncultured",0.0765349672512149,"uncultured"
"Veillonella",0.000135220790196493,"Veillonella"
"Weissella",0.00010141559264737,"Weissella"
