"","AC","MSA-1000","MSA-1001","MSA-1002","MSA-1003","Zymo.Ext","Zymo.Seq.200","Zymo.Seq.2000"
"Erysipelotrichia",0.029635898362123,2.08017695371953e-05,1.62668192132824e-05,7.07035236279392e-06,1.46572046267909e-05,5.2732876419622e-05,1.05889298033371e-05,2.34425059517918e-05
"Clostridia",0.160529515489045,0.202810319064475,0.024595430650483,0.167616843464755,0.076530151091351,0.00443034575123961,0.000661808112708569,0.00131538505618387
"Verrucomicrobiae",0.00416281077551669,8.32070781487812e-05,6.23561403175825e-05,0.000110768853683771,0.000131914841641118,0.000359720551040916,7.6769741074194e-05,0.000143259758594283
"Gammaproteobacteria",0.106269911759832,0.0841778273938503,0.0874856648655683,0.128232624019872,0.151714282224475,0.434920769343262,0.241297885125995,0.209651540172641
"Chloroplast",2.29646635894017e-05,0,0,2.35678412093131e-06,0,9.21355089859566e-06,0,0
"Betaproteobacteria",0.0611660711370798,3.46696158953255e-06,2.71113653554707e-06,0.0283120476447478,0.000781717580095516,1.64667718187667e-05,1.58833947050057e-05,7.81416865059726e-06
"Epsilonproteobacteria",0,3.46696158953255e-06,0,0.0311896810564049,0.000925846758925627,7.84131991369843e-07,0,0
"Coriobacteriia",0.00570082256942311,3.46696158953255e-06,5.42227307109413e-06,4.71356824186261e-06,2.44286743779849e-06,3.2345444644006e-05,1.32361622541714e-05,1.30236144176621e-05
"Alphaproteobacteria",4.34466608448141e-06,0.00439264033393774,0.064053311788835,0.00319344248386192,0.0107486167263133,3.52859396116429e-06,0,2.60472288353242e-06
"Negativicutes",0.000548669259811653,1.73348079476627e-05,1.08445461421883e-05,1.17839206046565e-05,2.44286743779849e-05,6.44948562901696e-05,1.05889298033371e-05,3.12566746023891e-05
"Bacilli",0.146628135685163,0.624479522391371,0.822577802840729,0.466084698107738,0.582804656105336,0.558605436935989,0.75754262706054,0.788374079881641
"Deltaproteobacteria",0.0304526955860055,1.38678463581302e-05,1.08445461421883e-05,1.64974888465191e-05,7.32860231339546e-06,2.23477617540405e-05,7.94169735250283e-06,1.56283373011945e-05
"Actinobacteria",0.0147144530282633,0.0671446451044769,0.000742851410739896,0.0516984164767491,0.000153900648581305,6.86115492448613e-06,2.64723245083428e-06,0
"Deinococci",6.20666583497344e-07,0.0164958032429959,0.000135556826777353,0.00723061368301725,2.68715418157834e-05,3.92065995684922e-07,0,0
"Fusobacteriia",0.23078990374082,7.62731549697161e-05,3.79559114976589e-05,6.36331712651453e-05,7.08431556961561e-05,9.17434429902717e-05,5.02974165658512e-05,5.73039034377133e-05
"Bacteroidia",0.200692539773866,0.000277356927162604,0.000254846834341424,0.116220095355486,0.176057456242137,0.00138007230481092,0.00030972619674761,0.000364661203694539
"Synergistia",0.00868064283679386,0,8.1334096066412e-06,4.71356824186261e-06,4.88573487559698e-06,2.74446196979445e-06,0,0
