"","Genus","value","Type"
"1","Acinetobacter","NA","PC04924-MSA1000_Diff"
"2","Actinomyces","NA","PC04924-MSA1000_Diff"
"3","Alistipes","NA","PC04924-MSA1000_Diff"
"4","Anaerostipes","NA","PC04924-MSA1000_Diff"
"5","Bacillus","-99.8785783669505","PC04924-MSA1000_Diff"
"6","Bacteroides","NA","PC04924-MSA1000_Diff"
"7","Bifidobacterium","-33.9037769270328","PC04924-MSA1000_Diff"
"8","Bilophila","NA","PC04924-MSA1000_Diff"
"9","Clostridium",NA,"PC04924-MSA1000_Diff"
"10","Lachnoclostridium","NA","PC04924-MSA1000_Diff"
"11","Collinsella","NA","PC04924-MSA1000_Diff"
"12","Coprobacillus","NA","PC04924-MSA1000_Diff"
"13","Cryptococcus","NA","PC04924-MSA1000_Diff"
"14","Deinococcus","-83.0295411690761","PC04924-MSA1000_Diff"
"15","Enterococcus","-60.0237129306897","PC04924-MSA1000_Diff"
"16","Escherichia-Shigella","-29.9611450774242","PC04924-MSA1000_Diff"
"17","Fusobacterium","NA","PC04924-MSA1000_Diff"
"18","Helicobacter","NA","PC04924-MSA1000_Diff"
"19","Lactobacillus","-42.4890006285355","PC04924-MSA1000_Diff"
"20","Listeria","NA","PC04924-MSA1000_Diff"
"21","Neisseria","NA","PC04924-MSA1000_Diff"
"22","Paenibacillus","NA","PC04924-MSA1000_Diff"
"23","Parabacteroides","NA","PC04924-MSA1000_Diff"
"24","Pediococcus","NA","PC04924-MSA1000_Diff"
"25","Porphyromonadaceae","NA","PC04924-MSA1000_Diff"
"26","Propionibacterium","NA","PC04924-MSA1000_Diff"
"27","Pseudomonas","NA","PC04924-MSA1000_Diff"
"28","Pyramidobacter","NA","PC04924-MSA1000_Diff"
"29","Ralstonia","NA","PC04924-MSA1000_Diff"
"30","Rhodobacter","-95.6145363122107","PC04924-MSA1000_Diff"
"31","Saccharomyces","NA","PC04924-MSA1000_Diff"
"32","Salmonella","NA","PC04924-MSA1000_Diff"
"33","Staphylococcus","-12.0693103251243","PC04924-MSA1000_Diff"
"34","Streptococcus","-14.7762984972287","PC04924-MSA1000_Diff"
"35","Subdoligranulum","NA","PC04924-MSA1000_Diff"
"36","Clostridium innocuum group","NA","PC04924-MSA1000_Diff"
"37","Eubacterium coprostanoligenes group","NA","PC04924-MSA1000_Diff"
"38","Eubacterium eligens group","NA","PC04924-MSA1000_Diff"
"39","Eubacterium hallii group","NA","PC04924-MSA1000_Diff"
"40","Eubacterium rectale group","NA","PC04924-MSA1000_Diff"
"41","Eubacterium ventriosum group","NA","PC04924-MSA1000_Diff"
"42","Eubacterium xylanophilum group","NA","PC04924-MSA1000_Diff"
"43","Ruminococcus gauvreauii group","NA","PC04924-MSA1000_Diff"
"44","Ruminococcus torques group","NA","PC04924-MSA1000_Diff"
"45","Adlercreutzia","NA","PC04924-MSA1000_Diff"
"46","Akkermansia","NA","PC04924-MSA1000_Diff"
"47","Ambiguous_taxa","NA","PC04924-MSA1000_Diff"
"48","Anaerofilum","NA","PC04924-MSA1000_Diff"
"49","Anaerotruncus","NA","PC04924-MSA1000_Diff"
"50","Blautia","NA","PC04924-MSA1000_Diff"
"51","Butyricicoccus","NA","PC04924-MSA1000_Diff"
"52","Candidatus Stoquefichus","NA","PC04924-MSA1000_Diff"
"53","Carnobacterium","NA","PC04924-MSA1000_Diff"
"54","Christensenellaceae R-7 group","NA","PC04924-MSA1000_Diff"
