"","AC","MSA-1000","MSA-1001","MSA-1002","MSA-1003","Zymo.Ext","Zymo.Seq.200","Zymo.Seq.2000"
"Abiotrophia",0,0,0,0,0,0,0,0
"Acetanaerobacterium",0,0,0,0,0,0,0,0
"Acidaminococcus",0,0,0,0,0,0,0,0
"Acinetobacter",2.877093445118e-06,0,0,0.0941552541052768,0.0034616449736915,1.18107190542921e-06,0,0
"Actinobacillus",0,0,0,0,0,0,0,0
"Actinomyces",0,0,0,0.0108067761407153,2.61962322333411e-05,0,0,0
"Adlercreutzia",0,0,0,0,0,0,0,0
"Akkermansia",0.00437318203657937,1.39060138874725e-05,0,0,0,0.000342510852574471,0,8.86746987951807e-05
"Alcaligenes",0,0,0,0,0,0,0,0
"Alistipes",0.00848126046285857,0,0,0,0,0.000295858512310017,0,3.08433734939759e-05
"Alkanindiges",0,0,0,0,0,0,0,0
"Alloprevotella",2.05506674651286e-06,0,0,0,0,0,0,0
"Anaerococcus",0,0,0,0,0,0,0,0
"Anaerofilum",0,0,0,0,0,0,0,0
"Anaerofustis",0,0,0,0,0,0,0,0
"Anaeromyxobacter",0,0,0,0,0,0,0,0
"Anaerosporobacter",0.000117960831249838,0,0,0,0,1.03343791725056e-05,0,0
"Anaerostipes",0.0168527803614534,0,0,0,0,7.29311901602537e-05,0,0
"Anaerotruncus",3.86352548344418e-05,0,0,0,0,2.65741178721572e-06,0,0
"Arthrobacter",0,0,0,0,0,0,0,0
"Atopobium",0,0,0,0,0,0,0,0
"Azospirillum",0,0,0,0,0,0,0,0
"Bacillus",0.00204150330598588,0.362826443676008,0.259153990000603,0.217222690984617,0.0901824006227219,0.123316308181817,0.168596752755605,0.168277590361446
"Bacteroides",0.0905709016523148,0,0,0.0772246381514896,0.000688586675847822,0.000969955302333739,0,0.000123373493975904
"Basidiomycota",2.46608009581543e-06,0,0,0,0,0.00018719989701053,0.000958311609155731,0.000971566265060241
"Bergeyella",3.28810679442058e-06,0,0,0,0,0,0,0
"Bifidobacterium",0.0134635642831044,0.0571490817395496,0.000702583591479577,0.0351398714869864,9.35579722619324e-05,0,0,0
"Bilophila",0.0334145632716005,0,0,0,0,1.21059870306494e-05,0,0
"Blautia",0.00358280336587052,0,0,0,0,0.000206392315473755,0,0
"Bradyrhizobium",2.877093445118e-06,0,0,0,0,0,0,0
"Brevundimonas",0,0,0,0,0,0,0,0
"Bryobacter",0,0,0,0,0,0,0,0
"Butyricimonas",0,0,0,0,0,0,0,0
"Campylobacter",0,0,0,0,0,0,0,0
"Candidatus Planktophila",0,0,0,0,0,0,0,0
"Capnocytophaga",0,0,0,0,0,8.85803929071908e-07,0,0
"Christensenella",2.17837075130363e-05,0,0,0,0,5.61009155078875e-06,0,0
"Clostridium sensu stricto 1",6.32960557925961e-05,0.22426228596327,0.0250304275469542,0.195112611150776,0.0976670384036765,3.24794773993033e-06,0,0
"Collinsella",0.00275255640027932,0,0,0,0,1.18107190542921e-06,0,0
"Coprobacillus",0.0251618262309542,0,0,0,0,2.06687583450112e-06,0,0
"Coprococcus",0.00277680618788818,0,0,0,0,0.000217021962622617,0,6.16867469879518e-05
"Corynebacterium",4.93216019163086e-06,0,0,0,0,0,0,0
"Deinococcus",0,0.0180546413639018,0.000138387677109614,0.00894723177776335,2.99385511238184e-05,0,0,0
"Desulfovibrio",0,0,0,0,0,0,0,0
"Devosia",8.22026698605144e-07,0,0,0,0,5.90535952714605e-07,0,0
"Dialister",0.000236332675848979,0,0,0,0,1.5649202746937e-05,0,1.1566265060241e-05
"Dolosigranulum",4.52114684232829e-06,0,0,0,0,0,0,0
"Dorea",0.0012466034884347,0,0,0,0,7.3226458136611e-05,0,3.85542168674699e-05
"Eggerthella",0,0,0,0,0,0,0,0
"Eggerthia",0,0,0,0,0,0,0,0
"Enterococcus",0.0337770770456854,0.0372820232323139,0.000525163492621098,0.0234958135912248,0.000464047542419185,0.0682647750619029,0.0951225243616763,0.109571084337349
"Enterorhabdus",0,0,0,0,0,0,0,0
"Escherichia-Shigella",0.111610675003113,0.0891792670603614,0.0845939031357228,0.0449471019666385,0.179069958909339,0.180285016272218,0.0881022492785125,0.0683142168674699
"Faecalibacterium",0.00904599280480031,0,0,0,0,0.000903520007653346,0,0.000254457831325301
"Finegoldia",0,0,0,0,0,0,0,0
"Flavonifractor",1.1508373780472e-05,0,0,0,0,2.06687583450112e-06,0,0
"Fusobacterium",0,0,0,0,0,5.90535952714605e-07,0,0
"Gemella",6.98722693814372e-06,0,0,0,0,0,0,0
"Gordonibacter",0,0,0,0,0,0,0,0
"Granulicatella",0,0,0,0,0,0,0,0
"Haemophilus",9.04229368465658e-06,0,0,0,0,1.77160785814382e-06,0,0
"Helicobacter",0,0,0,0.0324430453689881,0.00113392262381462,0,0,0
"Holdemania",2.50718143074569e-05,0,0,0,0,0,0,0
"Incertae Sedis",0.00353553683070072,0,0,0,0,0.000152948811753083,0,3.46987951807229e-05
"Intestinimonas",0.000139333525413572,0,0,0,0,1.77160785814382e-06,0,0
"Lachnoanaerobaculum",0,0,0,0,0,0,0,0
"Lachnospira",0.000517876820121241,0,0,0,0,0.000117516654590206,0,0
"Lactobacillus",0.0330590367244538,0.0509238228559244,0.00634454273517921,0.0346044005971312,0.149460731847882,0.137387008327147,0.0641738325855321,0.0901628915662651
"Lactococcus",0,0,0,0,0,0,0,0
"Lautropia",0,0,0,0,0,0,0,0
"Leptotrichia",0,0,0,0,0,0,0,0
"Leuconostoc",0,0,0,0,0,0,0,0
"Listeria",0.00135552202599988,5.09887175873993e-05,0,0,0,0.102550406672584,0.176358709620567,0.172506987951807
"Lysobacter",0,0,0,3.24527812033491e-05,1.87115944523865e-05,0,0,0
"Marvinbryantia",0.000194409314220117,0,0,0,0,0,0,0
"Massilia",2.46608009581543e-06,0,0,0,0,0,0,0
"Megasphaera",0,0,0,0,0,0,0,0
"Methylobacterium",0,0,0,0,0,0,0,0
"Mogibacterium",0,0,0,0,0,0,0,0
"Moraxella",1.23304004790772e-06,0,0,0,0,0,0,0
"Mycobacterium",0,0,0,0,0,0,0,0
"Neisseria",1.06863470818669e-05,0,0,0.0319627442071786,0.00107030320267651,0,0,0
"Nevskia",0,0,0,0,0,0,0,0
"Nocardioides",0,0,0,0,0,0,0,0
"Nosocomiicoccus",0,0,0,0,0,0,0,0
"Odoribacter",1.31524271776823e-05,0,0,0,0,2.06687583450112e-06,0,0
"Oribacterium",0,0,0,0,0,0,0,0
"Oscillibacter",0.000324700545949032,0,0,0,0,4.13375166900224e-05,0,0
"Oscillospira",4.11013349302572e-06,0,0,0,0,0,0,0
"other",0.303897516287432,0.00533063865686447,0.0651451118988564,0.0156389952618939,0.0168628889204907,0.282975084697619,0.175227828487924,0.163789879518072
"Paenibacillus",0.033981761693638,0,0,0,0,5.90535952714605e-07,0,0
"Papillibacter",0,0,0,0,0,0,0,0
"Parabacteroides",0.122524312467145,0,0,0,0,0.000106887007441344,0,0
"Paracoccus",0,0,0,0,0,8.85803929071908e-07,0,0
"Parasutterella",1.35634405269849e-05,0,0,0,0,0,0,0
"Pediococcus",0.0343611270150443,0,0,0,0,1.47633988178651e-06,0,0
"Pedobacter",0,0,0,0,0,0,0,0
"Peptoniphilus",0,0,0,0,0,0,0,0
"Phascolarctobacterium",0.000166049393118239,0,0,0,0,1.47633988178651e-05,0,0
"Phenylobacterium",0,0,0,0,0,0,0,0
"Porphyromonas",0,0,0,0.0314175374829623,0.119615738696326,0,0,0
"Prevotella",1.89066140679183e-05,0,0,1.29811124813397e-05,0,5.31482357443145e-06,0,0
"Propionibacterium",9.6999150435407e-05,0,0,2.59622249626793e-05,0,0,0,0
"Pseudobutyrivibrio",0.00712327235676288,0,0,0,0.000239508408990547,0.000628625521664697,0,0.000219759036144578
"Pseudomonas",0,0,0,0,0,0,0,0
"Pyramidobacter",0.00767403024482832,0,0,0,0,0,0,0
"Ralstonia",0.0552521135333955,0,0,0,0,1.47633988178651e-06,0,0
"Rhizobium",1.64405339721029e-06,0,0,0,0,0,0,0
"Roseburia",0.000860250940090283,0,0,0,0,5.52151115788156e-05,0,0
"Rothia",6.98722693814372e-06,0,0,0,0,0,0,0
"Rubellimicrobium",0,0,0,0,0,0,0,0
"Ruminococcus",0.013062415254185,0,4.2580823726035e-05,0,0.000202085220085774,0.000891118752646339,0,0.000246746987951807
"Salinarimonas",0,0,0,0,0,0,0,0
"Scardovia",0,0,0,0,0,0,0,0
"Sediminibacterium",1.23304004790772e-06,0,0,0,0,0,0,0
"Solobacterium",0,0,0,0,0,0,0,0
"Sphingomonas",0,0,0,0,0,0,0,0
