,Genus,value,Plate,Type
1,Acinetobacter,NA,PC04924,MSA1000
2,Actinomyces,NA,PC04924,MSA1000
3,Alistipes,NA,PC04924,MSA1000
4,Anaerostipes,NA,PC04924,MSA1000
5,Bacillus,284.2247836,PC04924,MSA1000
6,Bacteroides,NA,PC04924,MSA1000
7,Bifidobacterium,-47.62840601,PC04924,MSA1000
8,Bilophila,NA,PC04924,MSA1000
9,Clostridium,NA,PC04924,MSA1000
10,Lachnoclostridium,NA,PC04924,MSA1000
11,Collinsella,NA,PC04924,MSA1000
12,Coprobacillus,NA,PC04924,MSA1000
13,Cryptococcus,NA,PC04924,MSA1000
14,Deinococcus,-80.18802783,PC04924,MSA1000
15,Enterococcus,-60.80097732,PC04924,MSA1000
16,Escherichia-Shigella,-11.48881925,PC04924,MSA1000
17,Fusobacterium,NA,PC04924,MSA1000
18,Helicobacter,NA,PC04924,MSA1000
19,Lactobacillus,-54.28905296,PC04924,MSA1000
20,Listeria,NA,PC04924,MSA1000
21,Neisseria,NA,PC04924,MSA1000
22,Paenibacillus,NA,PC04924,MSA1000
23,Parabacteroides,NA,PC04924,MSA1000
24,Pediococcus,NA,PC04924,MSA1000
25,Porphyromonadaceae,NA,PC04924,MSA1000
26,Propionibacterium,NA,PC04924,MSA1000
27,Pseudomonas,NA,PC04924,MSA1000
28,Pyramidobacter,NA,PC04924,MSA1000
29,Ralstonia,NA,PC04924,MSA1000
30,Rhodobacter,NA,PC04924,MSA1000
31,Saccharomyces,NA,PC04924,MSA1000
32,Salmonella,NA,PC04924,MSA1000
33,Staphylococcus,-21.79316938,PC04924,MSA1000
34,Streptococcus,-49.68927604,PC04924,MSA1000
35,Subdoligranulum,NA,PC04924,MSA1000
36,Abiotrophia,NA,PC04924,MSA1000
37,Acetanaerobacterium,NA,PC04924,MSA1000
38,Acidaminococcus,NA,PC04924,MSA1000
39,Actinobacillus,NA,PC04924,MSA1000
40,Adlercreutzia,NA,PC04924,MSA1000
41,Akkermansia,NA,PC04924,MSA1000
42,Alcaligenes,NA,PC04924,MSA1000
43,Alkanindiges,NA,PC04924,MSA1000
44,Alloprevotella,NA,PC04924,MSA1000
45,Anaerococcus,NA,PC04924,MSA1000
46,Anaerofilum,NA,PC04924,MSA1000
47,Anaerofustis,NA,PC04924,MSA1000
48,Anaeromyxobacter,NA,PC04924,MSA1000
49,Anaerosporobacter,NA,PC04924,MSA1000
50,Anaerotruncus,NA,PC04924,MSA1000
51,Arthrobacter,NA,PC04924,MSA1000
52,Atopobium,NA,PC04924,MSA1000
53,Azospirillum,NA,PC04924,MSA1000
54,Basidiomycota,NA,PC04924,MSA1000
55,Bergeyella,NA,PC04924,MSA1000
56,Blautia,NA,PC04924,MSA1000
57,Bradyrhizobium,NA,PC04924,MSA1000
58,Brevundimonas,NA,PC04924,MSA1000
59,Bryobacter,NA,PC04924,MSA1000
60,Butyricimonas,NA,PC04924,MSA1000
61,Campylobacter,NA,PC04924,MSA1000
62,Candidatus Planktophila,NA,PC04924,MSA1000
63,Capnocytophaga,NA,PC04924,MSA1000
64,Christensenella,NA,PC04924,MSA1000
65,Clostridium sensu stricto 1,NA,PC04924,MSA1000
66,Coprococcus,NA,PC04924,MSA1000
67,Corynebacterium,NA,PC04924,MSA1000
68,Desulfovibrio,NA,PC04924,MSA1000
69,Devosia,NA,PC04924,MSA1000
70,Dialister,NA,PC04924,MSA1000
71,Dolosigranulum,NA,PC04924,MSA1000
72,Dorea,NA,PC04924,MSA1000
73,Eggerthella,NA,PC04924,MSA1000
74,Eggerthia,NA,PC04924,MSA1000
75,Enterorhabdus,NA,PC04924,MSA1000
76,Faecalibacterium,NA,PC04924,MSA1000
77,Finegoldia,NA,PC04924,MSA1000
78,Flavonifractor,NA,PC04924,MSA1000
79,Gemella,NA,PC04924,MSA1000
80,Gordonibacter,NA,PC04924,MSA1000
81,Granulicatella,NA,PC04924,MSA1000
82,Haemophilus,NA,PC04924,MSA1000
83,Holdemania,NA,PC04924,MSA1000
84,Incertae Sedis,NA,PC04924,MSA1000
85,Intestinimonas,NA,PC04924,MSA1000
86,Lachnoanaerobaculum,NA,PC04924,MSA1000
87,Lachnospira,NA,PC04924,MSA1000
88,Lactococcus,NA,PC04924,MSA1000
89,Lautropia,NA,PC04924,MSA1000
90,Leptotrichia,NA,PC04924,MSA1000
91,Leuconostoc,NA,PC04924,MSA1000
92,Lysobacter,NA,PC04924,MSA1000
93,Marvinbryantia,NA,PC04924,MSA1000
94,Massilia,NA,PC04924,MSA1000
95,Megasphaera,NA,PC04924,MSA1000
96,Methylobacterium,NA,PC04924,MSA1000
97,Mogibacterium,NA,PC04924,MSA1000
98,Moraxella,NA,PC04924,MSA1000
99,Mycobacterium,NA,PC04924,MSA1000
100,Nevskia,NA,PC04924,MSA1000
101,Nocardioides,NA,PC04924,MSA1000
102,Nosocomiicoccus,NA,PC04924,MSA1000
103,Odoribacter,NA,PC04924,MSA1000
104,Oribacterium,NA,PC04924,MSA1000
105,Oscillibacter,NA,PC04924,MSA1000
106,Oscillospira,NA,PC04924,MSA1000
107,Other,NA,PC04924,MSA1000
108,Papillibacter,NA,PC04924,MSA1000
109,Paracoccus,NA,PC04924,MSA1000
110,Parasutterella,NA,PC04924,MSA1000
111,Pedobacter,NA,PC04924,MSA1000
112,Peptoniphilus,NA,PC04924,MSA1000
113,Phascolarctobacterium,NA,PC04924,MSA1000
114,Phenylobacterium,NA,PC04924,MSA1000
115,Porphyromonas,NA,PC04924,MSA1000
116,Prevotella,NA,PC04924,MSA1000
117,Pseudobutyrivibrio,NA,PC04924,MSA1000
118,Rhizobium,NA,PC04924,MSA1000
