"","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Naming","Gram","Art.Col","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Ext","Zymo.Seq","Qiagen DSP Virus_OB","Zymo MagBead DNone Kit_OB","MagAttract PowerMag Soil_OB","MagAttract PowerMag Microbiome_OB","Qiagen QIAamp  Modified_OB","Qiagen DSP Virus_OB_AC","Qiagen DSP Virus_OB_ZE","Zymo MagBead DNone Kit_OB_AC","Zymo MagBead DNone Kit_OB_ZE","MagAttract PowerMag Soil_OB_AC","MagAttract PowerMag Soil_OB_ZE","MagAttract PowerMag Microbiome_OB_AC","MagAttract PowerMag Microbiome_OB_ZE","Qiagen QIAamp  Modified_OB_AC","Qiagen QIAamp  Modified_OB_ZE"
"Acinetobacter","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter","N",NA,NA,NA,0.05,0.0018,NA,NA,1.65356765489382e-06,3.73437397888211e-06,0,0,3.10629428410789e-06,0,2.65858456957516e-06,5.38223560844021e-06,2.8590330864463e-06,0,0,0,0,7.54106581653718e-06,0
"Actinomyces","Bacteria","Eubacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces odontolyticus","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Actinomyces","P",NA,NA,NA,0.05,2e-04,NA,NA,8.26783827446908e-07,1.12031219366463e-06,2.19045414685827e-06,6.74517298558219e-06,7.76573571026972e-07,0,1.32929228478758e-06,0,1.71541985186778e-06,0,3.48294922208329e-06,1.50454183566642e-05,0,1.8852664541343e-06,0
"Alistipes","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__Alistipes","N",0.04,NA,NA,NA,NA,NA,NA,0.0016973871977485,0.00371234117240671,0.00279720994553801,0.00336527922205672,0.00400401333221507,0.00438076574822954,6.6464614239379e-05,0.00951902189708735,0.000627843665783607,0.00705375413190619,0.00028560183621083,0.00740986854065711,7.84541476262526e-05,0.00947534919847897,0.000171667245493405
"Anaerostipes","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Anaerostipes","P",0.06,NA,NA,NA,NA,NA,NA,0.00627694281797693,0.00419370197828461,0.00645672867355589,0.00421910570248166,0.0062824801896082,0.0165826090379812,1.32929228478758e-05,0.0118484534684203,0.000127512875655505,0.0173677790020463,1.85757291844442e-05,0.00936953428161262,3.36232061255368e-05,0.0151858212880517,4.62181045559166e-05
"Bacillus","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus; Bacillus subtilis","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Bacillaceae;D_5__Bacillus","P",NA,0.1,0.0448,0.05,0.018,0.157,0.135,0.0870735655713986,0.0977065342208695,0.0466121340937617,0.115356510497175,0.0825288031137494,5.46775555195899e-05,0.139962513957569,0.00412063958182182,0.147419179423196,6.88651031008972e-05,0.0740753640552674,0.0041136681356846,0.20575771932774,0.000182870846051027,0.140207241980829
"Bacteroides","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae; Bacteroides vulgatus","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides","N",0.06,NA,NA,0.05,2e-04,NA,NA,0.0312019948640189,0.0329226144352226,0.0323296429048635,0.0238284477670667,0.039155616024751,0.0820557011193589,0.000293773594938055,0.0914527945643726,0.0018314965951775,0.0857626318274831,0.000801078321079157,0.0528319865594263,0.000258796798663223,0.0942086499795449,0.000594232772861785
"Bifidobacterium","Bacteria","Eubacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis; Bifidobacterium angulatum","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium","P",0.06,0.1,4e-04,0.05,2e-04,NA,NA,0.00630588025193757,0.00424262227740797,0.00200937660405132,0.0100812231247014,0.00602232804331417,0.0166679060245918,7.97575370872547e-06,0.0122155219369159,7.43348602476037e-06,0.00540492680623328,5.80491537013882e-06,0.0224866315188977,0,0.0146127002859949,5.28206909210476e-06
"Bilophila","Bacteria","Eubacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila","Bilophila wadsworthia","D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfovibrionales;D_4__Desulfovibrionaceae;D_5__Bilophila","N",0.02,NA,NA,NA,NA,NA,NA,0.00821161697420269,0.0091835724888669,0.0136041805547544,0.0156993901239426,0.0133236727581098,0.0217004282346148,1.32929228478758e-05,0.0264095536834944,3.3164783802777e-05,0.0366224618290571,2.20586784065275e-05,0.0350069271613684,9.16996530696459e-06,0.0323115817574077,2.37693109144714e-05
"Clostridium","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium beijerinckii","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae;D_5__Clostridium","P",NA,0.1,0.0045,0.05,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lachnoclostridium","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","Clostridium bolteae","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Lachnoclostridium","P",0.06,NA,NA,NA,NA,NA,NA,0.0340725883129145,0.0380013630465023,0.0301954104144412,0.022667153818049,0.0405550015997416,0.0900626823496477,4.25373531132025e-05,0.109200178259643,0.000180690891063406,0.081268691956556,5.92101367754159e-05,0.0505212610568153,3.15854360573225e-05,0.0983788593760899,5.28206909210476e-05
