,Domain,Kingdom,Phylum,Class,Order,Family,Genus,Species,Naming,Gram,Art.Col,MSA1000,MSA1001,MSA1002,MSA1003,Zymo.Ext,Zymo.Seq,PC04924_OB,PC04925_OB,PC07578_OB,PC04924_MSA1000,PC04924_MSA1001,PC04924_MSA1002,PC04924_MSA1003,PC04924_Seq200,PC04924_Seq2000,PC04925_MSA1000,PC04925_MSA1001,PC04925_MSA1002,PC04925_MSA1003,PC04925_Seq200,PC04925_Seq2000,PC07578_MSA1000,PC07578_MSA1001,PC07578_MSA1002,PC07578_MSA1003,PC07578_Seq200,PC07578_Seq2000
Acinetobacter,Bacteria,Eubacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter baumannii,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter,N,NA,NA,NA,0.05,0.0018,NA,NA,0.002369568,0.004834261,0.00326265,0,0,0.076772427,0.002366589,0,0,0,0,0.078577707,0.00251769,0,0,NA,0,0.075754927,0.002269834,7.12E-06,0
Actinomyces,Bacteria,Eubacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces odontolyticus,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Actinomyces,P,NA,NA,NA,0.05,2.00E-04,NA,NA,0.000389972,0.00078261,0.000614828,0,0,0.01285975,4.01E-05,0,0,0,0,0.013089745,5.87E-05,0,0,NA,0,0.014603125,5.39E-05,0,0
Alistipes,Bacteria,Eubacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes shahii,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__Alistipes,N,0.04,NA,NA,NA,NA,NA,NA,0.003277534,0.00154982,0.002241007,5.00E-05,4.24E-05,7.72E-05,7.22E-05,4.82E-05,2.48E-05,4.72E-05,6.30E-05,0.000117714,0.000139464,7.09E-05,0.000251229,NA,7.88E-05,3.89E-05,6.06E-05,5.69E-05,4.18E-05
Anaerostipes,Bacteria,Eubacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Anaerostipes,P,0.06,NA,NA,NA,NA,NA,NA,0.005592476,0.002816369,0.002908108,0,0,2.81E-05,4.01E-05,0,1.65E-05,6.74E-06,0,1.57E-05,3.67E-05,0,2.51E-05,NA,7.16E-06,6.48E-06,1.35E-05,7.12E-06,0
Bacillus,Bacteria,Eubacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus cereus; Bacillus subtilis,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Bacillaceae;D_5__Bacillus,P,NA,0.1,0.0448,0.05,0.018,0.157,0.135,0.061915227,0.084061265,0.113783219,0.000121422,0.000118591,9.83E-05,0.000184514,0.201828303,0.197459489,0.000134745,0.000170923,0.000125561,0.000198186,0.200618926,0.196017184,NA,0.000114584,0.000116566,0.000127973,0.200731719,0.195408149
Bacteroides,Bacteria,Eubacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides caccae; Bacteroides vulgatus,D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides,N,0.06,NA,NA,0.05,2.00E-04,NA,NA,0.036227926,0.019255844,0.02100192,0.000207131,0.000228711,0.064291731,0.00061772,0.000240989,0.000181701,0.000208854,0.000134939,0.06242741,0.000756041,0.00018621,0.000418715,NA,0.000128908,0.064312034,0.000437802,0.000242008,0.000104582
Bifidobacterium,Bacteria,Eubacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium adolescentis; Bifidobacterium angulatum,D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium,P,0.06,0.1,4.00E-04,0.05,2.00E-04,NA,NA,0.00848742,0.009319918,0.006251742,0.066096223,0.00066072,0.037547382,8.02E-05,8.03E-06,0,0.068133586,0.000755661,0.038178422,0.000117443,0,0,NA,0.000802091,0.038641618,0.000107767,0,0
Bilophila,Bacteria,Eubacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Bilophila,Bilophila wadsworthia,D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfovibrionales;D_4__Desulfovibrionaceae;D_5__Bilophila,N,0.02,NA,NA,NA,NA,NA,NA,0.012043565,0.00634908,0.007465146,2.86E-05,1.69E-05,7.02E-06,1.60E-05,8.03E-06,1.65E-05,0,9.00E-06,2.35E-05,7.34E-06,1.77E-05,3.35E-05,NA,7.16E-06,1.94E-05,0,0,0
Clostridium,Bacteria,Eubacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium beijerinckii,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae;D_5__Clostridium,P,NA,0.1,0.0045,0.05,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lachnoclostridium,Bacteria,Eubacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnoclostridium,Clostridium bolteae,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Lachnoclostridium,P,0.06,NA,NA,NA,NA,NA,NA,0.036384842,0.018923106,0.017306453,4.29E-05,5.08E-05,7.72E-05,5.62E-05,5.62E-05,6.61E-05,3.37E-05,1.80E-05,1.57E-05,9.54E-05,1.77E-05,2.51E-05,NA,0,3.24E-05,6.74E-06,2.14E-05,2.09E-05
Collinsella,Bacteria,Eubacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae;D_5__Collinsella,P,0.06,NA,NA,NA,NA,NA,NA,0.002094542,0.00053014,0.001629158,7.14E-06,0,0,0,8.03E-06,0,0,0,0,0,0,2.51E-05,NA,7.16E-06,0,0,0,0
Coprobacillus,Bacteria,Eubacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichidae,Coprobacillus,Coprobacillus cateniformis,D_0__Bacteria;D_1__Firmicutes;D_2__Erysipelotrichi;D_3__Erysipelotrichales;D_4__Erysipelotrichidae;D_5__Coprobacillus,P,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptococcus,Bacteria,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Cryptococcus,Cryptococcus neoformans,D_0__Bacteria;D_1__Basidiomycota;D_2__Tremellomycetes;D_3__Tremellales;D_4__Tremellaceae;D_5__Cryptococcus,Y,NA,NA,NA,NA,NA,0,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deinococcus,Bacteria,Eubacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,Deinococcus radiodurans,D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci;D_3__Deinococcales;D_4__Deinococcaceae;D_5__Deinococcus,P,NA,0.1,4.00E-04,0.05,2.00E-04,NA,NA,0.000735863,0.001560086,0.000286829,0.016970459,0.000152474,0.007644251,2.41E-05,0,0,0.016048077,0.000134939,0.007400257,1.47E-05,0,0,NA,0.000121746,0.006709019,4.04E-05,0,0
Enterococcus,Bacteria,Eubacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae; Streptococcaceae,Enterococcus,Enterococcus faecalis; Enterococcus gallinarum,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Enterococcaceae; Streptococcaceae;D_5__Enterococcus,P; N,0.06,0.1,NA,0.05,2.00E-04,0.104,0.114,0.042184854,0.052050326,0.054779527,0.039976287,0.000381185,0.023782114,0.00024067,0.094242772,0.102652835,0.036798739,0.00046779,0.022907053,0.000242227,0.092466482,0.101680722,NA,0.000415369,0.022866357,0.000303094,0.083585425,0.101298212
Escherichia-Shigella,Bacteria,Eubacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia-Shigella,Escherichia coli,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Enterobacterales;D_4__Enterobacteriaceae;D_5__Escherichia,N,0.06,0.1,0.0448,0.05,0.18,0.1,0.116,0.10880041,0.104317188,0.106470019,0.070038855,0.071018949,0.033890215,0.124009242,0.067388563,0.048960174,0.07570623,0.077851045,0.03537684,0.127359876,0.072595233,0.050940852,NA,0.074816486,0.036316774,0.126693114,0.06278694,0.05132889
Fusobacterium,Bacteria,Eubacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium gonidiaformans; Fusobacterium varium,D_0__Bacteria;D_1__Fusobacteria;D_2__Fusobacteriia;D_3__Fusobacteriales;D_4__Fusobacteriaceae;D_5__Fusobacterium,N,0.12,NA,NA,NA,NA,NA,NA,0.101802433,0.036151258,0.049873094,0.000135707,6.78E-05,0.00014741,0.00013638,0.000104429,0.000123887,2.02E-05,3.60E-05,3.14E-05,5.87E-05,2.66E-05,5.02E-05,NA,1.43E-05,1.30E-05,2.69E-05,2.14E-05,6.97E-06
Helicobacter,Bacteria,Eubacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,D_0__Bacteria;D_1__Proteobacteria;D_2__Epsilonproteobacteria;D_3__Campylobacterales;D_4__Helicobacteraceae;D_5__Helicobacter,N,NA,NA,NA,0.05,0.0018,NA,NA,0.000963646,0.001909624,0.0013426,7.14E-06,0,0.031243858,0.000930591,0,0,0,0,0.03111561,0.000917525,0,0,NA,0,0.031200824,0.000929487,0,0
Lactobacillus,Bacteria,Eubacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae ,Lactobacillus,Lactobacillus fermentum; Lactobacillus gasseri; Lactobacillus iners,D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Lactobacillales;D_4__Lactobacillaceae ;D_5__Lactobacillus,P,0.04,0.1,0.0045,0.05,0.0018,0.188,0.12,0.093124561,0.105041931,0.115642328,0.057510999,0.007454279,0.038270392,0.147996021,0.07571875,0.111267117,0.054814086,0.008051385,0.038672819,0.146070055,0.077250479,0.112441694,NA,0.007383536,0.037670235,0.145821687,0.080467788,0.112383914
