"","Genus","ValueQ200","ValueN200","ValueQ2000","ValueN2000"
"Acinetobacter","Acinetobacter",NA,7.12e-06,NA,NA
"Actinomyces","Actinomyces",NA,NA,NA,NA
"Alistipes","Alistipes",8.75e-05,5.86666666666667e-05,NA,0.000105943
"Anaerostipes","Anaerostipes",NA,7.12e-06,NA,2.08e-05
"Bacteroides","Bacteroides",0.000349918,0.000223069,NA,0.000234999333333333
"Bifidobacterium","Bifidobacterium",NA,8.03e-06,NA,NA
"Bilophila","Bilophila",NA,1.2865e-05,NA,2.5e-05
"Clostridium","Clostridium",NA,NA,NA,NA
"Lachnoclostridium","Lachnoclostridium",NA,3.17666666666667e-05,NA,3.73666666666667e-05
"Collinsella","Collinsella",NA,8.03e-06,NA,2.51e-05
"Coprobacillus","Coprobacillus",NA,NA,NA,NA
"Deinococcus","Deinococcus",NA,NA,NA,NA
"Fusobacterium","Fusobacterium",NA,5.08096666666667e-05,NA,6.03523333333333e-05
"Helicobacter","Helicobacter",NA,NA,NA,NA
"Neisseria","Neisseria",NA,8.87e-06,NA,NA
"Paenibacillus","Paenibacillus",NA,2.4535e-05,NA,1.29533333333333e-05
"Parabacteroides","Parabacteroides",NA,2.67e-05,NA,3.51666666666667e-05
"Pediococcus","Pediococcus",NA,1.161e-05,NA,1.52e-05
"Porphyromonadaceae","Porphyromonadaceae",NA,NA,NA,NA
"Propionibacterium","Propionibacterium",NA,NA,NA,NA
"Pyramidobacter","Pyramidobacter",NA,NA,NA,NA
"Ralstonia","Ralstonia",NA,1.69e-05,NA,8.315e-06
"Rhodobacter","Rhodobacter",NA,NA,NA,8.37e-06
"Streptococcus","Streptococcus",NA,2.131e-05,NA,1.339e-05
"Subdoligranulum","Subdoligranulum",0.000481137,2.86833333333333e-05,NA,0.000376843
"Clostridium innocuum group","Clostridium innocuum group",NA,NA,NA,NA
"Eubacterium coprostanoligenes group","Eubacterium coprostanoligenes group",NA,3.55e-05,NA,2.0235e-05
"Eubacterium eligens group","Eubacterium eligens group",NA,NA,NA,8.37e-06
"Eubacterium hallii group","Eubacterium hallii group",NA,1.515e-05,NA,2.508e-05
"Eubacterium rectale group","Eubacterium rectale group",NA,4.534e-05,NA,8.22523333333333e-05
"Eubacterium ventriosum group","Eubacterium ventriosum group",NA,8.87e-06,NA,6.97e-06
"Eubacterium xylanophilum group","Eubacterium xylanophilum group",NA,NA,NA,8.37e-06
"Ruminococcus gauvreauii group","Ruminococcus gauvreauii group",NA,8.87e-06,NA,1.06133333333333e-05
"Ruminococcus torques group","Ruminococcus torques group",NA,8.03e-06,NA,8.37e-06
"Adlercreutzia","Adlercreutzia",NA,NA,NA,NA
"Akkermansia","Akkermansia",0.000251504,7.85666666666667e-05,NA,0.000149874333333333
"Ambiguous_taxa","Ambiguous_taxa",NA,4.57e-05,NA,8.0376e-05
"Anaerofilum","Anaerofilum",NA,NA,NA,NA
"Anaerotruncus","Anaerotruncus",NA,7.995e-06,NA,NA
"Blautia","Blautia",NA,4.85243333333333e-05,NA,4.69033333333333e-05
"Butyricicoccus","Butyricicoccus",NA,8.03e-06,NA,5.3731e-05
"Candidatus Stoquefichus","Candidatus Stoquefichus",NA,7.575e-06,NA,1.1735e-05
"Carnobacterium","Carnobacterium",NA,0.000935136666666667,NA,0.000926109666666667
"Christensenellaceae R-7 group","Christensenellaceae R-7 group",NA,8.03e-06,NA,1.67e-05
"Clostridium sensu stricto 1","Clostridium sensu stricto 1",NA,1.095e-05,NA,2.088e-05
"Coprococcus 1","Coprococcus 1",NA,NA,NA,8.37e-06
"Coprococcus 2","Coprococcus 2",NA,3.465e-05,NA,6.22543333333333e-05
"Coprococcus 3","Coprococcus 3",NA,NA,NA,NA
"Defluviitaleaceae UCG-011","Defluviitaleaceae UCG-011",NA,NA,NA,NA
"Dialister","Dialister",3.28e-05,8.45e-06,NA,3.35e-05
"Dorea","Dorea",0.000109349,8.87e-06,NA,8.37e-05
"Eisenbergiella","Eisenbergiella",NA,NA,NA,NA
"Enterobacter","Enterobacter",NA,0.00441215333333333,NA,0.00400718166666667
"Erwinia","Erwinia",NA,0.000590238,NA,0.000624283666666667
"Erysipelatoclostridium","Erysipelatoclostridium",NA,7.12e-06,NA,NA
"Erysipelotrichaceae UCG-003","Erysipelotrichaceae UCG-003",NA,8.87e-06,NA,4.19e-05
"Faecalibacterium","Faecalibacterium",0.000721706,2.99333333333333e-05,NA,0.000208709666666667
"Family XIII AD3011 group","Family XIII AD3011 group",NA,8.87e-06,NA,NA
"Flavonifractor","Flavonifractor",NA,NA,NA,NA
"Fusicatenibacter","Fusicatenibacter",NA,3.0615e-05,NA,3.335e-05
"Gordonibacter","Gordonibacter",NA,NA,NA,NA
"Gossypium arboreum","Gossypium arboreum",NA,NA,NA,NA
"Holdemania","Holdemania",NA,NA,NA,8.26e-06
"Hungatella","Hungatella",NA,NA,NA,6.97e-06
"Intestinibacter","Intestinibacter",NA,NA,NA,NA
"Intestinimonas","Intestinimonas",NA,NA,NA,NA
"Kluyvera","Kluyvera",NA,0.00194931133333333,NA,0.002039912
"Lachnospira","Lachnospira",NA,2.04e-05,NA,2.51e-05
"Lachnospiraceae FCS020 group","Lachnospiraceae FCS020 group",NA,NA,NA,NA
"Lachnospiraceae ND3007 group","Lachnospiraceae ND3007 group",NA,2.66e-05,NA,1.67e-05
"Lachnospiraceae NK4A136 group","Lachnospiraceae NK4A136 group",NA,1.92733333333333e-05,NA,2.92533333333333e-05
"Lachnospiraceae UCG-001","Lachnospiraceae UCG-001",NA,NA,NA,4.1185e-05
"Lachnospiraceae UCG-004","Lachnospiraceae UCG-004",NA,7.12e-06,NA,NA
"Lachnospiraceae UCG-008","Lachnospiraceae UCG-008",NA,8.87e-06,NA,NA
"Lactonifactor","Lactonifactor",NA,NA,NA,NA
