"","Art.Col","Zymo.Ext","Zymo MagBead DNone Kit_OB","MagAttract PowerMag Soil_OB","MagAttract PowerMag Microbiome_OB","Qiagen QIAamp  Modified_OB","Qiagen DSP Virus_OB_AC","Qiagen DSP Virus_OB_ZE","Zymo MagBead DNone Kit_OB_AC","Zymo MagBead DNone Kit_OB_ZE","MagAttract PowerMag Soil_OB_AC","MagAttract PowerMag Soil_OB_ZE","MagAttract PowerMag Microbiome_OB_AC","MagAttract PowerMag Microbiome_OB_ZE","Qiagen QIAamp  Modified_OB_AC","Qiagen QIAamp  Modified_OB_ZE","Qiagen DSP-AC_Diff","Qiagen DSP-ZE_Diff","Zymo MagBead-AC_Diff","Zymo MagBead-ZE_Diff","MagAttract PS-AC_Diff","MagAttract PS-ZE_Diff","MagAttract MB-AC_Diff","MagAttract MB-ZE_Diff","Qiagen QIAmp-AC_Diff","Qiagen QIAMmp-ZE_Diff"
"Actinobacteria",0.12,NA,0.00424385669626736,0.00201157440196733,0.0100882688391268,0.00602314203618855,0.0166679789337393,9.30509547027953e-06,0.0122163109496815,9.14896865391796e-06,0.00540492680623328,9.28791850780301e-06,0.0225031158546219,0,0.0146147784217095,5.28207606717744e-06,-86.1100175552173,"NA",-89.8197408752655,"NA",-95.4958943281389,"NA",-81.2474034544818,"NA",-87.8210179819087,"NA"
"Bacilli",0.18,0.741,0.402333598356532,0.287469680353161,0.48286028588019,0.411624602003572,0.139997025527969,0.528937517613216,0.138871724428962,0.542275954623403,0.0950712261923501,0.400996593655887,0.205424470931647,0.708303828060762,0.126923468483585,0.611038482565187,-22.223874706684,"-28.6184186756793",-22.8490419839101,"-26.8183596999456",-47.1826521153611,"-45.8844003163445",14.1247060731371,"-4.41243885819672",-29.486961953564,"-17.5386663204875"
"Bacteroidia",0.16,NA,0.0760641478134839,0.0878725793567927,0.0630962278182594,0.0925821231653335,0.214188231588893,0.000416070697456784,0.21419559446326,0.0026932276474971,0.234814260979065,0.00116795575235623,0.140267374180913,0.000387177101938637,0.223571043433342,0.000833247499597242,33.8676447430581,"NA",33.8722465395372,"NA",46.7589131119156,"NA",-12.3328911369296,"NA",39.7319021458386,"NA"
"Betaproteobacteria",0.06,NA,0.0116048791654794,0.034577175092401,0.0284750339657684,0.0391830395278403,0.0385478452574668,1.7280891587662e-05,0.0334140003143429,2.05851794713154e-05,0.0931489060286479,1.62538573886553e-05,0.0634994871691991,1.42644195451077e-05,0.0951110625124901,9.24363311756053e-06,-35.7535912375553,"NA",-44.3099994760952,"NA",55.2481767144131,"NA",5.83247861533176,"NA",58.5184375208168,"NA"
"Clostridia",0.14,NA,0.0603599361106121,0.0416173204222627,0.105428508311144,0.0621153995495845,0.116056899900268,0.000860056681324408,0.156800032726106,0.00913410157985534,0.109070517865575,0.00181578806827549,0.232499178718399,0.00217124843218746,0.146490907239896,0.00301606543435832,-17.1022143569516,"NA",12.0000233757901,"NA",-22.0924872388748,"NA",66.0708419417139,"NA",4.63636231421126,"NA"
"Coriobacteriia",0.06,NA,0.00040556391870348,0.000405965650632971,0.00839855266759865,0.00136211850586317,0.00042648679859325,3.98789805869123e-06,0.00105175676752192,6.23273489548161e-05,0.00106642531087675,1.62538573886553e-05,0.0187076663816213,2.13966293176615e-05,0.00327286575594527,2.37693423022985e-05,-99.2891886690113,"NA",-98.2470720541301,"NA",-98.2226244818721,"NA",-68.8205560306311,"NA",-94.5452237400912,"NA"
"Deltaproteobacteria",0.02,NA,0.009183819418744,0.0136042302204919,0.0156998578412443,0.0133237555331211,0.0217005231571396,1.32929935289707e-05,0.0264112595029507,3.31650113704526e-05,0.0366224618290571,2.20588064560322e-05,0.035009165753435,9.1699839932835e-06,0.0323120081746232,2.37693423022985e-05,8.50261578569803,"NA",32.0562975147537,"NA",83.1123091452857,"NA",75.0458287671748,"NA",61.5600408731161,"NA"
"Erysipelotrichia",0.04,NA,0.0117960842542236,0.0114115776146451,0.00740079943923458,0.013100877533587,0.0404768778541809,9.30509547027953e-06,0.0338026228251672,0.000106928571142666,0.0307020305367543,2.90247453368844e-05,0.0164745327471932,2.75099519798505e-05,0.0317615031050748,3.03719373862703e-05,1.1921946354522,"NA",-15.4934429370819,"NA",-23.2449236581143,"NA",-58.8136681320169,"NA",-20.5962422373129,"NA"
"Fusobacteriia",0.12,NA,0.0878542569086843,0.0975522315698166,0.0736943345042178,0.0826636638968704,0.301121550924711,8.9063056644104e-05,0.252994331063319,0.000137234529808769,0.262757752243035,7.0820378621998e-05,0.164298951518054,6.92843235048086e-05,0.200621392023709,4.22566085374195e-05,150.934625770592,"NA",110.828609219432,"NA",118.964793535862,"NA",36.915792931712,"NA",67.1844933530912,"NA"
"Gammaproteobacteria",0.06,0.249,0.331497341240958,0.420501557418584,0.196103759590376,0.27232041624602,0.0978404458208668,0.469511190041953,0.118132631157406,0.444829717679982,0.124098850936565,0.595397371983458,0.0820454049607916,0.288787249239146,0.112101308015128,0.384543060804619,63.0674097014447,"88.558710860222",96.8877185956769,"78.646472963848",106.831418227609,"139.115410435124",36.7423416013194,"15.9788149554803",86.835513358546,"54.4349641785617"
"Synergistia",0.02,NA,0.00273326180570053,0.00262709426434789,0.00483530888472549,0.00206647511066242,0.0126939968155652,2.65859870579415e-06,0.00787687233158435,1.14362108173975e-06,0.00707539745002361,2.32197962695075e-06,0.0107807316051729,4.07554844145933e-06,0.0050092190746236,5.28207606717744e-06,-36.5300159221738,"NA",-60.6156383420782,"NA",-64.623012749882,"NA",-46.0963419741353,"NA",-74.953904626882,"NA"
