"","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Seq","PC04924_MS1003","PC04924_Seq.200","PC04924_Seq2000","PC04925_MS1000","PC04925_MS1001","PC04925_MS1002","PC04925_MS1003","PC04925_Seq.200","PC04925_Seq2000","PC07578_MS1000","PC07578_MS1001","PC07578_MS1002","PC07578_MS1003","PC07578_Seq.200","PC07578_Seq2000","PC04924-MSA1000_Diff","PC04924-MSA1001_Diff","PC04924-MSA1002_Diff"
"Acinetobacter",NA,NA,0.05,0.0018,NA,0.00237468505236382,0,0,0,0,0.0787866866000472,0.00252642433616912,0,0,NA,0,0.0759078049160329,0.00227573539342535,7.12413085603556e-06,0,"NA","NA","53.9381826370904"
"Actinomyces",NA,NA,0.05,2e-04,NA,4.02488991926071e-05,0,0,0,0,0.0131245574002675,5.89253489485508e-05,0,0,NA,0,0.0146325953227607,5.40233921287918e-05,0,0,"NA","NA","-74.2146154712307"
"Alistipes",NA,NA,NA,NA,NA,7.24480185466928e-05,4.82443091816961e-05,2.48085606073136e-05,4.74663158679894e-05,6.2999496004032e-05,0.000118026595326147,0.000139947703752808,7.10315557686502e-05,0.000251536468595672,NA,7.88016419396666e-05,3.89337347833987e-05,6.07763161448907e-05,5.69930468482845e-05,4.18950528925043e-05,"NA","NA","NA"
"Anaerostipes",NA,NA,NA,NA,NA,4.02488991926071e-05,0,1.65390404048757e-05,6.78090226685563e-06,0,1.57368793768196e-05,3.68283430928443e-05,0,2.51536468595672e-05,NA,7.16378563087878e-06,6.48895579723311e-06,1.35058480321979e-05,7.12413085603556e-06,0,"NA","NA","NA"
"Bacteroides",NA,NA,0.05,2e-04,NA,0.000619833047566149,0.000241221545908481,0.000181929444453633,0.000210207970272524,0.00013499892000864,0.0625934377212999,0.000758663867712592,0.000186457833892707,0.000419227447659453,NA,0.000128948141355818,0.064441820022322,0.000438940061046433,0.000242220449105209,0.000104737632231261,"NA","NA","28.9128476522914"
"Bifidobacterium",0.1,4e-04,0.05,2e-04,NA,8.04977983852142e-05,8.04071819694935e-06,0,0.068575264624711,0.000755993952048384,0.0382799590841136,0.000117850697897102,0,0,NA,0.000802343990658424,0.03871959924209,0.000108046784257584,0,0,"-33.5807129989162","65.2346331791143","-24.7128701722779"
"Bilophila",NA,NA,NA,NA,NA,1.60995596770428e-05,8.04071819694935e-06,1.65390404048757e-05,0,8.999928000576e-06,2.36053190652294e-05,7.36566861856885e-06,1.77578889421626e-05,3.35381958127563e-05,NA,7.16378563087878e-06,1.94668673916993e-05,0,0,0,"NA","NA","NA"
"Clostridium",0.1,0.0045,0.05,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lachnoclostridium",NA,NA,NA,NA,NA,5.63484588696499e-05,5.62850273786455e-05,6.61561616195028e-05,3.39045113342781e-05,1.7999856001152e-05,1.57368793768196e-05,9.57536920413951e-05,1.77578889421626e-05,2.51536468595672e-05,NA,0,3.24447789861655e-05,6.75292401609897e-06,2.13723925681067e-05,2.09475264462521e-05,"NA","NA","NA"
"Collinsella",NA,NA,NA,NA,NA,0,8.04071819694935e-06,0,0,0,0,0,0,2.51536468595672e-05,NA,7.16378563087878e-06,0,0,0,0,"NA","NA","NA"
"Coprobacillus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA"
"Cryptococcus",NA,NA,NA,NA,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA"
"Deinococcus",0.1,4e-04,0.05,2e-04,NA,2.41493395155642e-05,0,0,0.0161521091996501,0.00013499892000864,0.00741993862617043,1.47313372371377e-05,0,0,NA,0.000121784355724939,0.0067225582059335,4.05175440965938e-05,0,0,"-82.9465932662011","-61.8689308048198","-84.6723341965995"
"Enterococcus",0.1,NA,0.05,2e-04,0.114,0.000241493395155642,0.0943337058866098,0.1027818665961,0.0370372881815654,0.000467996256029952,0.0229679754504682,0.000243067064412772,0.0925896329444356,0.101805193389622,NA,0.000415499566590969,0.0229125029200301,0.000303881580724454,0.0836586686424256,0.101448870579199,"-59.8283175551042","NA","-52.3139286116428"
"Fusobacterium",NA,NA,NA,NA,NA,0.000136846257254864,0.000104529336560342,0.000124042803036568,2.03427068005669e-05,3.5999712002304e-05,3.14737587536392e-05,5.89253489485508e-05,2.66368334132438e-05,5.03072937191344e-05,NA,1.43275712617576e-05,1.29779115944662e-05,2.70116960643959e-05,2.13723925681067e-05,6.98250881541738e-06,"NA","NA","NA"
"Helicobacter",NA,NA,0.05,0.0018,NA,0.000933774461268484,0,0,0,0,0.0311983633645448,0.000920708577321106,0,0,NA,0,0.0312637890310691,0.000931903514221658,0,0,"NA","NA","-37.3522125886725"
"Listeria",NA,NA,NA,NA,0.125,8.04977983852142e-05,0.165486021211415,0.157807254023122,8.13708272022675e-05,8.999928000576e-05,8.65528365725077e-05,0.000154679040989946,0.16390531493616,0.157629520319954,NA,6.4474070677909e-05,5.19116463778649e-05,7.42821641770887e-05,0.15224267639348,0.152979785636979,"NA","NA","NA"
"Neisseria",NA,NA,0.05,0.0018,NA,0.00068423128627432,0,0,0,0,0.0277991974191518,0.00076602953633116,8.87894447108128e-06,0,NA,0,0.0309977418433826,0.000837362577996272,0,0,"NA","NA","-47.9225312464813"
"Paenibacillus",NA,NA,NA,NA,NA,8.04977983852142e-06,4.02035909847468e-05,8.26952020243785e-06,2.03427068005669e-05,1.7999856001152e-05,7.86843968840979e-06,2.20970058557066e-05,8.87894447108128e-06,1.67690979063781e-05,NA,7.16378563087878e-06,6.48895579723311e-06,1.35058480321979e-05,0,1.39650176308348e-05,"NA","NA","NA"
"Parabacteroides",NA,NA,NA,NA,NA,0.0001126969177393,4.82443091816961e-05,3.30780808097514e-05,3.39045113342781e-05,1.7999856001152e-05,7.86843968840979e-05,0.000103119360659964,1.77578889421626e-05,5.86918426723234e-05,NA,1.43275712617576e-05,6.48895579723311e-06,3.37646200804949e-05,1.42482617120711e-05,1.39650176308348e-05,"NA","NA","NA"
"Pediococcus",NA,NA,NA,NA,NA,8.04977983852142e-06,1.60814363938987e-05,1.65390404048757e-05,2.03427068005669e-05,0,7.86843968840979e-06,2.20970058557066e-05,0,0,NA,7.16378563087878e-06,6.48895579723311e-06,2.70116960643959e-05,7.12413085603556e-06,1.39650176308348e-05,"NA","NA","NA"
"Porphyromonadaceae",NA,NA,0.05,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA
"Propionibacterium",NA,NA,0.05,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA
"Pseudomonas",NA,NA,0.05,0.018,0.121,0.00268862646606615,0.0436208962184502,0.0502621437904173,6.78090226685563e-06,5.3999568003456e-05,0.0100086552836573,0.00234228262070489,0.0449984905794399,0.0517158979432701,NA,7.16378563087878e-06,0.0100838373089003,0.0025998757461981,0.057292260344238,0.0529693118737562,"NA","NA","-78.8734376759374"
"Pyramidobacter",NA,NA,NA,NA,NA,8.04977983852142e-06,0,0,0,0,0,0,0,0,NA,1.43275712617576e-05,0,6.75292401609897e-06,0,0,"NA","NA","NA"
"Ralstonia",NA,NA,NA,NA,NA,1.60995596770428e-05,1.60814363938987e-05,8.26952020243785e-06,0,8.999928000576e-06,7.86843968840979e-06,1.47313372371377e-05,1.77578889421626e-05,8.38454895318906e-06,NA,0,0,6.75292401609897e-06,0,0,"NA","NA","NA"
"Rhodobacter",0.1,0.4478,0.05,0.18,NA,0.0104888631295934,0,0,0.00442792918025673,0.0639444884440925,0.00300574396097254,0.0106507568224506,0,8.38454895318906e-06,NA,0.0629266929816392,0.00315363251745529,0.0111490775505794,0,0,"-95.5931011218213","-85.3595314196264","-93.1454791127125"
"Saccharomyces",NA,NA,NA,NA,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA"
"Salmonella",NA,NA,NA,NA,0.102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA"
"Streptococcus",0.1,NA,0.1,0.198,NA,0.158001078670498,0,1.65390404048757e-05,0.118896340347047,0.00933292533659731,0.0980092847588323,0.154052959157367,3.55157778843251e-05,1.67690979063781e-05,NA,0.00884011146850442,0.0943169725127832,0.160969449771751,7.12413085603556e-06,6.98250881541738e-06,"-14.3597436247102","NA","-5.46531922080848"
"Subdoligranulum",NA,NA,NA,NA,NA,2.41493395155642e-05,8.04071819694935e-06,0,6.78090226685563e-06,4.499964000288e-05,7.08159571956881e-05,0.000147313372371377,7.10315557686502e-05,0.000377304702893508,NA,2.14913568926363e-05,1.94668673916993e-05,1.35058480321979e-05,7.12413085603556e-06,0,"NA","NA","NA"
"Candidatus Stoquefichus",NA,NA,NA,NA,NA,8.04977983852142e-06,8.04071819694935e-06,1.65390404048757e-05,1.35618045337113e-05,8.999928000576e-06,0,1.47313372371377e-05,0,0,NA,0,6.48895579723311e-06,0,7.12413085603556e-06,6.98250881541738e-06,"NA","NA","NA"
"Carnobacterium",NA,NA,NA,NA,NA,0,0.000948804747240023,0.000769065378826721,0,0,0,0,0.00111874700335624,0.000930684933803986,NA,0,6.48895579723311e-06,0,0.000740909609027699,0.00108228886638969,"NA","NA","NA"
"Faecalibacterium",NA,NA,NA,NA,NA,4.02488991926071e-05,2.41221545908481e-05,3.30780808097514e-05,6.10281204017007e-05,8.0999352005184e-05,6.29475175072783e-05,9.57536920413951e-05,4.43947223554064e-05,0.000544995681957289,NA,5.01464994161515e-05,3.24447789861655e-05,3.37646200804949e-05,2.13723925681067e-05,4.88775617079217e-05,"NA","NA","NA"
"Tyzzerella 3",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,6.75292401609897e-06,7.12413085603556e-06,0,"NA","NA","NA"
"Serratia",NA,NA,NA,NA,NA,0.0170977323770195,0.0112007204483504,0.00942725303077915,0.00693686301899331,0.00879292965656275,0.00351719254071918,0.0134570765661253,0.0102285440306856,0.00824201162098485,NA,0.00971409331547163,0.00404261946167623,0.0149104562275465,0.00921862532771002,0.0091191565129351,"NA","NA","NA"
"Ruminococcaceae UCG-003",NA,NA,NA,NA,NA,0,0,1.65390404048757e-05,6.78090226685563e-06,0,4.72106381304587e-05,7.36566861856885e-06,8.87894447108128e-06,2.51536468595672e-05,NA,7.16378563087878e-06,6.48895579723311e-06,2.02587720482969e-05,0,0,"NA","NA","NA"
"Lachnospira",NA,NA,NA,NA,NA,1.60995596770428e-05,0,0,2.03427068005669e-05,1.7999856001152e-05,2.36053190652294e-05,4.41940117114131e-05,2.66368334132438e-05,2.51536468595672e-05,NA,0,1.29779115944662e-05,1.35058480321979e-05,1.42482617120711e-05,0,"NA","NA","NA"
"Akkermansia",NA,NA,NA,NA,NA,0.000104647137900778,8.84479001664429e-05,8.26952020243785e-05,8.13708272022675e-05,0.000107999136006912,0.000173105673145015,0.000184141715464221,9.76683891818941e-05,0.000318612860221184,NA,5.01464994161515e-05,5.19116463778649e-05,0.000108046784257584,4.98689159922489e-05,4.88775617079217e-05,"NA","NA","NA"
"Adlercreutzia",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Ruminococcaceae UCG-014",NA,NA,NA,NA,NA,8.04977983852142e-06,2.41221545908481e-05,8.26952020243785e-06,2.71236090674225e-05,8.999928000576e-06,3.14737587536392e-05,4.41940117114131e-05,2.66368334132438e-05,5.86918426723234e-05,NA,0,6.48895579723311e-06,0,0,6.98250881541738e-06,"NA","NA","NA"
"Erysipelotrichaceae UCG-003",NA,NA,NA,NA,NA,0,0,0,6.78090226685563e-06,1.7999856001152e-05,1.57368793768196e-05,7.36566861856885e-06,8.87894447108128e-06,4.19227447659453e-05,NA,0,0,0,0,0,"NA","NA","NA"
"Lachnospiraceae FCS020 group",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,6.48895579723311e-06,0,0,0,"NA","NA","NA"
"Ruminococcaceae UCG-013",NA,NA,NA,NA,NA,1.60995596770428e-05,0,0,0,0,7.86843968840979e-06,2.20970058557066e-05,0,3.35381958127563e-05,NA,0,0,0,0,0,"NA","NA","NA"
"Lachnospiraceae UCG-001",NA,NA,NA,NA,NA,8.04977983852142e-06,0,0,0,0,7.86843968840979e-06,4.41940117114131e-05,0,7.54609405787016e-05,NA,0,0,0,0,6.98250881541738e-06,"NA","NA","NA"
"Ruminococcus 2",NA,NA,NA,NA,NA,4.82986790311285e-05,5.62850273786455e-05,8.26952020243785e-05,0.000101713534002834,0.000107999136006912,0.000204579431898654,0.000235701395794203,0.000150942056008382,0.000251536468595672,NA,7.16378563087878e-06,3.89337347833987e-05,0.000114799708273682,6.41171777043201e-05,6.98250881541738e-05,"NA","NA","NA"
"Fusicatenibacter",NA,NA,NA,NA,NA,1.60995596770428e-05,8.04071819694935e-06,2.48085606073136e-05,1.35618045337113e-05,1.7999856001152e-05,3.93421984420489e-05,2.94626744742754e-05,5.32736668264877e-05,4.19227447659453e-05,NA,1.43275712617576e-05,6.48895579723311e-06,0,0,0,"NA","NA","NA"
"Ruminococcaceae UCG-004",NA,NA,NA,NA,NA,0,0,0,0,0,0,7.36566861856885e-06,8.87894447108128e-06,8.38454895318906e-06,NA,7.16378563087878e-06,0,6.75292401609897e-06,0,0,"NA","NA","NA"
"Clostridium sensu stricto 1",NA,NA,NA,NA,NA,0.0611219783138931,8.04071819694935e-06,8.26952020243785e-06,0.199873875217836,0.0241378068975448,0.17204343378708,0.0916436489522336,1.77578889421626e-05,3.35381958127563e-05,NA,0.0248869912816729,0.16672074129831,0.0730666378541909,7.12413085603556e-06,0,"NA","NA","NA"
"Gossypium arboreum",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Sellimonas",NA,NA,NA,NA,NA,0,8.04071819694935e-06,0,0,0,0,0,0,0,NA,0,0,0,0,6.98250881541738e-06,"NA","NA","NA"
"Lachnospiraceae UCG-008",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,8.87894447108128e-06,0,NA,0,0,0,0,0,"NA","NA","NA"
"Ambiguous_taxa",NA,NA,NA,NA,NA,0.0812947265892278,6.43257455755948e-05,0.00011577328283413,0.327592169414062,0.258999928000576,0.194468486899048,0.0756675137185578,4.43947223554064e-05,8.38454895318906e-05,NA,0.256356068800997,0.201209541360604,0.0769022986953351,2.84965234241423e-05,4.18950528925043e-05,"NA","NA","NA"
"Intestinimonas",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Butyricicoccus",NA,NA,NA,NA,NA,1.60995596770428e-05,8.04071819694935e-06,0,0,0,2.36053190652294e-05,1.47313372371377e-05,0,0.000100614587438269,NA,0,0,0,0,6.98250881541738e-06,"NA","NA","NA"
