"","AC","MSA-1000","MSA-1001","MSA-1002","MSA-1003","Zymo.Ext","Zymo.Seq.200","Zymo.Seq.2000"
"Candidatus Stoquefichus",0.0289996072995714,1.39470013947001e-05,5.42421423476542e-06,2.36242422524298e-06,7.35157176604358e-06,1.21654334122059e-05,5.29996475523438e-06,7.82456286775446e-06
"Carnobacterium",4.03565657804261e-06,0,0,2.36242422524298e-06,0,0.000448551302908108,0.000922193867410782,0.00093633935650795
"Faecalibacterium",0.00755847433555243,3.83542538354254e-05,4.6105820995506e-05,3.54363633786446e-05,5.63620502063341e-05,0.000667529104327814,2.91498061537891e-05,0.000198222259316446
"Tyzzerella 3",0.00010027054420829,0,0,0,2.45052392201453e-06,1.0007050064879e-05,2.64998237761719e-06,0
"Serratia",0.0105681428374081,0.00781729428172943,0.00951678387489592,0.00415077936375191,0.0150927768356875,0.0230534963161302,0.0101732823476724,0.00894347535784334
"Ruminococcaceae UCG-003",0.000246175051260599,3.48675034867503e-06,5.42421423476542e-06,1.88993938019438e-05,9.80209568805811e-06,3.53190002289849e-05,2.64998237761719e-06,1.30409381129241e-05
"Lachnospira",0.000428710902636681,1.04602510460251e-05,5.42421423476542e-06,1.18121211262149e-05,2.45052392201453e-05,9.08483172556666e-05,1.32499118880859e-05,7.82456286775446e-06
"Akkermansia",0.0041641767182972,8.36820083682008e-05,6.23784636998023e-05,0.00011103393858642,0.000132328291788784,0.000360057585667707,7.68494889508985e-05,0.000143450319242165
"Adlercreutzia",9.34409715377559e-05,0,0,0,0,3.72811669083729e-06,0,0
"Ruminococcaceae UCG-014",0.000424054375815862,2.09205020920502e-05,5.42421423476542e-06,2.36242422524298e-05,1.71536674541017e-05,4.08130669312714e-05,1.58998942657031e-05,2.34736886032634e-05
"Escherichia-Shigella",0.088544788803226,0.0733716875871688,0.0745422641212637,0.035304067622031,0.126493594330468,0.134880318624474,0.0673016024443437,0.0505284188123357
"Erysipelotrichaceae UCG-003",0.000527739706359419,6.97350069735007e-06,1.08484284695308e-05,4.72484845048595e-06,2.45052392201453e-06,3.53190002289849e-05,2.64998237761719e-06,1.30409381129241e-05
"Lachnospiraceae FCS020 group",0.000107100116878823,0,0,4.72484845048595e-06,0,7.45623338167458e-06,0,0
"Ruminococcaceae UCG-013",0.000350791687168319,3.48675034867503e-06,0,2.36242422524298e-06,1.22526196100726e-05,2.17800501412073e-05,0,1.04327504903393e-05
"Parabacteroides",0.112712163003274,2.09205020920502e-05,2.16968569390617e-05,4.01612118291306e-05,8.08672894264794e-05,0.00011164728405718,2.64998237761719e-05,3.39064390936026e-05
"Listeria",0.00119827956855727,0.000104602510460251,9.22116419910121e-05,8.26848478835041e-05,0.00010292200472461,0.0920929195804024,0.160088085414232,0.155948754329591
"Lachnospiraceae UCG-001",0.000319127304786754,3.48675034867503e-06,0,7.08727267572893e-06,1.71536674541017e-05,6.41628504159891e-05,0,2.60818762258482e-05
"Subdoligranulum",0.0120538853283705,1.04602510460251e-05,2.44089640564444e-05,4.01612118291306e-05,6.12630980503632e-05,0.00031021855201125,2.64998237761719e-05,0.000117368443016317
"Ruminococcus 2",0.00765470922318267,7.32217573221757e-05,5.69542494650369e-05,0.000106309090135934,0.000134778815710799,0.000319636952072313,8.74494184613672e-05,0.000130409381129241
"Fusicatenibacter",0.00085462788918087,1.74337517433752e-05,1.08484284695308e-05,1.41745453514579e-05,1.47031435320872e-05,7.10304337938473e-05,1.85498766433203e-05,2.08655009806785e-05
"Ruminococcaceae UCG-004",0.000233136776162308,0,2.71210711738271e-06,0,4.90104784402905e-06,1.21654334122059e-05,2.64998237761719e-06,2.60818762258482e-06
"Clostridium sensu stricto 1",5.61887569712087e-05,0.203336820083682,0.0241458896660583,0.167172225450869,0.0756109156137582,1.5108683431288e-05,1.05999295104688e-05,1.30409381129241e-05
"Gossypium arboreum",2.29721989827041e-05,0,0,2.36242422524298e-06,0,9.22218339312382e-06,0,0
"Anaerostipes",0.0133313258528817,3.48675034867503e-06,2.71210711738271e-06,1.65369695767008e-05,2.94062870641743e-05,6.22006837366011e-05,2.64998237761719e-06,1.30409381129241e-05
"Enterococcus",0.0308156527596906,0.0385599721059972,0.00042037660319432,0.0232415295279404,0.000264656583577569,0.0628621301242228,0.0898423525483556,0.101980136043066
"Sellimonas",5.58783218498208e-06,0,0,0,0,1.96216667938805e-07,2.64998237761719e-06,2.60818762258482e-06
"Lachnospiraceae UCG-008",2.79391609249104e-06,0,0,0,0,1.17730000763283e-06,2.64998237761719e-06,0
"Ambiguous_taxa",2.0488718011601e-05,0.337510460251046,0.258452959858103,0.19854285673787,0.0778286397631814,3.96357669236386e-05,4.50497004194922e-05,7.82456286775445e-05
"Intestinimonas",9.93392388441259e-06,0,0,0,0,9.81083339694024e-07,0,0
"Paenibacillus",0.0479122461998861,1.74337517433752e-05,8.13632135214812e-06,1.18121211262149e-05,1.47031435320872e-05,2.17800501412073e-05,1.58998942657031e-05,1.30409381129241e-05
"Butyricicoccus",0.00052463535514554,0,0,7.08727267572893e-06,9.80209568805811e-06,4.55222669618027e-05,2.64998237761719e-06,3.39064390936026e-05
"Hungatella",2.66974204393588e-05,0,0,4.72484845048595e-06,0,2.94325001908207e-06,0,2.60818762258482e-06
"Porphyromonas",1.55217560693947e-06,0,5.42421423476542e-06,0.0524812541637727,0.175832442976308,3.92433335877609e-06,0,0
