"","Qiagen DSP Virus","Zymo MagBead DNone Kit","MagAttract PowerMag Soil","MagAttract PowerMag Microbiome","Qiagen QIAamp  Modified","None"
"Candidatus Stoquefichus",0.015305236093256,0.0116620984602622,0.0114076329453842,0.00642004350187261,0.0130106873503235,6.67361909473692e-06
"Carnobacterium",0.000169589395120127,0.000202906836615155,0.000108115373713938,0.000626359433518953,0.000225340380529969,0.000314994821271583
"Faecalibacterium",0.000282924746980895,0.0027308345524559,0.00012491708719651,0.0101540011311612,0.00146548950923973,6.80709147663166e-05
"Tyzzerella 3",2.4817960261482e-06,3.51256770567672e-05,7.30509281850935e-07,0.000139003396297557,2.25340380529969e-05,8.89815879298256e-07
"Serratia",0.0223973818706455,0.0206983657218233,0.0230380712217329,0.0114371094046772,0.0133712319591714,0.00931414771655449
"Ruminococcaceae UCG-003",1.07544494466422e-05,0.000304547093630482,1.1688148509615e-05,2.70128057582298e-05,6.29398993894053e-05,9.34306673263168e-06
"Lachnospira",4.96359205229641e-05,0.000373303738082026,5.99017611117767e-05,0.000292638729047489,0.00014219755047236,1.24574223101756e-05
"Akkermansia",0.00015138955759504,0.00153282475837084,0.000308274916941095,0.00346045297098656,0.00341351824713157,0.000103218641998598
"Adlercreutzia",8.27265342049401e-07,8.59458055644304e-06,1.46101856370187e-06,0.000156449166683081,1.24325727188949e-05,0
"Ruminococcaceae UCG-014",3.88814710763218e-05,0.000183101933593787,4.74831033203108e-05,0.000428828291411897,0.000163177516935495,1.77963175859651e-05
"Escherichia-Shigella",0.130470498890637,0.129598427565436,0.141113938993709,0.0747404941655153,0.110432327175584,0.0711234281402492
"Erysipelotrichaceae UCG-003",7.44538807844461e-06,0.000116587353635227,6.57458353665842e-06,0.000816011840613191,7.77035794930929e-05,6.67361909473692e-06
"Lachnospiraceae FCS020 group",4.96359205229641e-06,1.71891611128861e-05,7.30509281850935e-06,0.000175020470641864,7.77035794930929e-06,8.89815879298256e-07
"Ruminococcaceae UCG-013",1.15817147886916e-05,8.89352248884106e-05,1.1688148509615e-05,0.000504239040820289,5.98317562096816e-05,4.89398733614041e-06
"Parabacteroides",0.0483528319774454,0.0394177358511718,0.0527676074652205,0.0359315337927386,0.049442787631455,3.87069907494741e-05
"Listeria",0.0418769988798827,0.0520196330114102,0.0308114204899087,0.0827255921010054,0.0731936637393138,0.0535420010891346
"Lachnospiraceae UCG-001",2.23361642353338e-05,0.000310525932278442,2.04542598918262e-05,0.000222855647505396,5.67236130299578e-05,9.34306673263168e-06
"Subdoligranulum",0.00170333933927972,0.00309031222616452,0.00365546844638208,0.0112649027679684,0.0039318011223505,4.84949654217549e-05
"Ruminococcus 2",0.000202680008802103,0.000898694184271544,0.000117611994378001,0.0121872775312547,0.00141420514677429,0.000100104286421054
