"","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Naming","Gram","Art.Col","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Ext","Zymo.Seq","AC_OB","MSA-1000_OB","MSA-1001_OB","MSA-1002_OB","MSA-1003_OB","Zymo-Ext_OB","Zymo.Seq.200_OB","Zymo.Seq.2000_OB","Qiagen DSP_OB","Zymo MagBead_OB","MagAttract PS_OB","MagAttract MB_OB","Qiagen QIAmp_OB"
"Acinetobacter","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter","N",NA,NA,NA,0.05,0.0018,NA,NA,2.79391609249104e-06,0,0,0.0771284261057327,0.00238926082396416,1.37351667557163e-06,2.64998237761719e-06,0,1.6545306840988e-06,3.73677415497523e-06,0,0,3.10814317972372e-06
"Actinomyces","Bacteria","Eubacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces odontolyticus","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Actinomyces","P",NA,NA,NA,0.05,2e-04,NA,NA,4.03565657804261e-06,0,0,0.0135957514162733,5.14610023623051e-05,1.37351667557163e-06,0,0,8.27265342049401e-07,1.12103224649257e-06,2.19152784555281e-06,6.75320143955744e-06,7.77035794930929e-07
"Alistipes","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__Alistipes","N",0.04,NA,NA,NA,NA,NA,NA,0.00787480772424669,4.88145048814505e-05,6.23784636998023e-05,7.55975752077752e-05,9.06693851145375e-05,0.000314142885370026,5.82996123075782e-05,0.000101719317280808,0.00169837574722742,0.00371472718746088,0.00279858105877093,0.00336928475155253,0.00400639655866387
"Anaerostipes","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Anaerostipes","P",0.06,NA,NA,NA,NA,NA,NA,0.0133313258528817,3.48675034867503e-06,2.71210711738271e-06,1.65369695767008e-05,2.94062870641743e-05,6.22006837366011e-05,2.64998237761719e-06,1.30409381129241e-05,0.00628059847683905,0.00419639737603719,0.00645989357940782,0.00422412750044318,0.00628621958099122
"Bacillus","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus; Bacillus subtilis","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Bacillaceae;D_5__Bacillus","P",NA,0.1,0.0448,0.05,0.018,0.157,0.135,0.00225562159200443,0.000129009762900976,0.000132893248751753,0.000113396362811663,0.000169086150619002,0.144224745001724,0.201268811562403,0.196506071860785,0.0871242767632747,0.0977693326681875,0.0466349820440819,0.115493813786098,0.0825779250346946
"Bacteroides","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae; Bacteroides vulgatus","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides","N",0.06,NA,NA,0.05,2e-04,NA,NA,0.0801459665940766,0.000209205020920502,0.000162726427042962,0.0638917631716963,0.000600378360893559,0.000945371906129161,0.000225248502097461,0.000226912323164879,0.0312201667436023,0.0329437746276772,0.0323454899817957,0.0238568096188099,0.0391789218162124
"Bifidobacterium","Bacteria","Eubacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis; Bifidobacterium angulatum","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium","P",0.06,0.1,4e-04,0.05,2e-04,NA,NA,0.0147152456240289,0.0675278940027894,0.000743117350162862,0.0382263863886566,0.00010292200472461,5.49406670228653e-06,2.64998237761719e-06,0,0.00630955276381078,0.00424534911746736,0.00201036154365377,0.0100932223182052,0.00602591258968936
"Bilophila","Bacteria","Eubacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila","Bilophila wadsworthia","D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfovibrionales;D_4__Desulfovibrionaceae;D_5__Bilophila","N",0.02,NA,NA,NA,NA,NA,NA,0.0304626880266726,1.39470013947001e-05,1.08484284695308e-05,1.65369695767008e-05,7.35157176604358e-06,2.23687001450237e-05,7.94994713285157e-06,1.56491257355089e-05,0.00821639937723465,0.0091894750019151,0.0136108489394466,0.0157180763505699,0.01333160313363
"Clostridium","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium beijerinckii","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae;D_5__Clostridium","P",NA,0.1,0.0045,0.05,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lachnoclostridium","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","Clostridium bolteae","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Lachnoclostridium","P",0.06,NA,NA,NA,NA,NA,NA,0.0858061301623421,3.83542538354254e-05,2.16968569390617e-05,4.25236360543736e-05,5.14610023623051e-05,9.22218339312382e-05,3.17997885314063e-05,3.65146267161875e-05,0.0340924320111979,0.0380257874784435,0.0302102113509454,0.0226941334376328,0.0405791403186779
