"","SC249358.PC04924.A01","SC249363.PC04924.F01","SC249383.PC04924.E02","SC249388.PC04924.A03","SC249397.PC04924.B04","SC249400.PC04924.E04","SC249409.PC04924.D05","SC249413.PC04924.H05","SC249427.PC04924.E07","SC249428.PC04924.F07","SC249434.PC04924.C08","SC249439.PC04924.H08","SC249443.PC04924.D09","SC249446.PC04924.F09","SC253848.PC04924.C11","SC253851.PC04924.E11","SC253185.PC04925.C06","SC253192.PC04925.B07","SC253195.PC04925.E07","SC253204.PC04925.A09","SC249439.PC07578.G07","SC249443.PC07578.E05","SC253195.PC07578.E07","SC304093.PC07578.A04","SC304926.PC07578.E06","SC304936.PC07578.B11","SC284724.PC04924.A12","SC284730.PC04925.A12","SC284725.PC04924.B12","SC284731.PC04925.B12","SC326764.PC07578.B12","SC284726.PC04924.C12","SC284732.PC04925.C12","SC326765.PC07578.C12","SC284727.PC04924.D12","SC284733.PC04925.D12","SC326766.PC07578.D12","SC249362.PC04924.E01","SC284728.PC04924.E12","SC284734.PC04925.E12","SC326767.PC07578.E12","SC284729.PC04924.F12","SC284735.PC04925.F12","SC326768.PC07578.F12","SC249368.PC04924.B02","SC249390.PC04924.C03","SC249391.PC04924.D03","SC249395.PC04924.H03","SC249404.PC04924.H04","SC249408.PC04924.C05","SC249412.PC04924.G05","SC249420.PC04924.G06","SC249425.PC04924.C07","SC249432.PC04924.A08","SC249437.PC04924.F08","SC249442.PC04924.C09","SC249451.PC04924.C10","SC253844.PC04924.G10","SC253854.PC04924.H11","SC249391.PC04925.H01","SC249408.PC04925.E02","SC249432.PC04925.B04","SC249437.PC04925.F04","SC253181.PC04925.G05","SC253189.PC04925.F06","SC253194.PC04925.D07","SC253196.PC04925.F07","SC261522.PC04925.F11","SC249362.PC07578.H08","SC249368.PC07578.C10","SC249408.PC07578.E02","SC249420.PC07578.H07","SC249437.PC07578.F04","SC249451.PC07578.F06","SC253181.PC07578.G05","SC253196.PC07578.F07","SC304092.PC07578.A03","SC304097.PC07578.A09","SC304924.PC07578.A.11.PC07578.A11","SC304924.PC07578.B.07.PC07578.B07","SC304927.PC07578.B02","SC304934.PC07578.C.05.PC07578.C05","SC304934.PC07578.D.02.PC07578.D02","SC304937.PC07578.D04"
"Candidatus Stoquefichus",0.0465862522229954,0.0385968476163215,0.0316896554520317,0.043477879828928,0.0232015511518617,0.0290128715835041,0.0256128687600166,0.0326934854785159,0.0316239316239316,0.0336197307352998,0.0177837716969002,0.0136659482913961,0.0146595590016961,0.00834710025215199,0.0385239819868795,0.0403601044510035,0.0415450182892043,0.0301825550842364,0.0280219589312394,0.0278642472097791,0.0170289353454243,0.0133583368060379,0.0281659965578067,0.0484861749471073,0.029759936932584,0.0301922453456208,1.43547194728947e-05,1.35618045337113e-05,8.47357093226227e-06,8.999928000576e-06,0,0,0,6.48895579723311e-06,8.04977983852142e-06,1.47313372371377e-05,0,1.90407281174432e-05,8.04071819694935e-06,0,7.12413085603556e-06,1.65390404048757e-05,0,6.98250881541738e-06,9.83816223129519e-06,4.18839396033591e-05,9.00203445978791e-06,1.63118832069162e-05,8.92889031751134e-06,8.73156548237534e-06,1.41786653622295e-05,2.10773327338003e-05,1.65623240253072e-05,0,1.25347840256712e-05,1.67931752535769e-05,0,7.0206477249591e-06,0,5.3588844946036e-05,2.38058395724471e-05,0,0,7.43538649138982e-06,0,7.82766610307471e-06,1.85642415579112e-05,3.0399525767398e-05,8.01648188675918e-06,7.43383883437407e-06,9.17229233930144e-06,1.34258824161218e-05,0,9.47561923171679e-06,0,1.48992438633739e-05,3.24496219619041e-05,1.52028824665157e-05,1.38093890035835e-05,0,0,5.11057085076403e-05,0,0
"Carnobacterium",0,0,0,0,0,0,0,0,0,0,0,0,2.13800082669365e-05,0,0,0,0,0,0,0,0,3.85856060255282e-05,0,0,3.1788012104875e-05,0,0,0,0,0,0,0,0,6.48895579723311e-06,0,0,0,0.000466497838877359,0.000948804747240023,0.00111874700335624,0.000740909609027699,0.000769065378826721,0.000930684933803986,0.00108228886638969,0.000354173840326627,0.000376955456430232,0.000297067137173001,0.000114183182448414,0.00013393335476267,0.000200826006094633,0.000106339990216721,0.000196721772182136,0.000231872536354301,0.00125465918144936,0.00127228057860563,0.00115033250487002,0.0010152508331678,0.000168495545399019,0.000321193162775109,0.000257226455740973,7.14175187173414e-05,0.000909682855829631,0.00103504064795554,0.000260238527198644,0.000574545004552164,0.000618385622142902,0.000334156348042401,0.000478792530836519,0.000280576866036571,0.000111507582515611,0.000119239800410919,0.000234952942282131,0.00123882842226352,0.00104231811548885,0.000258475854047301,0.000290535255335792,0.000178472920790473,6.08115298660626e-05,0.000331425336086005,0.000102192018803331,0.000834305270595847,0.000262829358039293,0.000420962122365628,0.000617582747742485
"Faecalibacterium",0.00335060181963453,2.77010868059724e-05,0.00728991818100729,0.00501297062329103,0.00831443688586546,0.00953280066315135,2.2259155932807e-05,6.44682977145988e-05,2.75709953129308e-05,0.00023972996816386,0.000824552086536043,0.0425331017233799,0.00727632948018073,0.0367446309016607,5.14240796926309e-05,2.95895193922313e-05,0.000234907211651398,0.00014597537309588,0.00507279107744693,0.00480854402348594,0.0415955204824096,0.00834992514392431,0.00523470473551529,0.00218866272707376,0.00137959972535158,0.00333859875423361,1.43547194728947e-05,6.10281204017007e-05,8.47357093226227e-06,8.0999352005184e-05,5.01464994161515e-05,1.40749915550051e-05,6.29475175072783e-05,3.24447789861655e-05,4.02488991926071e-05,9.57536920413951e-05,3.37646200804949e-05,5.71221843523296e-05,2.41221545908481e-05,4.43947223554064e-05,2.13723925681067e-05,3.30780808097514e-05,0.000544995681957289,4.88775617079217e-05,9.83816223129519e-06,0.000806265837364663,0.000891201411519003,0.000766658510725063,0.000169648916032715,1.74631309647507e-05,0.000574235947170293,5.62062206234675e-05,4.14058100632681e-05,0.000558643869112489,4.38717440898493e-05,0.000193121515416135,0.00019127914248089,0.000175516193123978,2.09473801809854e-05,0.00111464797487755,0.000142835037434683,0.000526658495480313,0.000120587259955986,6.69184784225084e-05,0.000132587308742807,0.000289623645813764,0.00142944659995916,0.00539591582371315,0.000144296673961665,0.000111507582515611,3.66891693572058e-05,0.000127545882953157,6.80674957287646e-05,0.000881232588549662,0.000466692514252071,0.000402279584311096,0.00271765583930947,0.00108700609635587,0.00146379523437985,0.00159419549333197,0.000306479487157658,0.00170109001175431,0.00154949887594157,0.000292099948256581
"Tyzzerella 3",0,0,4.05445950000405e-05,2.62918039683096e-05,0.000139669394327779,0.00013815653135002,0,0,0,0,6.98772954691562e-06,0.000209025580406375,0.000285066776892487,0.00084340492131119,0,0,0,0,4.34314304575936e-05,7.59243793181991e-05,0.000184595505099451,0.000401290302665494,0.000114263677719297,5.10687969650544e-05,6.357602420975e-06,3.44896565520001e-05,0,0,0,0,0,0,0,0,0,0,6.75292401609897e-06,0,0,0,7.12413085603556e-06,0,0,0,0,2.09419698016795e-05,0,8.15594160345812e-06,0,0,7.08933268111473e-06,0,0,1.83161924299177e-05,0,0,0,7.0206477249591e-06,0,0,0,0,0,0,0,0,1.85642415579112e-05,6.07990515347961e-05,1.60329637735184e-05,0,0,0,0,1.89512384634336e-05,0,2.23488657950609e-05,3.24496219619041e-05,0,1.38093890035835e-05,5.62056103418323e-05,0,5.11057085076403e-05,2.6869922704189e-05,0
"Serratia",0.0108250212634346,0.0114590162420706,0.0129093990480129,0.0158977774661712,0.0111242564658714,0.0119582153246295,0.0135261470885024,0.0131192985849209,0.0119795974634684,0.0113344328947873,0.00971993179975962,0.00795017983407694,0.00929317692669508,0.00789496565516042,0.00913879359109041,0.0140846112307021,0.0121732272895064,0.0100894743169211,0.00748757861088913,0.00863007111583529,0.00649160859599735,0.00862002438610301,0.00833410699365122,0.0106952651929671,0.0105091168018717,0.00926392174986721,0.00874920151872932,0.00693686301899331,0.00996491941634043,0.00879292965656275,0.00971409331547163,0.00483475959914424,0.00351719254071918,0.00404261946167623,0.0170977323770195,0.0134570765661253,0.0149104562275465,0.0297225765913289,0.0112007204483504,0.0102285440306856,0.00921862532771002,0.00942725303077915,0.00824201162098485,0.0091191565129351,0.0348369324610163,0.033130196226257,0.0313540860234413,0.0330723432020227,0.0324386585235187,0.0326560549040838,0.0274286281432329,0.0325574532961435,0.0310212328994004,0.0148544320606632,0.011857905688285,0.0160206891919124,0.0159203101664864,0.0340852447046765,0.0276226119986594,0.0275553840712517,0.0267577636794306,0.0119503600428987,0.01381729020329,0.0180902953335514,0.0178727692185304,0.013095685390444,0.0129299942450851,0.021766060449457,0.0211635121810442,0.0277356526910497,0.0279754916348694,0.0260394989460682,0.0150701435543485,0.0116834385127068,0.0188902769999569,0.0153462211792752,0.0263085310056138,0.0243094090639585,0.0253195147380704,0.0201471565070768,0.0239564799128236,0.0204641858495594,0.0228663042212649,0.0218657675552069
"Ruminococcaceae UCG-003",0.000128869300755174,0,0.000535188654000535,0.000333029516931922,0.00170889611883401,0.00214910159877808,2.9678874577076e-05,0,1.37854976564654e-05,9.58919872655441e-06,2.09631886407468e-05,5.0454450442918e-05,1.42533388446244e-05,0.000121728545343883,7.34629709894728e-06,0,2.51686298197926e-05,0,2.60588582745561e-05,0.000151848758636398,9.99892319288692e-05,7.71712120510565e-06,0.000407064351874996,0.000277230612096009,8.900643389365e-05,0.0001517544888288,0,6.78090226685563e-06,8.47357093226227e-06,0,7.16378563087878e-06,7.03749577750253e-06,4.72106381304587e-05,6.48895579723311e-06,0,7.36566861856885e-06,2.02587720482969e-05,0,0,8.87894447108128e-06,0,1.65390404048757e-05,2.51536468595672e-05,0,0,4.18839396033591e-05,7.20162756783033e-05,0.000122339124051872,3.57155612700454e-05,0,2.12679980433442e-05,7.02577757793344e-06,8.28116201265362e-06,0,0,0,7.35689009541886e-06,0,1.39649201206569e-05,4.28710759568288e-05,1.19029197862236e-05,9.57560900873296e-06,3.01468149889964e-05,0,8.83915391618714e-06,3.13106644122988e-05,9.28212077895558e-06,0.000174797273162539,0,0,9.17229233930144e-06,1.34258824161218e-05,2.04202487186294e-05,0,2.15396545039418e-05,2.23488657950609e-05,0.000332608625109517,3.80072061662891e-05,5.52375560143341e-05,8.17536150426652e-05,5.10799145262764e-05,3.65040775054574e-05,6.26964863097744e-05,2.50371384219926e-05
"Lachnospira",0.000554137993247249,1.84673912039816e-05,0.000754129467000754,0.000613475425927224,0.00134739886292681,0.00143529285346965,1.4839437288538e-05,8.05853721432486e-06,2.06782464846981e-05,9.58919872655441e-06,5.59018363753249e-05,0.00132623126878527,0.00016391339671318,0.000599947830623424,1.46925941978946e-05,0,8.3895432732642e-06,4.29339332634941e-05,0.000312706299294674,0.000556778781666793,0.00134600889135016,0.000378138939050177,0.000664157626743414,0.000496096884803385,0.000209800879892175,0.0003242027715888,0,2.03427068005669e-05,0,1.7999856001152e-05,0,0,2.36053190652294e-05,1.29779115944662e-05,1.60995596770428e-05,4.41940117114131e-05,1.35058480321979e-05,9.52036405872161e-06,0,2.66368334132438e-05,1.42482617120711e-05,0,2.51536468595672e-05,0,0,9.4238864107558e-05,9.00203445978791e-06,0.000122339124051872,4.46444515875567e-05,0,0.000439538626229113,1.40515551558669e-05,0,0,1.25347840256712e-05,0,1.47137801908377e-05,2.10619431748773e-05,2.09473801809854e-05,0.000107177689892072,2.38058395724471e-05,2.87268270261989e-05,4.01957533186619e-05,0,0,3.13106644122988e-05,0.000102103328568511,0.000547191463813165,8.01648188675918e-06,3.71691941718704e-05,6.42060463751101e-05,1.34258824161218e-05,0,9.47561923171679e-06,4.30793090078835e-05,3.72481096584348e-05,0.00055164357335237,0.000121623059732125,0.000207140835053753,0.00020949363854683,6.81065527017018e-05,0.000240926911536019,0.000152262895323738,0.00010014855368797
"Akkermansia",0.000914972035361736,0.000175440216437825,0.00673851168900674,0.000858865596298114,0.00924282756580893,0.00455149017169787,0.000200332403395263,0.000177287818715147,6.20347394540943e-05,0.000153427179624871,0.000405288313721106,0.0133848449246427,0.00217363417380521,0.0162072863229284,5.87703767915782e-05,3.69868992402891e-05,0.000209738581831605,0.00162290267736008,0.00125951148327021,0.00255612077037937,0.0117525804913317,0.00282446636106867,0.0260378355602848,0.00127671992412636,0.000705693868728225,0.001517544888288,8.61283168373682e-05,8.13708272022675e-05,3.38942837290491e-05,0.000107999136006912,5.01464994161515e-05,0.000119637428217543,0.000173105673145015,5.19116463778649e-05,0.000104647137900778,0.000184141715464221,0.000108046784257584,9.52036405872161e-05,8.84479001664429e-05,9.76683891818941e-05,4.98689159922489e-05,8.26952020243785e-05,0.000318612860221184,4.88775617079217e-05,5.90289733877712e-05,0.000418839396033591,0.000360081378391516,0.000962401109208058,7.14311225400907e-05,7.8584089341378e-05,0.000708933268111473,7.72835533572678e-05,6.62492961012289e-05,0.000201478116729094,0.000106545664218206,0.000151138577282193,0.000147137801908377,9.82890681494275e-05,0.000146631661266898,0.00065378390834164,0.000154737957220906,0.000220239007200858,0.000120587259955986,0.000126401570353627,0.000150265616575181,0.000328761976329138,0.000891083594779735,0.00227996443255485,8.01648188675918e-05,0.000141242937853107,0.000220135016143235,0.00122846824107514,0.000149748490603282,0.000350597911573521,0.000172317236031534,0.000677915595783514,0.000381283058052374,0.000433282150295696,0.000331425336086005,0.000429206478973992,5.10799145262764e-05,0.00049645545407422,0.000510528531379591,0.000125185692109963
"Adlercreutzia",1.28869300755174e-05,0,8.10891900000811e-06,0,0,0,0,8.05853721432486e-06,0,0,1.39754590938312e-05,5.0454450442918e-05,0.000384840148804858,0.00142596295974263,0,0,8.3895432732642e-06,0,3.47451443660748e-05,7.59243793181991e-05,6.15318350331503e-05,0.00030096772699912,2.85659194298242e-05,7.29554242357919e-06,1.9072807262925e-05,5.51834504832001e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.08933268111473e-06,0,0,0,0,8.39658762678847e-06,0,0,0,0,0,9.57560900873296e-06,0,7.43538649138982e-06,0,0,2.78463623368667e-05,3.0399525767398e-05,0,0,0,0,0,1.89512384634336e-05,0,0,0,0,6.90469450179177e-06,1.02192018803331e-05,0,2.19024465032744e-05,0,0
"Ruminococcaceae UCG-014",0.000244851671434831,8.31032604179171e-05,0.00055951541100056,0.000131459019841548,0.000755857898715042,0.000905692816627906,2.2259155932807e-05,8.05853721432486e-05,2.75709953129308e-05,3.83567949062176e-05,4.89141068284093e-05,0.00122532236789944,0.000598640231474223,0.00215633423180593,1.46925941978946e-05,5.17816589364047e-05,5.03372596395852e-05,0.000206082879664772,0.00026927486883708,0.000430238149469795,0.00121525374190472,0.000594218332793135,0.000792704264177623,0.000233457357554534,0.00013986725326145,0.0001862441453808,1.43547194728947e-05,2.71236090674225e-05,8.47357093226227e-06,8.999928000576e-06,0,3.51874788875127e-05,3.14737587536392e-05,6.48895579723311e-06,8.04977983852142e-06,4.41940117114131e-05,0,0,2.41221545908481e-05,2.66368334132438e-05,0,8.26952020243785e-06,5.86918426723234e-05,6.98250881541738e-06,1.96763244625904e-05,2.09419698016795e-05,7.20162756783033e-05,5.70915912242068e-05,8.92889031751134e-06,8.73156548237534e-06,0.000191411982390098,7.02577757793344e-06,0,0,1.25347840256712e-05,1.67931752535769e-05,1.47137801908377e-05,0,2.79298402413138e-05,7.50243829244504e-05,5.95145989311178e-05,1.91512180174659e-05,1.00489383296655e-05,7.43538649138982e-06,2.65174617485614e-05,3.91383305153735e-05,4.64106038947779e-05,0.000326794901999529,0,2.97353553374963e-05,1.83445846786029e-05,5.37035296644872e-05,2.72269982915059e-05,4.7378096158584e-05,3.58994241732363e-05,1.48992438633739e-05,2.43372164714281e-05,1.52028824665157e-05,8.9761028523293e-05,6.13152112819989e-05,8.51331908771273e-06,7.30081550109147e-05,3.58265636055854e-05,1.66914256146617e-05
