"","AC","MSA-1000","MSA-1001","MSA-1002","MSA-1003","Zymo.Ext","Zymo.Seq.200","Zymo.Seq.2000"
"[Clostridium] innocuum group",7.75804338421989e-06,0,0,0,2.44285550265416e-06,7.84128302209321e-07,0,0
"[Eubacterium] coprostanoligenes group",0.00118449806390269,1.04008847685976e-05,0,1.17839206046565e-05,2.44285550265416e-05,6.39064566300596e-05,1.05889017720527e-05,1.3023580494844e-05
"[Eubacterium] eligens group",8.99933032569507e-05,0,0,0,2.44285550265416e-06,1.70547905730527e-05,0,2.60471609896879e-06
"[Eubacterium] hallii group",0.00170614890105764,1.73348079476627e-05,1.08445461421883e-05,7.07035236279392e-06,1.22142775132708e-05,9.84081019272697e-05,1.05889017720527e-05,1.56282965938128e-05
"[Eubacterium] rectale group",0.00487670607132062,4.16035390743906e-05,1.08445461421883e-05,6.59899553860766e-05,5.86285320636999e-05,0.000373049039776084,4.23556070882108e-05,7.81414829690638e-05
"[Eubacterium] ventriosum group",8.93726597862132e-05,0,0,0,0,4.90080188880825e-06,2.64722544301318e-06,2.60471609896879e-06
"[Eubacterium] xylanophilum group",0.000178745319572426,0,0,2.35678412093131e-06,2.44285550265416e-06,2.48960735951459e-05,0,2.60471609896879e-06
"[Ruminococcus] gauvreauii group",0.000911414936778153,3.46696158953255e-06,5.42227307109413e-06,2.35678412093131e-06,4.88571100530832e-06,5.41048528524431e-05,2.64722544301318e-06,1.04188643958752e-05
"[Ruminococcus] torques group",0.000341974552376413,6.9339231790651e-06,2.71113653554707e-06,2.35678412093131e-06,7.32856650796249e-06,2.48960735951459e-05,2.64722544301318e-06,2.60471609896879e-06
"Acinetobacter",2.79289561831916e-06,0,0,0.0769442879801653,0.00238178411508781,1.37222452886631e-06,2.64722544301318e-06,0
"Actinomyces",4.03418255979434e-06,0,0,0.0135632926159597,5.12999655557374e-05,1.37222452886631e-06,0,0
"Adlercreutzia",9.34068423460075e-05,0,0,0,0,3.72460943549427e-06,0,0
"Akkermansia",0.00416265575823702,8.32070781487812e-05,6.23561403175825e-05,0.000110768853683771,0.000131914197143325,0.000359718858638526,7.67695378473822e-05,0.000143259385443284
"Alistipes",0.00787193146110024,4.85374622534557e-05,6.23561403175825e-05,7.54170918698018e-05,9.0385653598204e-05,0.000313847352959281,5.82389597462899e-05,0.000101583927859783
"Ambiguous_taxa",2.04812345343405e-05,0.335594947943572,0.258360467291493,0.198068851091309,0.0775850907642962,3.95984792615707e-05,4.5002832531224e-05,7.81414829690638e-05
"Anaerofilum",6.20643470737591e-07,0,0,0,0,5.88096226656991e-07,0,0
"Anaerostipes",0.0133264566036776,3.46696158953255e-06,2.71113653554707e-06,1.64974888465191e-05,2.93142660318499e-05,6.21421679500887e-05,2.64722544301318e-06,1.3023580494844e-05
"Anaerotruncus",7.47875382238798e-05,3.46696158953255e-06,0,7.07035236279392e-06,4.88571100530832e-06,3.13651320883728e-06,5.29445088602636e-06,0
"Bacillus",0.00225479772918967,0.000128277578812704,0.000132845690241806,0.000113125637804703,0.000168557029683137,0.144089064429078,0.201059419622294,0.196244520328507
"Bacteroides",0.0801166933853681,0.000208017695371953,0.000162668192132824,0.0637392265505872,0.00059849959815027,0.000944482540011127,0.00022501416265612,0.000226610300610285
"Bifidobacterium",0.0147098708999517,0.0671446451044769,0.000742851410739896,0.0381351238607895,0.000102599931111475,5.48889811546524e-06,2.64722544301318e-06,0
"Bilophila",0.0304515615700045,1.38678463581302e-05,1.08445461421883e-05,1.64974888465191e-05,7.32856650796249e-06,2.23476566129656e-05,7.94167632903953e-06,1.56282965938128e-05
"Blautia",0.00476126638576343,2.42687311267278e-05,2.16890922843765e-05,5.18492506604887e-05,5.61856765610457e-05,0.000302477492577245,4.5002832531224e-05,4.42801736824695e-05
"Butyricicoccus",0.000524443732773265,0,0,7.07035236279392e-06,9.77142201061665e-06,4.54794415281406e-05,2.64722544301318e-06,3.38613092865943e-05
"Candidatus Stoquefichus",0.0289890152312114,1.38678463581302e-05,5.42227307109413e-06,2.35678412093131e-06,7.32856650796249e-06,1.21539886842445e-05,5.29445088602636e-06,7.81414829690638e-06
"Carnobacterium",4.03418255979434e-06,0,0,2.35678412093131e-06,0,0.000448129324712627,0.000921234454168586,0.000935093079529797
"Christensenellaceae R-7 group",0.000207915562697093,6.9339231790651e-06,2.71113653554707e-06,0,4.88571100530832e-06,1.52905018930818e-05,2.64722544301318e-06,5.20943219793759e-06
"Clostridium sensu stricto 1",5.6168234101752e-05,0.20218279901677,0.0241372485759755,0.166773114749462,0.0753743065343942,1.50944698175294e-05,1.05889017720527e-05,1.3023580494844e-05
"Collinsella",0.00528291722291838,3.46696158953255e-06,2.71113653554707e-06,0,0,1.01936679287212e-05,2.64722544301318e-06,7.81414829690638e-06
"Coprococcus 1",0.000204812345343405,0,2.71113653554707e-06,0,0,1.31341490620061e-05,0,2.60471609896879e-06
"Coprococcus 2",0.00197519784562238,2.08017695371953e-05,1.08445461421883e-05,3.77085459349009e-05,5.86285320636999e-05,0.000160942334028463,2.11778035441054e-05,5.99084702762822e-05
"Coprococcus 3",0.000149264754712391,0,2.71113653554707e-06,0,2.44285550265416e-06,1.21539886842445e-05,0,0
"Defluviitaleaceae UCG-011",5.89611297200712e-06,0,0,0,0,7.84128302209321e-07,0,0
"Deinococcus",6.20643470737591e-07,0.0164958032429959,0.000135556826777353,0.00723061368301725,2.68714105291958e-05,3.9206415110466e-07,0,0
"Dialister",0.000275565701007491,1.04008847685976e-05,5.42227307109413e-06,2.35678412093131e-06,9.77142201061665e-06,2.96008434084019e-05,5.29445088602636e-06,1.04188643958752e-05
"Dorea",0.000929413597429543,6.9339231790651e-06,1.89779557488295e-05,4.71356824186261e-06,7.32856650796249e-06,6.70429698388969e-05,2.64722544301318e-06,2.60471609896879e-05
"Eisenbergiella",6.76501383103975e-05,6.9339231790651e-06,0,2.35678412093131e-06,4.88571100530832e-06,3.52857735994194e-06,0,0
"Enterobacter",0.00475350834237921,0.00330054743323499,0.00331029770990297,0.00159789963399143,0.00526679646372237,0.0115108074443573,0.00441292481350297,0.00401386750851091
"Enterococcus",0.0308043973831189,0.0383411282186405,0.000420226163009795,0.0231860421817222,0.00026382839428665,0.0628029920767756,0.0897488841944758,0.10184439946968
