"","X1.1","Genus","value","Type"
"1",1,"Actinomyces","NA","PC04924-MSA1000_Diff"
"2",NA,"Alistipes","NA","PC04924-MSA1000_Diff"
"3",NA,"Anaerostipes","NA","PC04924-MSA1000_Diff"
"4",NA,"Bacillus","-99.8785783669505","PC04924-MSA1000_Diff"
"5",NA,"Bacteroides","NA","PC04924-MSA1000_Diff"
"6",NA,"Bifidobacterium","-33.9037769270328","PC04924-MSA1000_Diff"
"7",NA,"Bilophila","NA","PC04924-MSA1000_Diff"
"8",NA,"Clostridium",NA,"PC04924-MSA1000_Diff"
"9",NA,"Lachnoclostridium","NA","PC04924-MSA1000_Diff"
"10",NA,"Collinsella","NA","PC04924-MSA1000_Diff"
"11",NA,"Coprobacillus","NA","PC04924-MSA1000_Diff"
"12",NA,"Cryptococcus","NA","PC04924-MSA1000_Diff"
"13",NA,"Deinococcus","-83.0295411690761","PC04924-MSA1000_Diff"
"14",NA,"Enterococcus","-60.0237129306897","PC04924-MSA1000_Diff"
"15",NA,"Escherichia-Shigella","-29.9611450774242","PC04924-MSA1000_Diff"
"16",NA,"Fusobacterium","NA","PC04924-MSA1000_Diff"
"17",NA,"Helicobacter","NA","PC04924-MSA1000_Diff"
"18",NA,"Lactobacillus","-42.4890006285355","PC04924-MSA1000_Diff"
"19",NA,"Listeria","NA","PC04924-MSA1000_Diff"
"20",NA,"Neisseria","NA","PC04924-MSA1000_Diff"
"21",NA,"Paenibacillus","NA","PC04924-MSA1000_Diff"
"22",NA,"Parabacteroides","NA","PC04924-MSA1000_Diff"
"23",NA,"Pediococcus","NA","PC04924-MSA1000_Diff"
"24",NA,"Porphyromonadaceae","NA","PC04924-MSA1000_Diff"
"25",NA,"Propionibacterium","NA","PC04924-MSA1000_Diff"
"26",NA,"Pseudomonas","NA","PC04924-MSA1000_Diff"
"27",NA,"Pyramidobacter","NA","PC04924-MSA1000_Diff"
"28",NA,"Ralstonia","NA","PC04924-MSA1000_Diff"
"29",NA,"Rhodobacter","-95.6145363122107","PC04924-MSA1000_Diff"
"30",NA,"Saccharomyces","NA","PC04924-MSA1000_Diff"
"31",NA,"Salmonella","NA","PC04924-MSA1000_Diff"
