"","Genus","value","Type"
"1","Acinetobacter","NA","PC04924-MSA1000_Diff"
"2","Actinomyces","NA","PC04924-MSA1000_Diff"
"3","Alistipes","NA","PC04924-MSA1000_Diff"
"4","Anaerostipes","NA","PC04924-MSA1000_Diff"
"5","Bacteroides","NA","PC04924-MSA1000_Diff"
"6","Bifidobacterium","-33.9037769270328","PC04924-MSA1000_Diff"
"7","Bilophila","NA","PC04924-MSA1000_Diff"
"8","Clostridium",NA,"PC04924-MSA1000_Diff"
"9","Lachnoclostridium","NA","PC04924-MSA1000_Diff"
"10","Collinsella","NA","PC04924-MSA1000_Diff"
"11","Coprobacillus","NA","PC04924-MSA1000_Diff"
"12","Cryptococcus","NA","PC04924-MSA1000_Diff"
"13","Deinococcus","-83.0295411690761","PC04924-MSA1000_Diff"
"14","Enterococcus","-60.0237129306897","PC04924-MSA1000_Diff"
"15","Fusobacterium","NA","PC04924-MSA1000_Diff"
"16","Helicobacter","NA","PC04924-MSA1000_Diff"
"17","Listeria","NA","PC04924-MSA1000_Diff"
"18","Neisseria","NA","PC04924-MSA1000_Diff"
"19","Paenibacillus","NA","PC04924-MSA1000_Diff"
"20","Parabacteroides","NA","PC04924-MSA1000_Diff"
"21","Pediococcus","NA","PC04924-MSA1000_Diff"
"22","Porphyromonadaceae","NA","PC04924-MSA1000_Diff"
"23","Propionibacterium","NA","PC04924-MSA1000_Diff"
"24","Pseudomonas","NA","PC04924-MSA1000_Diff"
"25","Pyramidobacter","NA","PC04924-MSA1000_Diff"
"26","Ralstonia","NA","PC04924-MSA1000_Diff"
"27","Rhodobacter","-95.6145363122107","PC04924-MSA1000_Diff"
"28","Saccharomyces","NA","PC04924-MSA1000_Diff"
"29","Salmonella","NA","PC04924-MSA1000_Diff"
"30","Streptococcus","-14.7762984972287","PC04924-MSA1000_Diff"
"31","Subdoligranulum","NA","PC04924-MSA1000_Diff"
"32","[Clostridium] innocuum group","NA","PC04924-MSA1000_Diff"
"33","[Eubacterium] coprostanoligenes group","NA","PC04924-MSA1000_Diff"
"34","[Eubacterium] eligens group","NA","PC04924-MSA1000_Diff"
"35","[Eubacterium] hallii group","NA","PC04924-MSA1000_Diff"
"36","[Eubacterium] rectale group","NA","PC04924-MSA1000_Diff"
"37","[Eubacterium] ventriosum group","NA","PC04924-MSA1000_Diff"
"38","[Eubacterium] xylanophilum group","NA","PC04924-MSA1000_Diff"
"39","[Ruminococcus] gauvreauii group","NA","PC04924-MSA1000_Diff"
"40","[Ruminococcus] torques group","NA","PC04924-MSA1000_Diff"
"41","Adlercreutzia","NA","PC04924-MSA1000_Diff"
"42","Akkermansia","NA","PC04924-MSA1000_Diff"
"43","Ambiguous_taxa","NA","PC04924-MSA1000_Diff"
"44","Anaerofilum","NA","PC04924-MSA1000_Diff"
"45","Anaerotruncus","NA","PC04924-MSA1000_Diff"
"46","Blautia","NA","PC04924-MSA1000_Diff"
"47","Butyricicoccus","NA","PC04924-MSA1000_Diff"
"48","Candidatus Stoquefichus","NA","PC04924-MSA1000_Diff"
"49","Carnobacterium","NA","PC04924-MSA1000_Diff"
"50","Christensenellaceae R-7 group","NA","PC04924-MSA1000_Diff"
"51","Clostridium sensu stricto 1","NA","PC04924-MSA1000_Diff"
"52","Coprococcus 1","NA","PC04924-MSA1000_Diff"
"53","Coprococcus 2","NA","PC04924-MSA1000_Diff"
"54","Coprococcus 3","NA","PC04924-MSA1000_Diff"
