"","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Seq","PC04924_MS1000","PC04924_MS1001","PC04924_MS1002","PC04924_MS1003","PC04924_Seq200","PC04924_Seq2000","PC04925_MS1000","PC04925_MS1001","PC04925_MS1002","PC04925_MS1003","PC04925_Seq200","PC049252000","PC07578_MS1000","PC07578_MS1001","PC07578_MS1002","PC07578_MS1003","PC07578_Seq200","PC07578_Seq2000","PC04924-MSA1000_Diff","PC04924-MSA1001_Diff","PC04924-MSA1002_Diff","PC04924-MSA1003_Diff","PC04924-Seq.200_Diff","PC04924-Seq.2000_Diff","PC04925-MSA1000_Diff","PC04925-MSA1001_Diff","PC04925-MSA1002_Diff","PC04925-MSA1003_Diff","PC04925-Seq.200_Diff","PC04925-Seq.2000_Diff","PC07578-MSA1000_Diff","PC07578-MSA1001_Diff","PC07578-MSA1002_Diff","PC07578-MSA1003_Diff","PC07578-Seq.200_Diff","PC07578-Seq.2000_Diff"
"Acinetobacter",NA,NA,0.05,0.0018,NA,0,0,0.0966529329312322,0.00381771135274239,0,0,0,0,0.092530344567039,0.00324287094521557,0,0,NA,0,0.0935459692785609,0.00343650085912521,0,0,"NA","NA","93.3058658624644","112.095075152355","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Actinomyces",NA,NA,0.05,2e-04,NA,0,0,0.0117550864375823,0,0,0,0,0,0.00765273997152018,6.69619369218554e-05,0,0,NA,0,0.0129405709022278,0,0,0,"NA","NA","-76.4898271248354","-100","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Alistipes",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,8.74794969928923e-05,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Anaerostipes",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Bacillus",0.1,0.0448,0.05,0.018,0.135,0.384224783555532,0.265165897093586,0.224472242280083,0.100377529233771,0.161694272600279,0.161931933420772,0.346261071225915,0.256301890030678,0.205664964981449,0.0803447583152377,0.179680245242277,0.181804264625478,NA,0.257050418910832,0.221831908034352,0.0935250233812558,0.164343317411987,0.160107696237017,"284.224783555532","491.888163155325","348.944484560166","457.652940187618","19.7735352594662","19.9495803116826","156.489682389566","89.8532518745764","52.3444185047773","-40.4853642109351","33.0964779572425","34.6698256485025","NaN","90.4077177117273","64.3199318772975","-30.7222049027735","21.7357906755457","18.5982935089014"
"Bacteroides",NA,NA,0.05,2e-04,NA,0,0,0.0795671749564626,0.000452469493658357,0,0,0,0,0.073534112814949,0.000908769143939466,0,0.000349917987971569,NA,0,0.0786728916261051,0.000619875154968789,0,0,"NA","NA","59.1343499129253","126.234746829179","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Bifidobacterium",0.1,4e-04,0.05,2e-04,NA,0.0523715939873586,0.000563400982277365,0.0319734103555197,0,0,0,0.060847539864637,0.000825949842318667,0.0378762193527138,0.000143489864832547,0,0,NA,0.000701301615798923,0.0352817937997237,0.000108750027187507,0,0,"-47.6284060126414","40.8502455693412","-36.0531792889606","-100","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Bilophila",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Clostridium",0.1,0.0045,0.05,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"Lachnoclostridium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
