,Genus,value,Type
1,Acinetobacter,NA,PC04924-MSA1000_Diff
2,Actinomyces,NA,PC04924-MSA1000_Diff
3,Alistipes,NA,PC04924-MSA1000_Diff
4,Anaerostipes,NA,PC04924-MSA1000_Diff
5,Bacillus,284.2247836,PC04924-MSA1000_Diff
6,Bacteroides,NA,PC04924-MSA1000_Diff
7,Bifidobacterium,-47.62840601,PC04924-MSA1000_Diff
8,Bilophila,NA,PC04924-MSA1000_Diff
9,Clostridium,NA,PC04924-MSA1000_Diff
10,Lachnoclostridium,NA,PC04924-MSA1000_Diff
11,Collinsella,NA,PC04924-MSA1000_Diff
12,Coprobacillus,NA,PC04924-MSA1000_Diff
13,Cryptococcus,NA,PC04924-MSA1000_Diff
14,Deinococcus,-80.18802783,PC04924-MSA1000_Diff
15,Enterococcus,-60.80097732,PC04924-MSA1000_Diff
16,Escherichia-Shigella,-11.48881925,PC04924-MSA1000_Diff
17,Fusobacterium,NA,PC04924-MSA1000_Diff
18,Helicobacter,NA,PC04924-MSA1000_Diff
19,Lactobacillus,-54.28905296,PC04924-MSA1000_Diff
20,Listeria,NA,PC04924-MSA1000_Diff
21,Neisseria,NA,PC04924-MSA1000_Diff
22,Paenibacillus,NA,PC04924-MSA1000_Diff
23,Parabacteroides,NA,PC04924-MSA1000_Diff
24,Pediococcus,NA,PC04924-MSA1000_Diff
25,Porphyromonadaceae,NA,PC04924-MSA1000_Diff
26,Propionibacterium,NA,PC04924-MSA1000_Diff
27,Pseudomonas,NA,PC04924-MSA1000_Diff
28,Pyramidobacter,NA,PC04924-MSA1000_Diff
29,Ralstonia,NA,PC04924-MSA1000_Diff
30,Rhodobacter,NA,PC04924-MSA1000_Diff
31,Saccharomyces,NA,PC04924-MSA1000_Diff
32,Salmonella,NA,PC04924-MSA1000_Diff
33,Staphylococcus,-21.79316938,PC04924-MSA1000_Diff
34,Streptococcus,-49.68927604,PC04924-MSA1000_Diff
35,Subdoligranulum,NA,PC04924-MSA1000_Diff
36,Abiotrophia,NA,PC04924-MSA1000_Diff
37,Acetanaerobacterium,NA,PC04924-MSA1000_Diff
38,Acidaminococcus,NA,PC04924-MSA1000_Diff
39,Actinobacillus,NA,PC04924-MSA1000_Diff
40,Adlercreutzia,NA,PC04924-MSA1000_Diff
41,Akkermansia,NA,PC04924-MSA1000_Diff
42,Alcaligenes,NA,PC04924-MSA1000_Diff
43,Alkanindiges,NA,PC04924-MSA1000_Diff
44,Alloprevotella,NA,PC04924-MSA1000_Diff
45,Anaerococcus,NA,PC04924-MSA1000_Diff
46,Anaerofilum,NA,PC04924-MSA1000_Diff
47,Anaerofustis,NA,PC04924-MSA1000_Diff
48,Anaeromyxobacter,NA,PC04924-MSA1000_Diff
49,Anaerosporobacter,NA,PC04924-MSA1000_Diff
50,Anaerotruncus,NA,PC04924-MSA1000_Diff
51,Arthrobacter,NA,PC04924-MSA1000_Diff
52,Atopobium,NA,PC04924-MSA1000_Diff
53,Azospirillum,NA,PC04924-MSA1000_Diff
54,Basidiomycota,NA,PC04924-MSA1000_Diff
55,Bergeyella,NA,PC04924-MSA1000_Diff
56,Blautia,NA,PC04924-MSA1000_Diff
57,Bradyrhizobium,NA,PC04924-MSA1000_Diff
58,Brevundimonas,NA,PC04924-MSA1000_Diff
59,Bryobacter,NA,PC04924-MSA1000_Diff
60,Butyricimonas,NA,PC04924-MSA1000_Diff
61,Campylobacter,NA,PC04924-MSA1000_Diff
