"","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Seq","PC04924_MS1003","PC04924_Seq200","PC04924_Seq2000","PC04925_MS1000","PC04925_MS1001","PC04925_MS1002","PC04925_MS1003","PC04925_Seq200","PC049252000","PC07578_MS1000","PC07578_MS1001","PC07578_MS1002","PC07578_MS1003","PC07578_Seq200","PC07578_Seq2000","PC04924-MSA1000_Diff","PC04924-MSA1001_Diff","PC04924-MSA1002_Diff"
"Acinetobacter",NA,NA,0.05,0.0018,NA,0.00381771135274239,0,0,0,0,0.092530344567039,0.00324287094521557,0,0,NA,0,0.0935459692785609,0.00343650085912521,0,0,"NA","NA","93.3058658624644"
"Actinomyces",NA,NA,0.05,2e-04,NA,0,0,0,0,0,0.00765273997152018,6.69619369218554e-05,0,0,NA,0,0.0129405709022278,0,0,0,"NA","NA","-76.4898271248354"
"Alistipes",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,8.74794969928923e-05,NA,0,0,0,0,0,"NA","NA","NA"
"Anaerostipes",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Bacteroides",NA,NA,0.05,2e-04,NA,0.000452469493658357,0,0,0,0,0.073534112814949,0.000908769143939466,0,0.000349917987971569,NA,0,0.0786728916261051,0.000619875154968789,0,0,"NA","NA","59.1343499129253"
"Bifidobacterium",0.1,4e-04,0.05,2e-04,NA,0,0,0,0.060847539864637,0.000825949842318667,0.0378762193527138,0.000143489864832547,0,0,NA,0.000701301615798923,0.0352817937997237,0.000108750027187507,0,0,"-47.6284060126414","40.8502455693412","-36.0531792889606"
"Bilophila",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Clostridium",0.1,0.0045,0.05,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lachnoclostridium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA"
"Collinsella",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Coprobacillus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Cryptococcus",NA,NA,NA,NA,0.019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA","NA"
"Deinococcus",0.1,4e-04,0.05,2e-04,NA,2.82793433536473e-05,0,0,0.0166942162353309,0.000128719455945766,0.00879580746093712,1.9131981977673e-05,0,0,NA,0.00012155894673848,0.0082989425395306,4.35000108750027e-05,0,0,"-80.1880278323684","-57.132533957157","-80.2489062566368"
"Enterococcus",0.1,NA,0.05,2e-04,0.114,0.000551447195396123,0.1012771901816,0.113187392674121,0.0357979917598007,0.000600690794413576,0.0219410835892319,0.000334809684609277,0.0960271198576879,0.107993439037726,NA,0.000514287851585877,0.0230004424898634,0.000543750135937534,0.0895356868391101,0.10826025881151,"-60.8009773198067","NA","-48.4347789151765"
"Fusobacterium",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Helicobacter",NA,NA,0.05,0.0018,NA,0.00108875471911542,0,0,0,0,0.0315409130978098,0.0011000889637162,0,0,NA,0,0.034017537047238,0.00120712530178133,0,0,"NA","NA","-36.8389754916536"
"Listeria",NA,NA,NA,NA,0.125,0,0.187936539612852,0.178184620793164,9.04612702407092e-05,0,0,0,0.175328089862499,0.170858392564243,NA,0,0,0,0.16822475364067,0.169642857142857,"NA","NA","NA"
"Neisseria",NA,NA,0.05,0.0018,NA,0.00104633570408495,0,0,0,0,0.030843448189013,0.000975731080861322,0,0,NA,0,0.0348663951524784,0.00119625029906257,0,0,"NA","NA","-40.4493904769995"
"Paenibacillus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Parabacteroides",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Pediococcus",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,"NA","NA","NA"
"Porphyromonadaceae",NA,NA,0.05,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA","NA",NA
