"","Genus","value","Type"
"1","Acinetobacter","NA","PC04924-MSA1000_Diff"
"2","Actinomyces","NA","PC04924-MSA1000_Diff"
"3","Alistipes","NA","PC04924-MSA1000_Diff"
"4","Anaerostipes","NA","PC04924-MSA1000_Diff"
"5","Bacteroides","NA","PC04924-MSA1000_Diff"
"6","Bifidobacterium","-47.6284060126414","PC04924-MSA1000_Diff"
"7","Bilophila","NA","PC04924-MSA1000_Diff"
"8","Clostridium",NA,"PC04924-MSA1000_Diff"
"9","Lachnoclostridium","NA","PC04924-MSA1000_Diff"
"10","Collinsella","NA","PC04924-MSA1000_Diff"
"11","Coprobacillus","NA","PC04924-MSA1000_Diff"
"12","Cryptococcus","NA","PC04924-MSA1000_Diff"
"13","Deinococcus","-80.1880278323684","PC04924-MSA1000_Diff"
"14","Enterococcus","-60.8009773198067","PC04924-MSA1000_Diff"
"15","Fusobacterium","NA","PC04924-MSA1000_Diff"
"16","Helicobacter","NA","PC04924-MSA1000_Diff"
"17","Listeria","NA","PC04924-MSA1000_Diff"
"18","Neisseria","NA","PC04924-MSA1000_Diff"
"19","Paenibacillus","NA","PC04924-MSA1000_Diff"
"20","Parabacteroides","NA","PC04924-MSA1000_Diff"
"21","Pediococcus","NA","PC04924-MSA1000_Diff"
"22","Porphyromonadaceae","NA","PC04924-MSA1000_Diff"
"23","Propionibacterium","NA","PC04924-MSA1000_Diff"
"24","Pseudomonas","NA","PC04924-MSA1000_Diff"
"25","Pyramidobacter","NA","PC04924-MSA1000_Diff"
"26","Ralstonia","NA","PC04924-MSA1000_Diff"
"27","Rhodobacter",NA,"PC04924-MSA1000_Diff"
"28","Saccharomyces","NA","PC04924-MSA1000_Diff"
"29","Salmonella","NA","PC04924-MSA1000_Diff"
"30","Streptococcus","-49.6892760397302","PC04924-MSA1000_Diff"
"31","Subdoligranulum","NA","PC04924-MSA1000_Diff"
"32","Abiotrophia","NA","PC04924-MSA1000_Diff"
"33","Acetanaerobacterium","NA","PC04924-MSA1000_Diff"
"34","Acidaminococcus","NA","PC04924-MSA1000_Diff"
"35","Actinobacillus","NA","PC04924-MSA1000_Diff"
"36","Adlercreutzia","NA","PC04924-MSA1000_Diff"
"37","Akkermansia","NA","PC04924-MSA1000_Diff"
"38","Alcaligenes","NA","PC04924-MSA1000_Diff"
"39","Alkanindiges","NA","PC04924-MSA1000_Diff"
"40","Alloprevotella","NA","PC04924-MSA1000_Diff"
"41","Anaerococcus","NA","PC04924-MSA1000_Diff"
"42","Anaerofilum","NA","PC04924-MSA1000_Diff"
"43","Anaerofustis","NA","PC04924-MSA1000_Diff"
"44","Anaeromyxobacter","NA","PC04924-MSA1000_Diff"
"45","Anaerosporobacter","NA","PC04924-MSA1000_Diff"
"46","Anaerotruncus","NA","PC04924-MSA1000_Diff"
"47","Arthrobacter","NA","PC04924-MSA1000_Diff"
"48","Atopobium","NA","PC04924-MSA1000_Diff"
"49","Azospirillum","NA","PC04924-MSA1000_Diff"
"50","Basidiomycota","NA","PC04924-MSA1000_Diff"
"51","Bergeyella","NA","PC04924-MSA1000_Diff"
"52","Blautia","NA","PC04924-MSA1000_Diff"
"53","Bradyrhizobium","NA","PC04924-MSA1000_Diff"
"54","Brevundimonas","NA","PC04924-MSA1000_Diff"
"55","Bryobacter","NA","PC04924-MSA1000_Diff"
"56","Butyricimonas","NA","PC04924-MSA1000_Diff"
"57","Campylobacter","NA","PC04924-MSA1000_Diff"
