"","SC249358.PC04924.A01","SC249363.PC04924.F01","SC249383.PC04924.E02","SC249388.PC04924.A03","SC249397.PC04924.B04","SC249400.PC04924.E04","SC249409.PC04924.D05","SC249413.PC04924.H05","SC249427.PC04924.E07","SC249428.PC04924.F07","SC249434.PC04924.C08","SC249439.PC04924.H08","SC249443.PC04924.D09","SC249446.PC04924.F09","SC253848.PC04924.C11","SC253851.PC04924.E11","SC253185.PC04925.C06","SC253192.PC04925.B07","SC253195.PC04925.E07","SC253204.PC04925.A09","SC249439.PC07578.G07","SC249443.PC07578.E05","SC253195.PC07578.E07","SC304093.PC07578.A04","SC304926.PC07578.E06","SC304936.PC07578.B11","SC284724.PC04924.A12","SC284730.PC04925.A12","SC284725.PC04924.B12","SC284731.PC04925.B12","SC326764.PC07578.B12","SC284726.PC04924.C12","SC284732.PC04925.C12","SC326765.PC07578.C12","SC284727.PC04924.D12","SC284733.PC04925.D12","SC326766.PC07578.D12","SC249362.PC04924.E01","SC284728.PC04924.E12","SC284734.PC04925.E12","SC326767.PC07578.E12","SC284729.PC04924.F12","SC284735.PC04925.F12","SC326768.PC07578.F12","SC249368.PC04924.B02","SC249390.PC04924.C03","SC249391.PC04924.D03","SC249395.PC04924.H03","SC249404.PC04924.H04","SC249408.PC04924.C05","SC249412.PC04924.G05","SC249420.PC04924.G06","SC249425.PC04924.C07","SC249432.PC04924.A08","SC249437.PC04924.F08","SC249442.PC04924.C09","SC249451.PC04924.C10","SC253844.PC04924.G10","SC253854.PC04924.H11","SC249391.PC04925.H01","SC249408.PC04925.E02","SC249432.PC04925.B04","SC249437.PC04925.F04","SC253181.PC04925.G05","SC253189.PC04925.F06","SC253194.PC04925.D07","SC253196.PC04925.F07","SC261522.PC04925.F11","SC249362.PC07578.H08","SC249368.PC07578.C10","SC249408.PC07578.E02","SC249420.PC07578.H07","SC249437.PC07578.F04","SC249451.PC07578.F06","SC253181.PC07578.G05","SC253196.PC07578.F07","SC304092.PC07578.A03","SC304097.PC07578.A09","SC304924.PC07578.B.07.PC07578.B07","SC304927.PC07578.B02","SC304934.PC07578.C.05.PC07578.C05","SC304934.PC07578.D.02.PC07578.D02","SC304937.PC07578.D04"
"Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acetanaerobacterium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acidaminococcus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Acinetobacter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.26448662532106e-05,0,0,0,0,0,0,0,0,0.0966529329312322,0.092530344567039,0.0935459692785609,0.00381771135274239,0.00324287094521557,0.00343650085912521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.48385252609042e-05,0,0,0,0,0,0
"Actinobacillus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinomyces",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0117550864375823,0.00765273997152018,0.0129405709022278,0,6.69619369218554e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adlercreutzia",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Akkermansia",0.00087070091423596,0,0.00715473652487415,0.00100502512562814,0.00969813020950665,0.00473306367929523,0.000157168453148084,0.000149961356112079,0,0.000122809890289831,0.000252760140736846,0.0142084517370978,0.00234543670264966,0.0161118418068847,0,0,0.000181585422322296,0.00159769634480516,0.00123477421271539,0.00259965337954939,0.0122844533418263,0.00282307456744756,0.0266688144906525,0.00140350877192982,0.000640885096048437,0.00156449884175224,3.18691241302385e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000251503553854565,0,0,0.000152255925293093,0.000437407051001662,0.000954373600557941,0,3.03453298537355e-05,0.000877593710177683,0,0,8.80242947053387e-05,0,0,0,0,9.93882103496256e-05,0.000764601769911504,0,0.000189176577417361,6.87975563107998e-05,6.58061726189917e-05,5.92922872592733e-05,0.000150240384615385,0.000961268442313093,0.00278960945467635,0,8.35421888053467e-05,0.00023043244488824,0.00126667306400537,0,0.000376344086021505,0.000143251816228384,0.000667504319145594,0.000235402257619747,0.000454603852273513,0.000457813804432715,6.47936968691686e-05,0.000323655004646015,0.000428621179244019,0.000150024378961581
"Alcaligenes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alistipes",0.000766216804527645,0.00682130075612841,0.0104028306414707,0.00676801730169837,0.0189569722910565,0.0144427267529277,0.00615052546652836,0.0105434368835723,0.00822485207100592,0.00783254189181813,0.00842196788935172,0.00896303765494342,0.0070657507360157,0.00817497392171981,0.00484838984189546,0.00434519434476199,0.00455779410028963,0.00851795086154846,0.00588606654783125,0.00823223570190641,0.00883570681104691,0.00708161077935998,0.0167619763560376,0.00737336298492711,0.00847486212537736,0.0084966981295163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.74794969928923e-05,0,0,0,0.000335345405767941,0.00126026257509574,0.000104002808075818,0,0.00102185568993292,0,0,0,0,0,8.73973081629086e-05,0,0,0.000594690265486726,0.00021534485941057,0.000113505946450417,0,0,0,0,0.000334823839457369,0.00310956466094747,0,0,0,0.000479800403032339,0,5.37634408602151e-05,0.000163716361403868,0.000215957279723575,0.00140120391440326,0.000444721159832785,0.000350092909272076,0,0.000323655004646015,0.000321465884433015,0
