"","Qiagen DSP-AC","Qiagen DSP-ZE","Zymo MagBead-AC","Zymo MagBead-ZE","MagAttract PS-AC","MagAttract PS-ZE","MagAttract MB-AC","MagAttract MB-ZE","Qiagen QIAmp-AC","Qiagen QIAMmp-ZE"
"Allistipes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anaerostipes",0.0170533020489707,NA,0.0116929586130318,NA,0.0173573818602548,NA,0.00935466871530156,NA,0.0148042015854072,NA
"Bacteroides",0.0843891390789529,NA,0.0925270851666991,NA,0.0861476379262665,NA,0.0526690432492788,NA,0.0899108510161527,NA
"Bifidobacterium",0.0159592658137799,NA,0.0117974582012319,NA,0.00540796409160367,NA,0.0221390141356589,NA,0.0146221387107862,NA
"Bilophila",0.0208486028853861,NA,0.025696202274329,NA,0.0366674300300751,NA,0.0347338140207774,NA,0.0340874338263392,NA
"Lachnoclostridium",0.0933952387226045,NA,0.110413041541342,NA,0.0806337553349491,NA,0.0499577976733113,NA,0.102196022594322,NA
"Collinsella",0.000401468820976774,NA,0.000870387083165972,NA,0.00106322701434265,NA,0.0173366451520293,NA,0.00323178467422622,NA
"Coprobacillus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enterococcus",0.01514052913884,0.0667875372205981,0.0192811281322896,0.0525637824058679,0.00556549785815201,0.0339015692503235,0.0697547351441708,0.0931569705234569,0.0313211360695793,0.0762826572936563
"Escherichia",0.0814945106982157,0.160452336120324,0.0972555139070938,0.150391074889998,0.10403066229516,0.163851878204461,0.0667090217277178,0.0816395952168874,0.0997192537158096,0.118277695586557
"Fusobacterium",0.298269884100119,NA,0.253044823826493,NA,0.263601610922591,NA,0.162032791440392,NA,0.199627304516383,NA
"Lactobacillus",0.054192566526835,0.188902414029578,0.0272688176122504,0.176281659115052,0.0244073332719324,0.20121312032905,0.0340496129493135,0.0664474000925484,0.017345759865066,0.178746884287552
"Paenibacillus",0.0480405265744235,NA,0.0602060567586017,NA,0.0576369400977807,NA,0.0247163854045959,NA,0.0529322251824439,NA
"Parabacteroides",0.128093997007037,NA,0.11420297409012,NA,0.142334950553057,NA,0.0791413224174847,NA,0.119223590278361,NA
"Pediococcus",0.0187191295708878,NA,0.0210586664177151,NA,0.00666193813129057,NA,0.0640568362740501,NA,0.0285441072151498,NA
"Propionibacterium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pyramidobacter",0.0115237297791158,NA,0.00758585497679481,NA,0.00715557916553793,NA,0.0104498423520005,NA,0.00513471860874922,NA
"Ralstonia",0.037797670920054,NA,0.0327667919375319,NA,0.093004416093156,NA,0.0629857711607995,NA,0.0943093222452587,NA
"Subdoligranulum",0.00450770582855514,NA,0.00772957155051755,NA,0.00961412737287997,NA,0.0259261228428392,NA,0.0094899757245776,NA
"Bacillus",NA,0.141620784972652,NA,0.142152012132095,NA,0.0733863404095051,NA,0.20575126800525,NA,0.141301400196771
"Cryptococcus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Listeria",NA,0.0671928033264868,NA,0.0781426879283658,NA,0.0481585913915234,NA,0.147660502020113,NA,0.124672148219948
"Pseudomonas",NA,0.0353133379654047,NA,0.0429335382702967,NA,0.144446438335581,NA,0.0648719772326929,NA,0.0793029002364135
"Saccharomyces",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Salmonella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Staphylococcus",NA,0.0647304507641709,NA,0.0876533632207876,NA,0.0397927689481577,NA,0.1921563724986,NA,0.0896359988809168
