"","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Naming","Gram","Art.Col","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Ext","Zymo.Seq","PC04924_OB","PC04925_OB","PC07578_OB","PC04924_MS1000","PC04924_MS1001","PC04924_MS1002","PC04924_MS1003","PC04924_Seq.200","PC04924_Seq2000","PC04925_MS1000","PC04925_MS1001","PC04925_MS1002","PC04925_MS1003","PC04925_Seq.200","PC04925_Seq2000","PC07578_MS1000","PC07578_MS1001","PC07578_MS1002","PC07578_MS1003","PC07578_Seq.200","PC07578_Seq2000"
"Acinetobacter","Bacteria","Eubacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter baumannii","D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Pseudomonadales;D_4__Moraxellaceae;D_5__Acinetobacter","N",NA,NA,NA,0.05,0.0018,NA,NA,0.00237176929556235,0.00484161121567487,0.00326555973065503,0,0,0.0769690913185452,0.00237468505236382,0,0,0,0,0.0787866866000472,0.00252642433616912,0,0,NA,0,0.0759078049160329,0.00227573539342535,7.12413085603556e-06,0
"Actinomyces","Bacteria","Eubacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","Actinomyces odontolyticus","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales;D_4__Actinomycetaceae;D_5__Actinomyces","P",NA,NA,NA,0.05,2e-04,NA,NA,0.000390333905428998,0.00078379978846286,0.000615376107304243,0,0,0.0128926922643846,4.02488991926071e-05,0,0,0,0,0.0131245574002675,5.89253489485508e-05,0,0,NA,0,0.0146325953227607,5.40233921287918e-05,0,0
"Alistipes","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Alistipes","Alistipes shahii","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae;D_5__Alistipes","N",0.04,NA,NA,NA,NA,NA,NA,0.00328057809105821,0.00155217596749264,0.00224300524750454,5.02415181551315e-05,4.23678546613114e-05,7.74124535525279e-05,7.24480185466928e-05,4.82443091816961e-05,2.48085606073136e-05,4.74663158679894e-05,6.2999496004032e-05,0.000118026595326147,0.000139947703752808,7.10315557686502e-05,0.000251536468595672,NA,7.88016419396666e-05,3.89337347833987e-05,6.07763161448907e-05,5.69930468482845e-05,4.18950528925043e-05
"Anaerostipes","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes","Anaerostipes hadrus","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Anaerostipes","P",0.06,NA,NA,NA,NA,NA,NA,0.00559767108510292,0.00282065099783742,0.00291070187846945,0,0,2.81499831100101e-05,4.02488991926071e-05,0,1.65390404048757e-05,6.78090226685563e-06,0,1.57368793768196e-05,3.68283430928443e-05,0,2.51536468595672e-05,NA,7.16378563087878e-06,6.48895579723311e-06,1.35058480321979e-05,7.12413085603556e-06,0
"Bacillus","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Bacillus","Bacillus cereus; Bacillus subtilis","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales;D_4__Bacillaceae;D_5__Bacillus","P",NA,0.1,0.0448,0.05,0.018,0.157,0.135,0.0619727378471892,0.0841890710173086,0.113884701289118,0.000122015115519605,0.000118629993051672,9.85249408850355e-05,0.000185144936285993,0.202023044698352,0.197707688999884,0.000135618045337113,0.000170998632010944,0.000125895035014557,0.000198873052701359,0.200886118658214,0.196257137347296,NA,0.000114620570094061,0.000116801204350196,0.00012830555630588,0.200907614271059,0.195698774569703
"Bacteroides","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","Bacteroides caccae; Bacteroides vulgatus","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidaceae;D_5__Bacteroides","N",0.06,NA,NA,0.05,2e-04,NA,NA,0.0362615764929902,0.0192851203765978,0.0210206514257614,0.000208143432356973,0.000228786415171081,0.0644564238261457,0.000619833047566149,0.000241221545908481,0.000181929444453633,0.000210207970272524,0.00013499892000864,0.0625934377212999,0.000758663867712592,0.000186457833892707,0.000419227447659453,NA,0.000128948141355818,0.064441820022322,0.000438940061046433,0.000242220449105209,0.000104737632231261
"Bifidobacterium","Bacteria","Eubacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis; Bifidobacterium angulatum","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales;D_4__Bifidobacteriaceae;D_5__Bifidobacterium","P",0.06,0.1,4e-04,0.05,2e-04,NA,NA,0.00849530396012641,0.00933408799963731,0.00625731775717909,0.0664192870010838,0.000660938532716457,0.0376435649138611,8.04977983852142e-05,8.04071819694935e-06,0,0.068575264624711,0.000755993952048384,0.0382799590841136,0.000117850697897102,0,0,NA,0.000802343990658424,0.03871959924209,0.000108046784257584,0,0
"Bilophila","Bacteria","Eubacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila","Bilophila wadsworthia","D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfovibrionales;D_4__Desulfovibrionaceae;D_5__Bilophila","N",0.02,NA,NA,NA,NA,NA,NA,0.0120547522994657,0.00635873352536506,0.00747180452401742,2.87094389457894e-05,1.69471418645245e-05,7.03749577750253e-06,1.60995596770428e-05,8.04071819694935e-06,1.65390404048757e-05,0,8.999928000576e-06,2.36053190652294e-05,7.36566861856885e-06,1.77578889421626e-05,3.35381958127563e-05,NA,7.16378563087878e-06,1.94668673916993e-05,0,0,0
"Clostridium","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium","Clostridium beijerinckii","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae;D_5__Clostridium","P",NA,0.1,0.0045,0.05,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lachnoclostridium","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium","Clostridium bolteae","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae;D_5__Lachnoclostridium","P",0.06,NA,NA,NA,NA,NA,NA,0.0364186389189714,0.0189518769364225,0.0173218886028279,4.30641584186841e-05,5.08414255935736e-05,7.74124535525279e-05,5.63484588696499e-05,5.62850273786455e-05,6.61561616195028e-05,3.39045113342781e-05,1.7999856001152e-05,1.57368793768196e-05,9.57536920413951e-05,1.77578889421626e-05,2.51536468595672e-05,NA,0,3.24447789861655e-05,6.75292401609897e-06,2.13723925681067e-05,2.09475264462521e-05
