"","SC249358.PC04924.A01","SC249363.PC04924.F01","SC249383.PC04924.E02","SC249388.PC04924.A03","SC249397.PC04924.B04","SC249400.PC04924.E04","SC249409.PC04924.D05","SC249413.PC04924.H05","SC249427.PC04924.E07","SC249428.PC04924.F07","SC249434.PC04924.C08","SC249439.PC04924.H08","SC249443.PC04924.D09","SC249446.PC04924.F09","SC253848.PC04924.C11","SC253851.PC04924.E11","SC253185.PC04925.C06","SC253192.PC04925.B07","SC253195.PC04925.E07","SC253204.PC04925.A09","SC249439.PC07578.G07","SC249443.PC07578.E05","SC253195.PC07578.E07","SC304093.PC07578.A04","SC304926.PC07578.E06","SC304936.PC07578.B11","SC284724.PC04924.A12","SC284730.PC04925.A12","SC284725.PC04924.B12","SC284731.PC04925.B12","SC326764.PC07578.B12","SC284726.PC04924.C12","SC284732.PC04925.C12","SC326765.PC07578.C12","SC284727.PC04924.D12","SC284733.PC04925.D12","SC326766.PC07578.D12","SC249362.PC04924.E01","SC284728.PC04924.E12","SC284734.PC04925.E12","SC326767.PC07578.E12","SC284729.PC04924.F12","SC284735.PC04925.F12","SC326768.PC07578.F12","SC249368.PC04924.B02","SC249390.PC04924.C03","SC249391.PC04924.D03","SC249395.PC04924.H03","SC249404.PC04924.H04","SC249408.PC04924.C05","SC249412.PC04924.G05","SC249420.PC04924.G06","SC249425.PC04924.C07","SC249432.PC04924.A08","SC249437.PC04924.F08","SC249442.PC04924.C09","SC249451.PC04924.C10","SC253844.PC04924.G10","SC253854.PC04924.H11","SC249391.PC04925.H01","SC249408.PC04925.E02","SC249432.PC04925.B04","SC249437.PC04925.F04","SC253181.PC04925.G05","SC253189.PC04925.F06","SC253194.PC04925.D07","SC253196.PC04925.F07","SC261522.PC04925.F11","SC249362.PC07578.H08","SC249368.PC07578.C10","SC249408.PC07578.E02","SC249420.PC07578.H07","SC249437.PC07578.F04","SC249451.PC07578.F06","SC253181.PC07578.G05","SC253196.PC07578.F07","SC304092.PC07578.A03","SC304097.PC07578.A09","SC304924.PC07578.A.11.PC07578.A11","SC304924.PC07578.B.07.PC07578.B07","SC304927.PC07578.B02","SC304934.PC07578.C.05.PC07578.C05","SC304934.PC07578.D.02.PC07578.D02","SC304937.PC07578.D04"
"Anaerostipes",0.0210443568133199,0.0163990433891356,0.00741966088500742,0.00758956741218537,0.0146159913240659,0.011559096456285,0.0174511782513207,0.0176884891854431,0.0172594430658947,0.0170304169383606,0.0083223858903765,0.00847634767441022,0.0118373979104605,0.00826015129119207,0.0143032404516503,0.0164665675417767,0.012701768515722,0.0168987961325113,0.0173117681803968,0.0120972844380331,0.0067454274155091,0.0124863021098609,0.0150113906603726,0.014598380389582,0.0130585153726827,0.0130094984514144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bacteroides",0.102219129359004,0.0849499995383152,0.101183091282101,0.0891817990605062,0.123459528739032,0.100493525831434,0.0848593221345047,0.0824791283886149,0.0841122139509236,0.093139887231023,0.0629873941358974,0.0576982679707941,0.0456035576333756,0.0482914529171376,0.0597621268999361,0.0906253005185563,0.0822259136212625,0.0971165570420237,0.0693513081546854,0.0721281603522891,0.0510021997631024,0.0504313870753654,0.128732315910503,0.0744145327205078,0.0762785138468581,0.0826786046864545,NA,NA,NA,NA,NA,0.0644564238261457,0.0625934377212999,0.064441820022322,0.000619833047566149,0.000758663867712592,0.000438940061046433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bifidobacterium",0.00994871001829944,0.0169345977340511,0.00446801436900447,0.00644149197223585,0.0114118111012521,0.00847360058946787,0.00517896361369977,0.00512522966831061,0.00567962503446374,0.00564803804994055,0.0228987897252425,0.0221927504162492,0.0293832580281931,0.00795582992783236,0.0207239041161303,0.0162298513866389,0.00620826202221551,0.00724724793487781,0.0232358152948125,0.0159947359097006,0.0222668328026213,0.0281366239138152,0.0204246323923243,0.0183993579922667,0.016777712788953,0.0166102185954432,0.0664192870010838,0.068575264624711,0.000660938532716457,0.000755993952048384,0.000802343990658424,0.0376435649138611,0.0382799590841136,0.03871959924209,8.04977983852142e-05,0.000117850697897102,0.000108046784257584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bilophila",0.0148586303770716,0.0192799564169568,0.0232969242870233,0.0207004136577158,0.0169575076407375,0.0176993867385081,0.0330251676856414,0.0386326274054734,0.0378825475599669,0.0371293774692187,0.0475794504849484,0.0328314316810702,0.0319488590202255,0.0265889922615425,0.0238828118686776,0.0253730128788383,0.0345733078291218,0.0379364234316234,0.0285778812410966,0.0437830587401615,0.037019090251819,0.032435060425059,0.0255664978896927,0.022244108849493,0.0349731709177835,0.0440019038290417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lachnoclostridium",0.128199180391247,0.0745528582904736,0.123636687993124,0.107042697889645,0.108342370764731,0.166156255036957,0.0981777171009675,0.0727524739709248,0.0792735042735043,0.0723313259943999,0.0660550074069933,0.0493084136400003,0.053008167163158,0.0329884357881923,0.0679091703826686,0.102919745826028,0.103870935266284,0.101504405021553,0.0984416802751815,0.122972186369043,0.0459412063316258,0.052445555709898,0.0841909060395495,0.090880571970526,0.0857386262492689,0.0910940808851426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Collinsella",0.000360834042114487,0.000360114128477641,0.000381119193000381,0.000420668863492954,0.000410792336258175,0.000445171045461174,0.00169169585089333,0.000983141540147632,0.000647918389853874,0.000930152276475778,0.0108170053386254,0.0126856903970765,0.0247152895565786,0.0192591948526215,0.000396700043343153,0.000488227069971816,0.00146817007282124,0.00234419275618678,0.00457767277023036,0.00366967833371296,0.0132524189702647,0.0232902717970088,0.00409920943817978,0.000335594951484643,0.00216794242555248,0.001931420766912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Enterococcus",0.0206319750509034,0.0126501629747274,0.0113281598430113,0.0126901773820374,0.00877452430247461,0.0123726849186795,0.00807265388496468,0.00493988331238114,0.00501102839812517,0.00423842583713705,0.0500461190150096,0.0517518505971645,0.0909576818369703,0.074002260672985,0.00873474725064831,0.0185452312790809,0.0139937581798047,0.0331106493328067,0.0363955387234634,0.0428972743147825,0.0469334071715354,0.10483709157136,0.0302084597970391,0.0226088859706719,0.0342420466393714,0.0329514178697809,0.0401716824448958,0.0370372881815654,NA,NA,NA,0.0238430356941786,0.0229679754504682,0.0229125029200301,0.000241493395155642,0.000243067064412772,0.000303881580724454,0.0893866981473372,0.0943337058866098,0.0925896329444356,0.0836586686424256,0.1027818665961,0.101805193389622,0.101448870579199,0.0612819125387378,0.0505643860861553,0.0474677277064617,0.0418318244841367,0.0400103575127683,0.0335554061487684,0.0350638394407934,0.0277307441001033,0.0335055815031965,0.0892822799996337,0.0976146305999148,0.0991133203466111,0.102775754633002,0.0368513799083103,0.0534577142218747,0.0422923164314116,0.0323283301393832,0.0791041060211429,0.0856571503220685,0.0656470273324807,0.0652064384397125,0.0946756215166886,0.0796498784042178,0.0665825613120435,0.0984183481237424,0.0613291703835861,0.0334330055767537,0.0416940778432663,0.0839612559814312,0.107747266283852,0.0725527362541105,0.0799642418147279,0.0525034883343609,0.0546771667908235,0.0421186364609298,0.0575698737928568,0.0690430178013502,0.0571580845580451,0.0491271753441589,0.0649463370666489
"Escherichia",0.0845640351555452,0.0854209180140167,0.101580428313102,0.131248685409802,0.0933730980314831,0.0942150790178606,0.110724461328426,0.105421783837798,0.104266611524676,0.0957097924897396,0.0740140313609302,0.0632698808554192,0.0729913482233213,0.0632901486827232,0.0621129419715992,0.0938801476517018,0.134744454511896,0.105780624774597,0.0938987526493173,0.0953357122972186,0.0588475087298291,0.0678412125140837,0.068836724346019,0.0920405632158751,0.0864316049131552,0.0818991384483793,0.0703811895756027,0.0761969987726567,0.0710424186960869,0.0778853769169847,0.0748400684857906,0.0339770296137822,0.0354709261153513,0.0363900641108833,0.124433496743864,0.127801716200788,0.127022500742822,0.148022620385004,0.0674535849542081,0.0726919183847424,0.0628419582810897,NA,NA,NA,0.173781297653598,0.167431048564428,0.158012710872657,0.202585433488296,0.199712489731776,0.159281217529491,0.149797599551954,0.167951213000499,0.162410149392163,0.079647962781497,0.0670109554012384,0.0849818633707261,0.0902911121410757,0.177060735623469,0.147406714333594,0.17371359977707,0.178888981467154,0.0825225984372606,0.0880286997678695,0.133405704428516,0.118612606401315,0.110800613689022,0.118579092951157,0.134145507330086,0.138781334423575,0.177661314302706,0.170604637511007,0.158029348978962,0.0812657831505721,0.0793677866848599,0.117276238889128,0.110991917160204,0.158873349125483,0.170051841829211,0.135373440402129,0.107230085330336,0.12386879272622,0.121529374831169,0.130632607546866,0.122314766904241
"Fusobacterium",0.272197737055079,0.306808003767348,0.254182174974254,0.247502278623011,0.253795721187026,0.232870508953311,0.247818602718585,0.25996841053412,0.266701130410808,0.27991830002685,0.235493473460603,0.170694613627026,0.154662979803019,0.0977567168072341,0.339002225928021,0.27507156965003,0.185794825329709,0.17795256659053,0.232879330113617,0.193885556652241,0.163228575384189,0.150360389560278,0.20762424389582,0.288006128255636,0.240450881163696,0.254506073628519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lactobacillus",0.0191370911621434,0.0362330215422118,0.0177260969340177,0.0149600364579682,0.0184034966643662,0.0136544705150936,0.0135780851190123,0.031678109789511,0.0313344361731459,0.0210387020060604,0.0712468904603516,0.0246506029306828,0.0380706680539916,0.00745152595426485,0.131322406940782,0.0300777464622031,0.0136749555354207,0.0160744646138522,0.0225756575518571,0.0155644977602308,0.023482086544526,0.0393959037520643,0.0188392238639691,0.0497337127015394,0.0463151336368029,0.0300887763759648,0.0577921005978741,0.0551694208431374,0.0074567424203908,0.00805493556051552,0.00738586298543602,0.0383684269789438,0.0387756707844834,0.037746255872505,0.148502338461043,0.14657680550952,0.146200804948543,0.158247491384071,0.0757918097244446,0.0773533642320601,0.080538299327482,0.111406976167243,0.11257933879447,0.112551059595713,0.214363716857691,0.195440933174174,0.257800262859406,0.173476877905554,0.170452516161291,0.192522287320894,0.224994151300538,0.206150365691723,0.202830501175925,0.0742263698222414,0.0608939807967109,0.0575082286558743,0.0495927961332186,0.195798844401384,0.176195397162328,0.241707126244601,0.182721721638318,0.0757813696951126,0.072663873061811,0.208636944948398,0.201417800288156,0.150314672177344,0.143436612397201,0.181044375707739,0.179256551469822,0.209552482902171,0.183042265923099,0.21623054925285,0.0736830641263877,0.0672295184490306,0.226625884920806,0.142049390993407,0.194056851737677,0.168873618438056,0.173646162025561,0.175826477952072,0.142538501485574,0.125814953530309,0.145133409166226,0.12213116122248
