"","Domain","Kingdom","Phylum","Class","Order","Family","Genus","Species","Naming","Gram","Art.Col","MSA1000","MSA1001","MSA1002","MSA1003","Zymo.Ext","Zymo.Seq","Qiagen DSP Virus_OB","Zymo MagBead DNone Kit_OB","MagAttract PowerMag Soil_OB","MagAttract PowerMag Microbiome_OB","Qiagen QIAamp  Modified_OB","Qiagen DSP Virus_OB_AC","Qiagen DSP Virus_OB_ZE","Zymo MagBead DNone Kit_OB_AC","Zymo MagBead DNone Kit_OB_ZE","MagAttract PowerMag Soil_OB_AC","MagAttract PowerMag Soil_OB_ZE","MagAttract PowerMag Microbiome_OB_AC","MagAttract PowerMag Microbiome_OB_ZE","Qiagen QIAamp  Modified_OB_AC","Qiagen QIAamp  Modified_OB_ZE"
"Actinomycetales","Bacteria","Eubacteria","Actinobacteria","Actinobacteria","Actinomycetales","Actinomycetaceae, Propionibacteriaceae","Actinomyces, Propionibacterium","Actinomyces odontolyticus, Propionibacterium acnes","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Actinomycetales","P",0.06,NA,NA,0.1,0.002,NA,NA,8.26787928896238e-07,1.12034231686044e-06,2.19046214370308e-06,6.74537393823598e-06,7.76578395589035e-07,0,1.32929935289707e-06,0,1.71543162260962e-06,0,3.48296944042613e-06,1.5046380467792e-05,0,1.88529133406985e-06,0
"Bacillales","Bacteria","Eubacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae, Listeriaceae, Paenibacillaceae , Staphylococcaceae","Bacillus, Listeria","Bacillus cereus; Bacillus subtilis, Listeria monocytogenes","D_0__Bacteria;D_1__Firmicutes;D_2__Bacilli;D_3__Bacillales","P",0.04,0.2,0.4926,0.15,0.216,0.449,0.39,0.18815708970649,0.228646928973658,0.12386698345617,0.317431114273942,0.229849343791256,0.0473968995503298,0.273709383258272,0.0679906386112074,0.313982311612729,0.0581792066740123,0.162626809112377,0.0351195058768654,0.546836712132806,0.0528880777946616,0.353798737055612
"Bacteroidales","Bacteria","Eubacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae, Bacteroidaceae, Porphyromonadaceae","Allistipes, Bacteroides, Parabacteroides, Porphyromonadaceae","Alistipes shahii, Bacteroides caccae; Bacteroides vulgatus, Parabacteroides merdae, Porphyromonas gingivalis","D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales","N",0.16,NA,NA,0.1,0.1802,NA,NA,0.0812277800744109,0.0760641478134839,0.0878725793567927,0.0630962278182594,0.0925821231653335,0.214188231588893,0.000416070697456784,0.21419559446326,0.0026932276474971,0.234814260979065,0.00116795575235623,0.140267374180913,0.000387177101938637,0.223571043433342,0.000833247499597242
"Bifidobacteriales","Bacteria","Eubacteria","Actinobacteria","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","Bifidobacterium adolescentis; Bifidobacterium angulatum","D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Bifidobacteriales","P",0.06,0.1,4e-04,0.05,2e-04,NA,NA,0.00630591153369161,0.0042427363539505,0.00200938393982362,0.0100815234651885,0.00602236545779296,0.0166679789337393,7.97579611738245e-06,0.0122163109496815,7.43353703130834e-06,0.00540492680623328,5.80494906737688e-06,0.0224880694741541,0,0.0146128931303754,5.28207606717744e-06
"Burkholderiales","Bacteria","Eubacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Bukerholderiaceae","Ralstonia","Ralstonia pickettii","D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Burkholderiales","N",0.06,NA,NA,NA,NA,NA,NA,0.014582058701943,0.0116041322706015,0.0345757147843052,0.0284750339657684,0.0391830395278403,0.0385478452574668,1.59515922347649e-05,0.0334129237976924,2.00133689304455e-05,0.0931489060286479,1.39318777617045e-05,0.0634994871691991,1.42644195451077e-05,0.0951110625124901,9.24363311756053e-06
"Campylobacterales","Bacteria","Eubacteria","Proteobacteria","Epsilonproteobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","Helicobacter pylori","D_0__Bacteria;D_1__Proteobacteria;D_2__Epsilonproteobacteria;D_3__Campylobacterales","N",NA,NA,NA,0.05,0.0018,NA,NA,8.26787928896238e-07,0,1.46030809580205e-06,5.62114494852999e-07,0,0,1.32929935289707e-06,0,0,0,2.32197962695075e-06,0,1.01888711036483e-06,0,0
"Clostridiales","Bacteria","Eubacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae, Ruminococcaceae","Anaerostipes, Clostridium, Lachnoclostridium, Subdoligranulum","Anaerostipes hadrus, Clostridium beijerinckii, Clostridium bolteae, Subdoligranulum variabile","D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales","P; N",0.14,0.1,0.0045,0.05,0.018,NA,NA,0.0444076064489458,0.0603599361106121,0.0416173204222627,0.105428508311144,0.0621153995495845,0.116056899900268,0.000860056681324408,0.156800032726106,0.00913410157985534,0.109070517865575,0.00181578806827549,0.232499178718399,0.00217124843218746,0.146490907239896,0.00301606543435832
"Coriobacteriales","Bacteria","Eubacteria","Actinobacteria","Coriobacteriia","Coriobacteriales","Coriobacteriaceae","Collinsella","Collinsella aerofaciens","D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales","P",0.06,NA,NA,NA,NA,NA,NA,0.000163704009921455,0.00040556391870348,0.000405965650632971,0.00839855266759865,0.00136211850586317,0.00042648679859325,3.98789805869123e-06,0.00105175676752192,6.23273489548161e-05,0.00106642531087675,1.62538573886553e-05,0.0187076663816213,2.13966293176615e-05,0.00327286575594527,2.37693423022985e-05
"Deinococcales","Bacteria","Eubacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus","Deinococcus radiodurans","D_0__Bacteria;D_1__Deinococcus-Thermus;D_2__Deinococci;D_3__Deinococcales","P",NA,0.1,4e-04,0.05,2e-04,NA,NA,8.26787928896238e-07,7.46894877906962e-07,0,5.62114494852999e-07,0,2.18711178765769e-06,0,1.07651665048303e-06,5.71810540869873e-07,0,0,0,1.01888711036483e-06,0,0
"Desulfovibrionales","Bacteria","Eubacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","Bilophila","Bilophila wadsworthia","D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Desulfovibrionales","N",0.02,NA,NA,NA,NA,NA,NA,0.00821165770979744,0.009183819418744,0.0136042302204919,0.0156998578412443,0.0133237555331211,0.0217005231571396,1.32929935289707e-05,0.0264112595029507,3.31650113704526e-05,0.0366224618290571,2.20588064560322e-05,0.035009165753435,9.1699839932835e-06,0.0323120081746232,2.37693423022985e-05
