"","AC","MSA-1000","MSA-1001","MSA-1002","MSA-1003","Zymo.Ext","Zymo.Seq.200","Zymo.Seq.2000"
"Allistipes",NA,NA,NA,NA,NA,NA,NA,NA
"Anaerostipes",0.0134477871594988,NA,NA,NA,NA,NA,NA,NA
"Bacteroides",0.080592508414008,NA,NA,0.0638305605232559,0.000605812325441725,NA,NA,NA
"Bifidobacterium",0.0143844578999247,0.0674972758128974,0.000739758825141088,0.0382143744133549,0.000102131760179966,NA,NA,NA
"Bilophila",0.0303376000322503,NA,NA,NA,NA,NA,NA,NA
"Lachnoclostridium",0.087682083308888,NA,NA,NA,NA,NA,NA,NA
"Collinsella",0.00508193412333639,NA,NA,NA,NA,NA,NA,NA
"Coprobacillus",NA,NA,NA,NA,NA,NA,NA,NA
"Enterococcus",0.0304971575433429,0.0386044853132306,NA,0.0232411713548923,0.000262814013430956,0.0628507529196975,0.090194002491157,0.102011976854974
"Escherichia-Shigella",0.0892976803180198,0.0732890941741297,0.0745892880329541,0.0352793399466723,0.126419237895825,0.136047198728478,0.0676624872066801,0.0504767189804678
"Fusobacterium",0.230351269926945,NA,NA,NA,NA,NA,NA,NA
"Lactobacillus",0.0306272230577705,0.0564807607205057,0.00763251365544745,0.0382967845453107,0.147093316306369,0.161314879525786,0.0778944910946622,0.112179124852475
"Paenibacillus",0.0483504500899548,NA,NA,NA,NA,NA,NA,NA
"Parabacteroides",0.11354240364492,NA,NA,NA,NA,NA,NA,NA
"Pediococcus",0.0298460188251065,NA,NA,NA,NA,NA,NA,NA
"Propionibacterium",NA,NA,NA,NA,NA,NA,NA,NA
"Pyramidobacter",0.00831503337584337,NA,NA,NA,NA,NA,NA,NA
"Ralstonia",0.0616168126848713,NA,NA,NA,NA,NA,NA,NA
"Subdoligranulum",0.0120615749745879,NA,NA,NA,NA,NA,NA,NA
"Bacillus",NA,0.000128816580428359,0.000134749731718892,0.000113740393416596,0.000170774515097744,0.142618922140839,0.201272259209208,0.196554533638961
"Clostridium",NA,0.203438053688357,0.0241005658433807,0.167356421534112,0.0752774217067725,NA,NA,NA
"Deinococcus",NA,0.0166027579667245,0.0001364358508381,0.00726877657793473,2.64660736164319e-05,NA,NA,NA
"Rhodobacter",NA,0.0044174140292177,0.0641437332428816,0.00319554564069052,0.0107628991675411,NA,NA,NA
"Staphylococcus",NA,0.0868727985298247,0.546812041191638,0.108971099240993,0.198366906946927,0.0968084425753039,0.226664327464725,0.220213605971936
"Streptococcus",NA,0.102268298361168,NA,0.0956203126836024,0.157674495866539,NA,NA,NA
"Acinetobacter",NA,NA,NA,0.0772211942782084,0.0023922815939861,NA,NA,NA
"Actinomyces",NA,NA,NA,0.0135499483291376,5.10658800899832e-05,NA,NA,NA
"Helicobacter",NA,NA,NA,0.0312620153670926,0.00092879551760375,NA,NA,NA
"Neisseria",NA,NA,NA,0.0282785578797646,0.000762541133533918,NA,NA,NA
"Porphyromonadaceae",NA,NA,NA,NA,NA,NA,NA,NA
"Pseudomonas",NA,NA,NA,0.0102185912515296,0.00254359494432305,0.0687528744196505,0.0486372157140427,0.0516491178691479
"Cryptococcus",NA,NA,NA,NA,NA,NA,NA,NA
"Listeria",NA,NA,NA,NA,NA,0.0917946706384708,0.160544670847018,0.156138853326685
"Saccharomyces",NA,NA,NA,NA,NA,NA,NA,NA
"Salmonella",NA,NA,NA,NA,NA,NA,NA,NA
